marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
POPI00ITA,EURA14,2021-07-01 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
POPI00ITA,EURA14,2021-07-02 11:59:00,0.00316,0.00281,0.00163,0.00316,0.00281,0.00163
POPI00ITA,EURA14,2021-07-03 11:59:00,-0.00058,0.00372,-0.00674,-0.00058,0.00372,-0.00674
POPI00ITA,EURA14,2021-07-04 11:59:00,0.002,0.00297,-0.00772,0.002,0.00297,-0.00772
POPI00ITA,EURA14,2021-07-05 11:59:00,0.00256,-9e-05,0.00158,0.00256,-9e-05,0.00158
POPI00ITA,EURA14,2021-07-06 11:59:00,0.00153,0.00353,-0.00746,0.00153,0.00353,-0.00746
POPI00ITA,EURA14,2021-07-07 11:59:00,0.00157,0.00366,-0.00747,0.00157,0.00366,-0.00747
POPI00ITA,EURA14,2021-07-08 11:59:00,0.00081,0.00285,-0.00144,0.00081,0.00285,-0.00144
POPI00ITA,EURA14,2021-07-09 11:59:00,0.00207,0.00299,-0.00338,0.00207,0.00299,-0.00338
POPI00ITA,EURA14,2021-07-10 11:59:00,0.0002,0.00332,-0.00418,0.0002,0.00332,-0.00418
POPI00ITA,EURA14,2021-07-11 11:59:00,0.00073,0.00301,-0.00124,0.00073,0.00301,-0.00124
POPI00ITA,EURA14,2021-07-12 11:59:00,0.00139,0.00388,-0.00715,0.00139,0.00388,-0.00715
POPI00ITA,EURA14,2021-07-13 11:59:00,-0.00065,0.00337,-0.00481,-0.00065,0.00337,-0.00481
POPI00ITA,EURA14,2021-07-14 11:59:00,0.00038,0.0033,-0.00477,0.00038,0.0033,-0.00477
POPI00ITA,EURA14,2021-07-15 11:59:00,0.00192,0.00401,-0.00489,0.00192,0.00401,-0.00489
POPI00ITA,EURA14,2021-07-16 11:59:00,0.00033,0.00266,-0.00756,0.00033,0.00266,-0.00756
POPI00ITA,EURA14,2021-07-17 11:59:00,0.00193,0.00368,-0.00482,0.00193,0.00368,-0.00482
POPI00ITA,EURA14,2021-07-18 11:59:00,0.00067,0.00302,-0.01038,0.00067,0.00302,-0.01038
POPI00ITA,EURA14,2021-07-19 11:59:00,0.00192,0.00436,-0.00894,0.00192,0.00436,-0.00894
POPI00ITA,EURA14,2021-07-20 11:59:00,0.0016,0.0028,-0.00156,0.0016,0.0028,-0.00156
POPI00ITA,EURA14,2021-07-21 11:59:00,0.00249,0.00308,-0.00781,0.00249,0.00308,-0.00781
POPI00ITA,EURA14,2021-07-22 11:59:00,0.00174,0.00288,-0.00113,0.00174,0.00288,-0.00113
POPI00ITA,EURA14,2021-07-23 11:59:00,0.00172,0.00114,-0.00181,0.00172,0.00114,-0.00181
POPI00ITA,EURA14,2021-07-24 11:59:00,0.00101,0.00254,0.00031,0.00101,0.00254,0.00031
POPI00ITA,EURA14,2021-07-25 11:59:00,0.00243,0.00305,-0.00834,0.00243,0.00305,-0.00834
