marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
TOD200ITA,EURA14,2010-05-27 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
TOD200ITA,EURA14,2010-05-28 11:59:00,-0.00122,-0.00361,-0.00188,-0.00122,-0.00361,-0.00188
TOD200ITA,EURA14,2010-05-29 11:59:00,-0.00123,-0.00403,-0.00142,-0.00123,-0.00403,-0.00142
TOD200ITA,EURA14,2010-05-30 11:59:00,-0.003,0.00038,0.0,-0.003,0.00038,0.0
TOD200ITA,EURA14,2010-05-31 11:59:00,-0.00296,-0.00264,0.00208,-0.00296,-0.00264,0.00208
TOD200ITA,EURA14,2010-06-01 11:59:00,-0.00284,-0.00098,-0.00262,-0.00284,-0.00098,-0.00262
TOD200ITA,EURA14,2010-06-02 11:59:00,-0.00421,-0.00296,0.00258,-0.00421,-0.00296,0.00258
TOD200ITA,EURA14,2010-06-03 11:59:00,-0.00127,-0.00428,0.0121,-0.00127,-0.00428,0.0121
TOD200ITA,EURA14,2010-06-04 11:59:00,-0.0013599999999999999,-0.004215,0.0049949999999999994,-0.0013599999999999999,-0.004215,0.0049949999999999994
TOD200ITA,EURA14,2010-06-05 11:59:00,-0.00145,-0.00415,-0.00211,-0.00145,-0.00415,-0.00211
TOD200ITA,EURA14,2010-06-06 11:59:00,-0.0018,-0.00457,-0.00849,-0.0018,-0.00457,-0.00849
TOD200ITA,EURA14,2010-06-07 11:59:00,-0.00355,-0.00029,0.00194,-0.00355,-0.00029,0.00194
TOD200ITA,EURA14,2010-06-08 11:59:00,-0.00277,-0.00346,0.00431,-0.00277,-0.00346,0.00431
TOD200ITA,EURA14,2010-06-09 11:59:00,-0.00324,-0.00415,0.00092,-0.00324,-0.00415,0.00092
TOD200ITA,EURA14,2010-06-10 11:59:00,-0.00141,-0.00347,0.00026,-0.00141,-0.00347,0.00026
TOD200ITA,EURA14,2010-06-11 11:59:00,-0.00403,-0.00093,-0.00106,-0.00403,-0.00093,-0.00106
TOD200ITA,EURA14,2010-06-12 11:59:00,-0.00287,-0.00189,0.00617,-0.00287,-0.00189,0.00617
TOD200ITA,EURA14,2010-06-13 11:59:00,-0.00232,-0.00285,0.00548,-0.00232,-0.00285,0.00548
TOD200ITA,EURA14,2010-06-14 11:59:00,-0.00109,-0.004,0.00333,-0.00109,-0.004,0.00333
TOD200ITA,EURA14,2010-06-15 11:59:00,-0.00208,-0.00295,0.00695,-0.00208,-0.00295,0.00695
TOD200ITA,EURA14,2010-06-16 11:59:00,-0.00365,0.0002,-0.00032,-0.00365,0.0002,-0.00032
TOD200ITA,EURA14,2010-06-17 11:59:00,-0.00243,-0.00401,0.00634,-0.00243,-0.00401,0.00634
TOD200ITA,EURA14,2010-06-18 11:59:00,-0.00372,0.00246,-0.00597,-0.00372,0.00246,-0.00597
TOD200ITA,EURA14,2010-06-19 11:59:00,-0.00214,-0.00233,0.00902,-0.00214,-0.00233,0.00902
TOD200ITA,EURA14,2010-06-22 11:59:00,-0.00301,-0.00209,0.00042,-0.00301,-0.00209,0.00042
TOD200ITA,EURA14,2010-06-23 11:59:00,-0.001825,-0.002205,0.003025,-0.001825,-0.002205,0.003025
TOD200ITA,EURA14,2010-06-24 11:59:00,-0.00064,-0.00232,0.00563,-0.00064,-0.00232,0.00563
TOD200ITA,EURA14,2010-06-25 11:59:00,-0.0039,-0.00403,0.00656,-0.0039,-0.00403,0.00656
TOD200ITA,EURA14,2010-06-26 11:59:00,-0.00282,0.00022,-0.00604,-0.00282,0.00022,-0.00604
TOD200ITA,EURA14,2010-06-27 11:59:00,-0.00374,-0.00136,0.00075,-0.00374,-0.00136,0.00075
TOD200ITA,EURA14,2010-06-28 11:59:00,-0.00263,-0.00334,0.0063,-0.00263,-0.00334,0.0063
TOD200ITA,EURA14,2010-06-29 11:59:00,-0.00475,-0.00211,0.00095,-0.00475,-0.00211,0.00095
TOD200ITA,EURA14,2010-06-30 11:59:00,-0.00168,-0.00599,0.00659,-0.00168,-0.00599,0.00659
TOD200ITA,EURA14,2010-07-01 11:59:00,-0.00011,-0.00387,0.00511,-0.00011,-0.00387,0.00511
TOD200ITA,EURA14,2010-07-06 11:59:00,-0.00321,-0.00311,0.00086,-0.00321,-0.00311,0.00086
TOD200ITA,EURA14,2010-07-07 11:59:00,-0.00334,-0.00365,0.00098,-0.00334,-0.00365,0.00098
TOD200ITA,EURA14,2010-07-08 11:59:00,-0.00386,-0.00326,0.00087,-0.00386,-0.00326,0.00087
TOD200ITA,EURA14,2010-07-09 11:59:00,-0.00408,-0.00418,0.00079,-0.00408,-0.00418,0.00079
TOD200ITA,EURA14,2010-07-10 11:59:00,-0.00558,-0.00305,0.00288,-0.00558,-0.00305,0.00288
TOD200ITA,EURA14,2010-07-11 11:59:00,-0.00465,-0.00403,0.00253,-0.00465,-0.00403,0.00253
TOD200ITA,EURA14,2010-07-12 11:59:00,-0.00497,-0.00484,0.00706,-0.00497,-0.00484,0.00706
TOD200ITA,EURA14,2010-07-13 11:59:00,-0.00647,-0.00352,0.00535,-0.00647,-0.00352,0.00535
TOD200ITA,EURA14,2010-07-14 11:59:00,-0.00478,-0.00615,0.00308,-0.00478,-0.00615,0.00308
TOD200ITA,EURA14,2010-07-15 11:59:00,-0.00506,-0.00355,0.00851,-0.00506,-0.00355,0.00851
TOD200ITA,EURA14,2010-07-16 11:59:00,-0.0040750000000000005,-0.00513,0.00503,-0.0040750000000000005,-0.00513,0.00503
TOD200ITA,EURA14,2010-07-17 11:59:00,-0.00309,-0.00671,0.00155,-0.00309,-0.00671,0.00155
TOD200ITA,EURA14,2010-07-18 11:59:00,-0.00114,-0.00511,0.01301,-0.00114,-0.00511,0.01301
TOD200ITA,EURA14,2010-07-19 11:59:00,-0.00241,-0.00577,9e-05,-0.00241,-0.00577,9e-05
TOD200ITA,EURA14,2010-07-20 11:59:00,-0.00254,-0.00346,0.01587,-0.00254,-0.00346,0.01587
TOD200ITA,EURA14,2010-07-21 11:59:00,-0.00155,-0.00562,0.01446,-0.00155,-0.00562,0.01446
TOD200ITA,EURA14,2010-07-22 11:59:00,-0.003385,-0.005195,0.009195,-0.003385,-0.005195,0.009195
TOD200ITA,EURA14,2010-07-23 11:59:00,-0.00522,-0.00477,0.00393,-0.00522,-0.00477,0.00393
TOD200ITA,EURA14,2010-07-24 11:59:00,-0.00465,-0.00071,0.00613,-0.00465,-0.00071,0.00613
TOD200ITA,EURA14,2010-07-25 11:59:00,-0.00361,-0.00272,0.00962,-0.00361,-0.00272,0.00962
TOD200ITA,EURA14,2010-07-26 11:59:00,-0.00314,-0.00454,0.00578,-0.00314,-0.00454,0.00578
TOD200ITA,EURA14,2010-07-27 11:59:00,-0.00347,-0.00268,0.00474,-0.00347,-0.00268,0.00474
TOD200ITA,EURA14,2010-07-28 11:59:00,-0.00104,-0.00298,0.00788,-0.00104,-0.00298,0.00788
TOD200ITA,EURA14,2010-07-29 11:59:00,-0.00254,-0.00022,0.00159,-0.00254,-0.00022,0.00159
TOD200ITA,EURA14,2010-07-30 11:59:00,-0.00106,0.00082,0.01698,-0.00106,0.00082,0.01698
TOD200ITA,EURA14,2010-07-31 11:59:00,-0.00407,-0.00121,0.00362,-0.00407,-0.00121,0.00362
TOD200ITA,EURA14,2010-08-01 11:59:00,-0.00106,-0.00268,0.00169,-0.00106,-0.00268,0.00169
TOD200ITA,EURA14,2010-08-02 11:59:00,-0.00373,-0.0028,-0.00098,-0.00373,-0.0028,-0.00098
TOD200ITA,EURA14,2010-08-03 11:59:00,-0.00393,-0.00318,7e-05,-0.00393,-0.00318,7e-05
TOD200ITA,EURA14,2010-08-04 11:59:00,-0.00301,-0.00348,0.00244,-0.00301,-0.00348,0.00244
TOD200ITA,EURA14,2010-08-05 11:59:00,-0.00316,0.00066,0.00739,-0.00316,0.00066,0.00739
TOD200ITA,EURA14,2010-08-06 11:59:00,-0.00155,-0.0029,0.00675,-0.00155,-0.0029,0.00675
TOD200ITA,EURA14,2010-08-07 11:59:00,-0.0009,-0.00071,0.00404,-0.0009,-0.00071,0.00404
TOD200ITA,EURA14,2010-08-08 11:59:00,-0.0032500000000000003,-0.001185,0.003915,-0.0032500000000000003,-0.001185,0.003915
TOD200ITA,EURA14,2010-08-09 11:59:00,-0.0056,-0.00166,0.00379,-0.0056,-0.00166,0.00379
TOD200ITA,EURA14,2010-08-10 11:59:00,-0.00278,-0.00234,0.00281,-0.00278,-0.00234,0.00281
TOD200ITA,EURA14,2010-08-11 11:59:00,-0.00807,-0.00433,0.00567,-0.00807,-0.00433,0.00567
TOD200ITA,EURA14,2010-08-12 11:59:00,-0.00363,-0.00245,0.01033,-0.00363,-0.00245,0.01033
TOD200ITA,EURA14,2010-08-13 11:59:00,-0.00228,-0.00326,0.00939,-0.00228,-0.00326,0.00939
TOD200ITA,EURA14,2010-08-14 11:59:00,-0.00234,-0.00187,0.01131,-0.00234,-0.00187,0.01131
TOD200ITA,EURA14,2010-08-15 11:59:00,-0.00387,-0.00056,0.00894,-0.00387,-0.00056,0.00894
TOD200ITA,EURA14,2010-08-16 11:59:00,-0.00509,-0.00269,-0.00351,-0.00509,-0.00269,-0.00351
TOD200ITA,EURA14,2010-08-17 11:59:00,-0.00401,-0.00303,-0.00271,-0.00401,-0.00303,-0.00271
TOD200ITA,EURA14,2010-08-18 11:59:00,-0.00302,-0.00168,0.00261,-0.00302,-0.00168,0.00261
