marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
UNPG00ITA,EURA14,1997-10-07 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
UNPG00ITA,EURA14,1997-10-08 11:59:00,0.00277,-0.00126,0.00603,0.00277,-0.00126,0.00603
UNPG00ITA,EURA14,1997-10-09 11:59:00,0.00178,-0.00179,0.00537,0.00178,-0.00179,0.00537
UNPG00ITA,EURA14,1997-10-10 11:59:00,0.00024,-0.00341,0.01346,0.00024,-0.00341,0.01346
UNPG00ITA,EURA14,1997-10-14 11:59:00,0.00366,0.00062,-0.00073,0.00366,0.00062,-0.00073
UNPG00ITA,EURA14,1997-10-15 11:59:00,0.00183,-0.00228,0.01555,0.00183,-0.00228,0.01555
UNPG00ITA,EURA14,1997-10-16 11:59:00,0.00182,-0.00223,0.01103,0.00182,-0.00223,0.01103
UNPG00ITA,EURA14,1997-10-17 11:59:00,0.00191,-0.00226,0.01358,0.00191,-0.00226,0.01358
UNPG00ITA,EURA14,1997-10-18 11:59:00,0.00171,-0.00228,0.00911,0.00171,-0.00228,0.00911
UNPG00ITA,EURA14,1997-10-19 11:59:00,0.00146,-0.00216,0.01369,0.00146,-0.00216,0.01369
UNPG00ITA,EURA14,1997-10-20 11:59:00,0.00143,-0.00233,0.01178,0.00143,-0.00233,0.01178
UNPG00ITA,EURA14,1997-10-21 11:59:00,0.00156,-0.00154,0.01395,0.00156,-0.00154,0.01395
UNPG00ITA,EURA14,1997-10-22 11:59:00,0.00241,-0.002,0.01522,0.00241,-0.002,0.01522
UNPG00ITA,EURA14,1997-10-23 11:59:00,0.0008349999999999996,-0.00112,0.009165,0.0008349999999999996,-0.00112,0.009165
UNPG00ITA,EURA14,1997-10-24 11:59:00,-0.00074,-0.00024,0.00311,-0.00074,-0.00024,0.00311
UNPG00ITA,EURA14,1997-10-25 11:59:00,0.00294,-0.00316,0.01305,0.00294,-0.00316,0.01305
UNPG00ITA,EURA14,1997-10-26 11:59:00,0.00147,-0.00218,0.01237,0.00147,-0.00218,0.01237
UNPG00ITA,EURA14,1997-10-27 11:59:00,0.00206,-0.00338,0.01917,0.00206,-0.00338,0.01917
UNPG00ITA,EURA14,1997-10-28 11:59:00,0.00202,-0.00259,0.01069,0.00202,-0.00259,0.01069
UNPG00ITA,EURA14,1997-10-29 11:59:00,0.0017,-0.00267,0.01517,0.0017,-0.00267,0.01517
UNPG00ITA,EURA14,1997-10-30 11:59:00,0.00197,-0.00243,0.00721,0.00197,-0.00243,0.00721
UNPG00ITA,EURA14,1997-10-31 11:59:00,0.0026,-0.00177,0.00847,0.0026,-0.00177,0.00847
UNPG00ITA,EURA14,1997-11-01 11:59:00,0.0022,-0.00246,0.01129,0.0022,-0.00246,0.01129
UNPG00ITA,EURA14,1997-11-02 11:59:00,0.0025,-0.00237,0.01066,0.0025,-0.00237,0.01066
UNPG00ITA,EURA14,1997-11-03 11:59:00,0.00306,0.00143,0.00517,0.00306,0.00143,0.00517
UNPG00ITA,EURA14,1997-11-04 11:59:00,0.00157,-0.00161,0.00991,0.00157,-0.00161,0.00991
UNPG00ITA,EURA14,1997-11-05 11:59:00,0.00229,-0.00082,0.00733,0.00229,-0.00082,0.00733
UNPG00ITA,EURA14,1997-11-06 11:59:00,0.0024,-0.00211,0.00976,0.0024,-0.00211,0.00976
UNPG00ITA,EURA14,1997-11-07 11:59:00,0.00257,-0.00081,0.01101,0.00257,-0.00081,0.01101
UNPG00ITA,EURA14,1997-11-08 11:59:00,0.00168,-0.00287,0.00886,0.00168,-0.00287,0.00886
UNPG00ITA,EURA14,1997-11-09 11:59:00,0.00199,-0.00099,0.00751,0.00199,-0.00099,0.00751
UNPG00ITA,EURA14,1997-11-10 11:59:00,0.00152,-0.00244,0.00677,0.00152,-0.00244,0.00677
UNPG00ITA,EURA14,1997-11-11 11:59:00,0.0035,-0.00329,0.00708,0.0035,-0.00329,0.00708
UNPG00ITA,EURA14,1997-11-12 11:59:00,0.00175,-0.00147,0.00971,0.00175,-0.00147,0.00971
UNPG00ITA,EURA14,1997-11-13 11:59:00,-0.00073,-0.00155,0.00432,-0.00073,-0.00155,0.00432
UNPG00ITA,EURA14,1997-11-14 11:59:00,0.00154,-0.0031,0.01135,0.00154,-0.0031,0.01135
UNPG00ITA,EURA14,1997-11-15 11:59:00,0.00186,-0.00339,0.00296,0.00186,-0.00339,0.00296
UNPG00ITA,EURA14,1997-11-16 11:59:00,0.00214,-0.0031349999999999998,0.004615,0.00214,-0.0031349999999999998,0.004615
UNPG00ITA,EURA14,1997-11-17 11:59:00,0.00242,-0.00288,0.00627,0.00242,-0.00288,0.00627
UNPG00ITA,EURA14,1997-11-18 11:59:00,0.00277,-0.00141,0.00958,0.00277,-0.00141,0.00958
UNPG00ITA,EURA14,1997-11-19 11:59:00,0.00077,-0.00077,-0.0017,0.00077,-0.00077,-0.0017
UNPG00ITA,EURA14,1997-11-20 11:59:00,0.00224,-0.0011,0.00268,0.00224,-0.0011,0.00268
UNPG00ITA,EURA14,1997-11-21 11:59:00,0.00221,-0.00292,0.01036,0.00221,-0.00292,0.01036
UNPG00ITA,EURA14,1997-11-22 11:59:00,0.00138,-0.00186,0.00397,0.00138,-0.00186,0.00397
UNPG00ITA,EURA14,1997-11-23 11:59:00,0.0022299999999999998,-0.0019649999999999997,0.004444999999999999,0.0022299999999999998,-0.0019649999999999997,0.004444999999999999
UNPG00ITA,EURA14,1997-11-24 11:59:00,0.00308,-0.00207,0.00492,0.00308,-0.00207,0.00492
UNPG00ITA,EURA14,1997-11-25 11:59:00,0.00206,-0.00201,-0.00088,0.00206,-0.00201,-0.00088
UNPG00ITA,EURA14,1997-11-26 11:59:00,0.001775,-0.0019450000000000001,0.003975,0.001775,-0.0019450000000000001,0.003975
UNPG00ITA,EURA14,1997-11-27 11:59:00,0.00149,-0.00188,0.00883,0.00149,-0.00188,0.00883
UNPG00ITA,EURA14,1997-11-28 11:59:00,0.00168,-0.00293,0.00872,0.00168,-0.00293,0.00872
UNPG00ITA,EURA14,1997-11-29 11:59:00,0.001565,-0.00265,0.00864,0.001565,-0.00265,0.00864
UNPG00ITA,EURA14,1997-11-30 11:59:00,0.00145,-0.00237,0.00856,0.00145,-0.00237,0.00856
UNPG00ITA,EURA14,1997-12-01 11:59:00,0.00171,-0.00258,0.00575,0.00171,-0.00258,0.00575
