marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
UPG200ITA,EURA14,2004-06-01 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
UPG200ITA,EURA14,2004-06-02 11:59:00,0.00052,-0.0008,0.00138,0.00052,-0.0008,0.00138
UPG200ITA,EURA14,2004-06-03 11:59:00,0.00022,-0.00111,0.00074,0.00022,-0.00111,0.00074
UPG200ITA,EURA14,2004-06-04 11:59:00,0.00223,0.00149,-0.00389,0.00223,0.00149,-0.00389
UPG200ITA,EURA14,2004-06-05 11:59:00,-0.00152,-0.00015,0.00769,-0.00152,-0.00015,0.00769
UPG200ITA,EURA14,2004-06-06 11:59:00,0.0016,-0.00057,-0.00158,0.0016,-0.00057,-0.00158
UPG200ITA,EURA14,2004-06-07 11:59:00,0.00028,0.00096,-0.00445,0.00028,0.00096,-0.00445
UPG200ITA,EURA14,2004-06-08 11:59:00,-0.00059,0.00046,-0.00552,-0.00059,0.00046,-0.00552
UPG200ITA,EURA14,2004-06-09 11:59:00,-0.00037,-0.00018,0.00307,-0.00037,-0.00018,0.00307
UPG200ITA,EURA14,2004-06-10 11:59:00,-0.00225,-0.00215,-0.00506,-0.00225,-0.00215,-0.00506
UPG200ITA,EURA14,2004-06-11 11:59:00,-0.00102,0.00247,-0.00052,-0.00102,0.00247,-0.00052
UPG200ITA,EURA14,2004-06-12 11:59:00,0.00173,-0.00027,0.00631,0.00173,-0.00027,0.00631
UPG200ITA,EURA14,2004-06-13 11:59:00,-0.00157,-0.00042,0.00092,-0.00157,-0.00042,0.00092
UPG200ITA,EURA14,2004-06-14 11:59:00,0.00355,0.00026,0.00039,0.00355,0.00026,0.00039
UPG200ITA,EURA14,2004-06-15 11:59:00,0.00056,-0.00133,-0.00863,0.00056,-0.00133,-0.00863
UPG200ITA,EURA14,2004-06-16 11:59:00,-0.00026,-0.00023,0.00129,-0.00026,-0.00023,0.00129
UPG200ITA,EURA14,2004-06-17 11:59:00,0.00245,-0.00498,0.01508,0.00245,-0.00498,0.01508
UPG200ITA,EURA14,2004-06-18 11:59:00,0.00151,-0.00083,-0.00444,0.00151,-0.00083,-0.00444
UPG200ITA,EURA14,2004-06-19 11:59:00,0.00241,0.00158,0.00737,0.00241,0.00158,0.00737
UPG200ITA,EURA14,2004-06-20 11:59:00,0.00198,-0.00124,0.0039,0.00198,-0.00124,0.0039
UPG200ITA,EURA14,2004-06-21 11:59:00,0.00016,0.00036,-0.00576,0.00016,0.00036,-0.00576
UPG200ITA,EURA14,2004-06-22 11:59:00,0.00029,-7e-05,-0.00118,0.00029,-7e-05,-0.00118
UPG200ITA,EURA14,2004-06-23 11:59:00,-0.00019,-0.00115,0.00397,-0.00019,-0.00115,0.00397
UPG200ITA,EURA14,2004-06-24 11:59:00,-0.00037,-0.00047,0.0162,-0.00037,-0.00047,0.0162
UPG200ITA,EURA14,2004-06-25 11:59:00,-0.00102,-0.0018,0.01437,-0.00102,-0.0018,0.01437
UPG200ITA,EURA14,2004-06-26 11:59:00,0.00212,0.00021,0.00153,0.00212,0.00021,0.00153
UPG200ITA,EURA14,2004-06-27 11:59:00,-0.001,0.00047,-0.00228,-0.001,0.00047,-0.00228
UPG200ITA,EURA14,2004-06-28 11:59:00,-0.00105,0.00024,-0.00089,-0.00105,0.00024,-0.00089
UPG200ITA,EURA14,2004-06-29 11:59:00,-0.00066,0.00145,0.01427,-0.00066,0.00145,0.01427
UPG200ITA,EURA14,2004-06-30 11:59:00,-0.00074,-0.00323,0.00572,-0.00074,-0.00323,0.00572
UPG200ITA,EURA14,2004-07-01 11:59:00,-0.00128,-0.00029,0.00476,-0.00128,-0.00029,0.00476
UPG200ITA,EURA14,2004-07-02 11:59:00,0.00129,0.00106,-0.00092,0.00129,0.00106,-0.00092
UPG200ITA,EURA14,2004-07-03 11:59:00,0.00043,-0.00144,0.01412,0.00043,-0.00144,0.01412
UPG200ITA,EURA14,2004-07-04 11:59:00,-0.00091,0.00059,-0.00121,-0.00091,0.00059,-0.00121
UPG200ITA,EURA14,2004-07-05 11:59:00,-0.0026,0.0002,0.00293,-0.0026,0.0002,0.00293
UPG200ITA,EURA14,2004-07-06 11:59:00,-0.00138,-0.00016,-0.00327,-0.00138,-0.00016,-0.00327
UPG200ITA,EURA14,2004-07-07 11:59:00,-0.00075,-0.00158,0.00091,-0.00075,-0.00158,0.00091
UPG200ITA,EURA14,2004-07-08 11:59:00,0.00116,-0.00176,0.01134,0.00116,-0.00176,0.01134
UPG200ITA,EURA14,2004-07-09 11:59:00,-0.00021,0.00022,0.01757,-0.00021,0.00022,0.01757
UPG200ITA,EURA14,2004-07-10 11:59:00,-0.00222,-0.00092,0.01062,-0.00222,-0.00092,0.01062
UPG200ITA,EURA14,2004-07-11 11:59:00,-0.00051,0.00128,0.00433,-0.00051,0.00128,0.00433
UPG200ITA,EURA14,2004-07-12 11:59:00,-0.00015,-0.00246,-0.00141,-0.00015,-0.00246,-0.00141
UPG200ITA,EURA14,2004-07-13 11:59:00,-0.00139,-0.00191,0.00085,-0.00139,-0.00191,0.00085
UPG200ITA,EURA14,2004-07-14 11:59:00,0.00107,-0.00151,0.00886,0.00107,-0.00151,0.00886
UPG200ITA,EURA14,2004-07-15 11:59:00,-0.00125,-0.00082,0.00438,-0.00125,-0.00082,0.00438
UPG200ITA,EURA14,2004-07-16 11:59:00,0.00023,-0.00055,0.01107,0.00023,-0.00055,0.01107
