marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ZAGA00ITA,EURA14,2012-01-20 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ZAGA00ITA,EURA14,2012-01-21 11:59:00,-6e-05,-0.00045,-0.00228,-6e-05,-0.00045,-0.00228
ZAGA00ITA,EURA14,2012-01-22 11:59:00,0.00067,-0.00093,0.00247,0.00067,-0.00093,0.00247
ZAGA00ITA,EURA14,2012-01-23 11:59:00,-0.00126,-0.00148,0.00399,-0.00126,-0.00148,0.00399
ZAGA00ITA,EURA14,2012-01-24 11:59:00,-0.0008,-9e-05,0.00307,-0.0008,-9e-05,0.00307
ZAGA00ITA,EURA14,2012-01-25 11:59:00,-0.00222,0.00027,0.00197,-0.00222,0.00027,0.00197
ZAGA00ITA,EURA14,2012-01-26 11:59:00,-0.00066,-0.00121,-0.00435,-0.00066,-0.00121,-0.00435
ZAGA00ITA,EURA14,2012-01-27 11:59:00,-0.00072,-0.00122,-0.00454,-0.00072,-0.00122,-0.00454
ZAGA00ITA,EURA14,2012-01-28 11:59:00,-0.00091,-0.00052,-0.0009,-0.00091,-0.00052,-0.0009
ZAGA00ITA,EURA14,2012-01-29 11:59:00,-0.00078,-0.00028,0.00036,-0.00078,-0.00028,0.00036
ZAGA00ITA,EURA14,2012-01-30 11:59:00,-0.00133,-0.00039,0.00054,-0.00133,-0.00039,0.00054
ZAGA00ITA,EURA14,2012-01-31 11:59:00,-0.00154,-0.00049,-0.00212,-0.00154,-0.00049,-0.00212
ZAGA00ITA,EURA14,2012-02-01 11:59:00,-0.00026499999999999983,-0.00011999999999999999,-0.0005300000000000001,-0.00026499999999999983,-0.00011999999999999999,-0.0005300000000000001
ZAGA00ITA,EURA14,2012-02-02 11:59:00,0.00101,0.00025,0.00106,0.00101,0.00025,0.00106
ZAGA00ITA,EURA14,2012-02-03 11:59:00,0.00083,-0.00874,-0.01627,0.00083,-0.00874,-0.01627
ZAGA00ITA,EURA14,2012-02-04 11:59:00,0.00555,-0.0069,-0.00694,0.00555,-0.0069,-0.00694
ZAGA00ITA,EURA14,2012-02-05 11:59:00,0.00246,-0.00023,0.00286,0.00246,-0.00023,0.00286
ZAGA00ITA,EURA14,2012-02-06 11:59:00,0.0018,0.00025,0.0019,0.0018,0.00025,0.0019
ZAGA00ITA,EURA14,2012-02-07 11:59:00,0.00224,-0.00033,0.0054,0.00224,-0.00033,0.0054
ZAGA00ITA,EURA14,2012-02-08 11:59:00,0.00281,-0.00103,-0.00138,0.00281,-0.00103,-0.00138
ZAGA00ITA,EURA14,2012-02-09 11:59:00,0.0038,-0.00078,-0.00286,0.0038,-0.00078,-0.00286
ZAGA00ITA,EURA14,2012-02-10 11:59:00,-0.0061,0.00182,0.01193,-0.0061,0.00182,0.01193
ZAGA00ITA,EURA14,2012-02-11 11:59:00,-0.00439,0.00051,-0.00759,-0.00439,0.00051,-0.00759
ZAGA00ITA,EURA14,2012-02-12 11:59:00,0.00355,-0.00041,-0.00416,0.00355,-0.00041,-0.00416
ZAGA00ITA,EURA14,2012-02-13 11:59:00,0.00379,-0.00066,-0.00153,0.00379,-0.00066,-0.00153
