marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
GVNL00ITA,EURA14,2024-04-27 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
GVNL00ITA,EURA14,2024-04-28 11:59:00,-0.00316,0.00014,0.00751,-0.00316,0.00014,0.00751
GVNL00ITA,EURA14,2024-04-29 11:59:00,-0.00201,0.00209,0.00252,-0.00201,0.00209,0.00252
GVNL00ITA,EURA14,2024-05-31 11:59:00,-0.0043,0.00988,0.00523,-0.004356720430107527,0.0023053225806451607,0.021207365591397846
GVNL00ITA,EURA14,2024-06-01 11:59:00,-0.00096,0.00728,0.003,-0.001016720430107527,-0.0002946774193548392,0.018977365591397847
GVNL00ITA,EURA14,2024-06-02 11:59:00,0.00064,0.00316,-0.01752,0.0005832795698924731,-0.00441467741935484,-0.0015426344086021532
GVNL00ITA,EURA14,2024-06-03 11:59:00,-0.00356,0.00378,-0.01294,-0.0036167204301075268,-0.0037946774193548393,0.0030373655913978476
GVNL00ITA,EURA14,2024-06-04 11:59:00,0.00189,0.00798,-0.01695,0.001833279569892473,0.00040532258064516005,-0.0009726344086021521
GVNL00ITA,EURA14,2024-06-05 11:59:00,-0.00234,0.00731,-0.01558,-0.002396720430107527,-0.00026467741935483954,0.0003973655913978476
GVNL00ITA,EURA14,2024-06-06 11:59:00,-0.0026,0.00971,-0.01509,-0.002656720430107527,0.0021353225806451607,0.0008873655913978484
GVNL00ITA,EURA14,2024-06-07 11:59:00,-0.00286,0.01017,-0.02569,-0.002916720430107527,0.002595322580645161,-0.009712634408602153
GVNL00ITA,EURA14,2024-06-08 11:59:00,-0.00163,0.00445,-0.01429,-0.001686720430107527,-0.0031246774193548392,0.001687365591397847
GVNL00ITA,EURA14,2024-06-09 11:59:00,-0.00218,0.00318,-0.01363,-0.002236720430107527,-0.004394677419354839,0.002347365591397848
GVNL00ITA,EURA14,2024-06-10 11:59:00,-0.00383,0.00472,-0.01844,-0.003886720430107527,-0.002854677419354839,-0.002462634408602154
GVNL00ITA,EURA14,2024-06-11 11:59:00,-0.00335,0.00343,-0.00827,-0.003406720430107527,-0.004144677419354839,0.007707365591397848
GVNL00ITA,EURA14,2024-06-12 11:59:00,-0.00561,0.00824,-0.01271,-0.005666720430107528,0.0006653225806451616,0.003267365591397847
GVNL00ITA,EURA14,2024-06-13 11:59:00,-0.00341,0.00752,-0.02029,-0.003466720430107527,-5.467741935483942e-05,-0.004312634408602151
GVNL00ITA,EURA14,2024-06-14 11:59:00,-0.00688,0.0085,-0.02477,-0.006936720430107527,0.0009253225806451614,-0.008792634408602153
GVNL00ITA,EURA14,2024-06-15 11:59:00,-0.00419,0.01229,-0.02268,-0.0042467204301075276,0.004715322580645161,-0.006702634408602151
GVNL00ITA,EURA14,2024-06-16 11:59:00,-0.00239,0.01097,-0.01795,-0.002446720430107527,0.0033953225806451614,-0.001972634408602153
GVNL00ITA,EURA14,2024-06-17 11:59:00,-0.00263,0.00751,-0.03055,-0.002686720430107527,-6.467741935483901e-05,-0.014572634408602153
GVNL00ITA,EURA14,2024-06-18 11:59:00,-0.00328,0.01098,-0.0418,-0.003336720430107527,0.003405322580645161,-0.02582263440860215
GVNL00ITA,EURA14,2024-06-19 11:59:00,-0.00347,0.00631,-0.029,-0.003526720430107527,-0.0012646774193548396,-0.013022634408602154
GVNL00ITA,EURA14,2024-06-20 11:59:00,-0.00025,0.00783,-0.01504,-0.000306720430107527,0.00025532258064516096,0.0009373655913978481
