marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ANCN01ITA,EURA14,2020-04-19 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ANCN01ITA,EURA14,2020-04-20 11:59:00,0.00091,0.00065,0.00135,0.00091,0.00065,0.00135
ANCN01ITA,EURA14,2020-04-21 11:59:00,0.00207,0.00039,-0.0003,0.00207,0.00039,-0.0003
ANCN01ITA,EURA14,2020-04-22 11:59:00,-0.00077,0.00019,-0.00917,-0.00077,0.00019,-0.00917
ANCN01ITA,EURA14,2020-04-23 11:59:00,0.00118,0.00063,-0.00293,0.00118,0.00063,-0.00293
ANCN01ITA,EURA14,2020-04-24 11:59:00,-0.00017,-0.00023,-0.0042,-0.00017,-0.00023,-0.0042
ANCN01ITA,EURA14,2020-04-25 11:59:00,0.00092,-0.00134,0.0009,0.00092,-0.00134,0.0009
ANCN01ITA,EURA14,2020-04-26 11:59:00,0.00055,-0.0006,0.00111,0.00055,-0.0006,0.00111
ANCN01ITA,EURA14,2020-04-29 11:59:00,0.00017,0.00105,-0.00723,0.00017,0.00105,-0.00723
ANCN01ITA,EURA14,2020-04-30 11:59:00,0.00216,0.00077,-0.00212,0.00216,0.00077,-0.00212
ANCN01ITA,EURA14,2020-05-01 11:59:00,-0.00093,0.00044,-0.00075,-0.00093,0.00044,-0.00075
ANCN01ITA,EURA14,2020-05-02 11:59:00,0.00064,-0.00092,-0.00415,0.00064,-0.00092,-0.00415
ANCN01ITA,EURA14,2020-05-03 11:59:00,0.00121,0.00055,-0.00761,0.00121,0.00055,-0.00761
ANCN01ITA,EURA14,2020-05-04 11:59:00,0.00182,0.00033,-0.00656,0.00182,0.00033,-0.00656
ANCN01ITA,EURA14,2020-05-05 11:59:00,0.00115,-7e-05,-0.00352,0.00115,-7e-05,-0.00352
ANCN01ITA,EURA14,2020-05-06 11:59:00,0.00148,0.00115,-0.00555,0.00148,0.00115,-0.00555
ANCN01ITA,EURA14,2020-05-07 11:59:00,0.00185,0.00028,-0.00116,0.00185,0.00028,-0.00116
ANCN01ITA,EURA14,2020-05-08 11:59:00,0.00197,0.00014,-0.00722,0.00197,0.00014,-0.00722
ANCN01ITA,EURA14,2020-05-09 11:59:00,0.00152,0.00037,-0.00434,0.00152,0.00037,-0.00434
ANCN01ITA,EURA14,2020-05-10 11:59:00,0.00146,-0.00107,-0.00292,0.00146,-0.00107,-0.00292
ANCN01ITA,EURA14,2020-05-11 11:59:00,-0.00135,-0.00032,0.00105,-0.00135,-0.00032,0.00105
ANCN01ITA,EURA14,2020-05-12 11:59:00,0.00044,-0.00039,-0.00557,0.00044,-0.00039,-0.00557
ANCN01ITA,EURA14,2020-05-13 11:59:00,0.00395,0.00033,-0.00704,0.00395,0.00033,-0.00704
ANCN01ITA,EURA14,2020-05-14 11:59:00,0.00184,-0.00011,0.00261,0.00184,-0.00011,0.00261
ANCN01ITA,EURA14,2020-05-15 11:59:00,0.00046,-0.00381,-0.00019,0.00046,-0.00381,-0.00019
ANCN01ITA,EURA14,2020-05-16 11:59:00,0.0022,-0.00049,-0.00094,0.0022,-0.00049,-0.00094
ANCN01ITA,EURA14,2020-05-17 11:59:00,0.00206,-0.00158,-0.0039,0.00206,-0.00158,-0.0039
ANCN01ITA,EURA14,2020-05-18 11:59:00,0.00288,-0.00159,0.00056,0.00288,-0.00159,0.00056
ANCN01ITA,EURA14,2020-05-19 11:59:00,-0.00038,-0.00044,-0.00917,-0.00038,-0.00044,-0.00917
ANCN01ITA,EURA14,2020-05-20 11:59:00,0.00188,-8e-05,-5e-05,0.00188,-8e-05,-5e-05
ANCN01ITA,EURA14,2020-05-21 11:59:00,0.00104,0.0002,-0.00116,0.00104,0.0002,-0.00116
ANCN01ITA,EURA14,2020-05-22 11:59:00,0.00162,-0.00069,-0.00164,0.00162,-0.00069,-0.00164
ANCN01ITA,EURA14,2020-05-23 11:59:00,0.00229,-0.00012,-0.00269,0.00229,-0.00012,-0.00269
ANCN01ITA,EURA14,2020-05-24 11:59:00,-0.00046,0.00188,-0.01617,-0.00046,0.00188,-0.01617
ANCN01ITA,EURA14,2020-05-25 11:59:00,0.00194,0.00037,-0.00045,0.00194,0.00037,-0.00045
ANCN01ITA,EURA14,2020-05-26 11:59:00,0.00167,0.00056,-0.00166,0.00167,0.00056,-0.00166
ANCN01ITA,EURA14,2020-05-27 11:59:00,0.00129,0.00044,-0.00308,0.00129,0.00044,-0.00308
ANCN01ITA,EURA14,2020-05-28 11:59:00,0.0012,0.00124,-0.00186,0.0012,0.00124,-0.00186
ANCN01ITA,EURA14,2020-05-29 11:59:00,0.0011,2e-05,0.00318,0.0011,2e-05,0.00318
ANCN01ITA,EURA14,2020-05-30 11:59:00,0.00237,0.00064,0.00337,0.00237,0.00064,0.00337
ANCN01ITA,EURA14,2020-05-31 11:59:00,0.00154,8e-05,0.00227,0.00154,8e-05,0.00227
ANCN01ITA,EURA14,2020-06-01 11:59:00,0.0019,0.00053,-0.00138,0.0019,0.00053,-0.00138
ANCN01ITA,EURA14,2020-06-02 11:59:00,0.00112,-0.0002,0.0014,0.00112,-0.0002,0.0014
ANCN01ITA,EURA14,2020-06-05 11:59:00,0.00098,-0.00126,0.00353,0.00098,-0.00126,0.00353
ANCN01ITA,EURA14,2020-06-09 11:59:00,0.00172,-0.00071,-0.00316,0.00172,-0.00071,-0.00316
ANCN01ITA,EURA14,2020-06-10 11:59:00,0.00141,0.0002,-0.00028,0.00141,0.0002,-0.00028
ANCN01ITA,EURA14,2020-06-11 11:59:00,0.00041,-0.00137,-0.00361,0.00041,-0.00137,-0.00361
ANCN01ITA,EURA14,2020-06-12 11:59:00,-0.00064,-0.00059,-0.00596,-0.00064,-0.00059,-0.00596
ANCN01ITA,EURA14,2020-06-13 11:59:00,0.00012,-0.00266,0.00038,0.00012,-0.00266,0.00038
ANCN01ITA,EURA14,2020-06-14 11:59:00,0.00047,-0.00142,-0.01263,0.00047,-0.00142,-0.01263
ANCN01ITA,EURA14,2020-06-15 11:59:00,0.00201,-0.00057,0.00047,0.00201,-0.00057,0.00047
ANCN01ITA,EURA14,2020-06-16 11:59:00,0.00202,-9e-05,-0.00492,0.00202,-9e-05,-0.00492
ANCN01ITA,EURA14,2020-06-17 11:59:00,0.00026,-0.00165,-0.00878,0.00026,-0.00165,-0.00878
