marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ASCO00ITA,EURA14,2012-01-20 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ASCO00ITA,EURA14,2012-01-21 11:59:00,0.00183,0.00275,0.00504,0.00183,0.00275,0.00504
ASCO00ITA,EURA14,2012-01-22 11:59:00,0.00151,0.00134,0.00116,0.00151,0.00134,0.00116
ASCO00ITA,EURA14,2012-01-23 11:59:00,0.00059,0.0026,0.00424,0.00059,0.0026,0.00424
ASCO00ITA,EURA14,2012-01-24 11:59:00,0.00182,0.00125,0.00147,0.00182,0.00125,0.00147
ASCO00ITA,EURA14,2012-01-25 11:59:00,0.00099,0.00392,0.00051,0.00099,0.00392,0.00051
ASCO00ITA,EURA14,2012-01-26 11:59:00,0.00191,0.00215,0.00153,0.00191,0.00215,0.00153
ASCO00ITA,EURA14,2012-01-27 11:59:00,0.00038,0.00251,-0.0007,0.00038,0.00251,-0.0007
ASCO00ITA,EURA14,2012-01-31 11:59:00,0.00079,0.00176,0.00154,0.00079,0.00176,0.00154
ASCO00ITA,EURA14,2012-02-01 11:59:00,0.00072,0.00168,0.00114,0.00072,0.00168,0.00114
ASCO00ITA,EURA14,2012-02-02 11:59:00,0.00183,0.00044,-0.00125,0.00183,0.00044,-0.00125
ASCO00ITA,EURA14,2012-02-03 11:59:00,0.0086,-0.00606,0.00042,0.0086,-0.00606,0.00042
ASCO00ITA,EURA14,2012-02-04 11:59:00,0.00702,-0.00193,-0.00464,0.00702,-0.00193,-0.00464
ASCO00ITA,EURA14,2012-02-05 11:59:00,0.00088,0.00081,0.00076,0.00088,0.00081,0.00076
ASCO00ITA,EURA14,2012-02-06 11:59:00,0.00097,0.00156,0.00466,0.00097,0.00156,0.00466
ASCO00ITA,EURA14,2012-02-07 11:59:00,0.001195,0.00196,0.002905,0.001195,0.00196,0.002905
ASCO00ITA,EURA14,2012-02-08 11:59:00,0.00142,0.00236,0.00115,0.00142,0.00236,0.00115
ASCO00ITA,EURA14,2012-02-09 11:59:00,0.00136,0.00217,-0.00094,0.00136,0.00217,-0.00094
ASCO00ITA,EURA14,2012-02-10 11:59:00,0.00566,-0.0019,-0.00193,0.00566,-0.0019,-0.00193
ASCO00ITA,EURA14,2012-02-11 11:59:00,0.0026,-0.00198,0.00127,0.0026,-0.00198,0.00127
ASCO00ITA,EURA14,2012-02-12 11:59:00,0.00276,0.00134,-0.00031,0.00276,0.00134,-0.00031
ASCO00ITA,EURA14,2012-02-13 11:59:00,0.00068,0.00053,0.0035,0.00068,0.00053,0.0035
ASCO00ITA,EURA14,2012-02-14 11:59:00,0.00033,0.00035,0.00208,0.00033,0.00035,0.00208
ASCO00ITA,EURA14,2012-02-15 11:59:00,0.00218,-0.00078,-7e-05,0.00218,-0.00078,-7e-05
ASCO00ITA,EURA14,2012-02-16 11:59:00,0.00117,0.0003,0.0059,0.00117,0.0003,0.0059
ASCO00ITA,EURA14,2012-02-17 11:59:00,0.00146,0.00127,0.00198,0.00146,0.00127,0.00198
ASCO00ITA,EURA14,2012-02-18 11:59:00,0.00314,0.00074,-0.00062,0.00314,0.00074,-0.00062
ASCO00ITA,EURA14,2012-02-19 11:59:00,0.00244,0.00122,-0.00081,0.00244,0.00122,-0.00081
ASCO00ITA,EURA14,2012-02-20 11:59:00,0.00137,0.00113,-0.00027,0.00137,0.00113,-0.00027
ASCO00ITA,EURA14,2012-02-21 11:59:00,0.00121,0.00151,-0.00209,0.00121,0.00151,-0.00209
ASCO00ITA,EURA14,2012-02-22 11:59:00,0.00215,0.00141,-0.00132,0.00215,0.00141,-0.00132
ASCO00ITA,EURA14,2012-02-23 11:59:00,0.00199,0.00182,-0.00018,0.00199,0.00182,-0.00018
ASCO00ITA,EURA14,2012-02-24 11:59:00,0.00175,0.00191,-0.00266,0.00175,0.00191,-0.00266
ASCO00ITA,EURA14,2012-02-25 11:59:00,0.00048,0.00101,1e-05,0.00048,0.00101,1e-05
ASCO00ITA,EURA14,2012-02-26 11:59:00,0.00105,0.00093,0.00356,0.00105,0.00093,0.00356
ASCO00ITA,EURA14,2012-02-27 11:59:00,-0.00023,0.00268,-0.0012,-0.00023,0.00268,-0.0012
ASCO00ITA,EURA14,2012-02-28 11:59:00,0.00146,0.00092,0.00088,0.00146,0.00092,0.00088
ASCO00ITA,EURA14,2012-02-29 11:59:00,0.00194,0.00224,0.00358,0.00194,0.00224,0.00358
ASCO00ITA,EURA14,2012-03-01 11:59:00,0.00198,0.00254,-0.00313,0.00198,0.00254,-0.00313
ASCO00ITA,EURA14,2012-03-02 11:59:00,0.00256,0.00164,-0.00213,0.00256,0.00164,-0.00213
ASCO00ITA,EURA14,2012-03-03 11:59:00,0.00114,0.00192,0.00241,0.00114,0.00192,0.00241
ASCO00ITA,EURA14,2012-03-04 11:59:00,0.00171,0.00212,-0.00102,0.00171,0.00212,-0.00102
ASCO00ITA,EURA14,2012-03-05 11:59:00,0.00015,0.00045,0.006,0.00015,0.00045,0.006
ASCO00ITA,EURA14,2012-03-06 11:59:00,0.00234,0.00241,0.00382,0.00234,0.00241,0.00382
ASCO00ITA,EURA14,2012-03-07 11:59:00,0.00168,0.00169,-0.00201,0.00168,0.00169,-0.00201
ASCO00ITA,EURA14,2012-03-08 11:59:00,0.00213,0.0017,0.00097,0.00213,0.0017,0.00097
ASCO00ITA,EURA14,2012-03-09 11:59:00,0.00225,0.00178,-0.00118,0.00225,0.00178,-0.00118
ASCO00ITA,EURA14,2012-03-10 11:59:00,0.00179,0.00171,-0.00473,0.00179,0.00171,-0.00473
ASCO00ITA,EURA14,2012-03-11 11:59:00,0.0015,0.00246,-0.00031,0.0015,0.00246,-0.00031
ASCO00ITA,EURA14,2012-03-12 11:59:00,0.00145,0.00109,-0.00153,0.00145,0.00109,-0.00153
ASCO00ITA,EURA14,2012-03-13 11:59:00,0.0026,0.00113,-0.00103,0.0026,0.00113,-0.00103
ASCO00ITA,EURA14,2012-03-14 11:59:00,0.00306,0.00194,-0.00504,0.00306,0.00194,-0.00504
ASCO00ITA,EURA14,2012-03-15 11:59:00,0.00198,0.0015,-0.00357,0.00198,0.0015,-0.00357
ASCO00ITA,EURA14,2012-03-16 11:59:00,0.00153,0.00172,-0.00618,0.00153,0.00172,-0.00618
ASCO00ITA,EURA14,2012-03-17 11:59:00,0.00233,0.00089,-0.01012,0.00233,0.00089,-0.01012
ASCO00ITA,EURA14,2012-03-18 11:59:00,0.00024,0.00275,-0.00297,0.00024,0.00275,-0.00297
ASCO00ITA,EURA14,2012-03-19 11:59:00,0.00026,2e-05,-0.00302,0.00026,2e-05,-0.00302
ASCO00ITA,EURA14,2012-03-20 11:59:00,0.00254,0.00275,-0.00192,0.00254,0.00275,-0.00192
ASCO00ITA,EURA14,2012-03-21 11:59:00,0.0009,0.00255,-0.00379,0.0009,0.00255,-0.00379
ASCO00ITA,EURA14,2012-03-22 11:59:00,0.00163,0.00169,0.00067,0.00163,0.00169,0.00067
ASCO00ITA,EURA14,2012-03-23 11:59:00,0.00112,0.00174,-0.00085,0.00112,0.00174,-0.00085
ASCO00ITA,EURA14,2012-03-24 11:59:00,0.00211,0.00114,0.00297,0.00211,0.00114,0.00297
ASCO00ITA,EURA14,2012-03-25 11:59:00,0.00241,0.00229,-0.00101,0.00241,0.00229,-0.00101
ASCO00ITA,EURA14,2012-03-26 11:59:00,4e-05,0.00114,0.00041,4e-05,0.00114,0.00041
ASCO00ITA,EURA14,2012-03-27 11:59:00,0.00142,0.00096,-0.00481,0.00142,0.00096,-0.00481
ASCO00ITA,EURA14,2012-03-28 11:59:00,0.00099,0.00189,-0.00148,0.00099,0.00189,-0.00148
ASCO00ITA,EURA14,2012-03-29 11:59:00,0.00097,-0.00113,-0.00261,0.00097,-0.00113,-0.00261
ASCO00ITA,EURA14,2012-03-30 11:59:00,0.00154,0.00015,0.00158,0.00154,0.00015,0.00158
ASCO00ITA,EURA14,2012-03-31 11:59:00,5e-05,0.0003,0.00046,5e-05,0.0003,0.00046
ASCO00ITA,EURA14,2012-04-01 11:59:00,0.00218,-7e-05,-0.00405,0.00218,-7e-05,-0.00405
ASCO00ITA,EURA14,2012-04-02 11:59:00,0.00208,0.00244,-0.00344,0.00208,0.00244,-0.00344
ASCO00ITA,EURA14,2012-04-03 11:59:00,0.00203,0.00124,-0.00153,0.00203,0.00124,-0.00153
ASCO00ITA,EURA14,2012-04-04 11:59:00,0.00096,0.00317,-0.00356,0.00096,0.00317,-0.00356
ASCO00ITA,EURA14,2012-04-05 11:59:00,0.00195,0.00159,0.00155,0.00195,0.00159,0.00155
ASCO00ITA,EURA14,2012-04-06 11:59:00,0.0005,0.00197,-0.00088,0.0005,0.00197,-0.00088
ASCO00ITA,EURA14,2012-04-07 11:59:00,0.00126,-0.0003,0.00072,0.00126,-0.0003,0.00072
ASCO00ITA,EURA14,2012-04-08 11:59:00,0.00277,0.00131,0.0013,0.00277,0.00131,0.0013
ASCO00ITA,EURA14,2012-04-09 11:59:00,0.00271,0.00157,-0.00517,0.00271,0.00157,-0.00517
ASCO00ITA,EURA14,2012-04-10 11:59:00,0.00308,0.00206,-0.00291,0.00308,0.00206,-0.00291
ASCO00ITA,EURA14,2012-04-11 11:59:00,-0.00233,-0.00121,-0.00901,-0.00233,-0.00121,-0.00901
ASCO00ITA,EURA14,2012-04-12 11:59:00,0.00115,0.0014,-0.00428,0.00115,0.0014,-0.00428
ASCO00ITA,EURA14,2012-04-13 11:59:00,0.00355,0.00155,-0.00335,0.00355,0.00155,-0.00335
ASCO00ITA,EURA14,2012-04-14 11:59:00,0.00155,0.00046,-0.00019,0.00155,0.00046,-0.00019
ASCO00ITA,EURA14,2012-04-15 11:59:00,0.00184,0.00247,-3e-05,0.00184,0.00247,-3e-05
ASCO00ITA,EURA14,2012-04-16 11:59:00,0.002245,0.001985,-0.0029200000000000003,0.002245,0.001985,-0.0029200000000000003
ASCO00ITA,EURA14,2012-04-17 11:59:00,0.00265,0.0015,-0.00581,0.00265,0.0015,-0.00581
ASCO00ITA,EURA14,2012-04-18 11:59:00,0.00109,0.001685,-0.003575,0.00109,0.001685,-0.003575
ASCO00ITA,EURA14,2012-04-19 11:59:00,-0.00047,0.00187,-0.00134,-0.00047,0.00187,-0.00134
ASCO00ITA,EURA14,2012-04-20 11:59:00,-0.00113,0.0007,-0.00672,-0.00113,0.0007,-0.00672
ASCO00ITA,EURA14,2012-04-21 11:59:00,0.00094,-0.00102,-0.00203,0.00094,-0.00102,-0.00203
ASCO00ITA,EURA14,2012-04-22 11:59:00,0.00457,0.0004,-0.01222,0.00457,0.0004,-0.01222
ASCO00ITA,EURA14,2012-04-23 11:59:00,0.00312,0.00046,-0.00228,0.00312,0.00046,-0.00228
ASCO00ITA,EURA14,2012-04-24 11:59:00,0.00642,0.0063,0.00358,0.00642,0.0063,0.00358
ASCO00ITA,EURA14,2012-04-25 11:59:00,0.00259,0.00341,-0.0066,0.00259,0.00341,-0.0066
ASCO00ITA,EURA14,2012-04-26 11:59:00,0.00362,0.00342,-0.00835,0.00362,0.00342,-0.00835
ASCO00ITA,EURA14,2012-04-27 11:59:00,0.00321,0.00224,-0.00739,0.00321,0.00224,-0.00739
ASCO00ITA,EURA14,2012-04-28 11:59:00,0.00453,0.00169,-0.00532,0.00453,0.00169,-0.00532
ASCO00ITA,EURA14,2012-04-29 11:59:00,0.00094,0.00481,-0.00597,0.00094,0.00481,-0.00597
ASCO00ITA,EURA14,2012-04-30 11:59:00,0.00079,0.0035,-0.00455,0.00079,0.0035,-0.00455
ASCO00ITA,EURA14,2012-05-01 11:59:00,0.00103,0.00276,0.00151,0.00103,0.00276,0.00151
ASCO00ITA,EURA14,2012-05-02 11:59:00,0.00079,0.00409,-0.00342,0.00079,0.00409,-0.00342
ASCO00ITA,EURA14,2012-05-03 11:59:00,0.00142,0.00364,-0.00508,0.00142,0.00364,-0.00508
ASCO00ITA,EURA14,2012-05-04 11:59:00,0.00131,0.00261,-0.00514,0.00131,0.00261,-0.00514
ASCO00ITA,EURA14,2012-05-05 11:59:00,-0.00046,0.00299,-0.00215,-0.00046,0.00299,-0.00215
ASCO00ITA,EURA14,2012-05-06 11:59:00,0.00106,0.00264,-0.00164,0.00106,0.00264,-0.00164
ASCO00ITA,EURA14,2012-05-07 11:59:00,0.00179,0.00308,-0.00457,0.00179,0.00308,-0.00457
ASCO00ITA,EURA14,2012-05-08 11:59:00,0.00157,0.00285,-0.00521,0.00157,0.00285,-0.00521
ASCO00ITA,EURA14,2012-05-09 11:59:00,0.00118,0.00244,-0.00712,0.00118,0.00244,-0.00712
ASCO00ITA,EURA14,2012-05-10 11:59:00,0.00166,0.00139,-0.00153,0.00166,0.00139,-0.00153
ASCO00ITA,EURA14,2012-05-11 11:59:00,0.00162,0.00207,0.00022,0.00162,0.00207,0.00022
ASCO00ITA,EURA14,2012-05-12 11:59:00,0.00065,0.00198,-0.00206,0.00065,0.00198,-0.00206
ASCO00ITA,EURA14,2012-05-13 11:59:00,-2e-05,0.00344,-0.00909,-2e-05,0.00344,-0.00909
ASCO00ITA,EURA14,2012-05-14 11:59:00,0.00036,0.00126,-0.00163,0.00036,0.00126,-0.00163
ASCO00ITA,EURA14,2012-05-15 11:59:00,0.00118,0.00226,-0.00043,0.00118,0.00226,-0.00043
ASCO00ITA,EURA14,2012-05-16 11:59:00,0.00148,0.00332,0.00029,0.00148,0.00332,0.00029
ASCO00ITA,EURA14,2012-05-17 11:59:00,0.00251,0.00284,0.00164,0.00251,0.00284,0.00164
ASCO00ITA,EURA14,2012-05-26 11:59:00,0.0008,0.00338,-0.00319,0.0026978989669539225,0.005755379868348854,0.04160398366015122
ASCO00ITA,EURA14,2012-05-27 11:59:00,0.00269,0.00298,0.00139,0.004587898966953923,0.005355379868348854,0.04618398366015122
ASCO00ITA,EURA14,2012-05-28 11:59:00,0.00169,0.00151,-0.00569,0.0035878989669539227,0.003885379868348854,0.03910398366015122
ASCO00ITA,EURA14,2012-05-29 11:59:00,-0.0017399999999999998,0.001835,-0.033895,0.00015789896695392281,0.004210379868348854,0.01089898366015122
ASCO00ITA,EURA14,2012-05-30 11:59:00,-0.00517,0.00216,-0.0621,-0.0032721010330460775,0.004535379868348854,-0.01730601633984878
ASCO00ITA,EURA14,2012-05-31 11:59:00,0.0009649999999999997,0.0016099999999999999,-0.040209999999999996,0.0028628989669539223,0.003985379868348854,0.004583983660151225
ASCO00ITA,EURA14,2012-06-01 11:59:00,0.0071,0.00106,-0.01832,0.008997898966953924,0.0034353798683488543,0.02647398366015122
ASCO00ITA,EURA14,2012-06-02 11:59:00,0.00863,0.0044,0.02319,0.010527898966953924,0.006775379868348854,0.06798398366015122
ASCO00ITA,EURA14,2012-06-06 11:59:00,0.00263,0.00767,0.00931,0.004527898966953922,0.010045379868348855,0.05410398366015122
ASCO00ITA,EURA14,2012-06-07 11:59:00,0.00339,0.005,-0.00572,0.005287898966953922,0.007375379868348854,0.03907398366015122
ASCO00ITA,EURA14,2012-06-08 11:59:00,0.0026,0.00235,0.01727,0.0044978989669539225,0.004725379868348855,0.06206398366015122
ASCO00ITA,EURA14,2012-06-09 11:59:00,-0.00508,0.00153,-0.01172,-0.0031821010330460777,0.0039053798683488542,0.03307398366015122
ASCO00ITA,EURA14,2012-06-10 11:59:00,-0.0005399999999999997,0.002535,0.00037500000000000033,0.001357898966953923,0.004910379868348854,0.04516898366015122
ASCO00ITA,EURA14,2012-06-11 11:59:00,0.004,0.00354,0.01247,0.005897898966953923,0.005915379868348855,0.05726398366015122
ASCO00ITA,EURA14,2012-06-12 11:59:00,0.0037400000000000003,0.001575,0.02314,0.005637898966953923,0.003950379868348854,0.06793398366015121
ASCO00ITA,EURA14,2012-06-13 11:59:00,0.00348,-0.00039,0.03381,0.005377898966953922,0.001985379868348854,0.07860398366015123
ASCO00ITA,EURA14,2012-06-14 11:59:00,0.0047,0.00232,0.04311,0.006597898966953923,0.004695379868348854,0.08790398366015123
ASCO00ITA,EURA14,2012-06-15 11:59:00,-0.00939,0.00659,0.00742,-0.007492101033046078,0.008965379868348854,0.052213983660151224
ASCO00ITA,EURA14,2012-06-16 11:59:00,-0.00833,0.00652,-0.00392,-0.006432101033046078,0.008895379868348853,0.04087398366015122
ASCO00ITA,EURA14,2012-06-17 11:59:00,0.00278,0.00454,0.0183,0.004677898966953923,0.006915379868348854,0.06309398366015122
ASCO00ITA,EURA14,2012-06-18 11:59:00,0.00399,0.00407,0.02301,0.005887898966953922,0.006445379868348854,0.06780398366015122
ASCO00ITA,EURA14,2012-06-19 11:59:00,0.00216,0.00314,0.01102,0.004057898966953922,0.005515379868348854,0.05581398366015122
ASCO00ITA,EURA14,2012-06-20 11:59:00,0.00093,0.00373,0.00504,0.002827898966953923,0.006105379868348854,0.049833983660151224
ASCO00ITA,EURA14,2012-06-23 11:59:00,0.00538,0.00737,0.05566,0.007277898966953923,0.009745379868348853,0.10045398366015122
ASCO00ITA,EURA14,2012-06-24 11:59:00,0.0082,0.00547,0.03713,0.010097898966953924,0.007845379868348854,0.08192398366015122
ASCO00ITA,EURA14,2012-06-25 11:59:00,0.004675,0.00923,0.08880000000000002,0.006572898966953923,0.011605379868348854,0.13359398366015124
ASCO00ITA,EURA14,2012-06-26 11:59:00,0.00115,0.01299,0.14047,0.0030478989669539226,0.015365379868348853,0.18526398366015123
ASCO00ITA,EURA14,2012-06-27 11:59:00,0.00895,0.01038,0.13118,0.010847898966953921,0.012755379868348855,0.1759739836601512
