marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ASIR00ITA,EURA14,2021-07-13 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ASIR00ITA,EURA14,2021-07-14 11:59:00,0.00124,0.00077,-0.00352,0.00124,0.00077,-0.00352
ASIR00ITA,EURA14,2021-07-15 11:59:00,0.00214,0.00172,0.00053,0.00214,0.00172,0.00053
ASIR00ITA,EURA14,2021-07-16 11:59:00,0.00065,0.0036,-0.00993,0.00065,0.0036,-0.00993
ASIR00ITA,EURA14,2021-07-17 11:59:00,0.00072,0.00293,-0.00417,0.00072,0.00293,-0.00417
ASIR00ITA,EURA14,2021-07-18 11:59:00,0.00065,0.00216,-0.00047,0.00065,0.00216,-0.00047
ASIR00ITA,EURA14,2021-07-19 11:59:00,0.00201,0.00107,0.00089,0.00201,0.00107,0.00089
ASIR00ITA,EURA14,2021-07-20 11:59:00,0.00171,0.00221,-0.00281,0.00171,0.00221,-0.00281
ASIR00ITA,EURA14,2021-07-21 11:59:00,0.00187,0.00197,-0.00168,0.00187,0.00197,-0.00168
ASIR00ITA,EURA14,2021-07-22 11:59:00,-0.00056,0.0018,-0.03216,-0.00056,0.0018,-0.03216
ASIR00ITA,EURA14,2021-07-23 11:59:00,0.00217,0.00211,-0.01905,0.00217,0.00211,-0.01905
ASIR00ITA,EURA14,2021-07-24 11:59:00,0.00041,0.00035,-0.02192,0.00041,0.00035,-0.02192
ASIR00ITA,EURA14,2021-07-25 11:59:00,0.00089,0.00179,-0.02355,0.00089,0.00179,-0.02355
ASIR00ITA,EURA14,2021-07-26 11:59:00,0.00181,0.00092,-0.00927,0.00181,0.00092,-0.00927
ASIR00ITA,EURA14,2021-07-27 11:59:00,0.00259,0.0011,-0.01794,0.00259,0.0011,-0.01794
ASIR00ITA,EURA14,2021-07-28 11:59:00,0.00309,0.00194,-0.01719,0.00309,0.00194,-0.01719
ASIR00ITA,EURA14,2021-07-29 11:59:00,0.00102,0.00137,-0.00646,0.00102,0.00137,-0.00646
ASIR00ITA,EURA14,2021-07-30 11:59:00,-0.00049,0.00179,-0.02647,-0.00049,0.00179,-0.02647
ASIR00ITA,EURA14,2021-07-31 11:59:00,0.00017,-0.00015,-0.00864,0.00017,-0.00015,-0.00864
ASIR00ITA,EURA14,2021-08-01 11:59:00,0.00021,0.00237,-0.00657,0.00021,0.00237,-0.00657
