marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ASSI00ITA,EURA14,2016-04-27 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ASSI00ITA,EURA14,2016-04-28 11:59:00,-0.00346,-0.00095,-0.00019,-0.00346,-0.00095,-0.00019
ASSI00ITA,EURA14,2016-04-29 11:59:00,-0.00419,-0.00092,-0.00602,-0.00419,-0.00092,-0.00602
ASSI00ITA,EURA14,2016-04-30 11:59:00,-0.00268,-0.00313,0.00048,-0.00268,-0.00313,0.00048
ASSI00ITA,EURA14,2016-05-01 11:59:00,-0.00288,-0.00444,0.00234,-0.00288,-0.00444,0.00234
ASSI00ITA,EURA14,2016-05-02 11:59:00,-0.00352,-0.00277,-0.0041,-0.00352,-0.00277,-0.0041
ASSI00ITA,EURA14,2016-05-03 11:59:00,-0.00318,-0.00534,-0.00317,-0.00318,-0.00534,-0.00317
ASSI00ITA,EURA14,2016-05-04 11:59:00,-0.00411,-0.00472,-0.00427,-0.00411,-0.00472,-0.00427
ASSI00ITA,EURA14,2016-05-05 11:59:00,-0.00376,-0.00467,-0.00576,-0.00376,-0.00467,-0.00576
ASSI00ITA,EURA14,2016-05-06 11:59:00,-0.00591,-0.00569,-0.00393,-0.00591,-0.00569,-0.00393
ASSI00ITA,EURA14,2016-05-07 11:59:00,-0.00502,-0.00288,-0.00039,-0.00502,-0.00288,-0.00039
ASSI00ITA,EURA14,2016-05-08 11:59:00,-0.00374,-0.00319,-0.00024,-0.00374,-0.00319,-0.00024
ASSI00ITA,EURA14,2016-05-09 11:59:00,-0.00417,-0.00259,-0.00671,-0.00417,-0.00259,-0.00671
ASSI00ITA,EURA14,2016-05-10 11:59:00,-0.00408,-0.003,-0.00264,-0.00408,-0.003,-0.00264
ASSI00ITA,EURA14,2016-05-11 11:59:00,-0.00478,-0.00278,-7e-05,-0.00478,-0.00278,-7e-05
ASSI00ITA,EURA14,2016-05-12 11:59:00,-0.00385,0.00027,0.00734,-0.00385,0.00027,0.00734
ASSI00ITA,EURA14,2016-05-13 11:59:00,-0.00144,-0.00205,0.00314,-0.00144,-0.00205,0.00314
ASSI00ITA,EURA14,2016-05-14 11:59:00,-0.00365,-0.00274,-0.00698,-0.00365,-0.00274,-0.00698
ASSI00ITA,EURA14,2016-05-15 11:59:00,-0.00389,-0.00245,-0.00121,-0.00389,-0.00245,-0.00121
ASSI00ITA,EURA14,2016-05-16 11:59:00,-0.00376,-0.0027,-0.01329,-0.00376,-0.0027,-0.01329
ASSI00ITA,EURA14,2016-05-17 11:59:00,-0.00484,-0.0038,-0.00879,-0.00484,-0.0038,-0.00879
ASSI00ITA,EURA14,2016-05-18 11:59:00,-0.00321,-0.00408,-0.01152,-0.00321,-0.00408,-0.01152
ASSI00ITA,EURA14,2016-05-19 11:59:00,-0.0033,-0.00545,-0.00138,-0.0033,-0.00545,-0.00138
ASSI00ITA,EURA14,2016-05-20 11:59:00,-0.00689,-0.00846,-0.00813,-0.00689,-0.00846,-0.00813
ASSI00ITA,EURA14,2016-05-21 11:59:00,-0.00258,-0.00597,-0.00802,-0.00258,-0.00597,-0.00802
ASSI00ITA,EURA14,2016-05-22 11:59:00,-0.0053,-0.00646,-0.00632,-0.0053,-0.00646,-0.00632
ASSI00ITA,EURA14,2016-05-23 11:59:00,-0.00207,-0.00138,-0.00096,-0.00207,-0.00138,-0.00096
ASSI00ITA,EURA14,2016-05-24 11:59:00,-0.00319,-0.00367,-0.00281,-0.00319,-0.00367,-0.00281
ASSI00ITA,EURA14,2016-05-25 11:59:00,-0.00374,-0.00212,-0.00411,-0.00374,-0.00212,-0.00411
ASSI00ITA,EURA14,2016-05-26 11:59:00,-0.003975,-0.0035849999999999996,-0.005785,-0.003975,-0.0035849999999999996,-0.005785
ASSI00ITA,EURA14,2016-05-27 11:59:00,-0.00421,-0.00505,-0.00746,-0.00421,-0.00505,-0.00746
ASSI00ITA,EURA14,2016-05-28 11:59:00,-0.00342,-0.00594,-0.0052,-0.00342,-0.00594,-0.0052
ASSI00ITA,EURA14,2016-05-29 11:59:00,0.0005,-0.0065,0.00462,0.0005,-0.0065,0.00462
ASSI00ITA,EURA14,2016-05-30 11:59:00,-0.0041,-0.00333,-0.00651,-0.0041,-0.00333,-0.00651
ASSI00ITA,EURA14,2016-05-31 11:59:00,-0.00185,-0.00319,0.00493,-0.00185,-0.00319,0.00493
ASSI00ITA,EURA14,2016-06-01 11:59:00,-0.00261,-0.00324,-0.00757,-0.00261,-0.00324,-0.00757
ASSI00ITA,EURA14,2016-06-02 11:59:00,-0.00342,-0.00541,-0.0069,-0.00342,-0.00541,-0.0069
ASSI00ITA,EURA14,2016-06-03 11:59:00,-0.00329,-0.00516,-0.00557,-0.00329,-0.00516,-0.00557
ASSI00ITA,EURA14,2016-06-04 11:59:00,-0.00518,-0.00317,-0.00954,-0.00518,-0.00317,-0.00954
ASSI00ITA,EURA14,2016-06-05 11:59:00,-0.00398,-0.00251,-0.01103,-0.00398,-0.00251,-0.01103
ASSI00ITA,EURA14,2016-06-06 11:59:00,-0.00521,-0.00315,-0.00555,-0.00521,-0.00315,-0.00555
ASSI00ITA,EURA14,2016-06-07 11:59:00,-0.00315,-0.00424,-0.00804,-0.00315,-0.00424,-0.00804
ASSI00ITA,EURA14,2016-06-08 11:59:00,-0.00492,-0.00458,-0.00019,-0.00492,-0.00458,-0.00019
ASSI00ITA,EURA14,2016-06-09 11:59:00,-0.0034,-0.00362,-0.00539,-0.0034,-0.00362,-0.00539
ASSI00ITA,EURA14,2016-06-10 11:59:00,-0.00431,-0.00386,-0.00474,-0.00431,-0.00386,-0.00474
ASSI00ITA,EURA14,2016-06-11 11:59:00,-0.00455,-0.0045,-0.0048,-0.00455,-0.0045,-0.0048
ASSI00ITA,EURA14,2016-06-12 11:59:00,-0.00479,-0.00525,-0.00218,-0.00479,-0.00525,-0.00218
ASSI00ITA,EURA14,2016-06-13 11:59:00,-0.00383,-0.00379,-0.00516,-0.00383,-0.00379,-0.00516
ASSI00ITA,EURA14,2016-06-14 11:59:00,-0.00393,-0.0047,-0.005,-0.00393,-0.0047,-0.005
ASSI00ITA,EURA14,2016-06-15 11:59:00,-0.00217,-0.00371,0.00152,-0.00217,-0.00371,0.00152
ASSI00ITA,EURA14,2016-06-16 11:59:00,-0.00198,-0.00349,-0.00527,-0.00198,-0.00349,-0.00527
ASSI00ITA,EURA14,2016-06-17 11:59:00,-0.00512,-0.00311,-0.00594,-0.00512,-0.00311,-0.00594
ASSI00ITA,EURA14,2016-06-18 11:59:00,-0.00429,-0.00315,-0.00919,-0.00429,-0.00315,-0.00919
ASSI00ITA,EURA14,2016-06-19 11:59:00,-0.00495,-0.00357,-0.00956,-0.00495,-0.00357,-0.00956
ASSI00ITA,EURA14,2016-06-20 11:59:00,-0.00677,-0.0057,-0.0099,-0.00677,-0.0057,-0.0099
ASSI00ITA,EURA14,2016-06-21 11:59:00,-0.00457,-0.00604,-0.0144,-0.00457,-0.00604,-0.0144
ASSI00ITA,EURA14,2016-06-22 11:59:00,-0.0069,-0.005,-0.01251,-0.0069,-0.005,-0.01251
ASSI00ITA,EURA14,2016-06-23 11:59:00,-0.0061,-0.00544,-0.01536,-0.0061,-0.00544,-0.01536
ASSI00ITA,EURA14,2016-06-24 11:59:00,-0.00764,-0.00489,-0.01087,-0.00764,-0.00489,-0.01087
ASSI00ITA,EURA14,2016-06-25 11:59:00,-0.00645,-0.00785,-0.00308,-0.00645,-0.00785,-0.00308
ASSI00ITA,EURA14,2016-06-26 11:59:00,-0.00525,-0.00597,-0.00611,-0.00525,-0.00597,-0.00611
ASSI00ITA,EURA14,2016-06-27 11:59:00,-0.00525,-0.0064,-0.00234,-0.00525,-0.0064,-0.00234
ASSI00ITA,EURA14,2016-06-28 11:59:00,-0.00609,-0.00769,-0.0075,-0.00609,-0.00769,-0.0075
ASSI00ITA,EURA14,2016-06-29 11:59:00,-0.00495,-0.00679,-0.00467,-0.00495,-0.00679,-0.00467
ASSI00ITA,EURA14,2016-06-30 11:59:00,-0.00545,-0.00729,-0.01119,-0.00545,-0.00729,-0.01119
ASSI00ITA,EURA14,2016-07-01 11:59:00,-0.00508,-0.00678,-0.00789,-0.00508,-0.00678,-0.00789
ASSI00ITA,EURA14,2016-07-02 11:59:00,-0.00478,-0.00736,-0.0036,-0.00478,-0.00736,-0.0036
ASSI00ITA,EURA14,2016-07-03 11:59:00,-0.00593,-0.00739,-0.00403,-0.00593,-0.00739,-0.00403
ASSI00ITA,EURA14,2016-07-04 11:59:00,-0.00603,-0.00769,0.00011,-0.00603,-0.00769,0.00011
ASSI00ITA,EURA14,2016-07-05 11:59:00,-0.00528,-0.00843,-0.00517,-0.00528,-0.00843,-0.00517
ASSI00ITA,EURA14,2016-07-06 11:59:00,-0.00551,-0.00747,-0.00684,-0.00551,-0.00747,-0.00684
ASSI00ITA,EURA14,2016-07-07 11:59:00,-0.00346,-0.00909,-0.00313,-0.00346,-0.00909,-0.00313
ASSI00ITA,EURA14,2016-07-08 11:59:00,-0.00373,-0.00838,-0.0055,-0.00373,-0.00838,-0.0055
ASSI00ITA,EURA14,2016-07-09 11:59:00,-0.00429,-0.00669,-0.00269,-0.00429,-0.00669,-0.00269
ASSI00ITA,EURA14,2016-07-10 11:59:00,-0.0041,-0.00535,-0.01786,-0.0041,-0.00535,-0.01786
ASSI00ITA,EURA14,2016-07-11 11:59:00,-0.00464,-0.00612,-0.00999,-0.00464,-0.00612,-0.00999
ASSI00ITA,EURA14,2016-07-12 11:59:00,-0.00581,-0.00511,-0.0027,-0.00581,-0.00511,-0.0027
ASSI00ITA,EURA14,2016-07-13 11:59:00,-0.00136,-0.00274,-0.0018,-0.00136,-0.00274,-0.0018
ASSI00ITA,EURA14,2016-07-14 11:59:00,-0.00313,-0.00372,0.00683,-0.00313,-0.00372,0.00683
ASSI00ITA,EURA14,2016-07-15 11:59:00,-0.00513,-0.00693,-0.00169,-0.00513,-0.00693,-0.00169
ASSI00ITA,EURA14,2016-07-16 11:59:00,-0.00549,-0.00715,-0.00174,-0.00549,-0.00715,-0.00174
ASSI00ITA,EURA14,2016-07-17 11:59:00,-0.00582,-0.00797,-0.00361,-0.00582,-0.00797,-0.00361
ASSI00ITA,EURA14,2016-07-18 11:59:00,-0.00607,-0.00759,-0.00335,-0.00607,-0.00759,-0.00335
ASSI00ITA,EURA14,2016-07-19 11:59:00,-0.0053,-0.00698,-0.00387,-0.0053,-0.00698,-0.00387
ASSI00ITA,EURA14,2016-07-20 11:59:00,-0.007,-0.00623,-0.00487,-0.007,-0.00623,-0.00487
ASSI00ITA,EURA14,2016-07-21 11:59:00,-0.00481,-0.00684,-0.00597,-0.00481,-0.00684,-0.00597
ASSI00ITA,EURA14,2016-07-22 11:59:00,-0.00779,-0.00709,-0.00568,-0.00779,-0.00709,-0.00568
ASSI00ITA,EURA14,2016-07-23 11:59:00,-0.00635,-0.00662,-0.00345,-0.00635,-0.00662,-0.00345
ASSI00ITA,EURA14,2016-07-24 11:59:00,-0.00488,-0.00672,-0.00399,-0.00488,-0.00672,-0.00399
ASSI00ITA,EURA14,2016-07-25 11:59:00,-0.00609,-0.00547,-0.00497,-0.00609,-0.00547,-0.00497
ASSI00ITA,EURA14,2016-07-26 11:59:00,-0.00318,-0.00509,-0.0039,-0.00318,-0.00509,-0.0039
ASSI00ITA,EURA14,2016-07-27 11:59:00,-0.00759,-0.00553,-0.00235,-0.00759,-0.00553,-0.00235
ASSI00ITA,EURA14,2016-07-28 11:59:00,-0.0067,-0.00474,-0.00494,-0.0067,-0.00474,-0.00494
ASSI00ITA,EURA14,2016-07-29 11:59:00,-0.00532,-0.00338,-0.00059,-0.00532,-0.00338,-0.00059
ASSI00ITA,EURA14,2016-07-30 11:59:00,-0.00712,-0.00329,0.00117,-0.00712,-0.00329,0.00117
ASSI00ITA,EURA14,2016-07-31 11:59:00,-0.00596,-0.00454,-0.00083,-0.00596,-0.00454,-0.00083
ASSI00ITA,EURA14,2016-08-01 11:59:00,-0.00569,-0.00603,-0.00205,-0.00569,-0.00603,-0.00205
ASSI00ITA,EURA14,2016-08-02 11:59:00,-0.00631,-0.00613,-0.00749,-0.00631,-0.00613,-0.00749
ASSI00ITA,EURA14,2016-08-03 11:59:00,-0.00605,-0.00742,-0.00511,-0.00605,-0.00742,-0.00511
ASSI00ITA,EURA14,2016-08-04 11:59:00,-0.00496,-0.00644,-0.00133,-0.00496,-0.00644,-0.00133
ASSI00ITA,EURA14,2016-08-05 11:59:00,-0.00799,-0.00613,0.00274,-0.00799,-0.00613,0.00274
ASSI00ITA,EURA14,2016-08-06 11:59:00,-0.00579,-0.00684,-0.01083,-0.00579,-0.00684,-0.01083
ASSI00ITA,EURA14,2016-08-07 11:59:00,-0.00749,-0.00775,-0.00943,-0.00749,-0.00775,-0.00943
ASSI00ITA,EURA14,2016-08-24 11:59:00,-0.00771,-0.00855,-0.00587,-0.00771,-0.00855,-0.00587
ASSI00ITA,EURA14,2016-08-25 11:59:00,-0.0078,-0.00654,-0.00401,-0.0078,-0.00654,-0.00401
ASSI00ITA,EURA14,2016-08-26 11:59:00,-0.0082,-0.00626,-0.0099,-0.0082,-0.00626,-0.0099
ASSI00ITA,EURA14,2016-10-14 11:59:00,-0.00827,-0.00874,-0.00531,-0.00827,-0.00874,-0.00531
ASSI00ITA,EURA14,2016-10-15 11:59:00,-0.00767,-0.00718,-0.0106,-0.00767,-0.00718,-0.0106
ASSI00ITA,EURA14,2016-10-16 11:59:00,-0.00994,-0.00743,-0.01279,-0.00994,-0.00743,-0.01279
ASSI00ITA,EURA14,2016-10-17 11:59:00,-0.00999,-0.0074,-0.01327,-0.00999,-0.0074,-0.01327
ASSI00ITA,EURA14,2016-10-18 11:59:00,-0.00959,-0.00946,-0.00966,-0.00959,-0.00946,-0.00966
ASSI00ITA,EURA14,2016-10-19 11:59:00,-0.009715,-0.00841,-0.0066300000000000005,-0.009715,-0.00841,-0.0066300000000000005
ASSI00ITA,EURA14,2016-10-20 11:59:00,-0.00984,-0.00736,-0.0036,-0.00984,-0.00736,-0.0036
ASSI00ITA,EURA14,2016-10-21 11:59:00,-0.00879,-0.00674,-0.00578,-0.00879,-0.00674,-0.00578
ASSI00ITA,EURA14,2016-10-22 11:59:00,-0.00899,-0.00781,-0.00787,-0.00899,-0.00781,-0.00787
ASSI00ITA,EURA14,2016-10-23 11:59:00,-0.00879,-0.00763,-0.00711,-0.00879,-0.00763,-0.00711
ASSI00ITA,EURA14,2016-10-24 11:59:00,-0.0093,-0.00775,-0.00955,-0.0093,-0.00775,-0.00955
ASSI00ITA,EURA14,2016-10-25 11:59:00,-0.00998,-0.00762,-0.01214,-0.00998,-0.00762,-0.01214
ASSI00ITA,EURA14,2016-10-26 11:59:00,-0.01105,-0.00789,-0.01417,-0.01105,-0.00789,-0.01417
ASSI00ITA,EURA14,2016-10-27 11:59:00,-0.013,-0.00841,-0.01112,-0.013,-0.00841,-0.01112
ASSI00ITA,EURA14,2016-10-28 11:59:00,-0.01366,-0.00758,-0.01026,-0.01366,-0.00758,-0.01026
ASSI00ITA,EURA14,2016-10-29 11:59:00,-0.01331,-0.00725,-0.01672,-0.01331,-0.00725,-0.01672
ASSI00ITA,EURA14,2016-10-30 11:59:00,-0.02202,-0.00732,-0.00857,-0.02202,-0.00732,-0.00857
ASSI00ITA,EURA14,2016-10-31 11:59:00,-0.02498,-0.00744,-0.00878,-0.02498,-0.00744,-0.00878
ASSI00ITA,EURA14,2016-11-01 11:59:00,-0.02424,-0.00794,-0.01197,-0.02424,-0.00794,-0.01197
ASSI00ITA,EURA14,2016-11-02 11:59:00,-0.02515,-0.0094,-0.00415,-0.02515,-0.0094,-0.00415
ASSI00ITA,EURA14,2016-11-03 11:59:00,-0.02283,-0.00827,-0.00706,-0.02283,-0.00827,-0.00706
ASSI00ITA,EURA14,2016-11-04 11:59:00,-0.02387,-0.00734,-0.00902,-0.02387,-0.00734,-0.00902
ASSI00ITA,EURA14,2016-11-05 11:59:00,-0.02383,-0.0063,-0.00547,-0.02383,-0.0063,-0.00547
ASSI00ITA,EURA14,2016-11-06 11:59:00,-0.02872,-0.0108,-0.0146,-0.02872,-0.0108,-0.0146
ASSI00ITA,EURA14,2016-11-07 11:59:00,-0.02149,-0.00729,-0.00241,-0.02149,-0.00729,-0.00241
ASSI00ITA,EURA14,2016-11-08 11:59:00,-0.02314,-0.00639,-0.0098,-0.02314,-0.00639,-0.0098
ASSI00ITA,EURA14,2016-11-09 11:59:00,-0.02324,-0.00672,-0.00713,-0.02324,-0.00672,-0.00713
ASSI00ITA,EURA14,2016-11-10 11:59:00,-0.02278,-0.00725,-0.00826,-0.02278,-0.00725,-0.00826
ASSI00ITA,EURA14,2016-11-11 11:59:00,-0.0215,-0.00528,-0.00815,-0.0215,-0.00528,-0.00815
ASSI00ITA,EURA14,2016-11-12 11:59:00,-0.02293,-0.00691,-0.00608,-0.02293,-0.00691,-0.00608
ASSI00ITA,EURA14,2016-11-13 11:59:00,-0.02355,-0.00628,-0.01119,-0.02355,-0.00628,-0.01119
ASSI00ITA,EURA14,2016-11-14 11:59:00,-0.02433,-0.00634,-0.01128,-0.02433,-0.00634,-0.01128
ASSI00ITA,EURA14,2016-11-15 11:59:00,-0.0249,-0.00723,-0.01046,-0.0249,-0.00723,-0.01046
ASSI00ITA,EURA14,2016-11-16 11:59:00,-0.02412,-0.00786,-0.01214,-0.02412,-0.00786,-0.01214
ASSI00ITA,EURA14,2016-11-17 11:59:00,-0.02352,-0.00795,-0.00889,-0.02352,-0.00795,-0.00889
ASSI00ITA,EURA14,2016-11-18 11:59:00,-0.02367,-0.00787,-0.00268,-0.02367,-0.00787,-0.00268
ASSI00ITA,EURA14,2016-11-19 11:59:00,-0.02485,-0.00744,-0.00437,-0.02485,-0.00744,-0.00437
ASSI00ITA,EURA14,2016-11-20 11:59:00,-0.02415,-0.00707,-0.00495,-0.02415,-0.00707,-0.00495
ASSI00ITA,EURA14,2016-11-21 11:59:00,-0.02394,-0.00756,-0.008,-0.02394,-0.00756,-0.008
ASSI00ITA,EURA14,2016-11-22 11:59:00,-0.0237,-0.00693,-0.0087,-0.0237,-0.00693,-0.0087
