marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ATRA00ITA,EURA14,2007-01-16 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ATRA00ITA,EURA14,2007-01-17 11:59:00,0.0006,-0.00078,-0.00242,0.0006,-0.00078,-0.00242
ATRA00ITA,EURA14,2007-01-18 11:59:00,-5e-05,-0.00109,-0.00749,-5e-05,-0.00109,-0.00749
ATRA00ITA,EURA14,2007-01-19 11:59:00,-0.0005,-0.00074,-0.00334,-0.0005,-0.00074,-0.00334
ATRA00ITA,EURA14,2007-01-20 11:59:00,-0.00068,0.00019,0.00338,-0.00068,0.00019,0.00338
ATRA00ITA,EURA14,2007-01-21 11:59:00,0.00183,-0.00086,-0.00561,0.00183,-0.00086,-0.00561
ATRA00ITA,EURA14,2007-01-22 11:59:00,0.00134,-9e-05,-0.0023,0.00134,-9e-05,-0.0023
ATRA00ITA,EURA14,2007-01-23 11:59:00,0.00078,-0.00032,0.00668,0.00078,-0.00032,0.00668
ATRA00ITA,EURA14,2007-01-24 11:59:00,0.00112,0.00255,0.00595,0.00112,0.00255,0.00595
ATRA00ITA,EURA14,2007-01-25 11:59:00,0.0023,0.00084,-0.00341,0.0023,0.00084,-0.00341
ATRA00ITA,EURA14,2007-01-26 11:59:00,-7e-05,0.00061,-0.0056,-7e-05,0.00061,-0.0056
ATRA00ITA,EURA14,2007-01-27 11:59:00,1e-05,0.0008,-0.00501,1e-05,0.0008,-0.00501
ATRA00ITA,EURA14,2007-01-28 11:59:00,0.00055,0.00122,-0.00618,0.00055,0.00122,-0.00618
ATRA00ITA,EURA14,2007-01-29 11:59:00,0.0004,-0.00074,-0.00725,0.0004,-0.00074,-0.00725
ATRA00ITA,EURA14,2007-01-30 11:59:00,-0.00071,0.00129,-0.00515,-0.00071,0.00129,-0.00515
ATRA00ITA,EURA14,2007-01-31 11:59:00,-7e-05,0.00086,-0.00342,-7e-05,0.00086,-0.00342
ATRA00ITA,EURA14,2007-02-01 11:59:00,4e-05,0.00077,-0.00271,4e-05,0.00077,-0.00271
ATRA00ITA,EURA14,2007-02-02 11:59:00,0.00134,0.00076,-0.00481,0.00134,0.00076,-0.00481
ATRA00ITA,EURA14,2007-02-03 11:59:00,0.00016,0.00127,-0.00383,0.00016,0.00127,-0.00383
ATRA00ITA,EURA14,2007-02-04 11:59:00,-0.00108,0.00191,-0.00438,-0.00108,0.00191,-0.00438
ATRA00ITA,EURA14,2007-02-05 11:59:00,-0.00044,0.00112,-0.00598,-0.00044,0.00112,-0.00598
ATRA00ITA,EURA14,2007-02-06 11:59:00,-0.00029,0.00037,-0.0059,-0.00029,0.00037,-0.0059
ATRA00ITA,EURA14,2007-02-07 11:59:00,-0.00024,-0.0006,-0.00098,-0.00024,-0.0006,-0.00098
ATRA00ITA,EURA14,2007-02-08 11:59:00,0.00011,3e-05,-0.00046,0.00011,3e-05,-0.00046
