marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
AVZZ00ITA,EURA14,2012-01-20 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
AVZZ00ITA,EURA14,2012-01-21 11:59:00,-0.00089,0.00195,-0.00401,-0.00089,0.00195,-0.00401
AVZZ00ITA,EURA14,2012-01-22 11:59:00,0.00069,0.0,0.00198,0.00069,0.0,0.00198
AVZZ00ITA,EURA14,2012-01-23 11:59:00,-0.00105,0.00028,0.00272,-0.00105,0.00028,0.00272
AVZZ00ITA,EURA14,2012-01-24 11:59:00,4e-05,0.00073,0.00374,4e-05,0.00073,0.00374
AVZZ00ITA,EURA14,2012-01-25 11:59:00,-0.00582,-0.0055,0.00902,-0.00582,-0.0055,0.00902
AVZZ00ITA,EURA14,2012-01-26 11:59:00,-0.00017,0.0019,-0.00603,-0.00017,0.0019,-0.00603
AVZZ00ITA,EURA14,2012-01-27 11:59:00,-0.00042,0.00142,-0.00447,-0.00042,0.00142,-0.00447
AVZZ00ITA,EURA14,2012-01-28 11:59:00,-0.00054,0.00138,-0.00206,-0.00054,0.00138,-0.00206
AVZZ00ITA,EURA14,2012-01-29 11:59:00,-6e-05,0.00201,0.00092,-6e-05,0.00201,0.00092
AVZZ00ITA,EURA14,2012-01-30 11:59:00,-0.00099,0.00176,-0.00088,-0.00099,0.00176,-0.00088
AVZZ00ITA,EURA14,2012-01-31 11:59:00,0.00052,0.00216,-0.00145,0.00052,0.00216,-0.00145
AVZZ00ITA,EURA14,2012-02-01 11:59:00,0.0017499999999999998,0.00152,-0.0006399999999999999,0.0017499999999999998,0.00152,-0.0006399999999999999
AVZZ00ITA,EURA14,2012-02-02 11:59:00,0.00298,0.00088,0.00017,0.00298,0.00088,0.00017
AVZZ00ITA,EURA14,2012-02-05 11:59:00,-0.00101,0.00105,-0.0024,-0.00101,0.00105,-0.0024
AVZZ00ITA,EURA14,2012-02-06 11:59:00,-0.00021,0.00158,0.00219,-0.00021,0.00158,0.00219
AVZZ00ITA,EURA14,2012-02-07 11:59:00,0.00013,0.00183,0.00142,0.00013,0.00183,0.00142
AVZZ00ITA,EURA14,2012-02-10 11:59:00,-0.00035,0.00019,-0.00074,-0.00035,0.00019,-0.00074
AVZZ00ITA,EURA14,2012-02-11 11:59:00,-0.00026,0.00189,0.00101,-0.00026,0.00189,0.00101
