marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
BARS00ITA,EURA14,2010-09-28 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
BARS00ITA,EURA14,2010-09-29 11:59:00,-0.00024,-0.00128,0.01329,-0.00024,-0.00128,0.01329
BARS00ITA,EURA14,2010-09-30 11:59:00,-0.00059,-0.00222,0.00622,-0.00059,-0.00222,0.00622
BARS00ITA,EURA14,2010-10-01 11:59:00,-0.00097,-0.00174,0.00536,-0.00097,-0.00174,0.00536
BARS00ITA,EURA14,2010-10-02 11:59:00,-0.00194,-0.00021,0.00528,-0.00194,-0.00021,0.00528
BARS00ITA,EURA14,2010-10-03 11:59:00,-0.0019,-0.00106,0.00697,-0.0019,-0.00106,0.00697
BARS00ITA,EURA14,2010-10-04 11:59:00,0.00015,-0.00122,0.01,0.00015,-0.00122,0.01
BARS00ITA,EURA14,2010-10-05 11:59:00,0.00081,-0.00114,0.01473,0.00081,-0.00114,0.01473
BARS00ITA,EURA14,2010-10-06 11:59:00,-0.0004,-0.00145,0.01326,-0.0004,-0.00145,0.01326
BARS00ITA,EURA14,2010-10-07 11:59:00,-0.00043,-0.00194,0.0095,-0.00043,-0.00194,0.0095
BARS00ITA,EURA14,2010-10-08 11:59:00,0.00022,-0.00063,0.00837,0.00022,-0.00063,0.00837
BARS00ITA,EURA14,2010-10-09 11:59:00,-0.00076,-0.00141,0.01108,-0.00076,-0.00141,0.01108
BARS00ITA,EURA14,2010-10-10 11:59:00,0.00023,-0.00192,0.01147,0.00023,-0.00192,0.01147
BARS00ITA,EURA14,2010-10-11 11:59:00,0.00076,-0.00089,0.0093,0.00076,-0.00089,0.0093
BARS00ITA,EURA14,2010-10-12 11:59:00,0.00082,-0.00153,0.01189,0.00082,-0.00153,0.01189
BARS00ITA,EURA14,2010-10-13 11:59:00,0.00017,-0.0015,0.00757,0.00017,-0.0015,0.00757
BARS00ITA,EURA14,2010-10-14 11:59:00,-0.00075,-0.00305,0.00364,-0.00075,-0.00305,0.00364
BARS00ITA,EURA14,2010-10-15 11:59:00,-0.00034,-0.00342,0.00315,-0.00034,-0.00342,0.00315
BARS00ITA,EURA14,2010-10-16 11:59:00,-8e-05,-0.00242,0.01148,-8e-05,-0.00242,0.01148
BARS00ITA,EURA14,2010-10-17 11:59:00,0.0005,-0.00228,0.01175,0.0005,-0.00228,0.01175
BARS00ITA,EURA14,2010-10-18 11:59:00,-0.00102,-0.00135,0.00824,-0.00102,-0.00135,0.00824
BARS00ITA,EURA14,2010-10-19 11:59:00,0.00058,0.00025,0.00895,0.00058,0.00025,0.00895
BARS00ITA,EURA14,2010-10-20 11:59:00,-0.00089,-0.00193,0.00398,-0.00089,-0.00193,0.00398
BARS00ITA,EURA14,2010-10-21 11:59:00,0.00099,-0.00236,0.0034,0.00099,-0.00236,0.0034
BARS00ITA,EURA14,2010-10-22 11:59:00,0.0008,-0.00172,0.00497,0.0008,-0.00172,0.00497
BARS00ITA,EURA14,2010-10-23 11:59:00,0.00105,-0.00156,0.0047,0.00105,-0.00156,0.0047
BARS00ITA,EURA14,2010-10-24 11:59:00,-0.00123,-0.00123,0.001,-0.00123,-0.00123,0.001
BARS00ITA,EURA14,2010-10-25 11:59:00,-0.00114,-0.00065,0.01561,-0.00114,-0.00065,0.01561
BARS00ITA,EURA14,2010-10-26 11:59:00,0.0007,-0.00205,0.0081,0.0007,-0.00205,0.0081
BARS00ITA,EURA14,2010-10-27 11:59:00,-0.00124,-0.00217,0.01091,-0.00124,-0.00217,0.01091
BARS00ITA,EURA14,2010-10-28 11:59:00,0.0002,-0.00116,0.00648,0.0002,-0.00116,0.00648
BARS00ITA,EURA14,2010-10-29 11:59:00,-2e-05,-0.0015,0.00825,-2e-05,-0.0015,0.00825
BARS00ITA,EURA14,2010-10-30 11:59:00,0.00108,-0.0009,0.01199,0.00108,-0.0009,0.01199
BARS00ITA,EURA14,2010-10-31 11:59:00,0.00214,0.00395,0.02141,0.00214,0.00395,0.02141
BARS00ITA,EURA14,2010-11-01 11:59:00,0.00013,-0.00319,0.0135,0.00013,-0.00319,0.0135
BARS00ITA,EURA14,2010-11-02 11:59:00,0.0,-0.00229,0.01294,0.0,-0.00229,0.01294
