marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
CAMC00ITA,EURA14,2020-02-07 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
CAMC00ITA,EURA14,2020-02-08 11:59:00,-0.00029,-0.00099,-0.00383,-0.00029,-0.00099,-0.00383
CAMC00ITA,EURA14,2020-02-09 11:59:00,-0.00105,-0.00138,-0.00697,-0.00105,-0.00138,-0.00697
CAMC00ITA,EURA14,2020-02-10 11:59:00,-0.02905,0.00718,-0.00776,-0.02905,0.00718,-0.00776
CAMC00ITA,EURA14,2020-02-11 11:59:00,-0.0359,0.0008,-0.0056,-0.0359,0.0008,-0.0056
CAMC00ITA,EURA14,2020-02-12 11:59:00,-0.0448,0.00468,-0.01577,-0.0448,0.00468,-0.01577
CAMC00ITA,EURA14,2020-02-13 11:59:00,-0.04157,0.00542,-0.01263,-0.04157,0.00542,-0.01263
CAMC00ITA,EURA14,2020-02-14 11:59:00,-0.04443,0.00252,-0.02527,-0.04443,0.00252,-0.02527
CAMC00ITA,EURA14,2020-02-15 11:59:00,-0.04774,-0.00093,-0.02035,-0.04774,-0.00093,-0.02035
CAMC00ITA,EURA14,2020-02-16 11:59:00,-0.04993,-0.00352,-0.02321,-0.04993,-0.00352,-0.02321
CAMC00ITA,EURA14,2020-02-17 11:59:00,-0.05076,-0.0048,-0.0176,-0.05076,-0.0048,-0.0176
CAMC00ITA,EURA14,2020-02-18 11:59:00,-0.05042,-0.00484,-0.02303,-0.05042,-0.00484,-0.02303
CAMC00ITA,EURA14,2020-02-19 11:59:00,-0.05157,-0.00313,-0.02958,-0.05157,-0.00313,-0.02958
CAMC00ITA,EURA14,2020-02-20 11:59:00,-0.05114,-0.00345,-0.01992,-0.05114,-0.00345,-0.01992
CAMC00ITA,EURA14,2020-02-21 11:59:00,-0.05241,-0.00571,-0.02219,-0.05241,-0.00571,-0.02219
CAMC00ITA,EURA14,2020-02-22 11:59:00,-0.05256,-0.00643,-0.02635,-0.05256,-0.00643,-0.02635
CAMC00ITA,EURA14,2020-02-23 11:59:00,-0.05319,-0.00484,-0.0309,-0.05319,-0.00484,-0.0309
CAMC00ITA,EURA14,2020-02-24 11:59:00,0.0047,0.22691,-0.00727,0.0047,0.22691,-0.00727
CAMC00ITA,EURA14,2020-02-25 11:59:00,0.23483,0.44529,0.0755,0.23483,0.44529,0.0755
CAMC00ITA,EURA14,2020-02-26 11:59:00,0.24194,0.44965,0.05003,0.24194,0.44965,0.05003
CAMC00ITA,EURA14,2020-02-27 11:59:00,0.24209,0.44514,0.06838,0.24209,0.44514,0.06838
CAMC00ITA,EURA14,2020-02-28 11:59:00,0.24239,0.44582,0.06479,0.24239,0.44582,0.06479
CAMC00ITA,EURA14,2020-02-29 11:59:00,0.23977,0.44775,0.06882,0.23977,0.44775,0.06882
CAMC00ITA,EURA14,2021-02-10 11:59:00,0.24203,0.44974,0.07138,0.021396157224418122,0.10586753184014047,0.006729841897233219
CAMC00ITA,EURA14,2021-02-11 11:59:00,0.24092,0.4504,0.06507,0.020286157224418122,0.10652753184014052,0.0004198418972332224
CAMC00ITA,EURA14,2021-02-12 11:59:00,0.24415,0.45056,0.06063,0.023516157224418133,0.10668753184014051,-0.004020158102766777
CAMC00ITA,EURA14,2021-02-13 11:59:00,0.24458,0.45076,0.061,0.02394615722441812,0.10688753184014049,-0.0036501581027667818
CAMC00ITA,EURA14,2021-02-14 11:59:00,0.24652,0.45143,0.05697,0.025886157224418116,0.1075575318401405,-0.007680158102766781
CAMC00ITA,EURA14,2021-02-15 11:59:00,0.24511,0.44984,0.0571,0.02447615722441812,0.10596753184014052,-0.0075501581027667825
CAMC00ITA,EURA14,2021-02-16 11:59:00,0.2458,0.44939,0.06197,0.025166157224418118,0.10551753184014051,-0.002680158102766783
CAMC00ITA,EURA14,2021-02-17 11:59:00,0.24539,0.45002,0.06315,0.024756157224418124,0.10614753184014047,-0.0015001581027667826
CAMC00ITA,EURA14,2021-02-18 11:59:00,0.24581,0.44928,0.06548,0.025176157224418128,0.10540753184014051,0.0008298418972332161
CAMC00ITA,EURA14,2021-02-19 11:59:00,0.24843,0.45158,0.05629,0.02779615722441814,0.10770753184014048,-0.00836015810276678
CAMC00ITA,EURA14,2021-02-20 11:59:00,0.24544,0.45002,0.06122,0.02480615722441812,0.10614753184014047,-0.003430158102766784
CAMC00ITA,EURA14,2021-02-21 11:59:00,0.24564,0.44927,0.06276,0.025006157224418124,0.1053975318401405,-0.001890158102766784
CAMC00ITA,EURA14,2021-02-22 11:59:00,0.24511,0.44975,0.0595,0.02447615722441812,0.10587753184014048,-0.005150158102766783
CAMC00ITA,EURA14,2021-02-23 11:59:00,0.24451,0.4502,0.06235,0.023876157224418132,0.10632753184014049,-0.002300158102766778
CAMC00ITA,EURA14,2021-02-24 11:59:00,0.24412,0.45022,0.05841,0.02348615722441813,0.10634753184014051,-0.006240158102766784
CAMC00ITA,EURA14,2021-02-25 11:59:00,0.24425,0.44963,0.0614,0.02361615722441812,0.10575753184014047,-0.0032501581027667772
CAMC00ITA,EURA14,2021-02-26 11:59:00,0.24571,0.4493,0.07121,0.02507615722441814,0.10542753184014048,0.006559841897233215
CAMC00ITA,EURA14,2021-02-27 11:59:00,0.24427,0.44963,0.06982,0.023636157224418114,0.10575753184014047,0.005169841897233213
CAMC00ITA,EURA14,2021-02-28 11:59:00,0.24498,0.4494,0.0678,0.02434615722441813,0.10552753184014052,0.0031498418972332187
CAMC00ITA,EURA14,2021-03-01 11:59:00,0.24459,0.44983,0.06733,0.02395615722441813,0.1059575318401405,0.0026798418972332205
CAMC00ITA,EURA14,2021-03-02 11:59:00,0.24516,0.44969,0.06663,0.024526157224418116,0.10581753184014048,0.0019798418972332144
CAMC00ITA,EURA14,2021-03-03 11:59:00,0.24494,0.45009,0.06811,0.024306157224418118,0.10621753184014049,0.0034598418972332234
CAMC00ITA,EURA14,2021-03-04 11:59:00,0.24412,0.44977,0.06992,0.02348615722441813,0.1058975318401405,0.005269841897233216
CAMC00ITA,EURA14,2021-03-05 11:59:00,0.24509,0.44991,0.06723,0.02445615722441813,0.10603753184014048,0.0025798418972332177
CAMC00ITA,EURA14,2021-03-06 11:59:00,0.24492,0.45096,0.06665,0.024286157224418126,0.10708753184014053,0.0019998418972332205
CAMC00ITA,EURA14,2021-03-07 11:59:00,0.24549,0.44984,0.06727,0.02485615722441814,0.10596753184014052,0.002619841897233216
CAMC00ITA,EURA14,2021-03-08 11:59:00,0.2454,0.44945,0.07526,0.024766157224418134,0.10557753184014051,0.010609841897233213
CAMC00ITA,EURA14,2021-03-09 11:59:00,0.24589,0.45063,0.06786,0.025256157224418124,0.10675753184014047,0.0032098418972332232
CAMC00ITA,EURA14,2021-03-10 11:59:00,0.24518,0.451,0.06623,0.024546157224418136,0.10712753184014051,0.0015798418972332168
CAMC00ITA,EURA14,2021-03-11 11:59:00,0.24113,0.44944,0.06259,0.020496157224418138,0.1055675318401405,-0.0020601581027667737
CAMC00ITA,EURA14,2021-03-12 11:59:00,0.24453,0.44562,0.06589,0.023896157224418124,0.10174753184014051,0.0012398418972332237
CAMC00ITA,EURA14,2021-03-13 11:59:00,0.24654,0.4496,0.06928,0.025906157224418136,0.1057275318401405,0.004629841897233214
CAMC00ITA,EURA14,2021-03-14 11:59:00,0.24706,0.44958,0.06664,0.02642615722441813,0.10570753184014048,0.0019898418972332244
CAMC00ITA,EURA14,2021-03-15 11:59:00,0.2449,0.44914,0.06994,0.024266157224418133,0.10526753184014048,0.005289841897233222
CAMC00ITA,EURA14,2021-03-16 11:59:00,0.246,0.44949,0.07367,0.025366157224418123,0.1056175318401405,0.009019841897233219
CAMC00ITA,EURA14,2021-03-17 11:59:00,0.24544,0.44917,0.06888,0.02480615722441812,0.10529753184014051,0.004229841897233216
CAMC00ITA,EURA14,2021-03-18 11:59:00,0.24551,0.45033,0.06655,0.024876157224418133,0.1064575318401405,0.0018998418972332176
CAMC00ITA,EURA14,2021-03-19 11:59:00,0.24575,0.45001,0.07205,0.025116157224418123,0.10613753184014052,0.0073998418972332225
CAMC00ITA,EURA14,2021-03-20 11:59:00,0.24506,0.4505,0.06798,0.024426157224418127,0.10662753184014051,0.0033298418972332183
CAMC00ITA,EURA14,2021-03-21 11:59:00,0.24492,0.44998,0.06658,0.024286157224418126,0.10610753184014049,0.0019298418972332199
CAMC00ITA,EURA14,2021-03-22 11:59:00,0.24606,0.45037,0.06663,0.025426157224418128,0.10649753184014049,0.0019798418972332144
CAMC00ITA,EURA14,2021-03-23 11:59:00,0.24443,0.44942,0.05856,0.023796157224418135,0.10554753184014048,-0.0060901581027667795
CAMC00ITA,EURA14,2021-03-24 11:59:00,0.2448,0.4493,0.06271,0.024166157224418117,0.10542753184014048,-0.0019401581027667786
CAMC00ITA,EURA14,2021-03-25 11:59:00,0.24487,0.44959,0.06266,0.02423615722441813,0.10571753184014049,-0.001990158102766787
CAMC00ITA,EURA14,2021-03-26 11:59:00,0.24218,0.44987,0.06142,0.021546157224418133,0.10599753184014049,-0.003230158102766778
CAMC00ITA,EURA14,2021-03-27 11:59:00,0.24211,0.45055,0.06146,0.02147615722441812,0.1066775318401405,-0.0031901581027667797
CAMC00ITA,EURA14,2021-03-28 11:59:00,0.24552,0.45017,0.06451,0.024886157224418115,0.10629753184014051,-0.00014015810276678253
