marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
CARI00ITA,EURA14,2009-01-10 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
CARI00ITA,EURA14,2009-01-11 11:59:00,-0.00036,0.00036,-0.00102,-0.00036,0.00036,-0.00102
CARI00ITA,EURA14,2009-01-17 11:59:00,-0.0005,-0.00083,-0.00148,-0.0005,-0.00083,-0.00148
CARI00ITA,EURA14,2009-01-18 11:59:00,-0.00178,-0.00123,-0.002,-0.00178,-0.00123,-0.002
CARI00ITA,EURA14,2009-01-24 11:59:00,-0.00193,-0.00326,-0.00111,-0.00193,-0.00326,-0.00111
CARI00ITA,EURA14,2009-01-25 11:59:00,-0.00042,-0.00193,-0.00062,-0.00042,-0.00193,-0.00062
CARI00ITA,EURA14,2009-01-31 11:59:00,-4e-05,-0.00139,-0.00292,-4e-05,-0.00139,-0.00292
CARI00ITA,EURA14,2009-02-01 11:59:00,0.0002,-0.00151,0.00262,0.0002,-0.00151,0.00262
CARI00ITA,EURA14,2009-02-07 11:59:00,-0.00254,-0.00168,-0.00654,-0.00254,-0.00168,-0.00654
CARI00ITA,EURA14,2009-02-08 11:59:00,-0.00296,-0.00046,-0.00331,-0.00296,-0.00046,-0.00331
CARI00ITA,EURA14,2009-02-14 11:59:00,0.00016,9e-05,0.00129,0.00016,9e-05,0.00129
CARI00ITA,EURA14,2009-02-15 11:59:00,0.00048,0.00078,-0.00314,0.00048,0.00078,-0.00314
CARI00ITA,EURA14,2009-02-21 11:59:00,0.00086,0.00096,-0.00298,0.00086,0.00096,-0.00298
CARI00ITA,EURA14,2009-02-22 11:59:00,-0.00014,0.00093,0.00195,-0.00014,0.00093,0.00195
CARI00ITA,EURA14,2009-02-28 11:59:00,0.00037,0.00095,0.00369,0.00037,0.00095,0.00369
CARI00ITA,EURA14,2009-03-01 11:59:00,0.0002,-0.00077,0.0006,0.0002,-0.00077,0.0006
CARI00ITA,EURA14,2009-03-07 11:59:00,0.001,0.00011,0.00274,0.001,0.00011,0.00274
CARI00ITA,EURA14,2009-03-08 11:59:00,-0.00125,0.0013,-0.00774,-0.00125,0.0013,-0.00774
CARI00ITA,EURA14,2009-03-14 11:59:00,0.00056,-0.00084,-0.00296,0.00056,-0.00084,-0.00296
CARI00ITA,EURA14,2009-03-15 11:59:00,-8e-05,-9e-05,-0.00561,-8e-05,-9e-05,-0.00561
CARI00ITA,EURA14,2009-03-21 11:59:00,-0.00067,0.00023,0.00093,-0.00067,0.00023,0.00093
CARI00ITA,EURA14,2009-03-22 11:59:00,-0.00124,-0.00057,0.00377,-0.00124,-0.00057,0.00377
CARI00ITA,EURA14,2009-03-28 11:59:00,-0.00043,-0.00071,-0.00024,-0.00043,-0.00071,-0.00024
CARI00ITA,EURA14,2009-03-29 11:59:00,0.00142,-0.00171,0.02079,0.00142,-0.00171,0.02079
CARI00ITA,EURA14,2009-04-01 11:59:00,-0.0016,-0.0011,-0.00276,-0.0016,-0.0011,-0.00276
CARI00ITA,EURA14,2009-04-02 11:59:00,0.00021,-0.00017,-0.00453,0.00021,-0.00017,-0.00453
CARI00ITA,EURA14,2009-04-03 11:59:00,-0.00115,0.00014,0.00366,-0.00115,0.00014,0.00366
CARI00ITA,EURA14,2009-04-04 11:59:00,-0.00234,-0.00083,6e-05,-0.00234,-0.00083,6e-05
CARI00ITA,EURA14,2009-04-05 11:59:00,-0.0002,-0.00142,-0.0065,-0.0002,-0.00142,-0.0065
CARI00ITA,EURA14,2009-04-06 11:59:00,-0.00079,-0.00043,0.00358,9.031777927622625e-05,-0.0007087000264688701,-0.0001924048745707567
CARI00ITA,EURA14,2009-04-07 11:59:00,-0.00053,-0.0001,-0.00118,0.0003503177792762263,-0.0003787000264688701,-0.004952404874570757
CARI00ITA,EURA14,2009-04-08 11:59:00,-0.00142,0.00042,-0.00181,-0.0005396822207237738,0.0001412999735311299,-0.005582404874570757
CARI00ITA,EURA14,2009-04-09 11:59:00,-0.00093,0.00121,0.00095,-4.968222072377379e-05,0.0009312999735311299,-0.0028224048745707567
CARI00ITA,EURA14,2009-04-10 11:59:00,-0.00252,-0.00071,0.01077,-0.0016396822207237738,-0.0009887000264688702,0.006997595125429244
CARI00ITA,EURA14,2009-04-11 11:59:00,-0.00158,-0.00042,0.00671,-0.0006996822207237738,-0.0006987000264688701,0.0029375951254292433
CARI00ITA,EURA14,2009-04-12 11:59:00,-0.0019,0.00032,0.00788,-0.0010196822207237737,4.129997353112991e-05,0.004107595125429244
CARI00ITA,EURA14,2009-04-13 11:59:00,-0.0021,-0.0016,0.01634,-0.0012196822207237736,-0.0018787000264688701,0.012567595125429244
CARI00ITA,EURA14,2009-04-14 11:59:00,-0.00196,-0.00058,0.00312,-0.0010796822207237737,-0.0008587000264688701,-0.0006524048745707566
CARI00ITA,EURA14,2009-04-15 11:59:00,-0.00289,-0.00105,0.00202,-0.002009682220723774,-0.00132870002646887,-0.0017524048745707565
CARI00ITA,EURA14,2009-04-16 11:59:00,-0.00178,-0.00313,0.00793,-0.0008996822207237736,-0.0034087000264688702,0.004157595125429243
CARI00ITA,EURA14,2009-04-17 11:59:00,-0.00113,-0.00207,0.00481,-0.00024968222072377366,-0.00234870002646887,0.0010375951254292435
CARI00ITA,EURA14,2009-04-18 11:59:00,-0.00191,-0.00076,0.00024,-0.0010296822207237738,-0.00103870002646887,-0.0035324048745707564
CARI00ITA,EURA14,2009-04-19 11:59:00,-0.00048,-0.00103,0.00673,0.00040031777927622625,-0.0013087000264688702,0.0029575951254292433
CARI00ITA,EURA14,2009-04-20 11:59:00,-0.00086,-0.00086,-0.00319,2.0317779276226287e-05,-0.0011387000264688701,-0.006962404874570756
CARI00ITA,EURA14,2009-04-21 11:59:00,-0.00019,-6e-05,0.00327,0.0006903177792762262,-0.0003387000264688701,-0.0005024048745707567
CARI00ITA,EURA14,2009-04-22 11:59:00,-0.00148,-0.00199,3e-05,-0.0005996822207237737,-0.0022687000264688703,-0.0037424048745707565
CARI00ITA,EURA14,2009-04-23 11:59:00,-0.00079,-0.00241,0.0,9.031777927622625e-05,-0.00268870002646887,-0.0037724048745707566
CARI00ITA,EURA14,2009-04-24 11:59:00,-0.00128,-0.00017,-1e-05,-0.00039968222072377384,-0.00044870002646887013,-0.0037824048745707566
CARI00ITA,EURA14,2009-04-25 11:59:00,-0.00124,-0.00101,-0.00142,-0.00035968222072377373,-0.0012887000264688701,-0.005192404874570756
CARI00ITA,EURA14,2009-04-26 11:59:00,-0.00105,-0.00167,0.00339,-0.00016968222072377367,-0.00194870002646887,-0.0003824048745707568
CARI00ITA,EURA14,2009-04-27 11:59:00,-0.00106,-0.0001,0.00238,-0.0001796822207237737,-0.0003787000264688701,-0.0013924048745707564
CARI00ITA,EURA14,2009-04-28 11:59:00,-0.00167,-0.00129,-0.00874,-0.0007896822207237738,-0.00156870002646887,-0.012512404874570756
CARI00ITA,EURA14,2009-04-29 11:59:00,-0.00306,-0.00083,-0.00376,-0.0021796822207237735,-0.00110870002646887,-0.0075324048745707564
CARI00ITA,EURA14,2009-04-30 11:59:00,-0.00399,-0.0005,-0.00246,-0.0031096822207237734,-0.0007787000264688701,-0.0062324048745707565
CARI00ITA,EURA14,2009-05-01 11:59:00,-0.0009,-0.00098,-0.00198,-1.968222072377371e-05,-0.00125870002646887,-0.005752404874570757
