marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ELP200ITA,EURA14,2021-04-16 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ELP200ITA,EURA14,2021-04-17 11:59:00,0.0002,-3e-05,0.00132,0.0002,-3e-05,0.00132
ELP200ITA,EURA14,2021-04-18 11:59:00,-0.0009,0.0001,-0.0014,-0.0009,0.0001,-0.0014
ELP200ITA,EURA14,2021-04-19 11:59:00,0.00011,-4e-05,-0.00271,0.00011,-4e-05,-0.00271
ELP200ITA,EURA14,2021-04-20 11:59:00,4e-05,-0.0011,-0.00264,4e-05,-0.0011,-0.00264
ELP200ITA,EURA14,2021-04-21 11:59:00,0.00026,-0.00075,-0.00244,0.00026,-0.00075,-0.00244
ELP200ITA,EURA14,2021-04-22 11:59:00,-0.00041,0.00035,-0.00426,-0.00041,0.00035,-0.00426
ELP200ITA,EURA14,2021-04-23 11:59:00,0.00147,-0.00024,-0.00255,0.00147,-0.00024,-0.00255
ELP200ITA,EURA14,2021-04-24 11:59:00,0.00071,-0.00061,-0.0016,0.00071,-0.00061,-0.0016
ELP200ITA,EURA14,2021-04-25 11:59:00,0.00057,-0.00029,0.00142,0.00057,-0.00029,0.00142
ELP200ITA,EURA14,2021-04-26 11:59:00,0.00098,-0.00057,0.00866,0.00098,-0.00057,0.00866
ELP200ITA,EURA14,2021-04-27 11:59:00,0.0019,-0.00015,-0.00117,0.0019,-0.00015,-0.00117
ELP200ITA,EURA14,2021-04-28 11:59:00,0.00076,-0.00107,-0.00618,0.00076,-0.00107,-0.00618
ELP200ITA,EURA14,2021-04-29 11:59:00,0.00132,-0.00201,0.00426,0.00132,-0.00201,0.00426
ELP200ITA,EURA14,2021-04-30 11:59:00,0.0002,-0.00253,-0.00387,0.0002,-0.00253,-0.00387
ELP200ITA,EURA14,2021-05-01 11:59:00,0.00231,-0.00149,0.0016,0.00231,-0.00149,0.0016
ELP200ITA,EURA14,2021-05-02 11:59:00,-0.00147,-0.00275,0.00176,-0.00147,-0.00275,0.00176
ELP200ITA,EURA14,2021-05-03 11:59:00,0.0004,-0.00149,-0.00164,0.0004,-0.00149,-0.00164
ELP200ITA,EURA14,2021-05-04 11:59:00,0.0001,-0.0008,0.00269,0.0001,-0.0008,0.00269
ELP200ITA,EURA14,2021-05-05 11:59:00,0.00048,-0.00094,0.00196,0.00048,-0.00094,0.00196
ELP200ITA,EURA14,2021-05-06 11:59:00,-0.00082,-0.0008,-0.00097,-0.00082,-0.0008,-0.00097
ELP200ITA,EURA14,2021-05-07 11:59:00,0.00179,-0.0008,0.00082,0.00179,-0.0008,0.00082
ELP200ITA,EURA14,2021-05-08 11:59:00,0.00125,-0.00126,-0.00101,0.00125,-0.00126,-0.00101
ELP200ITA,EURA14,2021-05-09 11:59:00,0.000695,-0.00116,-0.00234,0.000695,-0.00116,-0.00234
ELP200ITA,EURA14,2021-05-10 11:59:00,0.00014,-0.00106,-0.00367,0.00014,-0.00106,-0.00367
ELP200ITA,EURA14,2021-05-11 11:59:00,-0.00221,-0.00085,0.00052,-0.00221,-0.00085,0.00052
ELP200ITA,EURA14,2021-05-12 11:59:00,0.00055,-0.00055,0.00191,0.00055,-0.00055,0.00191
ELP200ITA,EURA14,2021-05-13 11:59:00,0.00079,-0.00134,0.00097,0.00079,-0.00134,0.00097
ELP200ITA,EURA14,2021-05-14 11:59:00,0.000715,-0.00125,0.001885,0.000715,-0.00125,0.001885
ELP200ITA,EURA14,2021-05-15 11:59:00,0.00064,-0.00116,0.0028,0.00064,-0.00116,0.0028
ELP200ITA,EURA14,2021-05-16 11:59:00,0.00161,-0.00173,0.00296,0.00161,-0.00173,0.00296
ELP200ITA,EURA14,2021-05-17 11:59:00,0.00321,-0.00104,-0.00389,0.00321,-0.00104,-0.00389
ELP200ITA,EURA14,2021-05-18 11:59:00,0.00126,0.00102,0.00487,0.00126,0.00102,0.00487
ELP200ITA,EURA14,2021-05-19 11:59:00,0.00096,-0.00061,0.0007,0.00096,-0.00061,0.0007
ELP200ITA,EURA14,2021-05-20 11:59:00,0.0007,-0.00134,-0.00049,0.0007,-0.00134,-0.00049
ELP200ITA,EURA14,2021-05-21 11:59:00,0.00073,-0.00083,-0.00304,0.00073,-0.00083,-0.00304
ELP200ITA,EURA14,2021-05-22 11:59:00,0.00076,-0.00032,-0.00559,0.00076,-0.00032,-0.00559
ELP200ITA,EURA14,2021-05-23 11:59:00,0.00059,-0.00078,-0.0021,0.00059,-0.00078,-0.0021
ELP200ITA,EURA14,2021-05-26 11:59:00,0.00174,-0.00108,-0.00098,0.00174,-0.00108,-0.00098
ELP200ITA,EURA14,2021-05-27 11:59:00,-0.00033,-0.0006,2e-05,-0.00033,-0.0006,2e-05
