marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
FRNE00ITA,EURA14,2019-07-24 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
FRNE00ITA,EURA14,2019-07-25 11:59:00,-0.00237,0.00094,-0.00109,-0.00237,0.00094,-0.00109
FRNE00ITA,EURA14,2019-07-26 11:59:00,-0.00378,0.00094,-0.00332,-0.00378,0.00094,-0.00332
FRNE00ITA,EURA14,2019-07-27 11:59:00,-0.00137,0.00027,-0.00132,-0.00137,0.00027,-0.00132
FRNE00ITA,EURA14,2019-07-28 11:59:00,0.0026,-0.00118,0.00647,0.0026,-0.00118,0.00647
FRNE00ITA,EURA14,2019-07-29 11:59:00,-9e-05,-0.00257,-5e-05,-9e-05,-0.00257,-5e-05
FRNE00ITA,EURA14,2019-07-30 11:59:00,-0.00257,-0.00024,0.00147,-0.00257,-0.00024,0.00147
FRNE00ITA,EURA14,2019-07-31 11:59:00,-0.00135,0.00072,0.00756,-0.00135,0.00072,0.00756
FRNE00ITA,EURA14,2019-08-01 11:59:00,-0.00244,0.00247,-0.00498,-0.00244,0.00247,-0.00498
FRNE00ITA,EURA14,2019-08-02 11:59:00,-0.00078,0.00076,0.00874,-0.00078,0.00076,0.00874
FRNE00ITA,EURA14,2019-08-03 11:59:00,-0.00261,0.00324,-0.00633,-0.00261,0.00324,-0.00633
FRNE00ITA,EURA14,2019-08-04 11:59:00,-0.00312,0.00126,0.01115,-0.00312,0.00126,0.01115
FRNE00ITA,EURA14,2019-08-05 11:59:00,-0.00318,0.00125,-0.00425,-0.00318,0.00125,-0.00425
FRNE00ITA,EURA14,2019-08-06 11:59:00,-0.00188,0.0002,-0.00012,-0.00188,0.0002,-0.00012
FRNE00ITA,EURA14,2019-08-07 11:59:00,-0.00375,-0.00066,0.00266,-0.00375,-0.00066,0.00266
FRNE00ITA,EURA14,2019-08-08 11:59:00,-0.00091,0.00034,0.0075,-0.00091,0.00034,0.0075
FRNE00ITA,EURA14,2019-08-09 11:59:00,-0.0028,0.00115,-0.00567,-0.0028,0.00115,-0.00567
FRNE00ITA,EURA14,2019-08-10 11:59:00,-0.00229,0.00291,0.00128,-0.00229,0.00291,0.00128
FRNE00ITA,EURA14,2019-08-11 11:59:00,-0.00099,0.00017,-0.00017,-0.00099,0.00017,-0.00017
FRNE00ITA,EURA14,2019-08-12 11:59:00,-0.00224,-0.00014,-0.00445,-0.00224,-0.00014,-0.00445
FRNE00ITA,EURA14,2019-08-13 11:59:00,-0.00314,0.00089,-0.00665,-0.00314,0.00089,-0.00665
FRNE00ITA,EURA14,2019-08-14 11:59:00,-0.00336,0.00067,-0.00103,-0.00336,0.00067,-0.00103
FRNE00ITA,EURA14,2019-08-15 11:59:00,-0.00306,-0.00015,-0.0028,-0.00306,-0.00015,-0.0028
FRNE00ITA,EURA14,2019-08-16 11:59:00,-0.00449,-0.00048,-0.00505,-0.00449,-0.00048,-0.00505
FRNE00ITA,EURA14,2019-08-17 11:59:00,-0.00442,-2e-05,-0.0006,-0.00442,-2e-05,-0.0006
FRNE00ITA,EURA14,2019-08-18 11:59:00,4e-05,-0.00164,-6e-05,4e-05,-0.00164,-6e-05
FRNE00ITA,EURA14,2019-08-19 11:59:00,-0.00026,0.00091,0.00602,-0.00026,0.00091,0.00602
FRNE00ITA,EURA14,2019-08-20 11:59:00,-0.00227,0.00059,0.00241,-0.00227,0.00059,0.00241
FRNE00ITA,EURA14,2019-08-21 11:59:00,-0.00228,0.00034,0.0021,-0.00228,0.00034,0.0021
FRNE00ITA,EURA14,2019-08-22 11:59:00,-0.00315,0.00046,-0.00291,-0.00315,0.00046,-0.00291
FRNE00ITA,EURA14,2019-08-23 11:59:00,-0.00237,0.00165,0.00502,-0.00237,0.00165,0.00502
FRNE00ITA,EURA14,2019-08-24 11:59:00,-0.00411,-0.00126,-0.00191,-0.00411,-0.00126,-0.00191
FRNE00ITA,EURA14,2019-08-25 11:59:00,-5e-05,0.00307,0.00785,-5e-05,0.00307,0.00785
FRNE00ITA,EURA14,2019-08-26 11:59:00,-0.00076,0.00311,0.01223,-0.00076,0.00311,0.01223
FRNE00ITA,EURA14,2019-08-27 11:59:00,-0.00433,0.00083,0.00438,-0.00433,0.00083,0.00438
FRNE00ITA,EURA14,2019-08-28 11:59:00,-0.00221,0.00125,-0.00815,-0.00221,0.00125,-0.00815
FRNE00ITA,EURA14,2019-08-29 11:59:00,-0.00156,0.00263,-0.00084,-0.00156,0.00263,-0.00084
FRNE00ITA,EURA14,2019-08-30 11:59:00,-0.00084,0.00071,0.0002,-0.00084,0.00071,0.0002
FRNE00ITA,EURA14,2019-08-31 11:59:00,-0.00104,-0.0004,-0.00028,-0.00104,-0.0004,-0.00028
FRNE00ITA,EURA14,2019-09-01 11:59:00,-0.00228,-0.0001,0.00234,-0.00228,-0.0001,0.00234
FRNE00ITA,EURA14,2019-09-02 11:59:00,-0.00131,-0.00049,0.00267,-0.00131,-0.00049,0.00267
FRNE00ITA,EURA14,2019-09-03 11:59:00,0.00061,0.00057,-0.00038,0.00061,0.00057,-0.00038
FRNE00ITA,EURA14,2019-09-04 11:59:00,-0.00258,0.0009,0.00213,-0.00258,0.0009,0.00213
FRNE00ITA,EURA14,2019-09-05 11:59:00,-0.00086,0.0014,0.01164,-0.00086,0.0014,0.01164
