marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
FROS01ITA,EURA14,2005-07-06 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
FROS01ITA,EURA14,2005-07-07 11:59:00,-0.008,-0.00201,-0.00977,-0.008,-0.00201,-0.00977
FROS01ITA,EURA14,2005-07-08 11:59:00,-0.00334,0.00019,-0.00598,-0.00334,0.00019,-0.00598
FROS01ITA,EURA14,2005-07-09 11:59:00,-0.00066,-0.00111,-0.01099,-0.00066,-0.00111,-0.01099
FROS01ITA,EURA14,2005-07-10 11:59:00,-0.00017,-0.00016,-0.00637,-0.00017,-0.00016,-0.00637
FROS01ITA,EURA14,2005-07-11 11:59:00,-0.00308,0.00201,-0.01529,-0.00308,0.00201,-0.01529
FROS01ITA,EURA14,2005-07-12 11:59:00,-0.0045,-0.0001,-0.01107,-0.0045,-0.0001,-0.01107
FROS01ITA,EURA14,2005-07-13 11:59:00,-0.00065,0.0041,-0.01233,-0.00065,0.0041,-0.01233
FROS01ITA,EURA14,2005-07-14 11:59:00,-0.00237,0.00072,-0.013,-0.00237,0.00072,-0.013
FROS01ITA,EURA14,2005-07-15 11:59:00,-0.00302,-0.00063,-0.00988,-0.00302,-0.00063,-0.00988
FROS01ITA,EURA14,2005-07-16 11:59:00,-0.00317,-0.00076,-0.00994,-0.00317,-0.00076,-0.00994
FROS01ITA,EURA14,2005-07-17 11:59:00,-0.00295,0.00097,-0.00913,-0.00295,0.00097,-0.00913
FROS01ITA,EURA14,2005-07-18 11:59:00,-0.00357,-0.0005,-0.01161,-0.00357,-0.0005,-0.01161
FROS01ITA,EURA14,2005-07-19 11:59:00,-0.00412,1e-05,-0.00478,-0.00412,1e-05,-0.00478
FROS01ITA,EURA14,2005-07-20 11:59:00,-0.00134,0.00025,-0.0093,-0.00134,0.00025,-0.0093
FROS01ITA,EURA14,2005-07-21 11:59:00,-0.00249,-0.00155,-0.00434,-0.00249,-0.00155,-0.00434
FROS01ITA,EURA14,2005-07-22 11:59:00,-0.00412,-0.00014,-0.00695,-0.00412,-0.00014,-0.00695
FROS01ITA,EURA14,2005-07-23 11:59:00,-0.00485,-0.00246,-0.00978,-0.00485,-0.00246,-0.00978
FROS01ITA,EURA14,2005-07-24 11:59:00,-0.00493,-0.000895,-0.01242,-0.00493,-0.000895,-0.01242
FROS01ITA,EURA14,2005-07-25 11:59:00,-0.00501,0.00067,-0.01506,-0.00501,0.00067,-0.01506
FROS01ITA,EURA14,2005-07-26 11:59:00,-0.00149,0.00054,-0.01899,-0.00149,0.00054,-0.01899
FROS01ITA,EURA14,2005-07-27 11:59:00,-0.00614,-0.00052,-0.02331,-0.00614,-0.00052,-0.02331
FROS01ITA,EURA14,2005-07-28 11:59:00,-0.00582,-0.00217,-0.0184,-0.00582,-0.00217,-0.0184
FROS01ITA,EURA14,2005-09-26 11:59:00,-0.00416,-0.00106,-0.02463,-0.0013796618357487926,-0.0012032415458937196,-0.022030830917874396
FROS01ITA,EURA14,2005-09-27 11:59:00,-0.00662,0.00031,-0.02283,-0.003839661835748793,0.0001667584541062803,-0.0202308309178744
FROS01ITA,EURA14,2005-09-28 11:59:00,-0.00508,-0.00047,-0.01016,-0.0022996618357487932,-0.0006132415458937197,-0.007560830917874399
FROS01ITA,EURA14,2005-09-29 11:59:00,-0.00405,-0.0026,-0.00774,-0.0012696618357487927,-0.0027432415458937195,-0.005140830917874399
