marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ITTE00ITA,EURA14,2008-03-28 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ITTE00ITA,EURA14,2008-03-29 11:59:00,-0.00045,-0.00036,0.00058,-0.00045,-0.00036,0.00058
ITTE00ITA,EURA14,2008-03-30 11:59:00,-0.00062,-0.00011,-0.00065,-0.00062,-0.00011,-0.00065
ITTE00ITA,EURA14,2008-03-31 11:59:00,0.00154,-0.00072,0.00168,0.00154,-0.00072,0.00168
ITTE00ITA,EURA14,2008-04-01 11:59:00,0.00042,8e-05,-0.00119,0.00042,8e-05,-0.00119
ITTE00ITA,EURA14,2008-04-02 11:59:00,4e-05,0.00011,-0.00027,4e-05,0.00011,-0.00027
ITTE00ITA,EURA14,2008-04-03 11:59:00,0.00047,0.0009,0.00368,0.00047,0.0009,0.00368
ITTE00ITA,EURA14,2008-04-04 11:59:00,-0.00041,-0.00069,0.00158,-0.00041,-0.00069,0.00158
ITTE00ITA,EURA14,2008-04-05 11:59:00,2e-05,-0.00079,0.00484,2e-05,-0.00079,0.00484
ITTE00ITA,EURA14,2008-04-06 11:59:00,-0.0031,5e-05,-0.00405,-0.0031,5e-05,-0.00405
ITTE00ITA,EURA14,2008-04-07 11:59:00,0.00263,0.00216,0.01518,0.00263,0.00216,0.01518
ITTE00ITA,EURA14,2008-04-08 11:59:00,0.0018,-0.00183,0.0041,0.0018,-0.00183,0.0041
ITTE00ITA,EURA14,2008-04-09 11:59:00,-0.0008,-0.00296,0.00566,-0.0008,-0.00296,0.00566
ITTE00ITA,EURA14,2008-04-10 11:59:00,0.00055,-0.00379,0.01491,0.00055,-0.00379,0.01491
ITTE00ITA,EURA14,2008-04-11 11:59:00,0.0081,0.00267,0.01125,0.0081,0.00267,0.01125
ITTE00ITA,EURA14,2008-04-12 11:59:00,0.00292,-0.00175,0.00683,0.00292,-0.00175,0.00683
ITTE00ITA,EURA14,2008-04-13 11:59:00,0.00067,-0.00271,0.00185,0.00067,-0.00271,0.00185
ITTE00ITA,EURA14,2008-04-14 11:59:00,-0.00013,-0.00146,-0.00318,-0.00013,-0.00146,-0.00318
ITTE00ITA,EURA14,2008-04-15 11:59:00,-0.00013,-0.00202,0.00631,-0.00013,-0.00202,0.00631
ITTE00ITA,EURA14,2008-04-16 11:59:00,0.00213,-0.00236,0.00387,0.00213,-0.00236,0.00387
ITTE00ITA,EURA14,2008-04-17 11:59:00,0.00107,-0.00167,0.01299,0.00107,-0.00167,0.01299
ITTE00ITA,EURA14,2008-04-18 11:59:00,-0.00314,-0.00175,0.01282,-0.00314,-0.00175,0.01282
ITTE00ITA,EURA14,2008-04-19 11:59:00,0.00111,0.00367,-0.00155,0.00111,0.00367,-0.00155
ITTE00ITA,EURA14,2008-04-20 11:59:00,0.00067,-0.00247,0.00479,0.00067,-0.00247,0.00479
ITTE00ITA,EURA14,2008-04-21 11:59:00,0.00265,0.0037,0.00811,0.00265,0.0037,0.00811
ITTE00ITA,EURA14,2008-04-22 11:59:00,-7e-05,-0.00097,0.00718,-7e-05,-0.00097,0.00718
ITTE00ITA,EURA14,2008-04-23 11:59:00,0.00019,-0.00282,0.00349,0.00019,-0.00282,0.00349
ITTE00ITA,EURA14,2008-04-24 11:59:00,-0.00032,-0.00091,-0.00198,-0.00032,-0.00091,-0.00198
ITTE00ITA,EURA14,2008-04-25 11:59:00,-0.00097,-0.00106,-0.00294,-0.00097,-0.00106,-0.00294
ITTE00ITA,EURA14,2008-04-26 11:59:00,-0.00084,-0.00035,-0.00169,-0.00084,-0.00035,-0.00169
ITTE00ITA,EURA14,2008-04-27 11:59:00,-0.0003,0.00023,-0.00129,-0.0003,0.00023,-0.00129
ITTE00ITA,EURA14,2008-04-28 11:59:00,-3e-05,-0.00117,0.00358,-3e-05,-0.00117,0.00358
ITTE00ITA,EURA14,2008-04-29 11:59:00,0.00015,-0.00098,0.00089,0.00015,-0.00098,0.00089
ITTE00ITA,EURA14,2008-04-30 11:59:00,-0.00075,-0.00259,0.00138,-0.00075,-0.00259,0.00138
ITTE00ITA,EURA14,2008-05-01 11:59:00,0.00046,-0.00058,0.0068,0.00046,-0.00058,0.0068
ITTE00ITA,EURA14,2008-05-02 11:59:00,-0.0011,-0.00073,-0.00056,-0.0011,-0.00073,-0.00056
ITTE00ITA,EURA14,2008-05-03 11:59:00,-0.00045,-0.00154,0.00128,-0.00045,-0.00154,0.00128
ITTE00ITA,EURA14,2008-05-04 11:59:00,-8e-05,-0.00159,0.00251,-8e-05,-0.00159,0.00251
ITTE00ITA,EURA14,2008-05-05 11:59:00,-0.00031,-0.00022,0.00539,-0.00031,-0.00022,0.00539
ITTE00ITA,EURA14,2008-05-06 11:59:00,0.00026,-0.0021,0.00327,0.00026,-0.0021,0.00327
ITTE00ITA,EURA14,2008-05-07 11:59:00,-7e-05,-0.00228,0.00533,-7e-05,-0.00228,0.00533
ITTE00ITA,EURA14,2008-05-08 11:59:00,0.00076,-0.00111,0.00519,0.00076,-0.00111,0.00519
ITTE00ITA,EURA14,2008-05-09 11:59:00,0.00056,-0.0014,-0.00042,0.00056,-0.0014,-0.00042
ITTE00ITA,EURA14,2008-05-10 11:59:00,-0.00018,-0.00084,0.00236,-0.00018,-0.00084,0.00236
ITTE00ITA,EURA14,2008-05-11 11:59:00,-0.00131,-0.00026,-0.00077,-0.00131,-0.00026,-0.00077
ITTE00ITA,EURA14,2008-05-12 11:59:00,0.0009,-0.00111,0.0031,0.0009,-0.00111,0.0031
ITTE00ITA,EURA14,2008-05-13 11:59:00,0.00117,-0.00154,0.00632,0.00117,-0.00154,0.00632
ITTE00ITA,EURA14,2008-05-14 11:59:00,0.0004,-0.00161,0.00446,0.0004,-0.00161,0.00446
ITTE00ITA,EURA14,2008-05-15 11:59:00,-0.00023,-0.00285,-0.00124,-0.00023,-0.00285,-0.00124
ITTE00ITA,EURA14,2008-05-20 11:59:00,0.00202,-0.00295,0.0102,0.00202,-0.00295,0.0102
ITTE00ITA,EURA14,2008-05-21 11:59:00,0.00047,-0.00247,0.00846,0.00047,-0.00247,0.00846
ITTE00ITA,EURA14,2008-05-22 11:59:00,-0.00011,-0.00293,0.0037,-0.00011,-0.00293,0.0037
