marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
MARN00ITA,EURA14,2013-07-08 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
MARN00ITA,EURA14,2013-07-09 11:59:00,-0.00021,-0.00041,-6e-05,-0.00021,-0.00041,-6e-05
MARN00ITA,EURA14,2013-07-10 11:59:00,-0.0007,-0.00227,-0.0031,-0.0007,-0.00227,-0.0031
MARN00ITA,EURA14,2013-07-11 11:59:00,-0.00108,-0.00095,-0.00874,-0.00108,-0.00095,-0.00874
MARN00ITA,EURA14,2013-07-12 11:59:00,-0.00135,-0.00199,-0.0028,-0.00135,-0.00199,-0.0028
MARN00ITA,EURA14,2013-07-13 11:59:00,-0.00156,-0.00095,-0.00554,-0.00156,-0.00095,-0.00554
MARN00ITA,EURA14,2013-07-14 11:59:00,1e-05,-0.00083,-0.00638,1e-05,-0.00083,-0.00638
MARN00ITA,EURA14,2013-07-15 11:59:00,0.00053,-0.00047,0.00147,0.00053,-0.00047,0.00147
MARN00ITA,EURA14,2013-07-16 11:59:00,0.00062,-0.00101,-0.01272,0.00062,-0.00101,-0.01272
MARN00ITA,EURA14,2013-07-17 11:59:00,-0.00025,-0.00019,-0.00127,-0.00025,-0.00019,-0.00127
MARN00ITA,EURA14,2013-07-18 11:59:00,0.00164,-0.0016,-0.0068,0.00164,-0.0016,-0.0068
MARN00ITA,EURA14,2013-07-19 11:59:00,-0.00185,-0.00115,-0.0049,-0.00185,-0.00115,-0.0049
MARN00ITA,EURA14,2013-07-20 11:59:00,-0.00131,-0.00075,-0.00414,-0.00131,-0.00075,-0.00414
MARN00ITA,EURA14,2013-07-21 11:59:00,0.00178,-0.00099,-0.00674,0.00178,-0.00099,-0.00674
MARN00ITA,EURA14,2013-07-22 11:59:00,0.00026,-0.00164,0.00233,0.00026,-0.00164,0.00233
MARN00ITA,EURA14,2013-07-23 11:59:00,-0.00183,-0.00104,-0.00088,-0.00183,-0.00104,-0.00088
MARN00ITA,EURA14,2013-07-24 11:59:00,-0.00198,-0.00328,-0.00618,-0.00198,-0.00328,-0.00618
MARN00ITA,EURA14,2013-07-25 11:59:00,0.00078,-0.00195,0.00017,0.00078,-0.00195,0.00017
MARN00ITA,EURA14,2013-07-26 11:59:00,-0.00146,-0.00324,-0.00463,-0.00146,-0.00324,-0.00463
MARN00ITA,EURA14,2013-07-27 11:59:00,-4e-05,-0.00071,-0.00732,-4e-05,-0.00071,-0.00732
MARN00ITA,EURA14,2013-07-28 11:59:00,0.00033,-0.00113,-0.00535,0.00033,-0.00113,-0.00535
MARN00ITA,EURA14,2013-07-29 11:59:00,-5e-05,-3e-05,-0.00687,-5e-05,-3e-05,-0.00687
MARN00ITA,EURA14,2013-07-30 11:59:00,-0.00113,-0.00149,-0.00208,-0.00113,-0.00149,-0.00208
MARN00ITA,EURA14,2013-07-31 11:59:00,-0.00094,-0.00216,-0.00029,-0.00094,-0.00216,-0.00029
MARN00ITA,EURA14,2013-08-01 11:59:00,-0.00043,-0.00176,-0.00663,-0.00043,-0.00176,-0.00663
MARN00ITA,EURA14,2013-08-02 11:59:00,-0.00113,-0.00094,-0.00674,-0.00113,-0.00094,-0.00674
MARN00ITA,EURA14,2013-08-03 11:59:00,-0.00024,-0.00202,-0.00233,-0.00024,-0.00202,-0.00233
MARN00ITA,EURA14,2013-08-04 11:59:00,-0.00045,-0.00093,-0.00672,-0.00045,-0.00093,-0.00672
MARN00ITA,EURA14,2013-08-05 11:59:00,-0.00017,-0.00123,-0.00421,-0.00017,-0.00123,-0.00421
MARN00ITA,EURA14,2013-08-06 11:59:00,-0.00099,-0.00119,-0.0041,-0.00099,-0.00119,-0.0041
MARN00ITA,EURA14,2013-08-07 11:59:00,-0.00075,-0.00171,-0.0043,-0.00075,-0.00171,-0.0043
MARN00ITA,EURA14,2013-08-08 11:59:00,-0.00053,-0.00172,-0.00194,-0.00053,-0.00172,-0.00194
MARN00ITA,EURA14,2013-08-09 11:59:00,-0.00104,-0.002,-0.00132,-0.00104,-0.002,-0.00132
MARN00ITA,EURA14,2013-08-10 11:59:00,-0.00243,-0.00082,0.00076,-0.00243,-0.00082,0.00076
MARN00ITA,EURA14,2013-08-11 11:59:00,-2e-05,-0.00235,-0.00195,-2e-05,-0.00235,-0.00195
MARN00ITA,EURA14,2013-08-12 11:59:00,-0.00123,-0.00358,-0.00251,-0.00123,-0.00358,-0.00251
MARN00ITA,EURA14,2013-08-13 11:59:00,-0.00122,-0.00197,-0.0047,-0.00122,-0.00197,-0.0047
MARN00ITA,EURA14,2013-08-14 11:59:00,-0.00053,-0.00164,-0.00087,-0.00053,-0.00164,-0.00087
MARN00ITA,EURA14,2013-08-15 11:59:00,-0.0013,-0.00229,0.00689,-0.0013,-0.00229,0.00689
MARN00ITA,EURA14,2013-08-16 11:59:00,-0.00018,-0.00226,9e-05,-0.00018,-0.00226,9e-05
MARN00ITA,EURA14,2013-08-17 11:59:00,-0.00065,-0.00276,-0.00751,-0.00065,-0.00276,-0.00751
MARN00ITA,EURA14,2013-08-18 11:59:00,-0.00198,-0.00183,-0.00078,-0.00198,-0.00183,-0.00078
MARN00ITA,EURA14,2013-08-19 11:59:00,-0.00233,-0.00176,0.00139,-0.00233,-0.00176,0.00139
MARN00ITA,EURA14,2013-08-20 11:59:00,-0.00516,-0.0041,0.00922,-0.00516,-0.0041,0.00922
MARN00ITA,EURA14,2013-08-21 11:59:00,-0.00132,-0.00072,-0.00212,-0.00132,-0.00072,-0.00212
MARN00ITA,EURA14,2013-08-22 11:59:00,-0.00015,-0.00203,-0.00343,-0.00015,-0.00203,-0.00343
MARN00ITA,EURA14,2013-08-23 11:59:00,-0.00203,-0.00294,-0.00089,-0.00203,-0.00294,-0.00089
MARN00ITA,EURA14,2013-08-24 11:59:00,-0.00093,-0.00283,0.00221,-0.00093,-0.00283,0.00221
MARN00ITA,EURA14,2013-08-25 11:59:00,0.0005,4e-05,-0.00389,0.0005,4e-05,-0.00389
MARN00ITA,EURA14,2013-08-26 11:59:00,-0.00147,-0.0007,-0.00565,-0.00147,-0.0007,-0.00565
MARN00ITA,EURA14,2013-08-27 11:59:00,-0.00023,-0.00089,-0.00758,-0.00023,-0.00089,-0.00758
MARN00ITA,EURA14,2013-08-28 11:59:00,-0.00209,-0.00228,0.00724,-0.00209,-0.00228,0.00724
MARN00ITA,EURA14,2013-08-29 11:59:00,-0.0003,-0.00139,-0.01087,-0.0003,-0.00139,-0.01087
MARN00ITA,EURA14,2013-08-30 11:59:00,-0.0001,-0.00169,-0.00333,-0.0001,-0.00169,-0.00333
MARN00ITA,EURA14,2013-08-31 11:59:00,-0.00031,-0.00248,-0.00331,-0.00031,-0.00248,-0.00331
MARN00ITA,EURA14,2013-09-01 11:59:00,-0.00064,-0.00409,-6e-05,-0.00064,-0.00409,-6e-05
MARN00ITA,EURA14,2013-09-02 11:59:00,-0.00133,-0.00204,-0.00196,-0.00133,-0.00204,-0.00196
MARN00ITA,EURA14,2013-09-03 11:59:00,0.0003,-0.00231,0.00264,0.0003,-0.00231,0.00264
MARN00ITA,EURA14,2013-09-04 11:59:00,-0.00149,-0.0009,0.00169,-0.00149,-0.0009,0.00169
MARN00ITA,EURA14,2013-09-05 11:59:00,-0.00041,-0.00145,-0.00214,-0.00041,-0.00145,-0.00214
MARN00ITA,EURA14,2013-09-06 11:59:00,-0.0045,-0.00379,0.002,-0.0045,-0.00379,0.002
MARN00ITA,EURA14,2013-09-07 11:59:00,3e-05,-0.0023,-0.00036,3e-05,-0.0023,-0.00036
