marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
MIRA00ITA,EURA14,2019-12-11 11:59:00,14842.82631,64447.66808,-1252.97532,14842.82631,64447.66808,-1252.97532
MIRA00ITA,EURA14,2019-12-12 11:59:00,14842.82478,64447.66876,-1252.97642,14842.82478,64447.66876,-1252.97642
MIRA00ITA,EURA14,2019-12-13 11:59:00,14842.82368,64447.66883,-1252.97642,14842.82368,64447.66883,-1252.97642
MIRA00ITA,EURA14,2019-12-14 11:59:00,14842.82596,64447.66706,-1252.97894,14842.82596,64447.66706,-1252.97894
MIRA00ITA,EURA14,2019-12-15 11:59:00,14842.82582,64447.6688,-1252.98167,14842.82582,64447.6688,-1252.98167
MIRA00ITA,EURA14,2019-12-16 11:59:00,14842.82577,64447.6686,-1252.98376,14842.82577,64447.6686,-1252.98376
MIRA00ITA,EURA14,2019-12-17 11:59:00,14842.82597,64447.66976,-1252.99082,14842.82597,64447.66976,-1252.99082
MIRA00ITA,EURA14,2019-12-18 11:59:00,14842.82533,64447.66723,-1252.99904,14842.82533,64447.66723,-1252.99904
MIRA00ITA,EURA14,2019-12-19 11:59:00,14842.8248,64447.66823,-1252.98958,14842.8248,64447.66823,-1252.98958
MIRA00ITA,EURA14,2019-12-20 11:59:00,14842.8258,64447.66813,-1252.97084,14842.8258,64447.66813,-1252.97084
MIRA00ITA,EURA14,2019-12-21 11:59:00,14842.83285,64447.66598,-1252.98586,14842.83285,64447.66598,-1252.98586
MIRA00ITA,EURA14,2019-12-22 11:59:00,14842.82523,64447.66937,-1252.96581,14842.82523,64447.66937,-1252.96581
MIRA00ITA,EURA14,2019-12-23 11:59:00,14842.82494,64447.66842,-1252.97617,14842.82494,64447.66842,-1252.97617
MIRA00ITA,EURA14,2019-12-24 11:59:00,14842.82464,64447.66915,-1252.98426,14842.82464,64447.66915,-1252.98426
MIRA00ITA,EURA14,2019-12-25 11:59:00,14842.82502,64447.67049,-1252.97948,14842.82502,64447.67049,-1252.97948
MIRA00ITA,EURA14,2019-12-26 11:59:00,14842.82433,64447.67018,-1252.98387,14842.82433,64447.67018,-1252.98387
MIRA00ITA,EURA14,2019-12-27 11:59:00,14842.82503,64447.67033,-1252.9856,14842.82503,64447.67033,-1252.9856
MIRA00ITA,EURA14,2019-12-28 11:59:00,14842.82422,64447.66967,-1252.98788,14842.82422,64447.66967,-1252.98788
MIRA00ITA,EURA14,2019-12-29 11:59:00,14842.82463,64447.66999,-1252.98811,14842.82463,64447.66999,-1252.98811
MIRA00ITA,EURA14,2019-12-30 11:59:00,14842.82374,64447.66836,-1252.99211,14842.82374,64447.66836,-1252.99211
MIRA00ITA,EURA14,2019-12-31 11:59:00,14842.82486,64447.66969,-1252.98747,14842.82486,64447.66969,-1252.98747
MIRA00ITA,EURA14,2020-01-01 11:59:00,14842.82512,64447.66975,-1252.98519,14842.82512,64447.66975,-1252.98519
MIRA00ITA,EURA14,2020-01-02 11:59:00,14842.82443,64447.66983,-1252.98766,14842.82443,64447.66983,-1252.98766
MIRA00ITA,EURA14,2020-01-03 11:59:00,14842.82485,64447.66963,-1252.98904,14842.82485,64447.66963,-1252.98904
MIRA00ITA,EURA14,2020-01-04 11:59:00,14842.82453,64447.67022,-1252.98429,14842.82453,64447.67022,-1252.98429
MIRA00ITA,EURA14,2020-01-05 11:59:00,14842.82537,64447.67005,-1252.98709,14842.82537,64447.67005,-1252.98709
MIRA00ITA,EURA14,2020-01-06 11:59:00,14842.82508,64447.66967,-1252.98637,14842.82508,64447.66967,-1252.98637
MIRA00ITA,EURA14,2020-01-07 11:59:00,14842.82517,64447.66959,-1252.99073,14842.82517,64447.66959,-1252.99073
MIRA00ITA,EURA14,2020-01-08 11:59:00,14842.82575,64447.66921,-1252.99191,14842.82575,64447.66921,-1252.99191
MIRA00ITA,EURA14,2020-01-09 11:59:00,14842.82461,64447.66956,-1252.98817,14842.82461,64447.66956,-1252.98817
MIRA00ITA,EURA14,2020-01-10 11:59:00,14842.82479,64447.66958,-1252.98265,14842.82479,64447.66958,-1252.98265
MIRA00ITA,EURA14,2020-01-11 11:59:00,14842.82476,64447.66964,-1252.98072,14842.82476,64447.66964,-1252.98072
MIRA00ITA,EURA14,2020-01-12 11:59:00,14842.8253,64447.66927,-1252.98429,14842.8253,64447.66927,-1252.98429
MIRA00ITA,EURA14,2020-01-13 11:59:00,14842.82533,64447.66945,-1252.98318,14842.82533,64447.66945,-1252.98318
MIRA00ITA,EURA14,2020-01-14 11:59:00,14842.82562,64447.66914,-1252.99165,14842.82562,64447.66914,-1252.99165
MIRA00ITA,EURA14,2020-01-15 11:59:00,14842.82601,64447.66944,-1252.98385,14842.82601,64447.66944,-1252.98385
MIRA00ITA,EURA14,2020-01-16 11:59:00,14842.8253,64447.6709,-1252.98642,14842.8253,64447.6709,-1252.98642
MIRA00ITA,EURA14,2020-01-17 11:59:00,14842.8256,64447.67053,-1252.98444,14842.8256,64447.67053,-1252.98444
MIRA00ITA,EURA14,2020-01-18 11:59:00,14842.82579,64447.67031,-1252.97866,14842.82579,64447.67031,-1252.97866
MIRA00ITA,EURA14,2020-01-19 11:59:00,14842.8258,64447.67003,-1252.98009,14842.8258,64447.67003,-1252.98009
MIRA00ITA,EURA14,2020-01-20 11:59:00,14842.82567,64447.6703,-1252.98774,14842.82567,64447.6703,-1252.98774
MIRA00ITA,EURA14,2020-01-21 11:59:00,14842.82486,64447.67023,-1252.98371,14842.82486,64447.67023,-1252.98371
MIRA00ITA,EURA14,2020-01-22 11:59:00,14842.82535,64447.66952,-1252.98463,14842.82535,64447.66952,-1252.98463
MIRA00ITA,EURA14,2020-01-23 11:59:00,14842.82534,64447.67012,-1252.98759,14842.82534,64447.67012,-1252.98759
MIRA00ITA,EURA14,2020-01-24 11:59:00,14842.8251,64447.66937,-1252.99025,14842.8251,64447.66937,-1252.99025
MIRA00ITA,EURA14,2020-01-25 11:59:00,14842.82578,64447.66838,-1252.97958,14842.82578,64447.66838,-1252.97958
MIRA00ITA,EURA14,2020-01-26 11:59:00,14842.82626,64447.66869,-1252.98307,14842.82626,64447.66869,-1252.98307
MIRA00ITA,EURA14,2020-01-27 11:59:00,14842.82528,64447.66904,-1252.98226,14842.82528,64447.66904,-1252.98226
MIRA00ITA,EURA14,2020-01-28 11:59:00,14842.82546,64447.66869,-1252.98075,14842.82546,64447.66869,-1252.98075
MIRA00ITA,EURA14,2020-01-29 11:59:00,14842.82587,64447.66734,-1252.9771,14842.82587,64447.66734,-1252.9771
MIRA00ITA,EURA14,2020-01-30 11:59:00,14842.82512,64447.6694,-1252.97832,14842.82512,64447.6694,-1252.97832
MIRA00ITA,EURA14,2020-01-31 11:59:00,14842.8256,64447.66873,-1252.9801,14842.8256,64447.66873,-1252.9801
MIRA00ITA,EURA14,2020-02-01 11:59:00,14842.82614,64447.66867,-1252.98139,14842.82614,64447.66867,-1252.98139
MIRA00ITA,EURA14,2020-02-02 11:59:00,14842.82615,64447.66845,-1252.97991,14842.82615,64447.66845,-1252.97991
MIRA00ITA,EURA14,2020-02-03 11:59:00,14842.82502,64447.66713,-1252.97444,14842.82502,64447.66713,-1252.97444
MIRA00ITA,EURA14,2020-02-04 11:59:00,14842.82634,64447.67043,-1252.97347,14842.82634,64447.67043,-1252.97347
MIRA00ITA,EURA14,2020-02-05 11:59:00,14842.82508,64447.66856,-1252.97391,14842.82508,64447.66856,-1252.97391
MIRA00ITA,EURA14,2020-02-06 11:59:00,14842.82442,64447.66798,-1252.98191,14842.82442,64447.66798,-1252.98191
MIRA00ITA,EURA14,2020-02-07 11:59:00,14842.82409,64447.66948,-1252.98341,14842.82409,64447.66948,-1252.98341
MIRA00ITA,EURA14,2020-02-08 11:59:00,14842.82515,64447.66973,-1252.9872,14842.82515,64447.66973,-1252.9872
MIRA00ITA,EURA14,2020-02-09 11:59:00,14842.82583,64447.66902,-1252.9904,14842.82583,64447.66902,-1252.9904
MIRA00ITA,EURA14,2020-02-10 11:59:00,14842.82571,64447.66677,-1252.98392,14842.82571,64447.66677,-1252.98392
MIRA00ITA,EURA14,2020-02-11 11:59:00,14842.82708,64447.66719,-1252.97648,14842.82708,64447.66719,-1252.97648
MIRA00ITA,EURA14,2020-02-12 11:59:00,14842.82485,64447.66917,-1252.98067,14842.82485,64447.66917,-1252.98067
MIRA00ITA,EURA14,2020-02-13 11:59:00,14842.82635,64447.66864,-1252.9764,14842.82635,64447.66864,-1252.9764
MIRA00ITA,EURA14,2020-02-14 11:59:00,14842.82554,64447.66917,-1252.97926,14842.82554,64447.66917,-1252.97926
MIRA00ITA,EURA14,2020-02-15 11:59:00,14842.82498,64447.66925,-1252.98324,14842.82498,64447.66925,-1252.98324
MIRA00ITA,EURA14,2020-02-16 11:59:00,14842.82505,64447.66944,-1252.98908,14842.82505,64447.66944,-1252.98908
MIRA00ITA,EURA14,2020-02-17 11:59:00,14842.82539,64447.6695,-1252.98164,14842.82539,64447.6695,-1252.98164
MIRA00ITA,EURA14,2020-02-18 11:59:00,14842.82617,64447.67001,-1252.98079,14842.82617,64447.67001,-1252.98079
MIRA00ITA,EURA14,2020-02-19 11:59:00,14842.82509,64447.66968,-1252.98652,14842.82509,64447.66968,-1252.98652
MIRA00ITA,EURA14,2020-02-20 11:59:00,14842.8248,64447.67058,-1252.9809,14842.8248,64447.67058,-1252.9809
MIRA00ITA,EURA14,2020-02-21 11:59:00,14842.82523,64447.66894,-1252.97886,14842.82523,64447.66894,-1252.97886
MIRA00ITA,EURA14,2020-02-22 11:59:00,14842.82576,64447.6703,-1252.98736,14842.82576,64447.6703,-1252.98736
MIRA00ITA,EURA14,2020-02-23 11:59:00,14842.82591,64447.66986,-1252.97943,14842.82591,64447.66986,-1252.97943
MIRA00ITA,EURA14,2020-02-24 11:59:00,14842.82584,64447.66881,-1252.97412,14842.82584,64447.66881,-1252.97412
MIRA00ITA,EURA14,2020-02-25 11:59:00,14842.82552,64447.66801,-1252.97164,14842.82552,64447.66801,-1252.97164
MIRA00ITA,EURA14,2020-02-26 11:59:00,14842.82552,64447.66841,-1252.97009,14842.82552,64447.66841,-1252.97009
MIRA00ITA,EURA14,2020-02-27 11:59:00,14842.82762,64447.66367,-1252.97083,14842.82762,64447.66367,-1252.97083
MIRA00ITA,EURA14,2020-02-28 11:59:00,14842.82522,64447.66814,-1252.9781,14842.82522,64447.66814,-1252.9781
MIRA00ITA,EURA14,2020-02-29 11:59:00,14842.82384,64447.6683,-1252.97515,14842.82384,64447.6683,-1252.97515
MIRA00ITA,EURA14,2020-03-01 11:59:00,14842.83038,64447.66963,-1252.97564,14842.83038,64447.66963,-1252.97564
MIRA00ITA,EURA14,2020-03-02 11:59:00,14842.82728,64447.67109,-1252.97989,14842.82728,64447.67109,-1252.97989
MIRA00ITA,EURA14,2020-03-03 11:59:00,14842.826,64447.66923,-1252.97854,14842.826,64447.66923,-1252.97854
MIRA00ITA,EURA14,2020-03-04 11:59:00,14842.82619,64447.67024,-1252.97949,14842.82619,64447.67024,-1252.97949
MIRA00ITA,EURA14,2020-03-05 11:59:00,14842.82545,64447.66839,-1252.97723,14842.82545,64447.66839,-1252.97723
MIRA00ITA,EURA14,2020-03-06 11:59:00,14842.82617,64447.67154,-1252.97877,14842.82617,64447.67154,-1252.97877
MIRA00ITA,EURA14,2020-03-07 11:59:00,14842.8254,64447.67064,-1252.98279,14842.8254,64447.67064,-1252.98279
MIRA00ITA,EURA14,2020-03-08 11:59:00,14842.82626,64447.67206,-1252.98599,14842.82626,64447.67206,-1252.98599
MIRA00ITA,EURA14,2020-03-09 11:59:00,14842.82613,64447.6705,-1252.98458,14842.82613,64447.6705,-1252.98458
MIRA00ITA,EURA14,2020-03-10 11:59:00,14842.82602,64447.6695,-1252.98394,14842.82602,64447.6695,-1252.98394
MIRA00ITA,EURA14,2020-03-11 11:59:00,14842.82683,64447.66984,-1252.98261,14842.82683,64447.66984,-1252.98261
MIRA00ITA,EURA14,2020-03-12 11:59:00,14842.82468,64447.67022,-1252.98524,14842.82468,64447.67022,-1252.98524
MIRA00ITA,EURA14,2020-03-13 11:59:00,14842.8264,64447.66912,-1252.97623,14842.8264,64447.66912,-1252.97623
MIRA00ITA,EURA14,2020-03-14 11:59:00,14842.82646,64447.66957,-1252.97678,14842.82646,64447.66957,-1252.97678
MIRA00ITA,EURA14,2020-03-15 11:59:00,14842.82642,64447.67067,-1252.98382,14842.82642,64447.67067,-1252.98382
MIRA00ITA,EURA14,2020-03-16 11:59:00,14842.82641,64447.66995,-1252.9888,14842.82641,64447.66995,-1252.9888
MIRA00ITA,EURA14,2020-03-17 11:59:00,14842.8285,64447.67,-1252.98412,14842.8285,64447.67,-1252.98412
MIRA00ITA,EURA14,2020-03-18 11:59:00,14842.82616,64447.6707,-1252.98207,14842.82616,64447.6707,-1252.98207
MIRA00ITA,EURA14,2020-03-19 11:59:00,14842.82866,64447.67011,-1252.97894,14842.82866,64447.67011,-1252.97894
MIRA00ITA,EURA14,2020-03-20 11:59:00,14842.82642,64447.66973,-1252.97625,14842.82642,64447.66973,-1252.97625
MIRA00ITA,EURA14,2020-03-21 11:59:00,14842.82567,64447.66954,-1252.96065,14842.82567,64447.66954,-1252.96065
MIRA00ITA,EURA14,2020-03-22 11:59:00,14842.82532,64447.66889,-1252.97978,14842.82532,64447.66889,-1252.97978
MIRA00ITA,EURA14,2020-03-23 11:59:00,14842.82494,64447.67173,-1252.9764,14842.82494,64447.67173,-1252.9764
MIRA00ITA,EURA14,2020-03-24 11:59:00,14842.81789,64447.67054,-1252.97637,14842.81789,64447.67054,-1252.97637
MIRA00ITA,EURA14,2020-03-25 11:59:00,14842.81975,64447.67013,-1252.97208,14842.81975,64447.67013,-1252.97208
MIRA00ITA,EURA14,2020-03-26 11:59:00,14842.82583,64447.67224,-1252.97901,14842.82583,64447.67224,-1252.97901
MIRA00ITA,EURA14,2020-03-27 11:59:00,14842.82572,64447.67058,-1252.97667,14842.82572,64447.67058,-1252.97667
MIRA00ITA,EURA14,2020-03-28 11:59:00,14842.82624,64447.67005,-1252.98179,14842.82624,64447.67005,-1252.98179
MIRA00ITA,EURA14,2020-03-29 11:59:00,14842.82553,64447.67163,-1252.97819,14842.82553,64447.67163,-1252.97819
MIRA00ITA,EURA14,2020-03-30 11:59:00,14842.82808,64447.66777,-1252.97071,14842.82808,64447.66777,-1252.97071
MIRA00ITA,EURA14,2020-03-31 11:59:00,14842.82504,64447.67133,-1252.9845,14842.82504,64447.67133,-1252.9845
MIRA00ITA,EURA14,2020-04-01 11:59:00,14842.8243,64447.67083,-1252.98951,14842.8243,64447.67083,-1252.98951
MIRA00ITA,EURA14,2020-04-02 11:59:00,14842.8262,64447.67028,-1252.97981,14842.8262,64447.67028,-1252.97981
MIRA00ITA,EURA14,2020-04-03 11:59:00,14842.82691,64447.67071,-1252.98031,14842.82691,64447.67071,-1252.98031
MIRA00ITA,EURA14,2020-04-04 11:59:00,14842.82616,64447.67062,-1252.98298,14842.82616,64447.67062,-1252.98298
MIRA00ITA,EURA14,2020-04-05 11:59:00,14842.82641,64447.67114,-1252.98381,14842.82641,64447.67114,-1252.98381
MIRA00ITA,EURA14,2020-04-06 11:59:00,14842.82628,64447.6711,-1252.98718,14842.82628,64447.6711,-1252.98718
MIRA00ITA,EURA14,2020-04-07 11:59:00,14842.82662,64447.67059,-1252.98692,14842.82662,64447.67059,-1252.98692
MIRA00ITA,EURA14,2020-04-08 11:59:00,14842.82532,64447.67228,-1252.98976,14842.82532,64447.67228,-1252.98976
MIRA00ITA,EURA14,2020-04-09 11:59:00,14842.82674,64447.6706,-1252.98178,14842.82674,64447.6706,-1252.98178
MIRA00ITA,EURA14,2020-04-10 11:59:00,14842.82866,64447.66669,-1252.97324,14842.82866,64447.66669,-1252.97324
MIRA00ITA,EURA14,2020-04-11 11:59:00,14842.82683,64447.66967,-1252.98313,14842.82683,64447.66967,-1252.98313
MIRA00ITA,EURA14,2020-04-12 11:59:00,14842.82731,64447.67004,-1252.98027,14842.82731,64447.67004,-1252.98027
MIRA00ITA,EURA14,2020-04-13 11:59:00,14842.82458,64447.67111,-1252.97392,14842.82458,64447.67111,-1252.97392
MIRA00ITA,EURA14,2020-04-14 11:59:00,14842.81641,64447.66003,-1252.93135,14842.81641,64447.66003,-1252.93135
MIRA00ITA,EURA14,2020-04-15 11:59:00,14842.85832,64447.66266,-1252.93034,14842.85832,64447.66266,-1252.93034
MIRA00ITA,EURA14,2020-04-16 11:59:00,14842.82538,64447.67023,-1252.98555,14842.82538,64447.67023,-1252.98555
MIRA00ITA,EURA14,2020-04-17 11:59:00,14842.82593,64447.66993,-1252.98042,14842.82593,64447.66993,-1252.98042
MIRA00ITA,EURA14,2020-04-18 11:59:00,14842.82681,64447.66923,-1252.98034,14842.82681,64447.66923,-1252.98034
MIRA00ITA,EURA14,2020-04-19 11:59:00,14842.8262,64447.67058,-1252.97887,14842.8262,64447.67058,-1252.97887
MIRA00ITA,EURA14,2020-04-20 11:59:00,14842.8256,64447.67018,-1252.98154,14842.8256,64447.67018,-1252.98154
MIRA00ITA,EURA14,2020-04-21 11:59:00,14842.82554,64447.67143,-1252.98556,14842.82554,64447.67143,-1252.98556
MIRA00ITA,EURA14,2020-04-22 11:59:00,14842.82505,64447.67047,-1252.98219,14842.82505,64447.67047,-1252.98219
MIRA00ITA,EURA14,2020-04-23 11:59:00,14842.82544,64447.67055,-1252.98718,14842.82544,64447.67055,-1252.98718
MIRA00ITA,EURA14,2020-04-24 11:59:00,14842.82638,64447.67017,-1252.98227,14842.82638,64447.67017,-1252.98227
MIRA00ITA,EURA14,2020-04-25 11:59:00,14842.8267,64447.66864,-1252.98199,14842.8267,64447.66864,-1252.98199
MIRA00ITA,EURA14,2020-04-26 11:59:00,14842.82655,64447.66906,-1252.98739,14842.82655,64447.66906,-1252.98739
MIRA00ITA,EURA14,2020-04-27 11:59:00,14842.82701,64447.66962,-1252.98453,14842.82701,64447.66962,-1252.98453
MIRA00ITA,EURA14,2020-04-28 11:59:00,14842.82686,64447.67307,-1252.98484,14842.82686,64447.67307,-1252.98484
MIRA00ITA,EURA14,2020-04-29 11:59:00,14842.82557,64447.67018,-1252.98244,14842.82557,64447.67018,-1252.98244
MIRA00ITA,EURA14,2020-04-30 11:59:00,14842.82625,64447.66952,-1252.98494,14842.82625,64447.66952,-1252.98494
MIRA00ITA,EURA14,2020-05-01 11:59:00,14842.82783,64447.66869,-1252.97948,14842.82783,64447.66869,-1252.97948
MIRA00ITA,EURA14,2020-05-02 11:59:00,14842.82635,64447.66907,-1252.98075,14842.82635,64447.66907,-1252.98075
MIRA00ITA,EURA14,2020-05-03 11:59:00,14842.82626,64447.67305,-1252.98526,14842.82626,64447.67305,-1252.98526
MIRA00ITA,EURA14,2020-05-04 11:59:00,14842.82713,64447.67106,-1252.98425,14842.82713,64447.67106,-1252.98425
MIRA00ITA,EURA14,2020-05-05 11:59:00,14842.82411,64447.67095,-1252.98276,14842.82411,64447.67095,-1252.98276
MIRA00ITA,EURA14,2020-05-06 11:59:00,14842.82901,64447.66852,-1252.98326,14842.82901,64447.66852,-1252.98326
MIRA00ITA,EURA14,2020-05-07 11:59:00,14842.82544,64447.66997,-1252.98978,14842.82544,64447.66997,-1252.98978
MIRA00ITA,EURA14,2020-05-08 11:59:00,14842.82744,64447.67092,-1252.98737,14842.82744,64447.67092,-1252.98737
MIRA00ITA,EURA14,2020-05-09 11:59:00,14842.82612,64447.66985,-1252.97803,14842.82612,64447.66985,-1252.97803
MIRA00ITA,EURA14,2020-05-10 11:59:00,14842.82732,64447.67002,-1252.98089,14842.82732,64447.67002,-1252.98089
MIRA00ITA,EURA14,2020-05-11 11:59:00,14842.82221,64447.67021,-1252.98363,14842.82221,64447.67021,-1252.98363
MIRA00ITA,EURA14,2020-05-12 11:59:00,14842.82689,64447.6698,-1252.98678,14842.82689,64447.6698,-1252.98678
MIRA00ITA,EURA14,2020-05-13 11:59:00,14842.82763,64447.66786,-1252.97867,14842.82763,64447.66786,-1252.97867
MIRA00ITA,EURA14,2020-05-14 11:59:00,14842.80017,64447.67651,-1252.98654,14842.80017,64447.67651,-1252.98654
MIRA00ITA,EURA14,2020-05-15 11:59:00,14842.82905,64447.67026,-1252.97981,14842.82905,64447.67026,-1252.97981
MIRA00ITA,EURA14,2020-05-16 11:59:00,14842.82909,64447.67079,-1252.9707,14842.82909,64447.67079,-1252.9707
MIRA00ITA,EURA14,2020-05-17 11:59:00,14842.82336,64447.6712,-1252.97996,14842.82336,64447.6712,-1252.97996
MIRA00ITA,EURA14,2020-05-18 11:59:00,14842.8253,64447.66975,-1252.98023,14842.8253,64447.66975,-1252.98023
MIRA00ITA,EURA14,2020-05-19 11:59:00,14842.82225,64447.67504,-1252.98455,14842.82225,64447.67504,-1252.98455
MIRA00ITA,EURA14,2020-05-20 11:59:00,14842.82131,64447.67419,-1252.99302,14842.82131,64447.67419,-1252.99302
MIRA00ITA,EURA14,2020-05-21 11:59:00,14842.82464,64447.67009,-1252.98175,14842.82464,64447.67009,-1252.98175
MIRA00ITA,EURA14,2020-05-22 11:59:00,14842.82918,64447.65924,-1252.96644,14842.82918,64447.65924,-1252.96644
MIRA00ITA,EURA14,2020-05-23 11:59:00,14842.82652,64447.67049,-1252.97677,14842.82652,64447.67049,-1252.97677
MIRA00ITA,EURA14,2020-05-24 11:59:00,14842.82686,64447.67023,-1252.9848,14842.82686,64447.67023,-1252.9848
MIRA00ITA,EURA14,2020-05-25 11:59:00,14842.82555,64447.67063,-1252.98025,14842.82555,64447.67063,-1252.98025
MIRA00ITA,EURA14,2020-05-26 11:59:00,14842.81752,64447.67169,-1252.97019,14842.81752,64447.67169,-1252.97019
MIRA00ITA,EURA14,2020-05-27 11:59:00,14842.82456,64447.67005,-1252.98087,14842.82456,64447.67005,-1252.98087
MIRA00ITA,EURA14,2020-05-28 11:59:00,14842.82555,64447.66964,-1252.97991,14842.82555,64447.66964,-1252.97991
MIRA00ITA,EURA14,2020-05-29 11:59:00,14842.82496,64447.67035,-1252.9802,14842.82496,64447.67035,-1252.9802
MIRA00ITA,EURA14,2020-05-30 11:59:00,14842.8268,64447.6706,-1252.98497,14842.8268,64447.6706,-1252.98497
MIRA00ITA,EURA14,2020-05-31 11:59:00,14842.8258,64447.67219,-1252.98684,14842.8258,64447.67219,-1252.98684
MIRA00ITA,EURA14,2020-06-01 11:59:00,14842.82579,64447.67038,-1252.97988,14842.82579,64447.67038,-1252.97988
MIRA00ITA,EURA14,2020-06-02 11:59:00,14842.82747,64447.67026,-1252.98641,14842.82747,64447.67026,-1252.98641
MIRA00ITA,EURA14,2020-06-03 11:59:00,14842.8313,64447.68123,-1252.99635,14842.8313,64447.68123,-1252.99635
MIRA00ITA,EURA14,2020-06-04 11:59:00,14842.76138,64447.67973,-1253.00524,14842.76138,64447.67973,-1253.00524
