marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
MORO00ITA,EURA14,2007-11-21 11:59:00,-0.10624,-0.02213,0.06244,-0.10624,-0.02213,0.06244
MORO00ITA,EURA14,2007-11-22 11:59:00,-0.10522999999999999,-0.022215,0.06214,-0.10522999999999999,-0.022215,0.06214
MORO00ITA,EURA14,2007-11-23 11:59:00,-0.10422,-0.0223,0.06184,-0.10422,-0.0223,0.06184
MORO00ITA,EURA14,2007-11-24 11:59:00,-0.07004,-0.01076,0.02436,-0.07004,-0.01076,0.02436
MORO00ITA,EURA14,2008-01-18 11:59:00,-0.10376,-0.02191,0.06539,-0.0947850294117647,-0.02152789705882353,0.052860352941176476
MORO00ITA,EURA14,2008-01-23 11:59:00,-0.10501,-0.01953,0.05689,-0.0960350294117647,-0.01914789705882353,0.044360352941176476
MORO00ITA,EURA14,2008-01-24 11:59:00,-0.10546,-0.02036,0.05712,-0.09648502941176469,-0.01997789705882353,0.04459035294117647
MORO00ITA,EURA14,2008-01-25 11:59:00,-0.10413,-0.02014,0.05898,-0.0951550294117647,-0.019757897058823533,0.04645035294117647
MORO00ITA,EURA14,2008-01-26 11:59:00,-0.10539,-0.02023,0.05957,-0.09641502941176469,-0.019847897058823533,0.04704035294117647
MORO00ITA,EURA14,2008-01-27 11:59:00,-0.10405,-0.02134,0.06054,-0.0950750294117647,-0.020957897058823532,0.04801035294117647
MORO00ITA,EURA14,2008-01-28 11:59:00,-0.10546,-0.01963,0.0644,-0.09648502941176469,-0.019247897058823533,0.05187035294117647
MORO00ITA,EURA14,2008-01-29 11:59:00,-0.10471,-0.02116,0.06364,-0.09573502941176469,-0.020777897058823533,0.051110352941176475
MORO00ITA,EURA14,2008-01-30 11:59:00,-0.10487,-0.02171,0.06165,-0.0958950294117647,-0.02132789705882353,0.049120352941176476
MORO00ITA,EURA14,2008-01-31 11:59:00,-0.10541,-0.02132,0.06101,-0.0964350294117647,-0.02093789705882353,0.048480352941176474
MORO00ITA,EURA14,2008-02-01 11:59:00,-0.10596,-0.02199,0.05748,-0.09698502941176469,-0.02160789705882353,0.044950352941176476
MORO00ITA,EURA14,2008-02-02 11:59:00,-0.10545,-0.02087,0.06467,-0.0964750294117647,-0.02048789705882353,0.05214035294117648
MORO00ITA,EURA14,2008-02-03 11:59:00,-0.10556,-0.02187,0.05839,-0.0965850294117647,-0.02148789705882353,0.04586035294117647
MORO00ITA,EURA14,2008-02-04 11:59:00,-0.1048,-0.02028,0.06424,-0.0958250294117647,-0.01989789705882353,0.05171035294117648
MORO00ITA,EURA14,2008-02-05 11:59:00,-0.10493,-0.01924,0.06597,-0.09595502941176469,-0.01885789705882353,0.053440352941176474
MORO00ITA,EURA14,2008-02-06 11:59:00,-0.10505,-0.02167,0.05743,-0.0960750294117647,-0.02128789705882353,0.044900352941176475
MORO00ITA,EURA14,2008-02-07 11:59:00,-0.10497,-0.0209,0.06667,-0.09599502941176469,-0.02051789705882353,0.054140352941176466
MORO00ITA,EURA14,2008-02-08 11:59:00,-0.1054,-0.01725,0.06057,-0.09642502941176469,-0.016867897058823533,0.04804035294117647
MORO00ITA,EURA14,2008-02-09 11:59:00,-0.105855,-0.01824,0.062655,-0.0968800294117647,-0.01785789705882353,0.050125352941176475
MORO00ITA,EURA14,2008-02-10 11:59:00,-0.10631,-0.01923,0.06474,-0.0973350294117647,-0.01884789705882353,0.05221035294117648
MORO00ITA,EURA14,2008-02-11 11:59:00,-0.10585,-0.01803,0.06519,-0.0968750294117647,-0.017647897058823532,0.05266035294117647
MORO00ITA,EURA14,2008-02-12 11:59:00,-0.10562,-0.01905,0.06094,-0.0966450294117647,-0.018667897058823532,0.048410352941176474
MORO00ITA,EURA14,2008-02-13 11:59:00,-0.105955,-0.019425,0.06082,-0.09698002941176469,-0.019042897058823532,0.04829035294117647
MORO00ITA,EURA14,2008-02-14 11:59:00,-0.10629,-0.0198,0.0607,-0.09731502941176469,-0.019417897058823533,0.04817035294117647
MORO00ITA,EURA14,2008-02-15 11:59:00,-0.10578499999999999,-0.01994,0.060009999999999994,-0.09681002941176468,-0.01955789705882353,0.04748035294117647
MORO00ITA,EURA14,2008-02-16 11:59:00,-0.10528,-0.02008,0.05932,-0.09630502941176469,-0.019697897058823532,0.04679035294117647
MORO00ITA,EURA14,2008-02-17 11:59:00,-0.10603,-0.0195,0.06022,-0.09705502941176469,-0.01911789705882353,0.047690352941176475
MORO00ITA,EURA14,2008-02-18 11:59:00,-0.10579,-0.01962,0.06516,-0.09681502941176469,-0.01923789705882353,0.05263035294117647
MORO00ITA,EURA14,2008-02-19 11:59:00,-0.10512,-0.01768,0.06352,-0.0961450294117647,-0.017297897058823532,0.050990352941176466
MORO00ITA,EURA14,2008-02-20 11:59:00,-0.10623,-0.01929,0.06348,-0.0972550294117647,-0.018907897058823533,0.05095035294117647
MORO00ITA,EURA14,2008-02-21 11:59:00,-0.10633,-0.02,0.06656,-0.09735502941176469,-0.01961789705882353,0.05403035294117647
MORO00ITA,EURA14,2008-02-22 11:59:00,-0.106765,-0.01973,0.064055,-0.09779002941176469,-0.019347897058823532,0.051525352941176474
MORO00ITA,EURA14,2008-02-23 11:59:00,-0.1072,-0.01946,0.06155,-0.0982250294117647,-0.019077897058823533,0.04902035294117647
MORO00ITA,EURA14,2008-02-24 11:59:00,-0.10629,-0.01983,0.06277,-0.09731502941176469,-0.01944789705882353,0.05024035294117648
MORO00ITA,EURA14,2008-02-25 11:59:00,-0.10476,-0.02062,0.06144,-0.0957850294117647,-0.02023789705882353,0.048910352941176474
MORO00ITA,EURA14,2008-02-26 11:59:00,-0.1039,-0.02095,0.06297,-0.0949250294117647,-0.02056789705882353,0.05044035294117647
MORO00ITA,EURA14,2008-02-27 11:59:00,-0.10526,-0.02144,0.06286,-0.0962850294117647,-0.021057897058823532,0.05033035294117647
MORO00ITA,EURA14,2008-02-28 11:59:00,-0.10545,-0.01931,0.06606,-0.0964750294117647,-0.018927897058823532,0.053530352941176466
MORO00ITA,EURA14,2008-02-29 11:59:00,-0.10427,-0.02099,0.06131,-0.0952950294117647,-0.020607897058823533,0.048780352941176476
MORO00ITA,EURA14,2008-03-03 11:59:00,-0.10514,-0.01995,0.06553,-0.09616502941176469,-0.01956789705882353,0.05300035294117648
MORO00ITA,EURA14,2008-03-04 11:59:00,-0.10549,-0.01972,0.06701,-0.0965150294117647,-0.019337897058823533,0.05448035294117647
MORO00ITA,EURA14,2008-03-05 11:59:00,-0.10584,-0.01949,0.06849,-0.0968650294117647,-0.01910789705882353,0.05596035294117647
MORO00ITA,EURA14,2008-03-06 11:59:00,-0.10644,-0.01954,0.07569,-0.0974650294117647,-0.01915789705882353,0.06316035294117647
MORO00ITA,EURA14,2008-03-07 11:59:00,-0.10322,-0.01637,0.07116,-0.0942450294117647,-0.01598789705882353,0.058630352941176474
MORO00ITA,EURA14,2008-03-14 11:59:00,-0.1059,-0.01898,0.06455,-0.09692502941176469,-0.01859789705882353,0.05202035294117647
MORO00ITA,EURA14,2008-03-15 11:59:00,-0.10568,-0.0182,0.06408,-0.09670502941176469,-0.017817897058823532,0.05155035294117647
MORO00ITA,EURA14,2008-03-19 11:59:00,-0.10595,-0.01891,0.07116,-0.0969750294117647,-0.01852789705882353,0.058630352941176474
MORO00ITA,EURA14,2008-03-20 11:59:00,-0.10483,-0.02021,0.07582,-0.0958550294117647,-0.01982789705882353,0.06329035294117646
MORO00ITA,EURA14,2008-03-21 11:59:00,-0.10508,-0.02084,0.07359,-0.0961050294117647,-0.020457897058823532,0.061060352941176475
MORO00ITA,EURA14,2008-03-22 11:59:00,-0.105515,-0.020735,0.07621,-0.09654002941176469,-0.02035289705882353,0.06368035294117647
MORO00ITA,EURA14,2008-03-23 11:59:00,-0.10595,-0.02063,0.07883,-0.0969750294117647,-0.02024789705882353,0.06630035294117648
