marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ORTE00ITA,EURA14,2019-07-30 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ORTE00ITA,EURA14,2019-07-31 11:59:00,0.00068,0.00274,-0.00637,0.00068,0.00274,-0.00637
ORTE00ITA,EURA14,2019-08-01 11:59:00,0.00181,0.00131,0.00693,0.00181,0.00131,0.00693
ORTE00ITA,EURA14,2019-08-02 11:59:00,0.00136,0.00107,0.01136,0.00136,0.00107,0.01136
ORTE00ITA,EURA14,2019-08-03 11:59:00,-0.00202,0.00095,0.00085,-0.00202,0.00095,0.00085
ORTE00ITA,EURA14,2019-08-04 11:59:00,-0.00098,0.00107,0.00523,-0.00098,0.00107,0.00523
ORTE00ITA,EURA14,2019-08-05 11:59:00,0.00025,0.00157,-0.00073,0.00025,0.00157,-0.00073
ORTE00ITA,EURA14,2019-08-06 11:59:00,-8e-05,0.00152,0.00222,-8e-05,0.00152,0.00222
ORTE00ITA,EURA14,2019-08-07 11:59:00,0.00187,0.00075,0.0014,0.00187,0.00075,0.0014
ORTE00ITA,EURA14,2019-08-08 11:59:00,0.0003,0.00163,0.0029,0.0003,0.00163,0.0029
ORTE00ITA,EURA14,2019-08-09 11:59:00,5e-05,0.00528,-0.01609,5e-05,0.00528,-0.01609
ORTE00ITA,EURA14,2019-08-10 11:59:00,-0.00033,0.00247,-0.00079,-0.00033,0.00247,-0.00079
ORTE00ITA,EURA14,2019-08-11 11:59:00,0.00077,0.00093,0.00601,0.00077,0.00093,0.00601
ORTE00ITA,EURA14,2019-08-12 11:59:00,0.0015,0.00271,0.006,0.0015,0.00271,0.006
ORTE00ITA,EURA14,2019-08-13 11:59:00,0.00093,0.00123,0.0096,0.00093,0.00123,0.0096
ORTE00ITA,EURA14,2019-08-14 11:59:00,-0.00149,0.00084,0.00327,-0.00149,0.00084,0.00327
ORTE00ITA,EURA14,2019-08-15 11:59:00,-0.00067,0.00123,0.01011,-0.00067,0.00123,0.01011
ORTE00ITA,EURA14,2019-08-16 11:59:00,-0.00226,0.00142,0.00216,-0.00226,0.00142,0.00216
ORTE00ITA,EURA14,2019-08-17 11:59:00,0.0008,0.00316,0.00317,0.0008,0.00316,0.00317
ORTE00ITA,EURA14,2019-08-18 11:59:00,0.00058,0.00012,0.0077,0.00058,0.00012,0.0077
ORTE00ITA,EURA14,2019-08-19 11:59:00,0.00024,0.00335,0.00134,0.00024,0.00335,0.00134
ORTE00ITA,EURA14,2019-08-20 11:59:00,9e-05,0.00067,0.00031,9e-05,0.00067,0.00031
ORTE00ITA,EURA14,2019-08-21 11:59:00,0.00077,0.00184,0.00483,0.00077,0.00184,0.00483
ORTE00ITA,EURA14,2019-08-22 11:59:00,-0.00032,0.00062,0.0027,-0.00032,0.00062,0.0027
ORTE00ITA,EURA14,2019-08-23 11:59:00,0.00362,0.00013,-0.00896,0.00362,0.00013,-0.00896
ORTE00ITA,EURA14,2019-08-24 11:59:00,0.00094,0.00188,0.00086,0.00094,0.00188,0.00086
ORTE00ITA,EURA14,2019-08-25 11:59:00,0.00144,-0.00016,0.00434,0.00144,-0.00016,0.00434
ORTE00ITA,EURA14,2019-08-26 11:59:00,-2e-05,0.00296,0.006,-2e-05,0.00296,0.006
ORTE00ITA,EURA14,2019-08-27 11:59:00,-0.00085,0.00198,0.00551,-0.00085,0.00198,0.00551
ORTE00ITA,EURA14,2019-08-28 11:59:00,-0.0013,0.00211,0.00323,-0.0013,0.00211,0.00323
ORTE00ITA,EURA14,2019-08-29 11:59:00,0.00085,-0.00122,0.00678,0.00085,-0.00122,0.00678
ORTE00ITA,EURA14,2019-08-30 11:59:00,0.00049,0.00332,0.00292,0.00049,0.00332,0.00292
ORTE00ITA,EURA14,2019-08-31 11:59:00,0.00038,0.00133,-0.00053,0.00038,0.00133,-0.00053
ORTE00ITA,EURA14,2019-09-01 11:59:00,0.00337,0.00228,0.01718,0.00337,0.00228,0.01718
ORTE00ITA,EURA14,2019-09-02 11:59:00,-0.00125,0.00398,-0.00072,-0.00125,0.00398,-0.00072
ORTE00ITA,EURA14,2019-09-03 11:59:00,0.00239,0.00052,0.00455,0.00239,0.00052,0.00455
ORTE00ITA,EURA14,2019-09-04 11:59:00,3e-05,0.00171,0.00245,3e-05,0.00171,0.00245
ORTE00ITA,EURA14,2019-09-05 11:59:00,0.00153,0.00173,0.00856,0.00153,0.00173,0.00856
ORTE00ITA,EURA14,2019-09-06 11:59:00,0.00121,-0.0001,0.00325,0.00121,-0.0001,0.00325
ORTE00ITA,EURA14,2019-09-07 11:59:00,-0.00074,0.00298,0.00454,-0.00074,0.00298,0.00454
ORTE00ITA,EURA14,2019-09-08 11:59:00,-0.00232,-0.00029,0.01055,-0.00232,-0.00029,0.01055
ORTE00ITA,EURA14,2019-09-09 11:59:00,-0.00018,0.00322,0.00771,-0.00018,0.00322,0.00771
ORTE00ITA,EURA14,2019-09-10 11:59:00,0.00089,0.00105,0.00191,0.00089,0.00105,0.00191
ORTE00ITA,EURA14,2019-09-11 11:59:00,-0.00053,0.00085,0.00261,-0.00053,0.00085,0.00261
ORTE00ITA,EURA14,2019-09-12 11:59:00,0.00152,0.00239,0.00402,0.00152,0.00239,0.00402
ORTE00ITA,EURA14,2019-09-13 11:59:00,0.00042,0.00256,-0.00135,0.00042,0.00256,-0.00135
ORTE00ITA,EURA14,2019-09-14 11:59:00,0.00183,0.00246,-0.00175,0.00183,0.00246,-0.00175
ORTE00ITA,EURA14,2019-09-15 11:59:00,0.00178,0.0014,0.00117,0.00178,0.0014,0.00117
ORTE00ITA,EURA14,2019-09-16 11:59:00,0.00055,0.00094,0.00346,0.00055,0.00094,0.00346
ORTE00ITA,EURA14,2019-09-17 11:59:00,0.00058,0.00111,0.00827,0.00058,0.00111,0.00827
ORTE00ITA,EURA14,2019-09-18 11:59:00,0.00219,0.00215,0.00566,0.00219,0.00215,0.00566
ORTE00ITA,EURA14,2019-09-19 11:59:00,0.00058,0.00283,0.00297,0.00058,0.00283,0.00297
ORTE00ITA,EURA14,2019-09-20 11:59:00,0.00233,0.00064,0.00109,0.00233,0.00064,0.00109
ORTE00ITA,EURA14,2019-09-21 11:59:00,0.00162,0.0011,0.0023,0.00162,0.0011,0.0023
ORTE00ITA,EURA14,2019-09-22 11:59:00,0.00075,-0.00033,-0.00059,0.00075,-0.00033,-0.00059
ORTE00ITA,EURA14,2019-09-23 11:59:00,0.00103,0.00208,-3e-05,0.00103,0.00208,-3e-05
ORTE00ITA,EURA14,2019-09-24 11:59:00,0.0007,0.00119,0.00392,0.0007,0.00119,0.00392
ORTE00ITA,EURA14,2019-09-25 11:59:00,0.00188,-0.00025,0.00407,0.00188,-0.00025,0.00407
ORTE00ITA,EURA14,2019-09-26 11:59:00,0.00109,0.00134,0.0019,0.00109,0.00134,0.0019
ORTE00ITA,EURA14,2019-09-27 11:59:00,0.00167,0.00231,0.00408,0.00167,0.00231,0.00408
ORTE00ITA,EURA14,2019-09-28 11:59:00,0.00131,0.00054,0.00047,0.00131,0.00054,0.00047
ORTE00ITA,EURA14,2019-09-29 11:59:00,0.00138,0.0012,0.00601,0.00138,0.0012,0.00601
ORTE00ITA,EURA14,2019-09-30 11:59:00,0.00165,0.00077,0.00363,0.00165,0.00077,0.00363
ORTE00ITA,EURA14,2019-10-01 11:59:00,0.00011,0.00028,0.00469,0.00011,0.00028,0.00469
ORTE00ITA,EURA14,2019-10-02 11:59:00,0.00209,0.00027,0.01072,0.00209,0.00027,0.01072
ORTE00ITA,EURA14,2019-10-03 11:59:00,0.0002,0.00259,0.00067,0.0002,0.00259,0.00067
ORTE00ITA,EURA14,2019-10-04 11:59:00,0.00221,0.0029,0.00659,0.00221,0.0029,0.00659
ORTE00ITA,EURA14,2019-10-05 11:59:00,0.00231,0.00208,0.00734,0.00231,0.00208,0.00734
ORTE00ITA,EURA14,2019-10-06 11:59:00,0.00178,0.00181,0.0046,0.00178,0.00181,0.0046
ORTE00ITA,EURA14,2019-10-07 11:59:00,-0.00014,0.00207,0.00138,-0.00014,0.00207,0.00138
ORTE00ITA,EURA14,2019-10-08 11:59:00,0.00171,0.00093,-0.00135,0.00171,0.00093,-0.00135
ORTE00ITA,EURA14,2019-10-09 11:59:00,0.00134,0.00244,-0.00493,0.00134,0.00244,-0.00493
ORTE00ITA,EURA14,2019-10-10 11:59:00,0.0015,0.0007,0.0022,0.0015,0.0007,0.0022
ORTE00ITA,EURA14,2019-10-11 11:59:00,0.00167,0.00207,-0.00146,0.00167,0.00207,-0.00146
ORTE00ITA,EURA14,2019-10-12 11:59:00,0.00255,0.00179,-0.00366,0.00255,0.00179,-0.00366
ORTE00ITA,EURA14,2019-10-13 11:59:00,0.00153,0.00212,-0.00335,0.00153,0.00212,-0.00335
ORTE00ITA,EURA14,2019-10-14 11:59:00,0.00236,0.00225,-0.00618,0.00236,0.00225,-0.00618
ORTE00ITA,EURA14,2019-10-15 11:59:00,9e-05,0.00114,0.00571,9e-05,0.00114,0.00571
ORTE00ITA,EURA14,2019-10-16 11:59:00,0.00226,2e-05,-0.00189,0.00226,2e-05,-0.00189
ORTE00ITA,EURA14,2019-10-17 11:59:00,0.00022,0.00074,-0.00326,0.00022,0.00074,-0.00326
ORTE00ITA,EURA14,2019-10-18 11:59:00,0.0018,0.00168,-0.002,0.0018,0.00168,-0.002
ORTE00ITA,EURA14,2019-10-19 11:59:00,0.0007,0.00132,-0.00407,0.0007,0.00132,-0.00407
ORTE00ITA,EURA14,2019-10-20 11:59:00,0.00191,0.00062,-0.00198,0.00191,0.00062,-0.00198
ORTE00ITA,EURA14,2019-10-21 11:59:00,0.00072,0.00205,-0.00566,0.00072,0.00205,-0.00566
ORTE00ITA,EURA14,2019-10-22 11:59:00,0.00124,0.00186,-0.00227,0.00124,0.00186,-0.00227
ORTE00ITA,EURA14,2019-10-23 11:59:00,0.00047,0.00106,0.00013,0.00047,0.00106,0.00013
ORTE00ITA,EURA14,2019-10-24 11:59:00,5e-05,0.00286,-0.00493,5e-05,0.00286,-0.00493
ORTE00ITA,EURA14,2019-10-25 11:59:00,0.0016,0.00131,0.00026,0.0016,0.00131,0.00026
ORTE00ITA,EURA14,2019-10-26 11:59:00,0.00181,0.00161,-0.00904,0.00181,0.00161,-0.00904
ORTE00ITA,EURA14,2019-10-27 11:59:00,0.00109,0.00146,-0.00712,0.00109,0.00146,-0.00712
ORTE00ITA,EURA14,2019-10-28 11:59:00,0.00117,0.00177,-0.00303,0.00117,0.00177,-0.00303
ORTE00ITA,EURA14,2019-10-29 11:59:00,0.00102,0.00105,0.00269,0.00102,0.00105,0.00269
ORTE00ITA,EURA14,2019-10-30 11:59:00,0.00041,0.00218,-0.0014,0.00041,0.00218,-0.0014
ORTE00ITA,EURA14,2019-10-31 11:59:00,0.00068,0.00189,-0.00322,0.00068,0.00189,-0.00322
ORTE00ITA,EURA14,2019-11-01 11:59:00,0.00129,0.00188,0.00181,0.00129,0.00188,0.00181
ORTE00ITA,EURA14,2019-11-02 11:59:00,-0.00039,0.00093,-0.00697,-0.00039,0.00093,-0.00697
ORTE00ITA,EURA14,2019-11-03 11:59:00,0.00258,0.00131,0.00716,0.00258,0.00131,0.00716
ORTE00ITA,EURA14,2019-11-04 11:59:00,0.00123,0.00076,0.00717,0.00123,0.00076,0.00717
ORTE00ITA,EURA14,2019-11-05 11:59:00,0.0057,4e-05,0.00899,0.0057,4e-05,0.00899
ORTE00ITA,EURA14,2019-11-06 11:59:00,0.00114,0.00337,0.00327,0.00114,0.00337,0.00327
ORTE00ITA,EURA14,2019-11-07 11:59:00,0.00156,0.00111,-0.00364,0.00156,0.00111,-0.00364
ORTE00ITA,EURA14,2019-11-08 11:59:00,0.00193,0.0013,-0.00271,0.00193,0.0013,-0.00271
ORTE00ITA,EURA14,2019-11-09 11:59:00,0.00229,0.00154,-0.00287,0.00229,0.00154,-0.00287
ORTE00ITA,EURA14,2019-11-10 11:59:00,0.00246,0.00237,-0.00428,0.00246,0.00237,-0.00428
ORTE00ITA,EURA14,2019-11-11 11:59:00,0.00298,0.00203,-0.00439,0.00298,0.00203,-0.00439
ORTE00ITA,EURA14,2019-11-12 11:59:00,0.00088,0.00164,0.00092,0.00088,0.00164,0.00092
ORTE00ITA,EURA14,2019-11-13 11:59:00,0.00275,0.00069,0.00251,0.00275,0.00069,0.00251
ORTE00ITA,EURA14,2019-11-14 11:59:00,0.00162,0.00097,0.00286,0.00162,0.00097,0.00286
ORTE00ITA,EURA14,2019-11-15 11:59:00,0.00381,0.00119,-0.00011,0.00381,0.00119,-0.00011
ORTE00ITA,EURA14,2019-11-16 11:59:00,0.00155,0.0013,-0.0023,0.00155,0.0013,-0.0023
ORTE00ITA,EURA14,2019-11-17 11:59:00,0.00233,0.00325,-0.00064,0.00233,0.00325,-0.00064
ORTE00ITA,EURA14,2019-11-18 11:59:00,0.00115,0.00017,-0.00686,0.00115,0.00017,-0.00686
ORTE00ITA,EURA14,2019-11-19 11:59:00,0.00282,0.00048,-0.00752,0.00282,0.00048,-0.00752
ORTE00ITA,EURA14,2019-11-20 11:59:00,0.00143,0.00182,-0.00684,0.00143,0.00182,-0.00684
ORTE00ITA,EURA14,2019-11-21 11:59:00,0.00374,0.00105,-0.00338,0.00374,0.00105,-0.00338
ORTE00ITA,EURA14,2019-11-22 11:59:00,0.00271,0.00081,0.00229,0.00271,0.00081,0.00229
ORTE00ITA,EURA14,2019-11-23 11:59:00,0.00291,0.0008,-0.0013,0.00291,0.0008,-0.0013
ORTE00ITA,EURA14,2019-11-24 11:59:00,0.00211,-0.00024,-0.00209,0.00211,-0.00024,-0.00209
ORTE00ITA,EURA14,2019-11-25 11:59:00,0.00152,0.00263,-0.00252,0.00152,0.00263,-0.00252
ORTE00ITA,EURA14,2019-11-26 11:59:00,0.00291,0.00188,-0.00856,0.00291,0.00188,-0.00856
ORTE00ITA,EURA14,2019-11-27 11:59:00,0.00203,0.00059,-0.00503,0.00203,0.00059,-0.00503
ORTE00ITA,EURA14,2019-11-28 11:59:00,0.00228,-0.00063,-0.00928,0.00228,-0.00063,-0.00928
ORTE00ITA,EURA14,2019-11-29 11:59:00,0.00137,-0.00114,0.00051,0.00137,-0.00114,0.00051
ORTE00ITA,EURA14,2019-11-30 11:59:00,0.00202,0.0015,-0.00189,0.00202,0.0015,-0.00189
ORTE00ITA,EURA14,2019-12-01 11:59:00,0.00117,0.00339,-0.00514,0.00117,0.00339,-0.00514
ORTE00ITA,EURA14,2019-12-02 11:59:00,0.00017,0.00128,-0.00992,0.00017,0.00128,-0.00992
ORTE00ITA,EURA14,2019-12-03 11:59:00,0.00461,0.00297,-0.00126,0.00461,0.00297,-0.00126
ORTE00ITA,EURA14,2019-12-04 11:59:00,0.00152,0.00218,-0.00203,0.00152,0.00218,-0.00203
ORTE00ITA,EURA14,2019-12-05 11:59:00,0.00217,0.00159,-0.00185,0.00217,0.00159,-0.00185
ORTE00ITA,EURA14,2019-12-06 11:59:00,0.00199,0.00082,-0.00799,0.00199,0.00082,-0.00799
ORTE00ITA,EURA14,2019-12-07 11:59:00,0.00222,0.00172,-0.00743,0.00222,0.00172,-0.00743
ORTE00ITA,EURA14,2019-12-08 11:59:00,0.00137,0.00093,-0.00479,0.00137,0.00093,-0.00479
ORTE00ITA,EURA14,2019-12-09 11:59:00,0.00337,3e-05,-0.00659,0.00337,3e-05,-0.00659
ORTE00ITA,EURA14,2019-12-10 11:59:00,0.00344,0.00261,0.00102,0.00344,0.00261,0.00102
ORTE00ITA,EURA14,2019-12-11 11:59:00,0.00284,0.00302,0.00194,0.00284,0.00302,0.00194
ORTE00ITA,EURA14,2019-12-12 11:59:00,0.00242,0.00165,-0.00273,0.00242,0.00165,-0.00273
ORTE00ITA,EURA14,2019-12-13 11:59:00,0.0026,0.00046,0.00504,0.0026,0.00046,0.00504
ORTE00ITA,EURA14,2019-12-14 11:59:00,0.00345,0.00137,0.00089,0.00345,0.00137,0.00089
ORTE00ITA,EURA14,2019-12-15 11:59:00,0.00178,0.00061,-0.00099,0.00178,0.00061,-0.00099
ORTE00ITA,EURA14,2019-12-16 11:59:00,0.00518,0.0002,-0.00773,0.00518,0.0002,-0.00773
ORTE00ITA,EURA14,2019-12-17 11:59:00,0.00212,0.00268,-0.0021,0.00212,0.00268,-0.0021
ORTE00ITA,EURA14,2019-12-18 11:59:00,0.00237,0.00165,-0.00678,0.00237,0.00165,-0.00678
ORTE00ITA,EURA14,2019-12-19 11:59:00,0.001325,0.00195,-0.00853,0.001325,0.00195,-0.00853
ORTE00ITA,EURA14,2019-12-20 11:59:00,0.00028,0.00225,-0.01028,0.00028,0.00225,-0.01028
ORTE00ITA,EURA14,2019-12-21 11:59:00,5.499999999999998e-05,0.00258,-0.004924999999999999,5.499999999999998e-05,0.00258,-0.004924999999999999
ORTE00ITA,EURA14,2019-12-22 11:59:00,-0.00017,0.00291,0.00043,-0.00017,0.00291,0.00043
ORTE00ITA,EURA14,2020-01-20 11:59:00,0.00279,0.00354,-0.0013,0.003711669349144418,0.0036518573211856654,-0.0018332035667122928
ORTE00ITA,EURA14,2020-01-21 11:59:00,0.00147,0.00299,-0.00261,0.002391669349144418,0.0031018573211856653,-0.0031432035667122928
ORTE00ITA,EURA14,2020-01-22 11:59:00,0.0019,0.00262,-0.00187,0.002821669349144418,0.002731857321185665,-0.002403203566712293
ORTE00ITA,EURA14,2020-01-23 11:59:00,0.00239,0.00276,-0.0036,0.0033116693491444184,0.002871857321185665,-0.004133203566712293
ORTE00ITA,EURA14,2020-01-24 11:59:00,0.00178,0.00242,-0.00536,0.002701669349144418,0.002531857321185665,-0.005893203566712293
ORTE00ITA,EURA14,2020-01-25 11:59:00,0.00055,0.00252,-0.00177,0.0014716693491444183,0.0026318573211856653,-0.0023032035667122927
ORTE00ITA,EURA14,2020-01-26 11:59:00,0.00216,0.00221,-0.00613,0.0030816693491444182,0.0023218573211856654,-0.006663203566712293
ORTE00ITA,EURA14,2020-01-27 11:59:00,0.00207,0.00175,-0.00561,0.002991669349144418,0.0018618573211856653,-0.006143203566712293
ORTE00ITA,EURA14,2020-01-28 11:59:00,0.00067,0.00026,-0.00437,0.0015916693491444182,0.00037185732118566526,-0.004903203566712293
ORTE00ITA,EURA14,2020-01-29 11:59:00,0.00204,0.00158,-0.00451,0.0029616693491444183,0.0016918573211856653,-0.005043203566712293
ORTE00ITA,EURA14,2020-01-30 11:59:00,0.00151,0.00124,-0.00679,0.0024316693491444183,0.0013518573211856652,-0.007323203566712293
ORTE00ITA,EURA14,2020-01-31 11:59:00,0.00162,0.0014,-0.003,0.002541669349144418,0.0015118573211856652,-0.003533203566712293
ORTE00ITA,EURA14,2020-02-01 11:59:00,0.00207,0.00212,-0.00453,0.002991669349144418,0.002231857321185665,-0.005063203566712293
