marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
PAGA00ITA,EURA14,2009-02-01 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
PAGA00ITA,EURA14,2009-02-02 11:59:00,0.00069,-0.00038,-0.00567,0.00069,-0.00038,-0.00567
PAGA00ITA,EURA14,2009-02-03 11:59:00,-0.0014,0.00146,-0.00189,-0.0014,0.00146,-0.00189
PAGA00ITA,EURA14,2009-02-04 11:59:00,-0.00129,-0.00075,-0.00719,-0.00129,-0.00075,-0.00719
PAGA00ITA,EURA14,2009-02-05 11:59:00,-0.0015,-8e-05,-0.00045,-0.0015,-8e-05,-0.00045
PAGA00ITA,EURA14,2009-02-06 11:59:00,0.00118,0.00065,-0.00072,0.00118,0.00065,-0.00072
PAGA00ITA,EURA14,2009-02-07 11:59:00,-0.00129,-0.00013,-0.00025,-0.00129,-0.00013,-0.00025
PAGA00ITA,EURA14,2009-02-08 11:59:00,-0.00134,0.00114,-0.00487,-0.00134,0.00114,-0.00487
PAGA00ITA,EURA14,2009-02-09 11:59:00,-0.00048,0.0008,-0.00549,-0.00048,0.0008,-0.00549
PAGA00ITA,EURA14,2009-02-10 11:59:00,-0.00087,-0.00094,-0.004,-0.00087,-0.00094,-0.004
PAGA00ITA,EURA14,2009-02-11 11:59:00,-4e-05,-0.0003,-0.00085,-4e-05,-0.0003,-0.00085
PAGA00ITA,EURA14,2009-02-12 11:59:00,-9e-05,0.0016,-0.00192,-9e-05,0.0016,-0.00192
PAGA00ITA,EURA14,2009-02-13 11:59:00,-0.0013,0.00156,-0.00234,-0.0013,0.00156,-0.00234
PAGA00ITA,EURA14,2009-02-14 11:59:00,-0.00076,0.00068,0.0009,-0.00076,0.00068,0.0009
PAGA00ITA,EURA14,2009-02-15 11:59:00,-0.00028,0.00159,-0.00794,-0.00028,0.00159,-0.00794
PAGA00ITA,EURA14,2009-02-16 11:59:00,-0.00043,0.00204,-0.00918,-0.00043,0.00204,-0.00918
PAGA00ITA,EURA14,2009-02-17 11:59:00,-0.00036,0.00082,-0.00708,-0.00036,0.00082,-0.00708
PAGA00ITA,EURA14,2009-02-18 11:59:00,-0.00314,0.00025,0.00071,-0.00314,0.00025,0.00071
PAGA00ITA,EURA14,2009-02-19 11:59:00,-0.0005,0.00174,-7e-05,-0.0005,0.00174,-7e-05
PAGA00ITA,EURA14,2009-02-20 11:59:00,-0.00179,0.00373,-0.00103,-0.00179,0.00373,-0.00103
PAGA00ITA,EURA14,2009-02-21 11:59:00,-0.00015,0.00181,-0.00583,-0.00015,0.00181,-0.00583
PAGA00ITA,EURA14,2009-02-22 11:59:00,-0.00247,-0.00081,-0.00153,-0.00247,-0.00081,-0.00153
PAGA00ITA,EURA14,2009-02-23 11:59:00,-0.00069,0.00235,-0.00129,-0.00069,0.00235,-0.00129
PAGA00ITA,EURA14,2009-02-24 11:59:00,0.00041,0.00231,-0.00184,0.00041,0.00231,-0.00184
PAGA00ITA,EURA14,2009-02-25 11:59:00,-0.00118,0.00175,-0.00266,-0.00118,0.00175,-0.00266
PAGA00ITA,EURA14,2009-02-26 11:59:00,-0.00023,0.00165,-0.0056,-0.00023,0.00165,-0.0056
PAGA00ITA,EURA14,2009-02-27 11:59:00,0.00024,0.00211,-0.00234,0.00024,0.00211,-0.00234
PAGA00ITA,EURA14,2009-02-28 11:59:00,-0.0003,0.00283,-0.00503,-0.0003,0.00283,-0.00503
PAGA00ITA,EURA14,2009-03-01 11:59:00,-0.00018,0.0018,-0.00108,-0.00018,0.0018,-0.00108
PAGA00ITA,EURA14,2009-03-02 11:59:00,0.00057,0.002,-0.00295,0.00057,0.002,-0.00295
PAGA00ITA,EURA14,2009-03-03 11:59:00,-0.00025,0.00175,-0.00397,-0.00025,0.00175,-0.00397
PAGA00ITA,EURA14,2009-03-04 11:59:00,0.00124,0.00478,0.00906,0.00124,0.00478,0.00906
PAGA00ITA,EURA14,2009-03-05 11:59:00,0.00226,0.00293,0.00953,0.00226,0.00293,0.00953
PAGA00ITA,EURA14,2009-03-06 11:59:00,0.00115,0.00304,0.00979,0.00115,0.00304,0.00979
PAGA00ITA,EURA14,2009-03-07 11:59:00,0.0003,0.00082,0.00115,0.0003,0.00082,0.00115
PAGA00ITA,EURA14,2009-03-08 11:59:00,-0.00069,0.00272,-0.00506,-0.00069,0.00272,-0.00506
PAGA00ITA,EURA14,2009-03-09 11:59:00,0.00033,0.00312,-0.00981,0.00033,0.00312,-0.00981
PAGA00ITA,EURA14,2009-03-10 11:59:00,-0.00012,0.00258,-0.0077,-0.00012,0.00258,-0.0077
PAGA00ITA,EURA14,2009-03-11 11:59:00,-0.00028000000000000003,0.0030749999999999996,-0.00717,-0.00028000000000000003,0.0030749999999999996,-0.00717
PAGA00ITA,EURA14,2009-03-12 11:59:00,-0.00044,0.00357,-0.00664,-0.00044,0.00357,-0.00664
PAGA00ITA,EURA14,2009-03-13 11:59:00,-0.00079,0.00269,-0.00688,-0.00079,0.00269,-0.00688
PAGA00ITA,EURA14,2009-03-14 11:59:00,-0.00049,0.00205,-0.00501,-0.00049,0.00205,-0.00501
PAGA00ITA,EURA14,2009-03-15 11:59:00,0.0001,0.00242,-0.0084,0.0001,0.00242,-0.0084
PAGA00ITA,EURA14,2009-03-16 11:59:00,-0.00164,0.00197,-0.00257,-0.00164,0.00197,-0.00257
PAGA00ITA,EURA14,2009-03-17 11:59:00,-0.00075,0.0031,-0.00663,-0.00075,0.0031,-0.00663
PAGA00ITA,EURA14,2009-03-18 11:59:00,-0.00037,-0.00092,-0.00274,-0.00037,-0.00092,-0.00274
PAGA00ITA,EURA14,2009-03-19 11:59:00,-0.00049,0.00079,-0.00429,-0.00049,0.00079,-0.00429
PAGA00ITA,EURA14,2009-03-20 11:59:00,-0.00017,0.00245,-0.00129,-0.00017,0.00245,-0.00129
PAGA00ITA,EURA14,2009-03-21 11:59:00,-0.00029,0.0036,0.00423,-0.00029,0.0036,0.00423
PAGA00ITA,EURA14,2009-03-22 11:59:00,-0.00034,0.00321,-0.00415,-0.00034,0.00321,-0.00415
PAGA00ITA,EURA14,2009-03-23 11:59:00,-0.00093,0.00187,-0.00605,-0.00093,0.00187,-0.00605
PAGA00ITA,EURA14,2009-03-24 11:59:00,-0.001115,0.003575,-0.00419,-0.001115,0.003575,-0.00419
PAGA00ITA,EURA14,2009-03-25 11:59:00,-0.0013,0.00528,-0.00233,-0.0013,0.00528,-0.00233
PAGA00ITA,EURA14,2009-03-26 11:59:00,0.00136,0.0021,-0.00046,0.00136,0.0021,-0.00046
PAGA00ITA,EURA14,2009-03-27 11:59:00,-0.00179,0.0024,-0.00279,-0.00179,0.0024,-0.00279
PAGA00ITA,EURA14,2009-03-28 11:59:00,-0.00034,0.00118,0.00095,-0.00034,0.00118,0.00095
PAGA00ITA,EURA14,2009-03-29 11:59:00,-0.00426,-0.0055,-0.00711,-0.00426,-0.0055,-0.00711
PAGA00ITA,EURA14,2009-03-30 11:59:00,0.00209,0.00242,0.01071,0.00209,0.00242,0.01071
PAGA00ITA,EURA14,2009-03-31 11:59:00,0.00043,0.00205,0.00428,0.00043,0.00205,0.00428
PAGA00ITA,EURA14,2009-04-01 11:59:00,0.00074,0.0011,-0.00064,0.00074,0.0011,-0.00064
PAGA00ITA,EURA14,2009-04-02 11:59:00,3e-05,0.00315,-0.0058,3e-05,0.00315,-0.0058
PAGA00ITA,EURA14,2009-04-03 11:59:00,-0.00166,0.00042,-0.00846,-0.00166,0.00042,-0.00846
PAGA00ITA,EURA14,2009-04-04 11:59:00,-0.00136,0.00241,-0.00933,-0.00136,0.00241,-0.00933
