marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
PSAN00ITA,EURA14,2007-11-15 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
PSAN00ITA,EURA14,2007-11-16 11:59:00,0.00166,0.00085,-0.00824,0.00166,0.00085,-0.00824
PSAN00ITA,EURA14,2007-11-17 11:59:00,0.00108,-0.00063,-0.00165,0.00108,-0.00063,-0.00165
PSAN00ITA,EURA14,2007-11-18 11:59:00,0.00112,-0.00028,-0.00812,0.00112,-0.00028,-0.00812
PSAN00ITA,EURA14,2007-11-22 11:59:00,0.0005,0.00061,-0.01342,0.0005,0.00061,-0.01342
PSAN00ITA,EURA14,2007-11-23 11:59:00,0.00039,-0.0001,-0.01163,0.00039,-0.0001,-0.01163
PSAN00ITA,EURA14,2007-11-24 11:59:00,0.00108,-0.00022,-0.0095,0.00108,-0.00022,-0.0095
PSAN00ITA,EURA14,2007-11-25 11:59:00,0.00101,-0.00262,-0.00103,0.00101,-0.00262,-0.00103
PSAN00ITA,EURA14,2007-11-26 11:59:00,0.00138,0.0008,-0.00437,0.00138,0.0008,-0.00437
PSAN00ITA,EURA14,2007-11-27 11:59:00,0.00146,-0.00069,-0.00983,0.00146,-0.00069,-0.00983
PSAN00ITA,EURA14,2007-11-28 11:59:00,0.00119,-0.00044,-0.00953,0.00119,-0.00044,-0.00953
PSAN00ITA,EURA14,2007-11-29 11:59:00,0.00231,-0.00108,-0.00513,0.00231,-0.00108,-0.00513
PSAN00ITA,EURA14,2007-11-30 11:59:00,0.00065,-9e-05,0.00622,0.00065,-9e-05,0.00622
PSAN00ITA,EURA14,2007-12-01 11:59:00,0.00165,0.00044,-0.00033,0.00165,0.00044,-0.00033
PSAN00ITA,EURA14,2007-12-02 11:59:00,0.00241,-0.00077,-0.01029,0.00241,-0.00077,-0.01029
PSAN00ITA,EURA14,2007-12-03 11:59:00,-0.00027,-0.00128,-0.00716,-0.00027,-0.00128,-0.00716
PSAN00ITA,EURA14,2007-12-04 11:59:00,0.0,0.00023,-0.00519,0.0,0.00023,-0.00519
PSAN00ITA,EURA14,2007-12-07 11:59:00,0.00022,-0.00194,-0.00381,0.00022,-0.00194,-0.00381
PSAN00ITA,EURA14,2007-12-08 11:59:00,0.00227,-0.00028,-0.00347,0.00227,-0.00028,-0.00347
PSAN00ITA,EURA14,2007-12-09 11:59:00,0.00146,-0.00094,-0.00253,0.00146,-0.00094,-0.00253
PSAN00ITA,EURA14,2007-12-10 11:59:00,-0.00011,-0.00046,-0.00365,-0.00011,-0.00046,-0.00365
PSAN00ITA,EURA14,2007-12-11 11:59:00,0.00503,-0.00207,0.00819,0.00503,-0.00207,0.00819
PSAN00ITA,EURA14,2007-12-12 11:59:00,0.00333,-0.00106,0.00615,0.00333,-0.00106,0.00615
PSAN00ITA,EURA14,2007-12-13 11:59:00,0.00113,-0.001,-0.00044,0.00113,-0.001,-0.00044
PSAN00ITA,EURA14,2007-12-17 11:59:00,0.00117,0.00165,0.01019,0.00117,0.00165,0.01019
PSAN00ITA,EURA14,2007-12-18 11:59:00,0.00055,-0.00268,-0.00354,0.00055,-0.00268,-0.00354
PSAN00ITA,EURA14,2007-12-19 11:59:00,0.00126,-0.00123,-0.01046,0.00126,-0.00123,-0.01046
PSAN00ITA,EURA14,2007-12-20 11:59:00,0.00116,-0.00072,-0.00636,0.00116,-0.00072,-0.00636
PSAN00ITA,EURA14,2007-12-21 11:59:00,0.00104,-0.00013,-0.00777,0.00104,-0.00013,-0.00777
PSAN00ITA,EURA14,2007-12-22 11:59:00,-0.00111,0.00032,-0.01028,-0.00111,0.00032,-0.01028
PSAN00ITA,EURA14,2007-12-23 11:59:00,-0.00172,0.00083,-0.00221,-0.00172,0.00083,-0.00221
PSAN00ITA,EURA14,2007-12-24 11:59:00,0.00087,-0.00212,0.00103,0.00087,-0.00212,0.00103
PSAN00ITA,EURA14,2007-12-25 11:59:00,0.00389,0.00024,-0.00786,0.00389,0.00024,-0.00786
PSAN00ITA,EURA14,2007-12-26 11:59:00,0.00506,0.0018,0.01157,0.00506,0.0018,0.01157
PSAN00ITA,EURA14,2007-12-27 11:59:00,-0.00122,0.00175,-0.0054,-0.00122,0.00175,-0.0054
PSAN00ITA,EURA14,2008-02-05 11:59:00,0.00131,0.00111,-0.01714,0.00131,0.00111,-0.01714
PSAN00ITA,EURA14,2008-12-05 11:59:00,0.02274,0.00766,-0.0058,0.02274,0.00766,-0.0058
PSAN00ITA,EURA14,2008-12-09 11:59:00,0.00675,-0.00094,-0.01312,0.00675,-0.00094,-0.01312
PSAN00ITA,EURA14,2008-12-10 11:59:00,0.00835,-0.00162,-0.00857,0.00835,-0.00162,-0.00857
PSAN00ITA,EURA14,2008-12-11 11:59:00,0.0082,-0.00166,-0.00209,0.0082,-0.00166,-0.00209
PSAN00ITA,EURA14,2008-12-12 11:59:00,0.00914,0.00128,-0.0001,0.00914,0.00128,-0.0001
PSAN00ITA,EURA14,2008-12-13 11:59:00,0.00685,-0.00014,-0.01053,0.00685,-0.00014,-0.01053
PSAN00ITA,EURA14,2008-12-14 11:59:00,0.00824,7e-05,-0.00894,0.00824,7e-05,-0.00894
PSAN00ITA,EURA14,2008-12-15 11:59:00,0.00596,0.00043,-0.01003,0.00596,0.00043,-0.01003
PSAN00ITA,EURA14,2008-12-16 11:59:00,0.00795,-0.0007,-0.00452,0.00795,-0.0007,-0.00452
PSAN00ITA,EURA14,2008-12-17 11:59:00,0.0077,-0.0012,-0.0049,0.0077,-0.0012,-0.0049
PSAN00ITA,EURA14,2008-12-18 11:59:00,0.00724,-0.00013,-0.00679,0.00724,-0.00013,-0.00679
PSAN00ITA,EURA14,2008-12-19 11:59:00,0.00748,-0.00086,-0.01011,0.00748,-0.00086,-0.01011
PSAN00ITA,EURA14,2008-12-20 11:59:00,0.00743,-0.00016,-0.01582,0.00743,-0.00016,-0.01582
PSAN00ITA,EURA14,2008-12-21 11:59:00,0.00652,0.00039,-0.01341,0.00652,0.00039,-0.01341
PSAN00ITA,EURA14,2008-12-22 11:59:00,0.00699,-0.00015,-0.00905,0.00699,-0.00015,-0.00905
PSAN00ITA,EURA14,2008-12-23 11:59:00,0.00783,0.00029,-0.01171,0.00783,0.00029,-0.01171
PSAN00ITA,EURA14,2008-12-24 11:59:00,0.0074,0.00063,-0.01405,0.0074,0.00063,-0.01405
PSAN00ITA,EURA14,2008-12-25 11:59:00,0.00851,0.00074,-0.00499,0.00851,0.00074,-0.00499
PSAN00ITA,EURA14,2008-12-26 11:59:00,0.00734,0.00066,-0.00368,0.00734,0.00066,-0.00368
PSAN00ITA,EURA14,2008-12-27 11:59:00,0.00705,0.00038,-0.00803,0.00705,0.00038,-0.00803
PSAN00ITA,EURA14,2008-12-28 11:59:00,0.0087,-0.00022,-0.00948,0.0087,-0.00022,-0.00948
