marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
RAIA00ITA,EURA14,2009-02-01 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
RAIA00ITA,EURA14,2009-02-02 11:59:00,-0.00271,-0.00036,-0.00379,-0.00271,-0.00036,-0.00379
RAIA00ITA,EURA14,2009-02-03 11:59:00,0.0014,0.00208,-0.00036,0.0014,0.00208,-0.00036
RAIA00ITA,EURA14,2009-02-04 11:59:00,-0.0014050000000000002,0.00168,0.0048649999999999995,-0.0014050000000000002,0.00168,0.0048649999999999995
RAIA00ITA,EURA14,2009-02-05 11:59:00,-0.00421,0.00128,0.01009,-0.00421,0.00128,0.01009
RAIA00ITA,EURA14,2009-02-06 11:59:00,0.00168,1e-05,-0.00646,0.00168,1e-05,-0.00646
RAIA00ITA,EURA14,2009-02-07 11:59:00,-0.0025,-0.00136,-0.00264,-0.0025,-0.00136,-0.00264
RAIA00ITA,EURA14,2009-02-08 11:59:00,-0.00161,0.00159,-0.00702,-0.00161,0.00159,-0.00702
RAIA00ITA,EURA14,2009-02-09 11:59:00,-0.00146,0.00072,-0.00968,-0.00146,0.00072,-0.00968
RAIA00ITA,EURA14,2009-02-10 11:59:00,-0.00059,-0.00309,-0.01348,-0.00059,-0.00309,-0.01348
RAIA00ITA,EURA14,2009-02-11 11:59:00,-0.00136,-0.00021,-0.00542,-0.00136,-0.00021,-0.00542
RAIA00ITA,EURA14,2009-02-12 11:59:00,-0.00097,0.00187,-0.00389,-0.00097,0.00187,-0.00389
RAIA00ITA,EURA14,2009-02-13 11:59:00,0.00013,-0.00252,-0.00422,0.00013,-0.00252,-0.00422
RAIA00ITA,EURA14,2009-02-14 11:59:00,-0.00179,0.00103,-0.00473,-0.00179,0.00103,-0.00473
RAIA00ITA,EURA14,2009-02-15 11:59:00,-0.00029,0.00122,-0.0079,-0.00029,0.00122,-0.0079
RAIA00ITA,EURA14,2009-02-16 11:59:00,-0.00017,0.00121,-0.00792,-0.00017,0.00121,-0.00792
RAIA00ITA,EURA14,2009-02-17 11:59:00,-0.00102,0.00126,-0.00563,-0.00102,0.00126,-0.00563
RAIA00ITA,EURA14,2009-02-18 11:59:00,-0.0019,0.00148,-0.00092,-0.0019,0.00148,-0.00092
RAIA00ITA,EURA14,2009-02-19 11:59:00,-0.00201,0.00146,-0.00168,-0.00201,0.00146,-0.00168
RAIA00ITA,EURA14,2009-02-20 11:59:00,-0.00104,0.00225,-0.00572,-0.00104,0.00225,-0.00572
RAIA00ITA,EURA14,2009-02-21 11:59:00,-6e-05,0.00148,-0.00297,-6e-05,0.00148,-0.00297
RAIA00ITA,EURA14,2009-02-22 11:59:00,-0.00016,0.00166,-0.00264,-0.00016,0.00166,-0.00264
RAIA00ITA,EURA14,2009-02-23 11:59:00,-0.00017,0.00137,-0.00027,-0.00017,0.00137,-0.00027
RAIA00ITA,EURA14,2009-02-24 11:59:00,0.0012,0.00213,-0.00276,0.0012,0.00213,-0.00276
