marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
REGU00ITA,EURA14,2009-10-22 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
REGU00ITA,EURA14,2009-10-23 11:59:00,0.00063,0.000695,0.00182,0.00063,0.000695,0.00182
REGU00ITA,EURA14,2009-10-24 11:59:00,0.00126,0.00139,0.00364,0.00126,0.00139,0.00364
REGU00ITA,EURA14,2009-10-25 11:59:00,0.00082,0.00049,0.00397,0.00082,0.00049,0.00397
REGU00ITA,EURA14,2009-10-26 11:59:00,0.00208,0.00104,0.00502,0.00208,0.00104,0.00502
REGU00ITA,EURA14,2009-10-27 11:59:00,0.00175,0.00026,0.00359,0.00175,0.00026,0.00359
REGU00ITA,EURA14,2009-10-28 11:59:00,0.00217,0.00121,0.00168,0.00217,0.00121,0.00168
REGU00ITA,EURA14,2009-11-02 11:59:00,0.00191,0.00063,-0.00041,0.00191,0.00063,-0.00041
REGU00ITA,EURA14,2009-11-03 11:59:00,0.0033,0.00126,0.0115,0.0033,0.00126,0.0115
REGU00ITA,EURA14,2009-11-04 11:59:00,0.00052,-0.00102,0.00758,0.00052,-0.00102,0.00758
REGU00ITA,EURA14,2009-11-05 11:59:00,0.00045,0.00044,0.00667,0.00045,0.00044,0.00667
REGU00ITA,EURA14,2009-11-06 11:59:00,0.00207,0.00087,0.00218,0.00207,0.00087,0.00218
REGU00ITA,EURA14,2009-11-07 11:59:00,0.00096,-0.00051,0.00759,0.00096,-0.00051,0.00759
REGU00ITA,EURA14,2009-11-08 11:59:00,0.00189,0.00131,0.00518,0.00189,0.00131,0.00518
REGU00ITA,EURA14,2009-11-09 11:59:00,0.00133,0.00085,0.01145,0.00133,0.00085,0.01145
REGU00ITA,EURA14,2009-11-10 11:59:00,0.0013,0.00071,0.00712,0.0013,0.00071,0.00712
REGU00ITA,EURA14,2009-11-11 11:59:00,0.00115,0.00115,0.00516,0.00115,0.00115,0.00516
REGU00ITA,EURA14,2009-11-12 11:59:00,0.00163,0.00157,0.00323,0.00163,0.00157,0.00323
REGU00ITA,EURA14,2009-11-13 11:59:00,0.002,0.00147,0.00385,0.002,0.00147,0.00385
REGU00ITA,EURA14,2009-11-14 11:59:00,0.00316,0.00188,0.00137,0.00316,0.00188,0.00137
REGU00ITA,EURA14,2009-11-15 11:59:00,0.00329,0.00292,0.006,0.00329,0.00292,0.006
REGU00ITA,EURA14,2009-11-16 11:59:00,0.00101,0.00262,0.0056,0.00101,0.00262,0.0056
REGU00ITA,EURA14,2009-11-17 11:59:00,0.0025,0.00249,0.00029,0.0025,0.00249,0.00029
REGU00ITA,EURA14,2009-11-18 11:59:00,0.00261,0.00088,0.00231,0.00261,0.00088,0.00231
REGU00ITA,EURA14,2009-11-19 11:59:00,0.00136,0.00132,0.00125,0.00136,0.00132,0.00125
REGU00ITA,EURA14,2009-11-20 11:59:00,0.00154,0.00229,-0.00062,0.00154,0.00229,-0.00062
REGU00ITA,EURA14,2009-11-21 11:59:00,0.00051,0.00028,0.00385,0.00051,0.00028,0.00385
REGU00ITA,EURA14,2009-11-22 11:59:00,0.0021,0.00164,0.00084,0.0021,0.00164,0.00084
REGU00ITA,EURA14,2009-11-23 11:59:00,0.00226,0.00106,0.00809,0.00226,0.00106,0.00809
REGU00ITA,EURA14,2009-11-24 11:59:00,0.00165,0.00133,0.00319,0.00165,0.00133,0.00319
REGU00ITA,EURA14,2009-11-25 11:59:00,0.00124,0.00107,0.00315,0.00124,0.00107,0.00315
REGU00ITA,EURA14,2009-11-26 11:59:00,0.00451,0.00163,0.01186,0.00451,0.00163,0.01186
REGU00ITA,EURA14,2009-11-27 11:59:00,0.00354,0.003,0.00984,0.00354,0.003,0.00984
REGU00ITA,EURA14,2009-11-28 11:59:00,0.00108,0.00033,0.00824,0.00108,0.00033,0.00824
REGU00ITA,EURA14,2009-11-29 11:59:00,0.00185,-0.00177,0.00102,0.00185,-0.00177,0.00102
REGU00ITA,EURA14,2009-11-30 11:59:00,0.00155,-0.00024,0.002,0.00155,-0.00024,0.002
REGU00ITA,EURA14,2009-12-01 11:59:00,0.00366,0.00039,0.01115,0.00366,0.00039,0.01115
REGU00ITA,EURA14,2009-12-08 11:59:00,0.00359,0.0032,0.00279,0.00359,0.0032,0.00279
REGU00ITA,EURA14,2009-12-09 11:59:00,0.00521,0.00695,0.00356,0.00521,0.00695,0.00356
REGU00ITA,EURA14,2009-12-10 11:59:00,0.00221,0.00386,0.01517,0.00221,0.00386,0.01517
REGU00ITA,EURA14,2009-12-11 11:59:00,0.00034,0.00016,0.01358,0.00034,0.00016,0.01358
