marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
SIGI00ITA,EURA14,2020-12-17 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
SIGI00ITA,EURA14,2020-12-18 11:59:00,0.00029,-0.00036,-0.00322,0.00029,-0.00036,-0.00322
SIGI00ITA,EURA14,2020-12-19 11:59:00,0.00011,-0.00027,-0.00122,0.00011,-0.00027,-0.00122
SIGI00ITA,EURA14,2020-12-20 11:59:00,0.00067,-0.00076,0.00025,0.00067,-0.00076,0.00025
SIGI00ITA,EURA14,2020-12-21 11:59:00,0.00038,-0.00081,0.00107,0.00038,-0.00081,0.00107
SIGI00ITA,EURA14,2020-12-22 11:59:00,0.00092,0.00039,-0.0029,0.00092,0.00039,-0.0029
SIGI00ITA,EURA14,2020-12-23 11:59:00,0.00458,0.00267,-0.008,0.00458,0.00267,-0.008
SIGI00ITA,EURA14,2020-12-24 11:59:00,0.00567,0.00319,-0.00127,0.00567,0.00319,-0.00127
SIGI00ITA,EURA14,2020-12-25 11:59:00,0.00179,0.00188,0.00224,0.00179,0.00188,0.00224
SIGI00ITA,EURA14,2020-12-26 11:59:00,-0.0028,-0.00104,-0.00179,-0.0028,-0.00104,-0.00179
SIGI00ITA,EURA14,2020-12-27 11:59:00,0.00041,-0.00084,0.00281,0.00041,-0.00084,0.00281
SIGI00ITA,EURA14,2020-12-28 11:59:00,0.00203,-0.00141,0.01083,0.00203,-0.00141,0.01083
SIGI00ITA,EURA14,2020-12-29 11:59:00,0.00154,-0.00076,0.00837,0.00154,-0.00076,0.00837
SIGI00ITA,EURA14,2020-12-30 11:59:00,-0.0004,-0.0001,0.0023,-0.0004,-0.0001,0.0023
SIGI00ITA,EURA14,2020-12-31 11:59:00,-0.0003,0.00129,-0.00266,-0.0003,0.00129,-0.00266
SIGI00ITA,EURA14,2021-01-01 11:59:00,-0.00066,0.00019,-0.00064,-0.00066,0.00019,-0.00064
SIGI00ITA,EURA14,2021-01-02 11:59:00,-0.00045,-0.00045,0.00257,-0.00045,-0.00045,0.00257
SIGI00ITA,EURA14,2021-01-03 11:59:00,0.00074,0.00131,-0.00279,0.00074,0.00131,-0.00279
SIGI00ITA,EURA14,2021-01-04 11:59:00,3e-05,0.00265,-0.00159,3e-05,0.00265,-0.00159
SIGI00ITA,EURA14,2021-01-05 11:59:00,0.00129,0.00103,0.00203,0.00129,0.00103,0.00203
SIGI00ITA,EURA14,2021-01-06 11:59:00,0.00081,0.00134,-0.00028,0.00081,0.00134,-0.00028
SIGI00ITA,EURA14,2021-01-07 11:59:00,0.02906,0.00623,0.00684,0.02906,0.00623,0.00684
SIGI00ITA,EURA14,2021-01-12 11:59:00,-0.01051,-0.00758,0.02702,-0.01051,-0.00758,0.02702
SIGI00ITA,EURA14,2021-01-13 11:59:00,-0.00956,-0.00438,0.02069,-0.00956,-0.00438,0.02069
SIGI00ITA,EURA14,2021-01-14 11:59:00,-0.005710000000000001,-0.00212,0.01097,-0.005710000000000001,-0.00212,0.01097
SIGI00ITA,EURA14,2021-01-15 11:59:00,-0.00186,0.00014,0.00125,-0.00186,0.00014,0.00125
SIGI00ITA,EURA14,2021-01-16 11:59:00,-0.00261,0.00111,-0.00049,-0.00261,0.00111,-0.00049
SIGI00ITA,EURA14,2021-01-17 11:59:00,-0.00076,0.00086,-0.00227,-0.00076,0.00086,-0.00227
SIGI00ITA,EURA14,2021-01-18 11:59:00,-0.00063,0.00105,-0.00588,-0.00063,0.00105,-0.00588
SIGI00ITA,EURA14,2021-01-19 11:59:00,0.00245,0.00226,-0.0034,0.00245,0.00226,-0.0034
SIGI00ITA,EURA14,2021-01-20 11:59:00,0.00297,0.00285,-0.00725,0.00297,0.00285,-0.00725
SIGI00ITA,EURA14,2021-01-21 11:59:00,0.00424,0.00045,0.00266,0.00424,0.00045,0.00266
SIGI00ITA,EURA14,2021-01-22 11:59:00,0.00359,-0.00034,-0.00335,0.00359,-0.00034,-0.00335
SIGI00ITA,EURA14,2021-01-23 11:59:00,0.00347,0.00108,0.0054,0.00347,0.00108,0.0054
SIGI00ITA,EURA14,2021-01-24 11:59:00,-6e-05,0.00024,-0.00171,-6e-05,0.00024,-0.00171
SIGI00ITA,EURA14,2021-05-07 11:59:00,0.01382,0.00435,-0.00931,0.01135075198074635,0.003806562106184793,-0.005760461402994174
SIGI00ITA,EURA14,2021-05-08 11:59:00,0.00151,-8e-05,-0.00219,-0.000959248019253651,-0.0006234378938152065,0.0013595385970058267
SIGI00ITA,EURA14,2021-05-09 11:59:00,0.00215,-0.00029,-0.00138,-0.00031924801925365103,-0.0008334378938152066,0.002169538597005827
SIGI00ITA,EURA14,2021-05-10 11:59:00,0.00251,0.0013,0.00499,4.0751980746349045e-05,0.0007565621061847934,0.008539538597005826
