marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
SOR200ITA,EURA14,2008-02-18 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
SOR200ITA,EURA14,2008-02-19 11:59:00,-0.00202,0.00114,-0.00139,-0.00202,0.00114,-0.00139
SOR200ITA,EURA14,2008-02-20 11:59:00,-0.00157,0.00135,-0.00364,-0.00157,0.00135,-0.00364
SOR200ITA,EURA14,2008-02-21 11:59:00,-0.00071,0.0018,0.00113,-0.00071,0.0018,0.00113
SOR200ITA,EURA14,2008-02-22 11:59:00,-0.001415,0.001645,0.00067,-0.001415,0.001645,0.00067
SOR200ITA,EURA14,2008-02-23 11:59:00,-0.00212,0.00149,0.00021,-0.00212,0.00149,0.00021
SOR200ITA,EURA14,2008-02-24 11:59:00,-0.00171,0.00131,-0.00223,-0.00171,0.00131,-0.00223
SOR200ITA,EURA14,2008-02-25 11:59:00,-0.00115,-0.00184,-0.00448,-0.00115,-0.00184,-0.00448
SOR200ITA,EURA14,2008-02-26 11:59:00,-0.00074,-0.00103,0.00113,-0.00074,-0.00103,0.00113
SOR200ITA,EURA14,2008-02-27 11:59:00,-6e-05,0.0001,-0.00228,-6e-05,0.0001,-0.00228
SOR200ITA,EURA14,2008-02-28 11:59:00,-0.00061,0.00136,0.00129,-0.00061,0.00136,0.00129
SOR200ITA,EURA14,2008-02-29 11:59:00,0.0008249999999999999,0.0015400000000000001,-9.000000000000002e-05,0.0008249999999999999,0.0015400000000000001,-9.000000000000002e-05
SOR200ITA,EURA14,2008-03-01 11:59:00,0.00226,0.00172,-0.00147,0.00226,0.00172,-0.00147
SOR200ITA,EURA14,2008-03-02 11:59:00,-0.00072,0.0027,0.00185,-0.00072,0.0027,0.00185
SOR200ITA,EURA14,2008-03-03 11:59:00,-0.00031,0.00216,-0.00205,-0.00031,0.00216,-0.00205
SOR200ITA,EURA14,2008-03-04 11:59:00,0.0001,-0.00082,0.00118,0.0001,-0.00082,0.00118
SOR200ITA,EURA14,2008-03-05 11:59:00,0.00041,0.0036,0.00471,0.00041,0.0036,0.00471
SOR200ITA,EURA14,2008-03-06 11:59:00,0.00047,0.00312,0.0010999999999999998,0.00047,0.00312,0.0010999999999999998
SOR200ITA,EURA14,2008-03-07 11:59:00,0.00053,0.00264,-0.00251,0.00053,0.00264,-0.00251
SOR200ITA,EURA14,2008-04-29 11:59:00,0.0003,0.00139,0.00882,0.0023500825288072253,0.0027830784802242293,0.010187237620678916
SOR200ITA,EURA14,2008-04-30 11:59:00,-0.00075,0.00216,0.00908,0.0013000825288072254,0.0035530784802242296,0.010447237620678916
