marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
TERI00ITA,EURA14,2006-07-17 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
TERI00ITA,EURA14,2006-07-18 11:59:00,-0.00319,-0.00116,0.00583,-0.00319,-0.00116,0.00583
TERI00ITA,EURA14,2006-07-19 11:59:00,-0.00262,-0.0012,-4e-05,-0.00262,-0.0012,-4e-05
TERI00ITA,EURA14,2006-07-20 11:59:00,-0.00158,-0.00022,0.00298,-0.00158,-0.00022,0.00298
TERI00ITA,EURA14,2006-07-21 11:59:00,-0.00081,0.00025,0.00639,-0.00081,0.00025,0.00639
TERI00ITA,EURA14,2006-07-22 11:59:00,0.00016,0.00043,0.00408,0.00016,0.00043,0.00408
TERI00ITA,EURA14,2006-07-23 11:59:00,-0.001245,0.001085,-0.0007450000000000009,-0.001245,0.001085,-0.0007450000000000009
TERI00ITA,EURA14,2006-07-24 11:59:00,-0.00265,0.00174,-0.00557,-0.00265,0.00174,-0.00557
TERI00ITA,EURA14,2006-07-25 11:59:00,-0.00266,-0.00356,0.00229,-0.00266,-0.00356,0.00229
TERI00ITA,EURA14,2006-07-26 11:59:00,-0.00359,-0.00181,0.00809,-0.00359,-0.00181,0.00809
TERI00ITA,EURA14,2006-07-27 11:59:00,-0.00336,-0.00169,-0.00576,-0.00336,-0.00169,-0.00576
TERI00ITA,EURA14,2006-07-28 11:59:00,-0.00485,-0.00104,0.00523,-0.00485,-0.00104,0.00523
TERI00ITA,EURA14,2006-07-29 11:59:00,-0.00098,-0.00078,0.00248,-0.00098,-0.00078,0.00248
TERI00ITA,EURA14,2006-07-30 11:59:00,-0.001725,-9.000000000000002e-05,0.00574,-0.001725,-9.000000000000002e-05,0.00574
TERI00ITA,EURA14,2006-07-31 11:59:00,-0.00247,0.0006,0.009,-0.00247,0.0006,0.009
TERI00ITA,EURA14,2006-08-01 11:59:00,1e-05,0.00096,-0.00124,1e-05,0.00096,-0.00124
TERI00ITA,EURA14,2006-08-02 11:59:00,-0.00131,-0.00219,0.00833,-0.00131,-0.00219,0.00833
TERI00ITA,EURA14,2006-08-03 11:59:00,0.001,-0.00351,0.00962,0.001,-0.00351,0.00962
TERI00ITA,EURA14,2006-08-04 11:59:00,-8e-05,-0.00048,-0.00311,-8e-05,-0.00048,-0.00311
TERI00ITA,EURA14,2006-08-05 11:59:00,-0.00034,0.0014,0.00705,-0.00034,0.0014,0.00705
TERI00ITA,EURA14,2006-08-06 11:59:00,-0.00217,-0.0002,0.00536,-0.00217,-0.0002,0.00536
TERI00ITA,EURA14,2006-08-07 11:59:00,-0.00159,-0.0016,0.00432,-0.00159,-0.0016,0.00432
TERI00ITA,EURA14,2006-08-08 11:59:00,-0.00128,-0.00075,0.00972,-0.00128,-0.00075,0.00972
TERI00ITA,EURA14,2006-08-09 11:59:00,-0.00105,-0.00072,0.00567,-0.00105,-0.00072,0.00567
