marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
TOD300ITA,EURA14,2014-11-22 11:59:00,-0.01237,0.00147,0.1897,-0.01237,0.00147,0.1897
TOD300ITA,EURA14,2014-11-23 11:59:00,-0.01255,0.0018,0.18775,-0.01255,0.0018,0.18775
TOD300ITA,EURA14,2014-11-24 11:59:00,-0.01231,0.00251,0.19338,-0.01231,0.00251,0.19338
TOD300ITA,EURA14,2014-11-25 11:59:00,-0.01219,0.00197,0.19585,-0.01219,0.00197,0.19585
TOD300ITA,EURA14,2014-11-26 11:59:00,-0.01153,0.00179,0.19391,-0.01153,0.00179,0.19391
TOD300ITA,EURA14,2014-11-27 11:59:00,-0.01402,0.00035,0.19555,-0.01402,0.00035,0.19555
TOD300ITA,EURA14,2014-11-28 11:59:00,-0.0115,0.00212,0.19817,-0.0115,0.00212,0.19817
TOD300ITA,EURA14,2014-11-29 11:59:00,-0.01179,0.00144,0.19836,-0.01179,0.00144,0.19836
TOD300ITA,EURA14,2014-11-30 11:59:00,-0.01163,0.00193,0.19651,-0.01163,0.00193,0.19651
TOD300ITA,EURA14,2014-12-01 11:59:00,-0.01499,0.00223,0.20944,-0.01499,0.00223,0.20944
TOD300ITA,EURA14,2014-12-02 11:59:00,-0.01398,0.00253,0.20198,-0.01398,0.00253,0.20198
TOD300ITA,EURA14,2014-12-03 11:59:00,-0.01162,0.00122,0.19805,-0.01162,0.00122,0.19805
TOD300ITA,EURA14,2014-12-04 11:59:00,-0.01205,0.00165,0.19172,-0.01205,0.00165,0.19172
TOD300ITA,EURA14,2014-12-05 11:59:00,-0.01224,0.00154,0.19837,-0.01224,0.00154,0.19837
TOD300ITA,EURA14,2014-12-06 11:59:00,-0.01344,0.00233,0.1997,-0.01344,0.00233,0.1997
TOD300ITA,EURA14,2014-12-07 11:59:00,-0.01159,0.00132,0.19283,-0.01159,0.00132,0.19283
TOD300ITA,EURA14,2014-12-08 11:59:00,-0.01213,0.00153,0.19612,-0.01213,0.00153,0.19612
TOD300ITA,EURA14,2014-12-09 11:59:00,-0.01177,0.00109,0.19532,-0.01177,0.00109,0.19532
TOD300ITA,EURA14,2014-12-10 11:59:00,-0.01196,0.00179,0.18903,-0.01196,0.00179,0.18903
TOD300ITA,EURA14,2014-12-11 11:59:00,-0.01249,0.00027,0.19055,-0.01249,0.00027,0.19055
TOD300ITA,EURA14,2014-12-12 11:59:00,-0.01204,0.00106,0.19005,-0.01204,0.00106,0.19005
TOD300ITA,EURA14,2014-12-13 11:59:00,-0.01193,0.0007,0.1957,-0.01193,0.0007,0.1957
TOD300ITA,EURA14,2014-12-14 11:59:00,-0.01261,0.00102,0.19149,-0.01261,0.00102,0.19149
TOD300ITA,EURA14,2014-12-15 11:59:00,-0.0135,0.00099,0.19202,-0.0135,0.00099,0.19202
TOD300ITA,EURA14,2014-12-16 11:59:00,-0.01342,0.00151,0.19938,-0.01342,0.00151,0.19938
TOD300ITA,EURA14,2014-12-17 11:59:00,-0.0119,0.00061,0.19322,-0.0119,0.00061,0.19322
TOD300ITA,EURA14,2014-12-18 11:59:00,-0.01194,0.00182,0.19216,-0.01194,0.00182,0.19216
TOD300ITA,EURA14,2014-12-19 11:59:00,-0.01155,0.00156,0.194,-0.01155,0.00156,0.194
TOD300ITA,EURA14,2014-12-20 11:59:00,-0.01256,0.00099,0.19317,-0.01256,0.00099,0.19317
TOD300ITA,EURA14,2014-12-21 11:59:00,-0.01308,0.00144,0.19691,-0.01308,0.00144,0.19691
TOD300ITA,EURA14,2014-12-22 11:59:00,-0.01287,0.0005,0.18973,-0.01287,0.0005,0.18973
TOD300ITA,EURA14,2014-12-23 11:59:00,-0.01335,9e-05,0.19266,-0.01335,9e-05,0.19266
TOD300ITA,EURA14,2014-12-24 11:59:00,-0.01287,0.00051,0.19127,-0.01287,0.00051,0.19127
TOD300ITA,EURA14,2014-12-25 11:59:00,-0.0135,0.00068,0.19268,-0.0135,0.00068,0.19268
TOD300ITA,EURA14,2014-12-26 11:59:00,-0.01328,0.00178,0.19948,-0.01328,0.00178,0.19948
TOD300ITA,EURA14,2014-12-29 11:59:00,-0.01314,0.00124,0.1961,-0.01314,0.00124,0.1961
TOD300ITA,EURA14,2014-12-30 11:59:00,-0.01176,0.00187,0.19098,-0.01176,0.00187,0.19098
TOD300ITA,EURA14,2014-12-31 11:59:00,-0.01139,0.00229,0.18778,-0.01139,0.00229,0.18778
TOD300ITA,EURA14,2015-01-01 11:59:00,-0.01436,-0.00064,0.18728,-0.01436,-0.00064,0.18728
TOD300ITA,EURA14,2015-01-02 11:59:00,-0.01307,-0.0001,0.18965,-0.01307,-0.0001,0.18965
TOD300ITA,EURA14,2015-01-03 11:59:00,-0.0136,-0.00023,0.19222,-0.0136,-0.00023,0.19222
TOD300ITA,EURA14,2015-01-04 11:59:00,-0.01321,0.00029,0.19444,-0.01321,0.00029,0.19444
TOD300ITA,EURA14,2015-01-05 11:59:00,-0.01337,0.00069,0.19382,-0.01337,0.00069,0.19382
TOD300ITA,EURA14,2015-01-06 11:59:00,-0.0135,3e-05,0.1927,-0.0135,3e-05,0.1927
TOD300ITA,EURA14,2015-01-07 11:59:00,-0.01314,0.00028,0.18891,-0.01314,0.00028,0.18891
TOD300ITA,EURA14,2015-01-08 11:59:00,-0.01246,0.00057,0.18907,-0.01246,0.00057,0.18907
TOD300ITA,EURA14,2015-01-09 11:59:00,-0.01392,0.00039,0.19267,-0.01392,0.00039,0.19267
TOD300ITA,EURA14,2015-01-10 11:59:00,-0.01328,7e-05,0.19061,-0.01328,7e-05,0.19061
TOD300ITA,EURA14,2015-01-11 11:59:00,-0.01429,-0.00022,0.19674,-0.01429,-0.00022,0.19674
TOD300ITA,EURA14,2015-01-12 11:59:00,-0.01279,-0.00024,0.19144,-0.01279,-0.00024,0.19144
TOD300ITA,EURA14,2015-01-13 11:59:00,-0.01223,-0.00066,0.18886,-0.01223,-0.00066,0.18886
TOD300ITA,EURA14,2015-01-14 11:59:00,-0.01297,-0.00081,0.19507,-0.01297,-0.00081,0.19507
TOD300ITA,EURA14,2015-01-15 11:59:00,-0.01377,-0.00068,0.19185,-0.01377,-0.00068,0.19185
TOD300ITA,EURA14,2015-01-16 11:59:00,-0.01272,0.00016,0.19885,-0.01272,0.00016,0.19885
TOD300ITA,EURA14,2015-01-17 11:59:00,-0.01087,0.00295,0.18663,-0.01087,0.00295,0.18663
TOD300ITA,EURA14,2015-01-18 11:59:00,-0.01242,-0.00071,0.19631,-0.01242,-0.00071,0.19631
TOD300ITA,EURA14,2015-01-19 11:59:00,-0.01244,-0.00021,0.19955,-0.01244,-0.00021,0.19955
TOD300ITA,EURA14,2015-01-20 11:59:00,-0.01451,0.00104,0.20459,-0.01451,0.00104,0.20459
TOD300ITA,EURA14,2015-01-21 11:59:00,-0.01365,0.0015,0.20559,-0.01365,0.0015,0.20559
TOD300ITA,EURA14,2015-01-22 11:59:00,-0.01468,-0.00112,0.2061,-0.01468,-0.00112,0.2061
TOD300ITA,EURA14,2015-01-23 11:59:00,-0.01414,0.00118,0.19201,-0.01414,0.00118,0.19201
TOD300ITA,EURA14,2015-01-24 11:59:00,-0.01279,0.0006,0.2049,-0.01279,0.0006,0.2049
TOD300ITA,EURA14,2015-01-25 11:59:00,-0.01349,-0.00059,0.20158,-0.01349,-0.00059,0.20158
TOD300ITA,EURA14,2015-01-26 11:59:00,-0.01285,0.00015,0.19684,-0.01285,0.00015,0.19684
TOD300ITA,EURA14,2015-01-27 11:59:00,-0.0137,0.00013,0.19822,-0.0137,0.00013,0.19822
TOD300ITA,EURA14,2015-01-28 11:59:00,-0.01283,0.00027,0.19776,-0.01283,0.00027,0.19776
TOD300ITA,EURA14,2015-01-29 11:59:00,-0.01246,0.00065,0.20219,-0.01246,0.00065,0.20219
TOD300ITA,EURA14,2015-01-30 11:59:00,-0.0145,-0.00172,0.20358,-0.0145,-0.00172,0.20358
TOD300ITA,EURA14,2015-01-31 11:59:00,-0.01376,-0.00284,0.20766,-0.01376,-0.00284,0.20766
TOD300ITA,EURA14,2015-02-01 11:59:00,-0.01244,-0.00064,0.20827,-0.01244,-0.00064,0.20827
TOD300ITA,EURA14,2015-02-02 11:59:00,-0.01155,-0.00074,0.20335,-0.01155,-0.00074,0.20335
TOD300ITA,EURA14,2015-02-03 11:59:00,-0.01138,0.00123,0.20779,-0.01138,0.00123,0.20779
TOD300ITA,EURA14,2015-02-04 11:59:00,-0.01293,-0.00058,0.20947,-0.01293,-0.00058,0.20947
TOD300ITA,EURA14,2015-02-05 11:59:00,-0.01337,-0.00174,0.20717,-0.01337,-0.00174,0.20717
TOD300ITA,EURA14,2015-02-06 11:59:00,-0.01211,0.00079,0.20429,-0.01211,0.00079,0.20429
TOD300ITA,EURA14,2015-02-07 11:59:00,-0.01151,0.00026,0.19512,-0.01151,0.00026,0.19512
TOD300ITA,EURA14,2015-02-08 11:59:00,-0.0112,0.00057,0.19578,-0.0112,0.00057,0.19578
TOD300ITA,EURA14,2015-02-09 11:59:00,-0.01319,-5e-05,0.19281,-0.01319,-5e-05,0.19281
TOD300ITA,EURA14,2015-02-10 11:59:00,-0.0125,8e-05,0.19707,-0.0125,8e-05,0.19707
TOD300ITA,EURA14,2015-02-11 11:59:00,-0.01216,0.0018,0.19075,-0.01216,0.0018,0.19075
TOD300ITA,EURA14,2015-02-12 11:59:00,-0.01211,0.00122,0.19036,-0.01211,0.00122,0.19036
TOD300ITA,EURA14,2015-02-13 11:59:00,-0.01278,0.00027,0.19295,-0.01278,0.00027,0.19295
TOD300ITA,EURA14,2015-02-14 11:59:00,-0.01272,0.0,0.19494,-0.01272,0.0,0.19494
TOD300ITA,EURA14,2015-02-15 11:59:00,-0.01225,0.00077,0.19722,-0.01225,0.00077,0.19722
TOD300ITA,EURA14,2015-02-16 11:59:00,-0.01156,0.00106,0.19739,-0.01156,0.00106,0.19739
TOD300ITA,EURA14,2015-02-17 11:59:00,-0.01092,0.00039,0.19349,-0.01092,0.00039,0.19349
TOD300ITA,EURA14,2015-02-18 11:59:00,-0.01199,0.0017,0.18951,-0.01199,0.0017,0.18951
TOD300ITA,EURA14,2015-02-19 11:59:00,-0.01293,0.00094,0.19074,-0.01293,0.00094,0.19074
TOD300ITA,EURA14,2015-02-20 11:59:00,-0.01151,0.0015,0.19006,-0.01151,0.0015,0.19006
TOD300ITA,EURA14,2015-02-21 11:59:00,-0.01218,0.00044,0.19912,-0.01218,0.00044,0.19912
TOD300ITA,EURA14,2015-02-22 11:59:00,-0.0126,0.00039,0.20542,-0.0126,0.00039,0.20542
TOD300ITA,EURA14,2015-02-23 11:59:00,-0.01269,-0.0004,0.19769,-0.01269,-0.0004,0.19769
TOD300ITA,EURA14,2015-02-24 11:59:00,-0.01355,0.00164,0.19832,-0.01355,0.00164,0.19832
TOD300ITA,EURA14,2015-02-25 11:59:00,-0.01114,0.0018,0.20217,-0.01114,0.0018,0.20217
TOD300ITA,EURA14,2015-02-26 11:59:00,-0.01246,0.00075,0.19546,-0.01246,0.00075,0.19546
TOD300ITA,EURA14,2015-02-27 11:59:00,-0.01243,0.00104,0.19405,-0.01243,0.00104,0.19405
TOD300ITA,EURA14,2015-02-28 11:59:00,-0.01356,0.00082,0.19247,-0.01356,0.00082,0.19247
TOD300ITA,EURA14,2015-03-01 11:59:00,-0.01185,0.00066,0.19108,-0.01185,0.00066,0.19108
TOD300ITA,EURA14,2015-03-02 11:59:00,-0.01207,0.00146,0.19665,-0.01207,0.00146,0.19665
TOD300ITA,EURA14,2015-03-03 11:59:00,-0.01182,0.00048,0.19336,-0.01182,0.00048,0.19336
TOD300ITA,EURA14,2015-03-04 11:59:00,-0.01464,0.00184,0.19549,-0.01464,0.00184,0.19549
TOD300ITA,EURA14,2015-03-05 11:59:00,-0.01314,0.00164,0.19808,-0.01314,0.00164,0.19808
TOD300ITA,EURA14,2015-03-06 11:59:00,-0.01274,0.0026,0.18172,-0.01274,0.0026,0.18172
TOD300ITA,EURA14,2015-03-07 11:59:00,-0.00752,0.00852,0.18543,-0.00752,0.00852,0.18543
TOD300ITA,EURA14,2015-03-08 11:59:00,-0.01332,0.00203,0.19676,-0.01332,0.00203,0.19676
TOD300ITA,EURA14,2015-03-09 11:59:00,-0.0126,0.00097,0.1901,-0.0126,0.00097,0.1901
TOD300ITA,EURA14,2015-03-10 11:59:00,-0.0127,0.00107,0.19064,-0.0127,0.00107,0.19064
TOD300ITA,EURA14,2015-03-11 11:59:00,-0.01288,0.00176,0.19002,-0.01288,0.00176,0.19002
TOD300ITA,EURA14,2015-03-12 11:59:00,-0.01429,0.00052,0.19775,-0.01429,0.00052,0.19775
TOD300ITA,EURA14,2015-03-13 11:59:00,-0.01294,0.00169,0.19302,-0.01294,0.00169,0.19302
TOD300ITA,EURA14,2015-03-14 11:59:00,-0.01295,0.00282,0.19193,-0.01295,0.00282,0.19193
TOD300ITA,EURA14,2015-03-15 11:59:00,-0.0134,0.00099,0.19457,-0.0134,0.00099,0.19457
TOD300ITA,EURA14,2015-03-16 11:59:00,-0.01562,-0.0003,0.2007,-0.01562,-0.0003,0.2007
TOD300ITA,EURA14,2015-03-17 11:59:00,-0.01289,0.00118,0.20077,-0.01289,0.00118,0.20077
TOD300ITA,EURA14,2015-03-18 11:59:00,-0.01265,0.00172,0.19423,-0.01265,0.00172,0.19423
