marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
TODI00ITA,EURA14,2005-08-26 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
TODI00ITA,EURA14,2005-08-27 11:59:00,0.02219,0.00434,0.00133,0.02219,0.00434,0.00133
TODI00ITA,EURA14,2005-08-31 11:59:00,0.02608,0.00531,-0.00532,0.02608,0.00531,-0.00532
TODI00ITA,EURA14,2005-09-01 11:59:00,0.037825,0.012594999999999999,-0.016535,0.037825,0.012594999999999999,-0.016535
TODI00ITA,EURA14,2005-09-02 11:59:00,0.04957,0.01988,-0.02775,0.04957,0.01988,-0.02775
TODI00ITA,EURA14,2005-09-03 11:59:00,0.09212,-0.02136,-0.05077,0.09212,-0.02136,-0.05077
TODI00ITA,EURA14,2005-09-04 11:59:00,0.06414,-0.008805,-0.02504,0.06414,-0.008805,-0.02504
TODI00ITA,EURA14,2005-09-05 11:59:00,0.03616,0.00375,0.00069,0.03616,0.00375,0.00069
TODI00ITA,EURA14,2005-09-11 11:59:00,0.03678,0.00647,-0.01867,0.03678,0.00647,-0.01867
TODI00ITA,EURA14,2005-09-12 11:59:00,0.02855,0.00493,-0.01279,0.02855,0.00493,-0.01279
TODI00ITA,EURA14,2005-09-13 11:59:00,-0.00419,0.00413,-0.02197,-0.00419,0.00413,-0.02197
TODI00ITA,EURA14,2005-09-14 11:59:00,-0.10229,0.00772,0.09793,-0.10229,0.00772,0.09793
TODI00ITA,EURA14,2005-09-15 11:59:00,0.00622,0.01381,-0.00106,0.00622,0.01381,-0.00106
TODI00ITA,EURA14,2005-09-18 11:59:00,0.07257,-0.00177,0.01429,0.07257,-0.00177,0.01429
TODI00ITA,EURA14,2005-09-19 11:59:00,0.03333,-0.00263,0.03021,0.03333,-0.00263,0.03021
TODI00ITA,EURA14,2005-09-27 11:59:00,-0.02764,-0.03703,0.10791,-0.02764,-0.03703,0.10791
TODI00ITA,EURA14,2005-09-28 11:59:00,0.19986,0.03641,0.01068,0.19986,0.03641,0.01068
TODI00ITA,EURA14,2005-09-29 11:59:00,-0.02456,0.08822,-0.25498,-0.02456,0.08822,-0.25498
TODI00ITA,EURA14,2005-09-30 11:59:00,0.03417,0.00597,-0.04209,0.03417,0.00597,-0.04209
TODI00ITA,EURA14,2005-10-01 11:59:00,0.05826,-0.01891,-0.01573,0.05826,-0.01891,-0.01573
TODI00ITA,EURA14,2005-10-02 11:59:00,0.03144,0.00922,-0.01295,0.03144,0.00922,-0.01295
TODI00ITA,EURA14,2005-10-03 11:59:00,0.03047,0.00511,-0.00022,0.03047,0.00511,-0.00022
TODI00ITA,EURA14,2005-10-04 11:59:00,0.03497,0.00409,-0.03896,0.03497,0.00409,-0.03896
TODI00ITA,EURA14,2005-10-05 11:59:00,0.03509,-0.00408,-0.00202,0.03509,-0.00408,-0.00202
TODI00ITA,EURA14,2005-10-13 11:59:00,0.03098,-0.00087,-0.00152,0.03098,-0.00087,-0.00152
TODI00ITA,EURA14,2005-10-14 11:59:00,0.03092,3e-05,-0.00439,0.03092,3e-05,-0.00439
TODI00ITA,EURA14,2005-10-15 11:59:00,0.0317,0.00144,-0.00901,0.0317,0.00144,-0.00901
TODI00ITA,EURA14,2005-10-16 11:59:00,-0.00441,-0.00409,0.02819,-0.00441,-0.00409,0.02819
TODI00ITA,EURA14,2005-10-17 11:59:00,0.03207,-0.00052,-0.00144,0.03207,-0.00052,-0.00144
TODI00ITA,EURA14,2005-10-18 11:59:00,0.0311,0.00048,-0.00974,0.0311,0.00048,-0.00974
TODI00ITA,EURA14,2005-10-19 11:59:00,0.03054,0.00119,-0.0077,0.03054,0.00119,-0.0077
TODI00ITA,EURA14,2005-10-20 11:59:00,0.02993,0.00259,-0.00463,0.02993,0.00259,-0.00463
TODI00ITA,EURA14,2005-10-21 11:59:00,0.03299,0.00046,-0.01322,0.03299,0.00046,-0.01322
TODI00ITA,EURA14,2005-10-22 11:59:00,0.03129,0.00043,-0.00435,0.03129,0.00043,-0.00435
TODI00ITA,EURA14,2005-10-23 11:59:00,0.03213,0.00018,-0.00788,0.03213,0.00018,-0.00788
TODI00ITA,EURA14,2005-10-24 11:59:00,0.03128,0.00081,-0.01305,0.03128,0.00081,-0.01305
TODI00ITA,EURA14,2005-10-25 11:59:00,0.03155,0.0012,-0.0088,0.03155,0.0012,-0.0088
TODI00ITA,EURA14,2005-10-26 11:59:00,0.03162,0.00075,-0.00837,0.03162,0.00075,-0.00837
TODI00ITA,EURA14,2005-10-27 11:59:00,0.03164,0.00039,-0.00662,0.03164,0.00039,-0.00662
TODI00ITA,EURA14,2005-10-28 11:59:00,0.03229,0.00146,-0.00704,0.03229,0.00146,-0.00704
TODI00ITA,EURA14,2005-10-29 11:59:00,0.03293,0.00185,-0.00524,0.03293,0.00185,-0.00524
TODI00ITA,EURA14,2005-10-30 11:59:00,0.03242,0.00185,-0.00603,0.03242,0.00185,-0.00603
TODI00ITA,EURA14,2005-10-31 11:59:00,0.0323,0.00132,-0.00194,0.0323,0.00132,-0.00194
TODI00ITA,EURA14,2005-11-01 11:59:00,0.03764,-0.00104,-0.01782,0.03764,-0.00104,-0.01782
TODI00ITA,EURA14,2005-11-02 11:59:00,0.03088,0.00234,-0.01385,0.03088,0.00234,-0.01385
TODI00ITA,EURA14,2005-11-03 11:59:00,0.03263,0.00146,-0.01059,0.03263,0.00146,-0.01059
TODI00ITA,EURA14,2005-11-04 11:59:00,0.03141,0.00195,-0.00383,0.03141,0.00195,-0.00383
TODI00ITA,EURA14,2005-11-05 11:59:00,0.03155,0.00298,-0.01153,0.03155,0.00298,-0.01153
TODI00ITA,EURA14,2005-11-06 11:59:00,0.03308,0.00126,-0.00492,0.03308,0.00126,-0.00492
TODI00ITA,EURA14,2005-11-07 11:59:00,0.032,0.00198,-0.01494,0.032,0.00198,-0.01494
TODI00ITA,EURA14,2005-11-08 11:59:00,0.03313,-0.00036,-0.01009,0.03313,-0.00036,-0.01009
TODI00ITA,EURA14,2005-11-09 11:59:00,0.03317,0.00087,-0.00919,0.03317,0.00087,-0.00919
TODI00ITA,EURA14,2005-11-10 11:59:00,0.03205,0.00046,-0.0097,0.03205,0.00046,-0.0097
TODI00ITA,EURA14,2005-11-11 11:59:00,0.03183,0.00185,-0.00624,0.03183,0.00185,-0.00624
TODI00ITA,EURA14,2005-11-12 11:59:00,0.03257,0.00068,-0.0089,0.03257,0.00068,-0.0089
TODI00ITA,EURA14,2005-11-13 11:59:00,0.03172,2e-05,-0.01191,0.03172,2e-05,-0.01191
TODI00ITA,EURA14,2005-11-14 11:59:00,0.03147,0.00176,-0.007745,0.03147,0.00176,-0.007745
TODI00ITA,EURA14,2005-11-15 11:59:00,0.03122,0.0035,-0.00358,0.03122,0.0035,-0.00358
TODI00ITA,EURA14,2005-11-16 11:59:00,0.03013,0.00055,-0.00516,0.03013,0.00055,-0.00516
TODI00ITA,EURA14,2005-11-17 11:59:00,0.03034,0.00158,-0.00631,0.03034,0.00158,-0.00631
TODI00ITA,EURA14,2005-11-18 11:59:00,0.03147,0.00073,-0.0013,0.03147,0.00073,-0.0013
TODI00ITA,EURA14,2005-11-19 11:59:00,0.03071,0.00157,-0.00666,0.03071,0.00157,-0.00666
TODI00ITA,EURA14,2005-11-20 11:59:00,0.03106,0.00167,-0.0069,0.03106,0.00167,-0.0069
TODI00ITA,EURA14,2005-11-21 11:59:00,0.03018,0.00203,-0.00272,0.03018,0.00203,-0.00272
TODI00ITA,EURA14,2005-11-22 11:59:00,0.03204,0.00285,-0.01586,0.03204,0.00285,-0.01586
TODI00ITA,EURA14,2005-11-23 11:59:00,0.03071,0.00212,-0.00352,0.03071,0.00212,-0.00352
TODI00ITA,EURA14,2005-11-24 11:59:00,0.03118,0.00063,-0.00218,0.03118,0.00063,-0.00218
TODI00ITA,EURA14,2005-11-25 11:59:00,0.03029,0.00113,0.00032,0.03029,0.00113,0.00032
TODI00ITA,EURA14,2005-11-26 11:59:00,0.03203,0.00033,-0.00784,0.03203,0.00033,-0.00784
TODI00ITA,EURA14,2005-11-27 11:59:00,0.03161,0.00188,-0.00598,0.03161,0.00188,-0.00598
TODI00ITA,EURA14,2005-11-28 11:59:00,0.03103,0.00201,-0.00867,0.03103,0.00201,-0.00867
TODI00ITA,EURA14,2005-11-29 11:59:00,0.03082,0.00121,-0.00701,0.03082,0.00121,-0.00701
TODI00ITA,EURA14,2005-11-30 11:59:00,0.03199,0.00105,-0.00596,0.03199,0.00105,-0.00596
TODI00ITA,EURA14,2005-12-01 11:59:00,0.03304,0.00156,-0.00867,0.03304,0.00156,-0.00867
TODI00ITA,EURA14,2005-12-02 11:59:00,0.02956,8e-05,-0.01366,0.02956,8e-05,-0.01366
TODI00ITA,EURA14,2005-12-03 11:59:00,0.03124,0.00097,-0.00738,0.03124,0.00097,-0.00738
TODI00ITA,EURA14,2005-12-04 11:59:00,0.03034,0.00178,-0.01154,0.03034,0.00178,-0.01154
TODI00ITA,EURA14,2005-12-05 11:59:00,0.03018,0.0001,0.00191,0.03018,0.0001,0.00191
TODI00ITA,EURA14,2005-12-06 11:59:00,0.03167,0.00099,-0.00208,0.03167,0.00099,-0.00208
TODI00ITA,EURA14,2005-12-07 11:59:00,0.03127,0.00221,-0.01005,0.03127,0.00221,-0.01005
TODI00ITA,EURA14,2005-12-08 11:59:00,0.03115,0.00224,-0.00687,0.03115,0.00224,-0.00687
TODI00ITA,EURA14,2005-12-09 11:59:00,0.03108,0.00166,-0.00364,0.03108,0.00166,-0.00364
TODI00ITA,EURA14,2005-12-10 11:59:00,0.03149,0.00274,-0.01053,0.03149,0.00274,-0.01053
TODI00ITA,EURA14,2005-12-11 11:59:00,0.03192,0.00297,-0.00863,0.03192,0.00297,-0.00863
TODI00ITA,EURA14,2005-12-12 11:59:00,0.03196,0.00245,-0.00944,0.03196,0.00245,-0.00944
TODI00ITA,EURA14,2005-12-13 11:59:00,0.03062,0.00242,-0.00487,0.03062,0.00242,-0.00487
TODI00ITA,EURA14,2005-12-14 11:59:00,0.03136,0.00218,-0.00049,0.03136,0.00218,-0.00049
TODI00ITA,EURA14,2005-12-15 11:59:00,0.03054,0.00128,-0.00433,0.03054,0.00128,-0.00433
TODI00ITA,EURA14,2005-12-16 11:59:00,0.0307,0.00293,-0.00403,0.0307,0.00293,-0.00403
TODI00ITA,EURA14,2005-12-17 11:59:00,0.03164,0.00065,-0.00281,0.03164,0.00065,-0.00281
