marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
TRMI00ITA,EURA14,2021-05-04 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
TRMI00ITA,EURA14,2021-05-05 11:59:00,0.00026,-0.00093,0.0049,0.00026,-0.00093,0.0049
TRMI00ITA,EURA14,2021-05-06 11:59:00,0.00054,-0.00032,-0.00305,0.00054,-0.00032,-0.00305
TRMI00ITA,EURA14,2021-05-07 11:59:00,-0.00061,-0.00033,-1e-05,-0.00061,-0.00033,-1e-05
TRMI00ITA,EURA14,2021-05-08 11:59:00,0.00016,0.0002,0.00022,0.00016,0.0002,0.00022
TRMI00ITA,EURA14,2021-05-09 11:59:00,0.0,-0.00034,-0.00272,0.0,-0.00034,-0.00272
TRMI00ITA,EURA14,2021-05-10 11:59:00,-0.00097,-0.00013,0.00074,-0.00097,-0.00013,0.00074
TRMI00ITA,EURA14,2021-05-11 11:59:00,0.00045,-0.00071,0.00378,0.00045,-0.00071,0.00378
TRMI00ITA,EURA14,2021-05-12 11:59:00,-0.00024,0.00022,0.00607,-0.00024,0.00022,0.00607
TRMI00ITA,EURA14,2021-05-13 11:59:00,-0.00028,0.00017,0.00019,-0.00028,0.00017,0.00019
TRMI00ITA,EURA14,2021-05-14 11:59:00,-0.00105,0.00085,-0.0008,-0.00105,0.00085,-0.0008
TRMI00ITA,EURA14,2021-05-15 11:59:00,-7e-05,0.00039,0.00059,-7e-05,0.00039,0.00059
TRMI00ITA,EURA14,2021-05-16 11:59:00,-0.00024,-0.00061,0.00913,-0.00024,-0.00061,0.00913
TRMI00ITA,EURA14,2021-05-17 11:59:00,-0.00142,2e-05,-0.00124,-0.00142,2e-05,-0.00124
TRMI00ITA,EURA14,2021-05-18 11:59:00,-0.00047,0.00039,0.00421,-0.00047,0.00039,0.00421
TRMI00ITA,EURA14,2021-05-19 11:59:00,-0.00046,-0.00026,0.00323,-0.00046,-0.00026,0.00323
TRMI00ITA,EURA14,2021-05-20 11:59:00,-0.00101,0.00119,0.00032,-0.00101,0.00119,0.00032
TRMI00ITA,EURA14,2021-05-21 11:59:00,-0.00071,0.0003,0.00249,-0.00071,0.0003,0.00249
TRMI00ITA,EURA14,2021-05-22 11:59:00,-0.00179,-0.00091,0.00324,-0.00179,-0.00091,0.00324
TRMI00ITA,EURA14,2021-05-23 11:59:00,-0.00139,0.0012,0.00368,-0.00139,0.0012,0.00368
TRMI00ITA,EURA14,2021-05-24 11:59:00,-0.00114,-0.00236,0.0101,-0.00114,-0.00236,0.0101
TRMI00ITA,EURA14,2021-05-25 11:59:00,-0.00182,-0.00119,0.0019,-0.00182,-0.00119,0.0019
TRMI00ITA,EURA14,2021-05-26 11:59:00,-0.00107,0.00078,0.00532,-0.00107,0.00078,0.00532
TRMI00ITA,EURA14,2021-05-27 11:59:00,-0.00123,-1e-05,0.00366,-0.00123,-1e-05,0.00366
TRMI00ITA,EURA14,2021-05-28 11:59:00,-0.00243,-0.00033,0.00419,-0.00243,-0.00033,0.00419
TRMI00ITA,EURA14,2021-05-29 11:59:00,-0.00286,0.00144,-0.00116,-0.00286,0.00144,-0.00116
TRMI00ITA,EURA14,2021-05-30 11:59:00,-0.00274,-0.00052,0.00301,-0.00274,-0.00052,0.00301
TRMI00ITA,EURA14,2021-05-31 11:59:00,-0.00154,0.00066,0.00135,-0.00154,0.00066,0.00135
TRMI00ITA,EURA14,2021-06-01 11:59:00,-0.00024,0.00039,0.00662,-0.00024,0.00039,0.00662
TRMI00ITA,EURA14,2021-06-02 11:59:00,-0.00025,0.00048,0.00224,-0.00025,0.00048,0.00224
TRMI00ITA,EURA14,2021-06-03 11:59:00,1e-05,0.00104,0.00193,1e-05,0.00104,0.00193
TRMI00ITA,EURA14,2021-06-04 11:59:00,-0.0004,0.00146,4e-05,-0.0004,0.00146,4e-05
TRMI00ITA,EURA14,2021-06-05 11:59:00,-0.00114,0.00025,-0.00148,-0.00114,0.00025,-0.00148
