marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
VALM00ITA,EURA14,2012-06-15 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
VALM00ITA,EURA14,2012-06-16 11:59:00,0.00127,-0.0011,-0.01095,0.00127,-0.0011,-0.01095
VALM00ITA,EURA14,2012-06-17 11:59:00,-0.00033,-0.0022,-0.01325,-0.00033,-0.0022,-0.01325
VALM00ITA,EURA14,2012-06-18 11:59:00,4e-05,-0.00201,-0.00922,4e-05,-0.00201,-0.00922
VALM00ITA,EURA14,2012-06-19 11:59:00,0.00251,-0.00316,-0.01024,0.00251,-0.00316,-0.01024
VALM00ITA,EURA14,2012-06-20 11:59:00,0.00044,-0.00326,9e-05,0.00044,-0.00326,9e-05
VALM00ITA,EURA14,2012-06-21 11:59:00,0.00039,-0.00194,-0.00556,0.00039,-0.00194,-0.00556
VALM00ITA,EURA14,2012-06-22 11:59:00,2e-05,-0.00138,-0.00595,2e-05,-0.00138,-0.00595
VALM00ITA,EURA14,2012-06-23 11:59:00,0.00024,-0.00192,-0.00309,0.00024,-0.00192,-0.00309
VALM00ITA,EURA14,2012-06-24 11:59:00,0.00022,-0.00189,-0.00562,0.00022,-0.00189,-0.00562
VALM00ITA,EURA14,2012-06-25 11:59:00,0.00062,-0.00263,-0.002,0.00062,-0.00263,-0.002
VALM00ITA,EURA14,2012-06-26 11:59:00,0.00039,-0.00198,-0.00557,0.00039,-0.00198,-0.00557
VALM00ITA,EURA14,2012-09-18 11:59:00,0.00208,-0.00489,-0.00701,0.0033232420091324198,-0.005725011415525115,-0.0011310673515981737
VALM00ITA,EURA14,2012-09-19 11:59:00,0.00014,-0.00411,-0.00302,0.0013832420091324199,-0.0049450114155251135,0.002858932648401826
VALM00ITA,EURA14,2012-09-20 11:59:00,-0.00033,-0.00347,-0.00269,0.00091324200913242,-0.0043050114155251135,0.003188932648401826
VALM00ITA,EURA14,2012-09-21 11:59:00,0.00259,-0.00238,-0.01666,0.00383324200913242,-0.003215011415525114,-0.010781067351598176
VALM00ITA,EURA14,2012-09-22 11:59:00,0.00204,-0.00472,-0.00149,0.00328324200913242,-0.005555011415525115,0.004388932648401826
VALM00ITA,EURA14,2012-09-23 11:59:00,0.00142,-0.00371,-0.00716,0.00266324200913242,-0.004545011415525114,-0.0012810673515981736
VALM00ITA,EURA14,2012-09-24 11:59:00,0.00134,-0.00683,-0.00548,0.00258324200913242,-0.007665011415525114,0.00039893264840182643
VALM00ITA,EURA14,2012-09-25 11:59:00,0.00242,-0.00396,-0.00149,0.00366324200913242,-0.004795011415525114,0.004388932648401826
VALM00ITA,EURA14,2012-09-26 11:59:00,0.00136,-0.00486,-0.0032,0.00260324200913242,-0.005695011415525114,0.002678932648401826
VALM00ITA,EURA14,2012-09-27 11:59:00,0.0023,-0.00279,-0.01121,0.00354324200913242,-0.003625011415525114,-0.005331067351598173
VALM00ITA,EURA14,2012-09-28 11:59:00,0.00147,-0.00396,-0.0074,0.00271324200913242,-0.004795011415525114,-0.0015210673515981743
VALM00ITA,EURA14,2012-09-29 11:59:00,0.0025,-0.00172,-0.00848,0.00374324200913242,-0.0025550114155251137,-0.0026010673515981736
VALM00ITA,EURA14,2012-09-30 11:59:00,0.0014,-0.00232,-0.00745,0.00264324200913242,-0.003155011415525114,-0.001571067351598174
VALM00ITA,EURA14,2012-10-01 11:59:00,0.00262,-0.0021,-0.01104,0.00386324200913242,-0.002935011415525114,-0.005161067351598173
VALM00ITA,EURA14,2012-10-02 11:59:00,0.00096,-0.00412,-0.01148,0.00220324200913242,-0.004955011415525115,-0.0056010673515981746
VALM00ITA,EURA14,2012-10-03 11:59:00,0.00219,-0.00374,-0.01454,0.00343324200913242,-0.004575011415525114,-0.008661067351598176
VALM00ITA,EURA14,2012-10-04 11:59:00,0.00196,-0.00364,-0.01135,0.00320324200913242,-0.0044750114155251135,-0.005471067351598175
VALM00ITA,EURA14,2012-10-05 11:59:00,0.00177,-0.00361,-0.01022,0.00301324200913242,-0.004445011415525114,-0.004341067351598174
VALM00ITA,EURA14,2012-10-06 11:59:00,0.00164,-0.00285,-0.01217,0.00288324200913242,-0.003685011415525114,-0.006291067351598174
VALM00ITA,EURA14,2012-10-07 11:59:00,0.00166,-0.00314,-0.00729,0.00290324200913242,-0.003975011415525114,-0.0014110673515981735
VALM00ITA,EURA14,2012-10-08 11:59:00,-0.00036,-0.00399,-0.01037,0.0008832420091324199,-0.004825011415525113,-0.004491067351598175
VALM00ITA,EURA14,2012-10-09 11:59:00,0.00297,-0.00447,-0.00135,0.0042132420091324195,-0.005305011415525114,0.004528932648401826
VALM00ITA,EURA14,2012-10-10 11:59:00,0.00125,-0.00414,-0.00349,0.00249324200913242,-0.004975011415525114,0.002388932648401826
VALM00ITA,EURA14,2012-10-11 11:59:00,0.00233,-0.00199,-0.00436,0.00357324200913242,-0.002825011415525114,0.001518932648401826
VALM00ITA,EURA14,2012-10-12 11:59:00,0.00196,-0.00278,-0.01304,0.00320324200913242,-0.003615011415525114,-0.0071610673515981734
VALM00ITA,EURA14,2012-10-13 11:59:00,0.00086,-0.0038,-0.00375,0.00210324200913242,-0.004635011415525114,0.002128932648401826
VALM00ITA,EURA14,2012-10-14 11:59:00,0.00149,-0.00334,0.00026,0.00273324200913242,-0.004175011415525114,0.006138932648401826
VALM00ITA,EURA14,2012-10-15 11:59:00,0.00103,-0.00483,-0.00073,0.00227324200913242,-0.005665011415525114,0.005148932648401826
