marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
VCRA00ITA,EURA14,2006-06-12 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
VCRA00ITA,EURA14,2006-06-13 11:59:00,0.00246,6e-05,-0.00739,0.00246,6e-05,-0.00739
VCRA00ITA,EURA14,2006-06-14 11:59:00,-6e-05,-0.00014,-0.00549,-6e-05,-0.00014,-0.00549
VCRA00ITA,EURA14,2006-06-15 11:59:00,0.00103,-0.00094,0.002,0.00103,-0.00094,0.002
VCRA00ITA,EURA14,2006-06-16 11:59:00,0.00292,7e-05,0.00273,0.00292,7e-05,0.00273
VCRA00ITA,EURA14,2006-06-17 11:59:00,0.00184,-4e-05,-0.00527,0.00184,-4e-05,-0.00527
VCRA00ITA,EURA14,2006-06-18 11:59:00,-0.00032,-0.00119,0.00535,-0.00032,-0.00119,0.00535
VCRA00ITA,EURA14,2006-06-19 11:59:00,0.00502,-0.00018,0.006,0.00502,-0.00018,0.006
VCRA00ITA,EURA14,2006-06-20 11:59:00,0.00359,0.0018,0.0062,0.00359,0.0018,0.0062
VCRA00ITA,EURA14,2006-06-21 11:59:00,0.00545,-0.00052,-0.00244,0.00545,-0.00052,-0.00244
VCRA00ITA,EURA14,2006-06-22 11:59:00,0.00247,-0.00177,0.00529,0.00247,-0.00177,0.00529
VCRA00ITA,EURA14,2006-06-23 11:59:00,-0.00139,-0.00029,0.00014,-0.00139,-0.00029,0.00014
VCRA00ITA,EURA14,2006-06-24 11:59:00,0.00251,-0.00031,0.00795,0.00251,-0.00031,0.00795
VCRA00ITA,EURA14,2006-06-25 11:59:00,0.00201,0.00021,-0.00507,0.00201,0.00021,-0.00507
VCRA00ITA,EURA14,2006-06-26 11:59:00,0.00516,0.00157,0.0038,0.00516,0.00157,0.0038
VCRA00ITA,EURA14,2006-06-27 11:59:00,-0.00062,-0.00147,0.00553,-0.00062,-0.00147,0.00553
VCRA00ITA,EURA14,2006-06-28 11:59:00,0.00384,9e-05,0.0078,0.00384,9e-05,0.0078
VCRA00ITA,EURA14,2006-06-29 11:59:00,0.00411,0.00129,-0.00731,0.00411,0.00129,-0.00731
VCRA00ITA,EURA14,2006-06-30 11:59:00,0.00304,0.00219,-0.00404,0.00304,0.00219,-0.00404
VCRA00ITA,EURA14,2006-07-01 11:59:00,0.00472,0.00206,-0.00234,0.00472,0.00206,-0.00234
VCRA00ITA,EURA14,2006-07-02 11:59:00,0.00492,0.00293,-0.00614,0.00492,0.00293,-0.00614
VCRA00ITA,EURA14,2006-07-03 11:59:00,0.00372,0.00208,-0.00267,0.00372,0.00208,-0.00267
VCRA00ITA,EURA14,2006-07-04 11:59:00,0.00224,0.00056,-0.00059,0.00224,0.00056,-0.00059
VCRA00ITA,EURA14,2006-07-05 11:59:00,0.00382,0.00114,-0.01218,0.00382,0.00114,-0.01218
VCRA00ITA,EURA14,2006-07-06 11:59:00,0.00483,0.00037,0.00246,0.00483,0.00037,0.00246
VCRA00ITA,EURA14,2006-07-07 11:59:00,0.00171,0.00067,-0.00335,0.00171,0.00067,-0.00335
VCRA00ITA,EURA14,2006-07-08 11:59:00,0.00618,0.00067,-0.0095,0.00618,0.00067,-0.0095
VCRA00ITA,EURA14,2006-07-09 11:59:00,0.005915,0.00044500000000000003,-0.009094999999999999,0.005915,0.00044500000000000003,-0.009094999999999999
VCRA00ITA,EURA14,2006-07-10 11:59:00,0.00565,0.00022,-0.00869,0.00565,0.00022,-0.00869
VCRA00ITA,EURA14,2006-07-11 11:59:00,0.00146,0.00095,-0.00681,0.00146,0.00095,-0.00681
VCRA00ITA,EURA14,2006-07-12 11:59:00,0.00078,0.00128,-0.01094,0.00078,0.00128,-0.01094
VCRA00ITA,EURA14,2006-07-13 11:59:00,0.003,0.00036,0.00261,0.003,0.00036,0.00261
VCRA00ITA,EURA14,2006-07-14 11:59:00,0.00065,0.0002,0.00287,0.00065,0.0002,0.00287
VCRA00ITA,EURA14,2006-07-15 11:59:00,0.00222,0.00078,0.0076,0.00222,0.00078,0.0076
VCRA00ITA,EURA14,2006-07-16 11:59:00,0.00354,0.0018,0.00251,0.00354,0.0018,0.00251
VCRA00ITA,EURA14,2006-07-17 11:59:00,0.00341,0.00236,-0.0004,0.00341,0.00236,-0.0004
VCRA00ITA,EURA14,2006-07-18 11:59:00,0.00163,0.00123,-0.00372,0.00163,0.00123,-0.00372
VCRA00ITA,EURA14,2006-07-19 11:59:00,0.00243,0.00117,-0.0071,0.00243,0.00117,-0.0071
VCRA00ITA,EURA14,2006-07-20 11:59:00,0.00169,0.00147,-0.00891,0.00169,0.00147,-0.00891
VCRA00ITA,EURA14,2006-07-21 11:59:00,0.00245,0.00218,-0.01029,0.00245,0.00218,-0.01029
VCRA00ITA,EURA14,2006-07-22 11:59:00,0.00209,0.00018,-0.00794,0.00209,0.00018,-0.00794
VCRA00ITA,EURA14,2006-07-23 11:59:00,0.00329,0.00273,-0.00738,0.00329,0.00273,-0.00738
VCRA00ITA,EURA14,2006-07-24 11:59:00,0.00468,0.00095,-0.00155,0.00468,0.00095,-0.00155
VCRA00ITA,EURA14,2006-07-25 11:59:00,-0.00111,0.00024,-0.0082,-0.00111,0.00024,-0.0082
VCRA00ITA,EURA14,2006-07-26 11:59:00,-0.00183,0.00058,-0.00042,-0.00183,0.00058,-0.00042
VCRA00ITA,EURA14,2006-07-27 11:59:00,0.00231,0.0008,-0.00581,0.00231,0.0008,-0.00581
VCRA00ITA,EURA14,2006-07-28 11:59:00,0.00215,-0.00025,-0.00175,0.00215,-0.00025,-0.00175
VCRA00ITA,EURA14,2006-07-29 11:59:00,0.00024,0.00364,0.00067,0.00024,0.00364,0.00067
VCRA00ITA,EURA14,2006-07-30 11:59:00,0.00172,0.0005,-0.00701,0.00172,0.0005,-0.00701
VCRA00ITA,EURA14,2006-07-31 11:59:00,0.00315,0.001,-0.00269,0.00315,0.001,-0.00269
VCRA00ITA,EURA14,2006-08-01 11:59:00,0.00479,0.00126,0.01669,0.00479,0.00126,0.01669
VCRA00ITA,EURA14,2006-08-02 11:59:00,-0.00014,0.00183,0.00193,-0.00014,0.00183,0.00193
VCRA00ITA,EURA14,2006-08-03 11:59:00,0.01553,0.00813,0.00744,0.01553,0.00813,0.00744
VCRA00ITA,EURA14,2006-08-04 11:59:00,0.01677,0.00369,0.01243,0.01677,0.00369,0.01243
VCRA00ITA,EURA14,2006-08-05 11:59:00,0.00269,0.00342,-0.00069,0.00269,0.00342,-0.00069
VCRA00ITA,EURA14,2006-08-06 11:59:00,0.00024,0.00016,-0.00143,0.00024,0.00016,-0.00143
VCRA00ITA,EURA14,2006-08-07 11:59:00,0.00102,-0.00134,0.00177,0.00102,-0.00134,0.00177
VCRA00ITA,EURA14,2006-08-08 11:59:00,0.00219,-4e-05,-0.00083,0.00219,-4e-05,-0.00083
VCRA00ITA,EURA14,2006-08-09 11:59:00,0.00245,0.00175,-0.0076,0.00245,0.00175,-0.0076
VCRA00ITA,EURA14,2006-08-10 11:59:00,0.0014,-0.00034,-0.0069,0.0014,-0.00034,-0.0069
VCRA00ITA,EURA14,2006-08-11 11:59:00,-0.00134,0.00067,8e-05,-0.00134,0.00067,8e-05
VCRA00ITA,EURA14,2006-08-12 11:59:00,-0.00781,-0.00175,-0.00155,-0.00781,-0.00175,-0.00155
VCRA00ITA,EURA14,2006-08-13 11:59:00,0.00278,0.00501,-0.00585,0.00278,0.00501,-0.00585
VCRA00ITA,EURA14,2006-08-14 11:59:00,-0.00097,0.0018,0.00065,-0.00097,0.0018,0.00065
VCRA00ITA,EURA14,2006-08-15 11:59:00,-0.00061,0.00209,-0.00285,-0.00061,0.00209,-0.00285
VCRA00ITA,EURA14,2006-08-16 11:59:00,0.00294,0.00201,0.01361,0.00294,0.00201,0.01361
