marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
VIGN00ITA,EURA14,2019-07-25 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
VIGN00ITA,EURA14,2019-07-26 11:59:00,-0.00169,0.00053,0.00725,-0.00169,0.00053,0.00725
VIGN00ITA,EURA14,2019-07-27 11:59:00,0.00031,0.00299,0.00685,0.00031,0.00299,0.00685
VIGN00ITA,EURA14,2019-07-28 11:59:00,0.0007,0.00226,0.00172,0.0007,0.00226,0.00172
VIGN00ITA,EURA14,2019-07-29 11:59:00,-0.0006,0.00135,0.00248,-0.0006,0.00135,0.00248
VIGN00ITA,EURA14,2019-07-30 11:59:00,0.00058,0.00085,0.00272,0.00058,0.00085,0.00272
VIGN00ITA,EURA14,2019-07-31 11:59:00,0.00018,0.00279,0.00069,0.00018,0.00279,0.00069
VIGN00ITA,EURA14,2019-08-01 11:59:00,-0.00041,0.00181,-0.00055,-0.00041,0.00181,-0.00055
VIGN00ITA,EURA14,2019-08-02 11:59:00,-0.00019,0.00216,0.01213,-0.00019,0.00216,0.01213
VIGN00ITA,EURA14,2019-08-03 11:59:00,-0.00214,0.0012,0.00295,-0.00214,0.0012,0.00295
VIGN00ITA,EURA14,2019-08-04 11:59:00,-0.00121,0.00089,0.00377,-0.00121,0.00089,0.00377
VIGN00ITA,EURA14,2019-08-05 11:59:00,-0.0007,0.00063,0.00013,-0.0007,0.00063,0.00013
VIGN00ITA,EURA14,2019-08-06 11:59:00,-0.00153,0.00144,0.00424,-0.00153,0.00144,0.00424
VIGN00ITA,EURA14,2019-08-07 11:59:00,-0.00174,0.0005,-0.00194,-0.00174,0.0005,-0.00194
VIGN00ITA,EURA14,2019-08-08 11:59:00,-0.00165,0.00102,0.00646,-0.00165,0.00102,0.00646
VIGN00ITA,EURA14,2019-08-09 11:59:00,0.00098,0.00157,-0.00389,0.00098,0.00157,-0.00389
VIGN00ITA,EURA14,2019-08-10 11:59:00,-0.00089,0.00155,0.0021,-0.00089,0.00155,0.0021
VIGN00ITA,EURA14,2019-08-11 11:59:00,-0.00133,0.00068,0.00106,-0.00133,0.00068,0.00106
VIGN00ITA,EURA14,2019-08-12 11:59:00,0.00022,0.00155,0.00594,0.00022,0.00155,0.00594
VIGN00ITA,EURA14,2019-08-13 11:59:00,-0.00073,0.00037,0.00462,-0.00073,0.00037,0.00462
VIGN00ITA,EURA14,2019-08-14 11:59:00,-0.00281,0.00052,0.00698,-0.00281,0.00052,0.00698
VIGN00ITA,EURA14,2019-08-15 11:59:00,0.00055,0.00106,0.00345,0.00055,0.00106,0.00345
VIGN00ITA,EURA14,2019-08-16 11:59:00,-0.00063,0.00323,0.00193,-0.00063,0.00323,0.00193
VIGN00ITA,EURA14,2019-08-17 11:59:00,0.00068,0.00112,0.00404,0.00068,0.00112,0.00404
VIGN00ITA,EURA14,2019-08-18 11:59:00,-0.00191,0.00066,0.00398,-0.00191,0.00066,0.00398
VIGN00ITA,EURA14,2019-08-19 11:59:00,-0.0006,0.00201,-0.0017,-0.0006,0.00201,-0.0017
VIGN00ITA,EURA14,2019-08-20 11:59:00,-0.00099,0.00143,0.00415,-0.00099,0.00143,0.00415
VIGN00ITA,EURA14,2019-08-21 11:59:00,-0.00188,2e-05,0.00872,-0.00188,2e-05,0.00872
VIGN00ITA,EURA14,2019-08-22 11:59:00,-0.00042,0.00184,0.00757,-0.00042,0.00184,0.00757
VIGN00ITA,EURA14,2019-08-23 11:59:00,-0.00109,0.00091,0.00872,-0.00109,0.00091,0.00872
VIGN00ITA,EURA14,2019-08-24 11:59:00,-0.00106,0.00181,0.00192,-0.00106,0.00181,0.00192
VIGN00ITA,EURA14,2019-08-25 11:59:00,-0.00069,0.00107,0.00442,-0.00069,0.00107,0.00442
VIGN00ITA,EURA14,2019-08-26 11:59:00,-0.00215,0.00435,0.00608,-0.00215,0.00435,0.00608
VIGN00ITA,EURA14,2019-08-27 11:59:00,-0.00356,0.00131,0.00597,-0.00356,0.00131,0.00597
VIGN00ITA,EURA14,2019-08-28 11:59:00,-0.00369,0.00187,-0.00277,-0.00369,0.00187,-0.00277
VIGN00ITA,EURA14,2019-08-29 11:59:00,-0.00168,0.00283,0.00026,-0.00168,0.00283,0.00026
VIGN00ITA,EURA14,2019-08-30 11:59:00,-0.0018,0.00261,0.00623,-0.0018,0.00261,0.00623
VIGN00ITA,EURA14,2019-08-31 11:59:00,-0.00222,6e-05,-0.00264,-0.00222,6e-05,-0.00264
VIGN00ITA,EURA14,2019-09-01 11:59:00,-0.00227,-3e-05,0.00505,-0.00227,-3e-05,0.00505
VIGN00ITA,EURA14,2019-09-02 11:59:00,-0.00043,0.00049,0.00408,-0.00043,0.00049,0.00408
VIGN00ITA,EURA14,2019-09-03 11:59:00,-0.00075,0.00104,-0.00108,-0.00075,0.00104,-0.00108
VIGN00ITA,EURA14,2019-09-04 11:59:00,-0.00046,0.00236,0.00057,-0.00046,0.00236,0.00057
VIGN00ITA,EURA14,2019-09-05 11:59:00,-0.00104,0.00347,-0.00231,-0.00104,0.00347,-0.00231
VIGN00ITA,EURA14,2019-09-06 11:59:00,-0.0028,0.00081,-0.00332,-0.0028,0.00081,-0.00332
VIGN00ITA,EURA14,2019-09-07 11:59:00,-0.00249,-0.0003,0.00521,-0.00249,-0.0003,0.00521
VIGN00ITA,EURA14,2019-09-08 11:59:00,-0.00137,0.0026,0.0094,-0.00137,0.0026,0.0094
VIGN00ITA,EURA14,2019-09-09 11:59:00,-0.00328,0.00339,0.00843,-0.00328,0.00339,0.00843
VIGN00ITA,EURA14,2019-09-10 11:59:00,-0.00243,0.00163,0.00827,-0.00243,0.00163,0.00827
VIGN00ITA,EURA14,2019-09-11 11:59:00,-0.00104,0.00132,0.00099,-0.00104,0.00132,0.00099
VIGN00ITA,EURA14,2019-09-12 11:59:00,-0.00168,0.00102,-0.00252,-0.00168,0.00102,-0.00252
VIGN00ITA,EURA14,2019-09-13 11:59:00,0.00038,0.00298,-0.00587,0.00038,0.00298,-0.00587
VIGN00ITA,EURA14,2019-09-14 11:59:00,0.00072,0.00186,0.00077,0.00072,0.00186,0.00077
VIGN00ITA,EURA14,2019-09-15 11:59:00,-0.00088,0.00166,-0.00149,-0.00088,0.00166,-0.00149
VIGN00ITA,EURA14,2019-09-16 11:59:00,-0.0008,0.0006,0.00426,-0.0008,0.0006,0.00426
VIGN00ITA,EURA14,2019-09-17 11:59:00,-0.00128,0.00032,0.00621,-0.00128,0.00032,0.00621
VIGN00ITA,EURA14,2019-09-18 11:59:00,-0.00088,0.00216,0.00276,-0.00088,0.00216,0.00276
VIGN00ITA,EURA14,2019-09-19 11:59:00,-0.00187,0.00342,0.00086,-0.00187,0.00342,0.00086
VIGN00ITA,EURA14,2019-09-20 11:59:00,-0.00066,0.00158,0.00064,-0.00066,0.00158,0.00064
VIGN00ITA,EURA14,2019-09-21 11:59:00,0.0002,0.00287,0.00153,0.0002,0.00287,0.00153
VIGN00ITA,EURA14,2019-09-22 11:59:00,0.00032,-0.00085,-0.00081,0.00032,-0.00085,-0.00081
VIGN00ITA,EURA14,2019-09-23 11:59:00,-0.00051,0.0021,0.0027,-0.00051,0.0021,0.0027
VIGN00ITA,EURA14,2019-09-24 11:59:00,-0.00065,0.00113,0.00994,-0.00065,0.00113,0.00994
VIGN00ITA,EURA14,2019-09-25 11:59:00,-0.0011,0.00186,-0.00073,-0.0011,0.00186,-0.00073
VIGN00ITA,EURA14,2019-09-26 11:59:00,-0.00045,0.00097,0.00593,-0.00045,0.00097,0.00593
VIGN00ITA,EURA14,2019-09-27 11:59:00,-0.00064,0.00098,0.00446,-0.00064,0.00098,0.00446
VIGN00ITA,EURA14,2019-09-28 11:59:00,-0.00042,0.00167,0.00372,-0.00042,0.00167,0.00372
VIGN00ITA,EURA14,2019-09-29 11:59:00,0.00049,0.00026,0.00333,0.00049,0.00026,0.00333
VIGN00ITA,EURA14,2019-09-30 11:59:00,-0.00114,0.00118,0.00104,-0.00114,0.00118,0.00104
VIGN00ITA,EURA14,2019-10-01 11:59:00,-0.00079,0.00055,0.00042,-0.00079,0.00055,0.00042
VIGN00ITA,EURA14,2019-10-02 11:59:00,0.00109,0.00226,0.00996,0.00109,0.00226,0.00996
VIGN00ITA,EURA14,2019-10-03 11:59:00,-0.00014,0.00178,0.00719,-0.00014,0.00178,0.00719
VIGN00ITA,EURA14,2019-10-04 11:59:00,-0.00075,0.00125,0.00486,-0.00075,0.00125,0.00486
VIGN00ITA,EURA14,2019-10-05 11:59:00,0.00016,0.00206,0.00822,0.00016,0.00206,0.00822
VIGN00ITA,EURA14,2019-10-06 11:59:00,-0.00037,0.0008,0.00185,-0.00037,0.0008,0.00185
VIGN00ITA,EURA14,2019-10-07 11:59:00,-0.00056,0.00342,0.00431,-0.00056,0.00342,0.00431
VIGN00ITA,EURA14,2019-10-08 11:59:00,-0.00123,0.00061,0.00255,-0.00123,0.00061,0.00255
VIGN00ITA,EURA14,2019-10-09 11:59:00,-0.00011,0.00169,0.00227,-0.00011,0.00169,0.00227
VIGN00ITA,EURA14,2019-10-10 11:59:00,-0.00035,0.00019,0.00213,-0.00035,0.00019,0.00213
VIGN00ITA,EURA14,2019-10-11 11:59:00,-0.00094,0.00196,-0.00034,-0.00094,0.00196,-0.00034
VIGN00ITA,EURA14,2019-10-12 11:59:00,0.00012,0.00092,-0.00056,0.00012,0.00092,-0.00056
VIGN00ITA,EURA14,2019-10-13 11:59:00,-0.00086,0.00146,-0.00051,-0.00086,0.00146,-0.00051
VIGN00ITA,EURA14,2019-10-14 11:59:00,-0.00069,0.00087,-0.00084,-0.00069,0.00087,-0.00084
VIGN00ITA,EURA14,2019-10-15 11:59:00,-0.00106,0.00053,-0.00296,-0.00106,0.00053,-0.00296
VIGN00ITA,EURA14,2019-10-16 11:59:00,0.00027,0.00309,-0.00075,0.00027,0.00309,-0.00075
VIGN00ITA,EURA14,2019-10-17 11:59:00,-0.00156,0.0018,0.00157,-0.00156,0.0018,0.00157
VIGN00ITA,EURA14,2019-10-18 11:59:00,-0.00117,0.00047,0.00222,-0.00117,0.00047,0.00222
VIGN00ITA,EURA14,2019-10-19 11:59:00,-0.00082,0.00064,-0.00034,-0.00082,0.00064,-0.00034
VIGN00ITA,EURA14,2019-10-20 11:59:00,-0.0007,0.00012,0.00448,-0.0007,0.00012,0.00448
VIGN00ITA,EURA14,2019-10-21 11:59:00,-0.00131,0.00119,0.001,-0.00131,0.00119,0.001
VIGN00ITA,EURA14,2019-10-22 11:59:00,7e-05,0.00122,0.00108,7e-05,0.00122,0.00108
VIGN00ITA,EURA14,2019-10-23 11:59:00,-0.0019,0.00124,-0.00026,-0.0019,0.00124,-0.00026
VIGN00ITA,EURA14,2019-10-24 11:59:00,-0.0018,0.00168,-0.00014,-0.0018,0.00168,-0.00014
VIGN00ITA,EURA14,2019-10-25 11:59:00,-0.00136,0.00085,0.00677,-0.00136,0.00085,0.00677
VIGN00ITA,EURA14,2019-10-26 11:59:00,-0.00158,0.00105,0.00171,-0.00158,0.00105,0.00171
VIGN00ITA,EURA14,2019-10-27 11:59:00,-0.00146,0.0015,-0.0044,-0.00146,0.0015,-0.0044
VIGN00ITA,EURA14,2019-10-28 11:59:00,-0.0014,0.00052,0.00062,-0.0014,0.00052,0.00062
VIGN00ITA,EURA14,2019-10-29 11:59:00,-0.00152,0.00072,0.0008,-0.00152,0.00072,0.0008
VIGN00ITA,EURA14,2019-10-30 11:59:00,-0.00259,0.00123,-0.00251,-0.00259,0.00123,-0.00251
VIGN00ITA,EURA14,2019-10-31 11:59:00,-0.00247,0.00116,-0.00279,-0.00247,0.00116,-0.00279
VIGN00ITA,EURA14,2019-11-01 11:59:00,-0.00247,0.00045,-0.00023,-0.00247,0.00045,-0.00023
VIGN00ITA,EURA14,2019-11-02 11:59:00,-0.00305,0.00089,-0.00452,-0.00305,0.00089,-0.00452
VIGN00ITA,EURA14,2019-11-03 11:59:00,-0.00218,-0.00077,5e-05,-0.00218,-0.00077,5e-05
VIGN00ITA,EURA14,2019-11-04 11:59:00,-0.00097,0.0005,-0.00291,-0.00097,0.0005,-0.00291
VIGN00ITA,EURA14,2019-11-05 11:59:00,-0.00182,0.00061,-0.00037,-0.00182,0.00061,-0.00037
VIGN00ITA,EURA14,2019-11-06 11:59:00,-0.00102,0.00125,0.00092,-0.00102,0.00125,0.00092
VIGN00ITA,EURA14,2019-11-07 11:59:00,-0.00201,0.0011,0.00108,-0.00201,0.0011,0.00108
VIGN00ITA,EURA14,2019-11-08 11:59:00,-0.00293,-0.00075,-0.00133,-0.00293,-0.00075,-0.00133
VIGN00ITA,EURA14,2019-11-09 11:59:00,-0.00149,0.00142,-0.00248,-0.00149,0.00142,-0.00248
VIGN00ITA,EURA14,2019-11-10 11:59:00,-0.00166,0.00199,-0.00097,-0.00166,0.00199,-0.00097
VIGN00ITA,EURA14,2019-11-11 11:59:00,-0.0017,0.00092,-0.00289,-0.0017,0.00092,-0.00289
VIGN00ITA,EURA14,2019-11-12 11:59:00,-0.00126,0.0018,0.00617,-0.00126,0.0018,0.00617
VIGN00ITA,EURA14,2019-11-13 11:59:00,-0.0016,0.00049,0.00282,-0.0016,0.00049,0.00282
VIGN00ITA,EURA14,2019-11-14 11:59:00,-0.00042,0.00127,0.00666,-0.00042,0.00127,0.00666
VIGN00ITA,EURA14,2019-11-15 11:59:00,-0.00118,0.00201,0.0016,-0.00118,0.00201,0.0016
VIGN00ITA,EURA14,2019-11-16 11:59:00,-0.00082,0.00113,6e-05,-0.00082,0.00113,6e-05
VIGN00ITA,EURA14,2019-11-17 11:59:00,-0.00046,0.00195,0.00355,-0.00046,0.00195,0.00355
VIGN00ITA,EURA14,2019-11-18 11:59:00,-0.00191,0.00264,-0.0105,-0.00191,0.00264,-0.0105
VIGN00ITA,EURA14,2019-11-19 11:59:00,-0.00012,0.00154,-0.01028,-0.00012,0.00154,-0.01028
VIGN00ITA,EURA14,2019-11-20 11:59:00,-0.00206,0.00196,-0.00347,-0.00206,0.00196,-0.00347
