marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
VTRB00ITA,EURA14,2019-07-27 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
VTRB00ITA,EURA14,2019-07-28 11:59:00,0.00099,0.00065,-0.00211,0.00099,0.00065,-0.00211
VTRB00ITA,EURA14,2019-07-29 11:59:00,-6e-05,0.00123,-0.00841,-6e-05,0.00123,-0.00841
VTRB00ITA,EURA14,2019-07-30 11:59:00,-0.00033,0.00065,-0.00928,-0.00033,0.00065,-0.00928
VTRB00ITA,EURA14,2019-07-31 11:59:00,-0.00023,0.00136,-0.01076,-0.00023,0.00136,-0.01076
VTRB00ITA,EURA14,2019-08-01 11:59:00,-0.00068,0.0012,-0.01033,-0.00068,0.0012,-0.01033
VTRB00ITA,EURA14,2019-08-02 11:59:00,-1e-05,0.00042,-0.00456,-1e-05,0.00042,-0.00456
VTRB00ITA,EURA14,2019-08-03 11:59:00,-0.00262,0.00101,-0.00433,-0.00262,0.00101,-0.00433
VTRB00ITA,EURA14,2019-08-04 11:59:00,-0.0011,0.00125,-0.00807,-0.0011,0.00125,-0.00807
VTRB00ITA,EURA14,2019-08-05 11:59:00,-0.00038,0.00168,-0.01174,-0.00038,0.00168,-0.01174
VTRB00ITA,EURA14,2019-08-06 11:59:00,-0.00061,0.00072,-0.00981,-0.00061,0.00072,-0.00981
VTRB00ITA,EURA14,2019-08-07 11:59:00,-0.00053,0.0013,-0.00697,-0.00053,0.0013,-0.00697
VTRB00ITA,EURA14,2019-08-08 11:59:00,-0.00191,0.00035,-0.00389,-0.00191,0.00035,-0.00389
VTRB00ITA,EURA14,2019-08-09 11:59:00,-0.00042,0.00093,-0.01137,-0.00042,0.00093,-0.01137
VTRB00ITA,EURA14,2019-08-10 11:59:00,-0.00251,0.00189,-0.01254,-0.00251,0.00189,-0.01254
VTRB00ITA,EURA14,2019-08-11 11:59:00,-0.00071,0.00144,-0.01174,-0.00071,0.00144,-0.01174
VTRB00ITA,EURA14,2019-08-12 11:59:00,-0.00059,0.00112,-0.0074,-0.00059,0.00112,-0.0074
VTRB00ITA,EURA14,2019-08-13 11:59:00,0.00122,0.00054,-0.00262,0.00122,0.00054,-0.00262
VTRB00ITA,EURA14,2019-08-14 11:59:00,-0.00353,0.00121,-0.01259,-0.00353,0.00121,-0.01259
VTRB00ITA,EURA14,2019-08-15 11:59:00,-0.00172,0.00255,-0.00585,-0.00172,0.00255,-0.00585
VTRB00ITA,EURA14,2019-08-16 11:59:00,-0.00137,0.0021,-0.00454,-0.00137,0.0021,-0.00454
VTRB00ITA,EURA14,2019-08-17 11:59:00,0.00019,0.00079,-0.01142,0.00019,0.00079,-0.01142
VTRB00ITA,EURA14,2019-08-18 11:59:00,-0.00198,0.00069,-0.00852,-0.00198,0.00069,-0.00852
VTRB00ITA,EURA14,2019-08-19 11:59:00,-0.00083,0.00112,-0.01043,-0.00083,0.00112,-0.01043
