marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
MAGL01ITA,EURA14,2006-10-19 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
MAGL01ITA,EURA14,2006-10-20 11:59:00,0.00124,-0.00073,-0.00028,0.00124,-0.00073,-0.00028
MAGL01ITA,EURA14,2006-10-21 11:59:00,0.00245,-0.00143,0.0068,0.00245,-0.00143,0.0068
MAGL01ITA,EURA14,2006-10-22 11:59:00,-0.0101,-0.00068,-0.18519,-0.0101,-0.00068,-0.18519
MAGL01ITA,EURA14,2006-10-23 11:59:00,-0.00672,0.01403,-0.3428,-0.00672,0.01403,-0.3428
MAGL01ITA,EURA14,2006-10-24 11:59:00,-0.01,0.01429,-0.34079,-0.01,0.01429,-0.34079
MAGL01ITA,EURA14,2006-10-25 11:59:00,-0.008565,0.014555,-0.3454,-0.008565,0.014555,-0.3454
MAGL01ITA,EURA14,2006-10-26 11:59:00,-0.00713,0.01482,-0.35001,-0.00713,0.01482,-0.35001
MAGL01ITA,EURA14,2006-10-27 11:59:00,-0.00733,0.01392,-0.34852,-0.00733,0.01392,-0.34852
MAGL01ITA,EURA14,2006-10-28 11:59:00,-0.00701,0.01351,-0.34265,-0.00701,0.01351,-0.34265
MAGL01ITA,EURA14,2006-10-29 11:59:00,-0.00852,0.01677,-0.34069,-0.00852,0.01677,-0.34069
MAGL01ITA,EURA14,2006-10-30 11:59:00,-0.00767,0.01277,-0.34048,-0.00767,0.01277,-0.34048
MAGL01ITA,EURA14,2006-10-31 11:59:00,-0.00787,0.01381,-0.34614,-0.00787,0.01381,-0.34614
MAGL01ITA,EURA14,2006-11-01 11:59:00,-0.01028,0.01551,-0.34011,-0.01028,0.01551,-0.34011
MAGL01ITA,EURA14,2006-11-02 11:59:00,-0.00686,0.01375,-0.33176,-0.00686,0.01375,-0.33176
MAGL01ITA,EURA14,2006-11-03 11:59:00,-0.00756,0.01433,-0.34357,-0.00756,0.01433,-0.34357
MAGL01ITA,EURA14,2006-11-07 11:59:00,-0.0078,0.01297,-0.34604,-0.0078,0.01297,-0.34604
MAGL01ITA,EURA14,2006-11-08 11:59:00,-0.00822,0.01404,-0.35,-0.00822,0.01404,-0.35
MAGL01ITA,EURA14,2006-11-09 11:59:00,-0.00846,0.0141,-0.34917,-0.00846,0.0141,-0.34917
MAGL01ITA,EURA14,2006-11-10 11:59:00,-0.00992,0.01545,-0.34781,-0.00992,0.01545,-0.34781
MAGL01ITA,EURA14,2006-11-11 11:59:00,-0.01075,0.01212,-0.3404,-0.01075,0.01212,-0.3404
MAGL01ITA,EURA14,2006-11-12 11:59:00,-0.00706,0.01331,-0.3427,-0.00706,0.01331,-0.3427
MAGL01ITA,EURA14,2006-11-13 11:59:00,-0.00714,0.01435,-0.34041,-0.00714,0.01435,-0.34041
MAGL01ITA,EURA14,2006-11-14 11:59:00,-0.00869,0.01392,-0.34727,-0.00869,0.01392,-0.34727
MAGL01ITA,EURA14,2006-11-15 11:59:00,-0.0075,0.01295,-0.35013,-0.0075,0.01295,-0.35013
MAGL01ITA,EURA14,2006-11-16 11:59:00,-0.00753,0.01559,-0.34933,-0.00753,0.01559,-0.34933
MAGL01ITA,EURA14,2006-11-17 11:59:00,-0.00782,0.01355,-0.34762,-0.00782,0.01355,-0.34762
MAGL01ITA,EURA14,2006-12-06 11:59:00,-0.00671,0.01201,-0.33584,-0.00671,0.01201,-0.33584
MAGL01ITA,EURA14,2006-12-07 11:59:00,-0.00755,0.01129,-0.34056,-0.00755,0.01129,-0.34056
MAGL01ITA,EURA14,2006-12-08 11:59:00,-0.00655,0.01052,-0.33964,-0.00655,0.01052,-0.33964
MAGL01ITA,EURA14,2006-12-09 11:59:00,-0.00781,0.0151,-0.3347,-0.00781,0.0151,-0.3347
MAGL01ITA,EURA14,2006-12-10 11:59:00,-0.00619,0.01274,-0.34068,-0.00619,0.01274,-0.34068
MAGL01ITA,EURA14,2006-12-11 11:59:00,-0.00534,0.01174,-0.33403,-0.00534,0.01174,-0.33403
MAGL01ITA,EURA14,2006-12-12 11:59:00,-0.00904,0.0129,-0.34402,-0.00904,0.0129,-0.34402
MAGL01ITA,EURA14,2006-12-13 11:59:00,-0.00952,0.01405,-0.34379,-0.00952,0.01405,-0.34379
MAGL01ITA,EURA14,2006-12-14 11:59:00,-0.00901,0.01423,-0.34365,-0.00901,0.01423,-0.34365
MAGL01ITA,EURA14,2006-12-15 11:59:00,-0.00918,0.01307,-0.34488,-0.00918,0.01307,-0.34488
MAGL01ITA,EURA14,2006-12-16 11:59:00,-0.00886,0.01246,-0.34377,-0.00886,0.01246,-0.34377
MAGL01ITA,EURA14,2006-12-17 11:59:00,-0.00919,0.01202,-0.34014,-0.00919,0.01202,-0.34014
MAGL01ITA,EURA14,2006-12-18 11:59:00,-0.0082,0.01218,-0.33342,-0.0082,0.01218,-0.33342
MAGL01ITA,EURA14,2006-12-19 11:59:00,-0.00922,0.01323,-0.32921,-0.00922,0.01323,-0.32921
MAGL01ITA,EURA14,2006-12-20 11:59:00,-0.00959,0.01195,-0.3447,-0.00959,0.01195,-0.3447
MAGL01ITA,EURA14,2006-12-21 11:59:00,-0.0107,0.01481,-0.33967,-0.0107,0.01481,-0.33967
MAGL01ITA,EURA14,2006-12-22 11:59:00,-0.01008,0.01428,-0.34194,-0.01008,0.01428,-0.34194
MAGL01ITA,EURA14,2006-12-23 11:59:00,-0.01054,0.01378,-0.33927,-0.01054,0.01378,-0.33927
MAGL01ITA,EURA14,2006-12-24 11:59:00,-0.011275,0.01235,-0.33745,-0.011275,0.01235,-0.33745
MAGL01ITA,EURA14,2006-12-25 11:59:00,-0.01201,0.01092,-0.33563,-0.01201,0.01092,-0.33563
MAGL01ITA,EURA14,2006-12-26 11:59:00,-0.01041,0.0125,-0.34224,-0.01041,0.0125,-0.34224
MAGL01ITA,EURA14,2006-12-27 11:59:00,-0.01132,0.01281,-0.34012,-0.01132,0.01281,-0.34012
MAGL01ITA,EURA14,2007-02-05 11:59:00,-0.00932,0.01321,-0.34779,-0.013361388226297833,0.01639352161683378,-0.3851776956545409
MAGL01ITA,EURA14,2007-02-06 11:59:00,-0.00888,0.01228,-0.33885,-0.012921388226297834,0.015463521616833778,-0.3762376956545409
MAGL01ITA,EURA14,2007-02-07 11:59:00,-0.00661,0.01146,-0.32736,-0.010651388226297834,0.014643521616833778,-0.3647476956545409
MAGL01ITA,EURA14,2007-02-08 11:59:00,-0.00898,0.01262,-0.32632,-0.013021388226297833,0.01580352161683378,-0.3637076956545409
MAGL01ITA,EURA14,2007-02-09 11:59:00,-0.00707,0.01135,-0.32765,-0.011111388226297834,0.01453352161683378,-0.3650376956545409
MAGL01ITA,EURA14,2007-02-10 11:59:00,-0.00393,0.01115,-0.32254,-0.007971388226297834,0.014333521616833779,-0.3599276956545409
MAGL01ITA,EURA14,2007-02-11 11:59:00,-0.0059,0.01215,-0.32868,-0.009941388226297834,0.015333521616833778,-0.36606769565454095
MAGL01ITA,EURA14,2007-02-12 11:59:00,-0.00483,0.01294,-0.33393,-0.008871388226297834,0.01612352161683378,-0.3713176956545409
MAGL01ITA,EURA14,2007-02-13 11:59:00,-0.00976,0.01722,-0.35126,-0.013801388226297832,0.02040352161683378,-0.38864769565454094
MAGL01ITA,EURA14,2007-02-14 11:59:00,-0.00853,0.01361,-0.34863,-0.012571388226297834,0.01679352161683378,-0.3860176956545409
MAGL01ITA,EURA14,2007-02-15 11:59:00,-0.00831,0.0131,-0.33826,-0.012351388226297833,0.01628352161683378,-0.3756476956545409
MAGL01ITA,EURA14,2007-02-16 11:59:00,-0.0085,0.01513,-0.35095,-0.012541388226297835,0.018313521616833778,-0.3883376956545409
MAGL01ITA,EURA14,2007-02-17 11:59:00,-0.00786,0.01391,-0.34356,-0.011901388226297833,0.01709352161683378,-0.3809476956545409
MAGL01ITA,EURA14,2007-02-18 11:59:00,-0.00794,0.01385,-0.34201,-0.011981388226297834,0.017033521616833778,-0.3793976956545409
MAGL01ITA,EURA14,2007-02-19 11:59:00,-0.00785,0.01365,-0.33412,-0.011891388226297834,0.01683352161683378,-0.3715076956545409
MAGL01ITA,EURA14,2007-02-20 11:59:00,-0.00905,0.01483,-0.34233,-0.013091388226297834,0.01801352161683378,-0.37971769565454094
MAGL01ITA,EURA14,2007-02-21 11:59:00,-0.00856,0.01328,-0.34077,-0.012601388226297833,0.01646352161683378,-0.37815769565454094
MAGL01ITA,EURA14,2007-02-22 11:59:00,-0.00905,0.01389,-0.33921,-0.013091388226297834,0.01707352161683378,-0.37659769565454093
MAGL01ITA,EURA14,2007-02-23 11:59:00,-0.00912,0.01479,-0.34846,-0.013161388226297834,0.017973521616833778,-0.3858476956545409
MAGL01ITA,EURA14,2007-02-24 11:59:00,-0.00832,0.01488,-0.34913,-0.012361388226297832,0.01806352161683378,-0.3865176956545409
MAGL01ITA,EURA14,2007-02-25 11:59:00,-0.00835,0.01395,-0.33543,-0.012391388226297834,0.01713352161683378,-0.3728176956545409
MAGL01ITA,EURA14,2007-02-26 11:59:00,-0.01056,0.01464,-0.32932,-0.014601388226297835,0.01782352161683378,-0.3667076956545409
MAGL01ITA,EURA14,2007-02-27 11:59:00,-0.0095,0.01685,-0.35113,-0.013541388226297833,0.02003352161683378,-0.3885176956545409
MAGL01ITA,EURA14,2007-02-28 11:59:00,-0.00745,0.01413,-0.34421,-0.011491388226297833,0.01731352161683378,-0.38159769565454094
MAGL01ITA,EURA14,2007-03-01 11:59:00,-0.00687,0.01426,-0.34176,-0.010911388226297834,0.01744352161683378,-0.37914769565454093
MAGL01ITA,EURA14,2007-03-02 11:59:00,-0.00639,0.0118,-0.34628,-0.010431388226297834,0.014983521616833778,-0.3836676956545409
MAGL01ITA,EURA14,2007-03-03 11:59:00,-0.00741,0.01455,-0.34999,-0.011451388226297834,0.01773352161683378,-0.38737769565454094
MAGL01ITA,EURA14,2007-03-04 11:59:00,-0.00833,0.01556,-0.34631,-0.012371388226297835,0.018743521616833778,-0.3836976956545409
MAGL01ITA,EURA14,2007-03-05 11:59:00,-0.00779,0.01631,-0.35186,-0.011831388226297833,0.01949352161683378,-0.3892476956545409
MAGL01ITA,EURA14,2007-03-06 11:59:00,-0.00754,0.01456,-0.34874,-0.011581388226297833,0.01774352161683378,-0.3861276956545409
MAGL01ITA,EURA14,2007-03-07 11:59:00,-0.00799,0.01406,-0.32548,-0.012031388226297835,0.01724352161683378,-0.3628676956545409
