marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
CDP200ITA,EURA14,2025-01-01 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
CDP200ITA,EURA14,2025-01-04 11:59:00,-0.00093,0.00056,0.00892,-0.00093,0.00056,0.00892
CDP200ITA,EURA14,2025-01-05 11:59:00,-0.00051,-9.500000000000003e-05,0.007430000000000001,-0.00051,-9.500000000000003e-05,0.007430000000000001
CDP200ITA,EURA14,2025-01-06 11:59:00,-9e-05,-0.00075,0.00594,-9e-05,-0.00075,0.00594
CDP200ITA,EURA14,2025-01-07 11:59:00,0.00016,-0.00128,0.00203,0.00016,-0.00128,0.00203
CDP200ITA,EURA14,2025-01-08 11:59:00,-0.0005,0.00087,0.00433,-0.0005,0.00087,0.00433
CDP200ITA,EURA14,2025-01-09 11:59:00,-0.0066,-0.00066,-0.0021,-0.0066,-0.00066,-0.0021
CDP200ITA,EURA14,2025-01-10 11:59:00,-0.00108,0.00162,0.00241,-0.00108,0.00162,0.00241
CDP200ITA,EURA14,2025-01-11 11:59:00,-0.00014,0.00061,0.00571,-0.00014,0.00061,0.00571
CDP200ITA,EURA14,2025-01-12 11:59:00,0.00019,0.00083,0.01742,0.00019,0.00083,0.01742
CDP200ITA,EURA14,2025-01-16 11:59:00,-0.00065,0.00172,0.00391,-0.00065,0.00172,0.00391
CDP200ITA,EURA14,2025-01-17 11:59:00,-7e-05,0.00297,0.0036,-7e-05,0.00297,0.0036
CDP200ITA,EURA14,2025-01-18 11:59:00,0.00044,0.00247,0.00316,0.00044,0.00247,0.00316
CDP200ITA,EURA14,2025-01-19 11:59:00,-0.0006049999999999999,0.0019649999999999997,0.0035499999999999998,-0.0006049999999999999,0.0019649999999999997,0.0035499999999999998
CDP200ITA,EURA14,2025-01-20 11:59:00,-0.00165,0.00146,0.00394,-0.00165,0.00146,0.00394
CDP200ITA,EURA14,2025-01-21 11:59:00,-0.00021,-0.00014,0.00376,-0.00021,-0.00014,0.00376
CDP200ITA,EURA14,2025-01-22 11:59:00,0.00065,0.00116,0.00322,0.00065,0.00116,0.00322
CDP200ITA,EURA14,2025-01-23 11:59:00,0.00043500000000000006,0.001545,0.0022400000000000002,0.00043500000000000006,0.001545,0.0022400000000000002
CDP200ITA,EURA14,2025-01-24 11:59:00,0.00022,0.00193,0.00126,0.00022,0.00193,0.00126
CDP200ITA,EURA14,2025-01-25 11:59:00,-0.00027,0.00117,0.00799,-0.00027,0.00117,0.00799
CDP200ITA,EURA14,2025-01-26 11:59:00,-0.00208,0.00133,-0.00215,-0.00208,0.00133,-0.00215
CDP200ITA,EURA14,2025-01-27 11:59:00,-0.00551,-0.00099,-0.00175,-0.00551,-0.00099,-0.00175
CDP200ITA,EURA14,2025-01-28 11:59:00,-0.00414,0.00095,-0.01018,-0.00414,0.00095,-0.01018
CDP200ITA,EURA14,2025-01-29 11:59:00,-0.00097,0.00221,-0.00131,-0.00097,0.00221,-0.00131
CDP200ITA,EURA14,2025-01-30 11:59:00,-0.00046,0.00184,0.00206,-0.00046,0.00184,0.00206
CDP200ITA,EURA14,2025-01-31 11:59:00,-0.00033,0.00236,0.00445,-0.00033,0.00236,0.00445
CDP200ITA,EURA14,2025-02-03 11:59:00,-0.00214,0.00247,0.01562,-0.00214,0.00247,0.01562
CDP200ITA,EURA14,2025-02-04 11:59:00,-0.00322,0.00152,0.00909,-0.00322,0.00152,0.00909
CDP200ITA,EURA14,2025-02-05 11:59:00,-0.00069,0.00178,0.00612,-0.00069,0.00178,0.00612
CDP200ITA,EURA14,2025-02-06 11:59:00,-0.00262,0.00182,0.00828,-0.00262,0.00182,0.00828
CDP200ITA,EURA14,2025-02-07 11:59:00,-0.00211,0.001885,0.006895,-0.00211,0.001885,0.006895
CDP200ITA,EURA14,2025-02-08 11:59:00,-0.0016,0.00195,0.00551,-0.0016,0.00195,0.00551
CDP200ITA,EURA14,2025-02-09 11:59:00,-0.00127,0.00246,0.00484,-0.00127,0.00246,0.00484
CDP200ITA,EURA14,2025-02-10 11:59:00,-0.001,0.00271,-0.00163,-0.001,0.00271,-0.00163
CDP200ITA,EURA14,2025-02-11 11:59:00,-0.00133,0.00269,0.00678,-0.00133,0.00269,0.00678
CDP200ITA,EURA14,2025-02-12 11:59:00,-0.00304,0.00209,0.00265,-0.00304,0.00209,0.00265
CDP200ITA,EURA14,2025-02-13 11:59:00,-0.00237,0.00167,0.00764,-0.00237,0.00167,0.00764
CDP200ITA,EURA14,2025-02-14 11:59:00,-0.00024,0.00066,0.00638,-0.00024,0.00066,0.00638
CDP200ITA,EURA14,2025-02-15 11:59:00,-0.0019,0.00072,0.01,-0.0019,0.00072,0.01
CDP200ITA,EURA14,2025-02-16 11:59:00,-0.00127,0.0003,0.00932,-0.00127,0.0003,0.00932
CDP200ITA,EURA14,2025-02-17 11:59:00,-0.0008900000000000001,0.00089,0.0061200000000000004,-0.0008900000000000001,0.00089,0.0061200000000000004
CDP200ITA,EURA14,2025-02-18 11:59:00,-0.00051,0.00148,0.00292,-0.00051,0.00148,0.00292
CDP200ITA,EURA14,2025-02-19 11:59:00,-0.00066,0.00233,0.00144,-0.00066,0.00233,0.00144
CDP200ITA,EURA14,2025-02-20 11:59:00,-0.00047,0.0027,-0.0024,-0.00047,0.0027,-0.0024
CDP200ITA,EURA14,2025-02-21 11:59:00,-0.00088,0.00146,-0.0007,-0.00088,0.00146,-0.0007
CDP200ITA,EURA14,2025-02-22 11:59:00,0.0001,0.00088,0.00028,0.0001,0.00088,0.00028
CDP200ITA,EURA14,2025-02-23 11:59:00,-0.00064,0.00205,-0.00188,-0.00064,0.00205,-0.00188
CDP200ITA,EURA14,2025-03-05 11:59:00,-0.0004,0.00209,-0.00066,-0.0004,0.00209,-0.00066
