marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
CSC200ITA,EURA14,2023-11-30 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
CSC200ITA,EURA14,2023-12-01 11:59:00,0.004695,0.00259,-0.008925,0.004695,0.00259,-0.008925
CSC200ITA,EURA14,2023-12-02 11:59:00,0.00939,0.00518,-0.01785,0.00939,0.00518,-0.01785
CSC200ITA,EURA14,2023-12-03 11:59:00,0.00721,0.00413,-0.00373,0.00721,0.00413,-0.00373
CSC200ITA,EURA14,2023-12-04 11:59:00,0.00681,0.00397,-0.00578,0.00681,0.00397,-0.00578
CSC200ITA,EURA14,2023-12-05 11:59:00,0.00641,0.00381,-0.00783,0.00641,0.00381,-0.00783
CSC200ITA,EURA14,2023-12-06 11:59:00,0.00559,0.01035,-0.01374,0.00559,0.01035,-0.01374
CSC200ITA,EURA14,2023-12-07 11:59:00,0.00526,0.00411,-0.00074,0.00526,0.00411,-0.00074
CSC200ITA,EURA14,2023-12-08 11:59:00,0.00666,0.00411,-0.00113,0.00666,0.00411,-0.00113
CSC200ITA,EURA14,2023-12-09 11:59:00,0.00649,0.00432,-0.00093,0.00649,0.00432,-0.00093
CSC200ITA,EURA14,2023-12-10 11:59:00,0.00619,0.00327,-0.00195,0.00619,0.00327,-0.00195
CSC200ITA,EURA14,2023-12-11 11:59:00,0.00589,0.0038,-0.00476,0.00589,0.0038,-0.00476
CSC200ITA,EURA14,2023-12-12 11:59:00,0.00418,0.00359,0.00158,0.00418,0.00359,0.00158
CSC200ITA,EURA14,2023-12-13 11:59:00,0.00757,-0.00239,-0.00307,0.00757,-0.00239,-0.00307
CSC200ITA,EURA14,2023-12-14 11:59:00,0.008060000000000001,0.00165,-0.006699999999999999,0.008060000000000001,0.00165,-0.006699999999999999
CSC200ITA,EURA14,2023-12-15 11:59:00,0.00855,0.00569,-0.01033,0.00855,0.00569,-0.01033
CSC200ITA,EURA14,2023-12-16 11:59:00,-0.00486,0.00637,0.00655,-0.00486,0.00637,0.00655
CSC200ITA,EURA14,2023-12-17 11:59:00,0.00687,0.00642,-0.0062,0.00687,0.00642,-0.0062
CSC200ITA,EURA14,2023-12-18 11:59:00,0.00674,0.00606,-0.00636,0.00674,0.00606,-0.00636
CSC200ITA,EURA14,2023-12-19 11:59:00,0.006125,0.005985000000000001,-0.00396,0.006125,0.005985000000000001,-0.00396
CSC200ITA,EURA14,2023-12-20 11:59:00,0.00551,0.00591,-0.00156,0.00551,0.00591,-0.00156
CSC200ITA,EURA14,2023-12-21 11:59:00,0.00702,0.00493,0.00025,0.00702,0.00493,0.00025
CSC200ITA,EURA14,2023-12-25 11:59:00,0.00638,0.00466,-0.00541,0.00638,0.00466,-0.00541
CSC200ITA,EURA14,2023-12-26 11:59:00,0.00689,0.00521,-0.00457,0.00689,0.00521,-0.00457
CSC200ITA,EURA14,2023-12-27 11:59:00,0.00596,0.00566,-0.00409,0.00596,0.00566,-0.00409
CSC200ITA,EURA14,2023-12-28 11:59:00,0.00658,0.00368,-0.00155,0.00658,0.00368,-0.00155
CSC200ITA,EURA14,2023-12-29 11:59:00,0.00568,0.00451,-0.0031,0.00568,0.00451,-0.0031
CSC200ITA,EURA14,2023-12-30 11:59:00,0.00612,0.00449,-0.00273,0.00612,0.00449,-0.00273
CSC200ITA,EURA14,2024-01-02 11:59:00,0.00481,0.00254,-0.00523,0.00481,0.00254,-0.00523
CSC200ITA,EURA14,2024-01-07 11:59:00,0.00501,0.00519,-0.00034,0.00501,0.00519,-0.00034
CSC200ITA,EURA14,2024-01-08 11:59:00,0.00546,0.00604,0.00102,0.00546,0.00604,0.00102
CSC200ITA,EURA14,2024-01-09 11:59:00,0.00647,0.00453,-0.00089,0.00647,0.00453,-0.00089
CSC200ITA,EURA14,2024-01-10 11:59:00,0.00667,0.00555,-0.00315,0.00667,0.00555,-0.00315
CSC200ITA,EURA14,2024-01-11 11:59:00,0.00597,0.0049,0.00061,0.00597,0.0049,0.00061
CSC200ITA,EURA14,2024-01-12 11:59:00,0.00641,0.0055,-0.00061,0.00641,0.0055,-0.00061
CSC200ITA,EURA14,2024-01-13 11:59:00,0.00695,0.00518,-0.00356,0.00695,0.00518,-0.00356
CSC200ITA,EURA14,2024-01-14 11:59:00,0.00599,0.004295,-0.0012100000000000001,0.00599,0.004295,-0.0012100000000000001
CSC200ITA,EURA14,2024-01-15 11:59:00,0.00503,0.00341,0.00114,0.00503,0.00341,0.00114
CSC200ITA,EURA14,2024-01-16 11:59:00,0.0035449999999999995,0.001865,-0.00342,0.0035449999999999995,0.001865,-0.00342
CSC200ITA,EURA14,2024-01-17 11:59:00,0.00206,0.00032,-0.00798,0.00206,0.00032,-0.00798
CSC200ITA,EURA14,2024-01-18 11:59:00,0.00928,-0.00018,0.0035,0.00928,-0.00018,0.0035
CSC200ITA,EURA14,2024-01-21 11:59:00,0.00585,0.00647,-0.00373,0.00585,0.00647,-0.00373
CSC200ITA,EURA14,2024-01-22 11:59:00,0.00609,0.0057,-0.00453,0.00609,0.0057,-0.00453
CSC200ITA,EURA14,2024-01-23 11:59:00,0.00583,0.00714,-0.00821,0.00583,0.00714,-0.00821
CSC200ITA,EURA14,2024-01-24 11:59:00,0.00551,0.00662,-0.00349,0.00551,0.00662,-0.00349
CSC200ITA,EURA14,2024-01-25 11:59:00,0.00519,0.0061,0.00123,0.00519,0.0061,0.00123
CSC200ITA,EURA14,2024-01-26 11:59:00,0.005585,0.00605,-0.002,0.005585,0.00605,-0.002
CSC200ITA,EURA14,2024-01-27 11:59:00,0.00598,0.006,-0.00523,0.00598,0.006,-0.00523
CSC200ITA,EURA14,2024-01-28 11:59:00,0.00564,0.00587,-0.00042,0.00564,0.00587,-0.00042
CSC200ITA,EURA14,2024-01-29 11:59:00,0.0052899999999999996,0.0059900000000000005,-0.0023099999999999996,0.0052899999999999996,0.0059900000000000005,-0.0023099999999999996
CSC200ITA,EURA14,2024-01-30 11:59:00,0.00494,0.00611,-0.0042,0.00494,0.00611,-0.0042
CSC200ITA,EURA14,2024-01-31 11:59:00,0.00552,0.00602,-0.00086,0.00552,0.00602,-0.00086
CSC200ITA,EURA14,2024-02-01 11:59:00,0.00446,0.00485,-0.00113,0.00446,0.00485,-0.00113
CSC200ITA,EURA14,2024-02-02 11:59:00,0.00461,0.00613,0.00107,0.00461,0.00613,0.00107
CSC200ITA,EURA14,2024-02-03 11:59:00,0.004465,0.005860000000000001,-0.0006500000000000002,0.004465,0.005860000000000001,-0.0006500000000000002
CSC200ITA,EURA14,2024-02-04 11:59:00,0.00432,0.00559,-0.00237,0.00432,0.00559,-0.00237
CSC200ITA,EURA14,2024-02-05 11:59:00,0.0045850000000000005,0.00549,-0.00047999999999999996,0.0045850000000000005,0.00549,-0.00047999999999999996
CSC200ITA,EURA14,2024-02-06 11:59:00,0.00485,0.00539,0.00141,0.00485,0.00539,0.00141
CSC200ITA,EURA14,2024-02-07 11:59:00,0.0045249999999999995,0.005025,0.0031149999999999997,0.0045249999999999995,0.005025,0.0031149999999999997
CSC200ITA,EURA14,2024-02-08 11:59:00,0.0042,0.00466,0.00482,0.0042,0.00466,0.00482
CSC200ITA,EURA14,2024-02-09 11:59:00,0.00409,0.003325,0.0048000000000000004,0.00409,0.003325,0.0048000000000000004
CSC200ITA,EURA14,2024-02-10 11:59:00,0.00398,0.00199,0.00478,0.00398,0.00199,0.00478
CSC200ITA,EURA14,2024-02-11 11:59:00,0.00344,0.00514,-0.00145,0.00344,0.00514,-0.00145
CSC200ITA,EURA14,2024-02-15 11:59:00,0.0048,0.00548,-0.00206,0.0048,0.00548,-0.00206
CSC200ITA,EURA14,2024-02-16 11:59:00,0.00401,0.00565,-0.00288,0.00401,0.00565,-0.00288
CSC200ITA,EURA14,2024-02-17 11:59:00,0.00377,0.00604,-0.00164,0.00377,0.00604,-0.00164
CSC200ITA,EURA14,2024-02-18 11:59:00,0.00495,0.00619,0.00101,0.00495,0.00619,0.00101
CSC200ITA,EURA14,2024-02-19 11:59:00,0.0041,0.00595,0.00088,0.0041,0.00595,0.00088
CSC200ITA,EURA14,2024-02-20 11:59:00,0.0066,0.00709,-0.0002,0.0066,0.00709,-0.0002
CSC200ITA,EURA14,2024-02-21 11:59:00,0.00414,0.00575,0.00126,0.00414,0.00575,0.00126
CSC200ITA,EURA14,2024-02-22 11:59:00,0.005,0.00339,0.00606,0.005,0.00339,0.00606
CSC200ITA,EURA14,2024-02-23 11:59:00,0.00655,0.00119,0.01122,0.00655,0.00119,0.01122
CSC200ITA,EURA14,2024-02-24 11:59:00,0.0033,0.0038,-0.00736,0.0033,0.0038,-0.00736
CSC200ITA,EURA14,2024-02-25 11:59:00,0.00387,0.00543,0.00339,0.00387,0.00543,0.00339
CSC200ITA,EURA14,2024-02-26 11:59:00,0.00315,0.00543,-0.00202,0.00315,0.00543,-0.00202
CSC200ITA,EURA14,2024-02-27 11:59:00,0.00316,0.00589,0.0016799999999999996,0.00316,0.00589,0.0016799999999999996
CSC200ITA,EURA14,2024-02-28 11:59:00,0.00317,0.00635,0.00538,0.00317,0.00635,0.00538
CSC200ITA,EURA14,2024-02-29 11:59:00,0.004,0.00529,0.00193,0.004,0.00529,0.00193
CSC200ITA,EURA14,2024-07-10 11:59:00,0.00382,0.00404,-0.00807,0.00382,0.00404,-0.00807
CSC200ITA,EURA14,2024-07-11 11:59:00,0.00436,0.00539,0.00306,0.00436,0.00539,0.00306
CSC200ITA,EURA14,2024-07-12 11:59:00,0.00537,0.00261,-0.00315,0.00537,0.00261,-0.00315
CSC200ITA,EURA14,2024-07-13 11:59:00,-0.00112,-0.00021,-0.00569,-0.00112,-0.00021,-0.00569
CSC200ITA,EURA14,2024-07-14 11:59:00,0.0018899999999999998,0.00203,-0.002165,0.0018899999999999998,0.00203,-0.002165
CSC200ITA,EURA14,2024-07-15 11:59:00,0.0049,0.00427,0.00136,0.0049,0.00427,0.00136
CSC200ITA,EURA14,2024-07-16 11:59:00,0.00413,0.00528,0.00908,0.00413,0.00528,0.00908
CSC200ITA,EURA14,2024-07-17 11:59:00,0.004515,0.0052899999999999996,0.008145,0.004515,0.0052899999999999996,0.008145
CSC200ITA,EURA14,2024-07-18 11:59:00,0.0049,0.0053,0.00721,0.0049,0.0053,0.00721
CSC200ITA,EURA14,2024-07-19 11:59:00,0.00416,0.00402,-0.00192,0.00416,0.00402,-0.00192
CSC200ITA,EURA14,2024-07-20 11:59:00,0.00484,0.00153,0.00484,0.00484,0.00153,0.00484
CSC200ITA,EURA14,2024-07-21 11:59:00,0.00063,0.0042,0.00084,0.00063,0.0042,0.00084
CSC200ITA,EURA14,2024-07-22 11:59:00,0.00285,0.00598,0.00703,0.00285,0.00598,0.00703
CSC200ITA,EURA14,2024-07-23 11:59:00,0.00305,0.00356,0.00371,0.00305,0.00356,0.00371
CSC200ITA,EURA14,2024-07-24 11:59:00,0.00477,0.00444,0.00462,0.00477,0.00444,0.00462
CSC200ITA,EURA14,2024-07-25 11:59:00,0.00175,0.00172,0.00492,0.00175,0.00172,0.00492
CSC200ITA,EURA14,2024-07-26 11:59:00,0.00244,0.00248,-0.00822,0.00244,0.00248,-0.00822
CSC200ITA,EURA14,2024-07-27 11:59:00,0.00471,0.00379,0.00528,0.00471,0.00379,0.00528
CSC200ITA,EURA14,2024-07-28 11:59:00,0.002385,0.004235,0.0007550000000000005,0.002385,0.004235,0.0007550000000000005
CSC200ITA,EURA14,2024-07-29 11:59:00,6e-05,0.00468,-0.00377,6e-05,0.00468,-0.00377
CSC200ITA,EURA14,2024-07-30 11:59:00,0.00253,0.00433,-0.00488,0.00253,0.00433,-0.00488
CSC200ITA,EURA14,2024-07-31 11:59:00,0.00458,0.00358,-0.00079,0.00458,0.00358,-0.00079
CSC200ITA,EURA14,2024-08-01 11:59:00,0.00226,0.00174,-0.00481,0.00226,0.00174,-0.00481
CSC200ITA,EURA14,2024-08-02 11:59:00,0.00188,0.0029,0.00141,0.00188,0.0029,0.00141
CSC200ITA,EURA14,2024-08-03 11:59:00,0.001985,0.00429,0.00721,0.001985,0.00429,0.00721
CSC200ITA,EURA14,2024-08-04 11:59:00,0.00209,0.00568,0.01301,0.00209,0.00568,0.01301
CSC200ITA,EURA14,2024-08-05 11:59:00,0.00149,0.004145,0.00822,0.00149,0.004145,0.00822
CSC200ITA,EURA14,2024-08-06 11:59:00,0.00089,0.00261,0.00343,0.00089,0.00261,0.00343
CSC200ITA,EURA14,2024-08-07 11:59:00,0.00099,0.00679,-0.00375,0.00099,0.00679,-0.00375
CSC200ITA,EURA14,2024-08-08 11:59:00,0.00073,0.00315,-0.00849,0.00073,0.00315,-0.00849
CSC200ITA,EURA14,2024-08-09 11:59:00,0.00248,0.00286,-0.00631,0.00248,0.00286,-0.00631
CSC200ITA,EURA14,2024-08-10 11:59:00,0.00136,0.00411,0.00602,0.00136,0.00411,0.00602
CSC200ITA,EURA14,2024-08-11 11:59:00,0.00279,0.00145,-0.00119,0.00279,0.00145,-0.00119
CSC200ITA,EURA14,2024-08-14 11:59:00,0.00421,0.00502,0.0018,0.00421,0.00502,0.0018
CSC200ITA,EURA14,2024-08-15 11:59:00,0.001745,0.006285000000000001,0.0014299999999999998,0.001745,0.006285000000000001,0.0014299999999999998
CSC200ITA,EURA14,2024-08-16 11:59:00,-0.00072,0.00755,0.00106,-0.00072,0.00755,0.00106
CSC200ITA,EURA14,2024-08-17 11:59:00,0.00215,0.00285,-0.00128,0.00215,0.00285,-0.00128
CSC200ITA,EURA14,2024-08-18 11:59:00,0.003245,0.004295,-0.0031450000000000002,0.003245,0.004295,-0.0031450000000000002
CSC200ITA,EURA14,2024-08-19 11:59:00,0.00434,0.00574,-0.00501,0.00434,0.00574,-0.00501
CSC200ITA,EURA14,2024-10-23 11:59:00,0.00363,0.00482,-0.00311,-0.02642596891468954,-0.020652271087593453,0.06215474273556308
CSC200ITA,EURA14,2024-10-24 11:59:00,0.00362,0.00496,-0.00517,-0.026435968914689544,-0.020512271087593452,0.06009474273556308
