marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
SGLI00ITA,EURA14,2009-02-25 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
SGLI00ITA,EURA14,2009-02-26 11:59:00,-0.00204,-0.00182,0.00038,-0.00204,-0.00182,0.00038
SGLI00ITA,EURA14,2009-02-27 11:59:00,-0.00079,-0.0013,0.00287,-0.00079,-0.0013,0.00287
SGLI00ITA,EURA14,2009-02-28 11:59:00,-0.00199,-0.00299,4e-05,-0.00199,-0.00299,4e-05
SGLI00ITA,EURA14,2009-03-01 11:59:00,-0.00088,-0.00235,0.00849,-0.00088,-0.00235,0.00849
SGLI00ITA,EURA14,2009-03-02 11:59:00,-0.00326,-0.00315,0.00951,-0.00326,-0.00315,0.00951
SGLI00ITA,EURA14,2009-03-03 11:59:00,-0.00212,-0.00454,0.00701,-0.00212,-0.00454,0.00701
SGLI00ITA,EURA14,2009-03-04 11:59:00,0.00038,-0.00797,0.01017,0.00038,-0.00797,0.01017
SGLI00ITA,EURA14,2009-03-05 11:59:00,-0.00088,-0.00156,0.02047,-0.00088,-0.00156,0.02047
SGLI00ITA,EURA14,2009-03-06 11:59:00,-0.00288,-0.0034,0.00971,-0.00288,-0.0034,0.00971
SGLI00ITA,EURA14,2009-03-07 11:59:00,-0.00206,-0.00425,0.001,-0.00206,-0.00425,0.001
SGLI00ITA,EURA14,2009-03-08 11:59:00,-0.00326,-0.00423,-0.00059,-0.00326,-0.00423,-0.00059
SGLI00ITA,EURA14,2009-03-09 11:59:00,-0.00148,-0.00148,-0.0021,-0.00148,-0.00148,-0.0021
SGLI00ITA,EURA14,2009-03-10 11:59:00,-0.00169,-0.00392,-0.00479,-0.00169,-0.00392,-0.00479
SGLI00ITA,EURA14,2009-03-11 11:59:00,-0.00163,-0.00511,0.00507,-0.00163,-0.00511,0.00507
SGLI00ITA,EURA14,2009-03-12 11:59:00,-0.00173,-0.00107,0.00275,-0.00173,-0.00107,0.00275
SGLI00ITA,EURA14,2009-03-13 11:59:00,-0.00334,-0.00295,0.0029,-0.00334,-0.00295,0.0029
SGLI00ITA,EURA14,2009-03-14 11:59:00,-0.00378,-0.0036,-0.00064,-0.00378,-0.0036,-0.00064
SGLI00ITA,EURA14,2009-03-15 11:59:00,-0.00413,-0.00312,-0.00392,-0.00413,-0.00312,-0.00392
SGLI00ITA,EURA14,2009-03-16 11:59:00,-0.00341,-0.00128,-0.00218,-0.00341,-0.00128,-0.00218
SGLI00ITA,EURA14,2009-03-17 11:59:00,-0.00425,-0.00282,-0.00488,-0.00425,-0.00282,-0.00488
SGLI00ITA,EURA14,2009-03-18 11:59:00,-0.00408,-0.00522,-0.00071,-0.00408,-0.00522,-0.00071
SGLI00ITA,EURA14,2009-03-19 11:59:00,-0.003,-0.00629,0.00949,-0.003,-0.00629,0.00949
SGLI00ITA,EURA14,2009-03-20 11:59:00,-0.00134,-0.00208,-0.00131,-0.00134,-0.00208,-0.00131
SGLI00ITA,EURA14,2009-03-21 11:59:00,-0.00412,-0.00413,0.00594,-0.00412,-0.00413,0.00594
SGLI00ITA,EURA14,2009-03-22 11:59:00,-0.00433,-0.00344,-0.00187,-0.00433,-0.00344,-0.00187
SGLI00ITA,EURA14,2009-03-23 11:59:00,-0.00353,-0.0062,-0.00299,-0.00353,-0.0062,-0.00299
SGLI00ITA,EURA14,2009-03-24 11:59:00,-0.00534,-0.00175,0.00032,-0.00534,-0.00175,0.00032
SGLI00ITA,EURA14,2009-03-25 11:59:00,-0.00224,-0.00682,0.01106,-0.00224,-0.00682,0.01106
SGLI00ITA,EURA14,2009-03-26 11:59:00,-0.00464,-0.00617,0.00224,-0.00464,-0.00617,0.00224
SGLI00ITA,EURA14,2009-03-27 11:59:00,-0.00308,-0.0063,0.00015,-0.00308,-0.0063,0.00015
SGLI00ITA,EURA14,2009-03-28 11:59:00,-0.0044,-0.0082,0.00289,-0.0044,-0.0082,0.00289
SGLI00ITA,EURA14,2009-03-29 11:59:00,-0.004,-0.00619,-0.0010899999999999998,-0.004,-0.00619,-0.0010899999999999998
SGLI00ITA,EURA14,2009-03-30 11:59:00,-0.0036,-0.00418,-0.00507,-0.0036,-0.00418,-0.00507
SGLI00ITA,EURA14,2009-03-31 11:59:00,-0.00354,-0.01005,0.01471,-0.00354,-0.01005,0.01471
SGLI00ITA,EURA14,2009-04-01 11:59:00,-0.00089,-0.00738,0.00047,-0.00089,-0.00738,0.00047
SGLI00ITA,EURA14,2009-04-02 11:59:00,-0.00463,-0.00551,0.00226,-0.00463,-0.00551,0.00226
SGLI00ITA,EURA14,2009-04-03 11:59:00,-0.00493,-0.00557,0.00479,-0.00493,-0.00557,0.00479
SGLI00ITA,EURA14,2009-04-04 11:59:00,-0.00653,-0.00648,-0.00724,-0.00653,-0.00648,-0.00724
SGLI00ITA,EURA14,2009-04-05 11:59:00,-0.00526,-0.00728,0.00716,-0.00526,-0.00728,0.00716
SGLI00ITA,EURA14,2009-04-06 11:59:00,-0.00497,-0.00478,0.0047,-0.003991293446607281,-0.005124467142765562,-0.0019483813782975269
SGLI00ITA,EURA14,2009-04-07 11:59:00,-0.00372,-0.0061,-0.00015,-0.0027412934466072812,-0.006444467142765562,-0.006798381378297527
SGLI00ITA,EURA14,2009-04-08 11:59:00,-0.00571,-0.00697,0.01127,-0.004731293446607281,-0.007314467142765561,0.0046216186217024734
SGLI00ITA,EURA14,2009-04-09 11:59:00,-0.00454,-0.01032,0.00502,-0.0035612934466072808,-0.010664467142765562,-0.001628381378297527
SGLI00ITA,EURA14,2009-04-10 11:59:00,-0.00516,-0.00552,0.00774,-0.004181293446607281,-0.0058644671427655615,0.0010916186217024733
SGLI00ITA,EURA14,2009-04-11 11:59:00,-0.00578,-0.00666,0.00417,-0.004801293446607281,-0.007004467142765562,-0.002478381378297527
SGLI00ITA,EURA14,2009-04-12 11:59:00,-0.00585,-0.00853,0.01904,-0.004871293446607281,-0.008874467142765562,0.012391618621702474
SGLI00ITA,EURA14,2009-04-13 11:59:00,-0.00513,-0.00723,0.01994,-0.004151293446607281,-0.007574467142765562,0.013291618621702472
SGLI00ITA,EURA14,2009-04-14 11:59:00,-0.00482,-0.00794,0.00621,-0.0038412934466072806,-0.008284467142765562,-0.0004383813782975268
SGLI00ITA,EURA14,2009-04-15 11:59:00,-0.00616,-0.00785,-0.00023,-0.005181293446607281,-0.008194467142765562,-0.006878381378297527
SGLI00ITA,EURA14,2009-04-16 11:59:00,-0.00764,-0.00597,0.00161,-0.006661293446607281,-0.006314467142765561,-0.005038381378297527
SGLI00ITA,EURA14,2009-04-17 11:59:00,-0.00622,-0.00869,0.00568,-0.005241293446607281,-0.009034467142765562,-0.0009683813782975269
SGLI00ITA,EURA14,2009-04-18 11:59:00,-0.00516,-0.00787,0.00028,-0.004181293446607281,-0.008214467142765563,-0.006368381378297527
SGLI00ITA,EURA14,2009-04-19 11:59:00,-0.00456,-0.00878,0.00595,-0.003581293446607281,-0.009124467142765562,-0.0006983813782975266
SGLI00ITA,EURA14,2009-04-20 11:59:00,-0.00551,-0.00865,0.00504,-0.004531293446607281,-0.008994467142765562,-0.0016083813782975269
SGLI00ITA,EURA14,2009-04-21 11:59:00,-0.00608,-0.00832,0.0153,-0.005101293446607281,-0.008664467142765562,0.008651618621702472
SGLI00ITA,EURA14,2009-04-22 11:59:00,-0.00781,-0.00735,-0.00024,-0.006831293446607281,-0.0076944671427655615,-0.006888381378297527
SGLI00ITA,EURA14,2009-04-23 11:59:00,-0.00465,-0.01079,0.01666,-0.0036712934466072806,-0.011134467142765562,0.010011618621702474
SGLI00ITA,EURA14,2009-04-24 11:59:00,-0.0045,-0.00964,0.00727,-0.0035212934466072807,-0.009984467142765562,0.0006216186217024734
SGLI00ITA,EURA14,2009-04-25 11:59:00,-0.00505,-0.0112,0.01137,-0.004071293446607281,-0.011544467142765562,0.004721618621702473
SGLI00ITA,EURA14,2009-04-26 11:59:00,-0.00434,-0.00794,0.0034,-0.003361293446607281,-0.008284467142765562,-0.0032483813782975273
SGLI00ITA,EURA14,2009-04-27 11:59:00,-0.00131,-0.01108,0.01423,-0.0003312934466072812,-0.011424467142765562,0.0075816186217024725
SGLI00ITA,EURA14,2009-04-28 11:59:00,-0.00233,-0.01124,0.011365,-0.0013512934466072813,-0.011584467142765563,0.004716618621702473
SGLI00ITA,EURA14,2009-04-29 11:59:00,-0.00335,-0.0114,0.0085,-0.0023712934466072816,-0.011744467142765563,0.0018516186217024735
SGLI00ITA,EURA14,2009-04-30 11:59:00,-0.0034,-0.00899,0.00677,-0.0024212934466072812,-0.009334467142765562,0.00012161862170247291
SGLI00ITA,EURA14,2009-05-01 11:59:00,-0.00503,-0.00783,0.00915,-0.004051293446607281,-0.008174467142765563,0.002501618621702473
SGLI00ITA,EURA14,2009-05-02 11:59:00,-0.0044,-0.00694,0.00173,-0.0034212934466072813,-0.007284467142765562,-0.004918381378297527
SGLI00ITA,EURA14,2009-05-03 11:59:00,-0.00319,-0.00587,0.00357,-0.002211293446607281,-0.006214467142765562,-0.0030783813782975272
SGLI00ITA,EURA14,2009-05-04 11:59:00,-0.00461,-0.00839,0.00463,-0.0036312934466072814,-0.008734467142765562,-0.0020183813782975275
SGLI00ITA,EURA14,2009-05-05 11:59:00,-0.00606,-0.00903,0.00325,-0.005081293446607281,-0.009374467142765562,-0.003398381378297527
SGLI00ITA,EURA14,2009-05-06 11:59:00,-0.00542,-0.01004,0.00334,-0.004441293446607281,-0.010384467142765563,-0.003308381378297527
SGLI00ITA,EURA14,2009-05-07 11:59:00,-0.00694,-0.01106,-0.00231,-0.005961293446607281,-0.011404467142765563,-0.008958381378297527
SGLI00ITA,EURA14,2009-05-08 11:59:00,-0.00559,-0.01005,-0.00072,-0.004611293446607281,-0.010394467142765563,-0.007368381378297527
SGLI00ITA,EURA14,2009-05-09 11:59:00,-0.00641,-0.00996,-0.01165,-0.005431293446607281,-0.010304467142765563,-0.018298381378297528
SGLI00ITA,EURA14,2009-05-10 11:59:00,-0.00418,-0.01062,-0.00366,-0.0032012934466072807,-0.010964467142765562,-0.010308381378297527
SGLI00ITA,EURA14,2009-05-11 11:59:00,-0.00469,-0.009805,-0.001835,-0.0037112934466072807,-0.010149467142765562,-0.008483381378297527
SGLI00ITA,EURA14,2009-05-12 11:59:00,-0.0052,-0.00899,-1e-05,-0.004221293446607281,-0.009334467142765562,-0.006658381378297527
SGLI00ITA,EURA14,2009-05-13 11:59:00,-0.00351,-0.00905,0.00225,-0.002531293446607281,-0.009394467142765563,-0.004398381378297527
SGLI00ITA,EURA14,2009-05-14 11:59:00,-0.00318,-0.00774,0.00427,-0.0022012934466072815,-0.008084467142765563,-0.0023783813782975267
SGLI00ITA,EURA14,2009-05-15 11:59:00,-0.00426,-0.00918,0.01019,-0.003281293446607281,-0.009524467142765563,0.0035416186217024723
