marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
STAZ00ITA,EURA14,2008-01-01 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
STAZ00ITA,EURA14,2008-01-02 11:59:00,0.00113,-0.00094,0.00251,0.00113,-0.00094,0.00251
STAZ00ITA,EURA14,2008-01-03 11:59:00,0.0018,-0.00158,-0.0004,0.0018,-0.00158,-0.0004
STAZ00ITA,EURA14,2008-01-04 11:59:00,0.00186,-0.00132,-0.00154,0.00186,-0.00132,-0.00154
STAZ00ITA,EURA14,2008-01-05 11:59:00,0.0013,-0.00145,-0.00376,0.0013,-0.00145,-0.00376
STAZ00ITA,EURA14,2008-01-06 11:59:00,0.00288,-0.00122,-0.00489,0.00288,-0.00122,-0.00489
STAZ00ITA,EURA14,2008-01-07 11:59:00,0.00119,-0.00243,-0.0013,0.00119,-0.00243,-0.0013
STAZ00ITA,EURA14,2008-01-08 11:59:00,0.00252,-0.00183,-0.00232,0.00252,-0.00183,-0.00232
STAZ00ITA,EURA14,2008-01-09 11:59:00,0.00208,-0.00242,-0.00251,0.00208,-0.00242,-0.00251
STAZ00ITA,EURA14,2008-01-10 11:59:00,0.00213,-0.00215,-0.00698,0.00213,-0.00215,-0.00698
STAZ00ITA,EURA14,2008-01-11 11:59:00,0.0023,-0.00179,-0.00704,0.0023,-0.00179,-0.00704
STAZ00ITA,EURA14,2008-01-12 11:59:00,0.00111,-0.00172,0.00358,0.00111,-0.00172,0.00358
STAZ00ITA,EURA14,2008-01-13 11:59:00,0.00273,-0.00154,-0.00209,0.00273,-0.00154,-0.00209
STAZ00ITA,EURA14,2008-01-14 11:59:00,0.00169,-0.00259,-0.00577,0.00169,-0.00259,-0.00577
STAZ00ITA,EURA14,2008-01-15 11:59:00,0.00267,-0.00291,-0.00916,0.00267,-0.00291,-0.00916
STAZ00ITA,EURA14,2008-01-16 11:59:00,0.0017,-0.00269,-0.00436,0.0017,-0.00269,-0.00436
STAZ00ITA,EURA14,2008-01-17 11:59:00,0.00152,-0.00263,-0.004,0.00152,-0.00263,-0.004
STAZ00ITA,EURA14,2008-01-18 11:59:00,0.00108,-0.00228,-0.00618,0.00108,-0.00228,-0.00618
STAZ00ITA,EURA14,2008-01-19 11:59:00,0.00166,-0.00269,-0.00448,0.00166,-0.00269,-0.00448
STAZ00ITA,EURA14,2008-01-20 11:59:00,0.00188,-0.00196,-0.00857,0.00188,-0.00196,-0.00857
STAZ00ITA,EURA14,2008-01-21 11:59:00,0.00157,-0.00199,-0.00671,0.00157,-0.00199,-0.00671
STAZ00ITA,EURA14,2008-01-22 11:59:00,0.00052,-0.00173,-0.00444,0.00052,-0.00173,-0.00444
STAZ00ITA,EURA14,2008-01-23 11:59:00,0.00021,-0.00096,-0.0085,0.00021,-0.00096,-0.0085
STAZ00ITA,EURA14,2008-01-24 11:59:00,0.00106,-0.00195,-0.00908,0.00106,-0.00195,-0.00908
STAZ00ITA,EURA14,2008-01-25 11:59:00,0.00126,-0.00165,-0.00785,0.00126,-0.00165,-0.00785
STAZ00ITA,EURA14,2008-01-26 11:59:00,0.00093,-0.00236,-0.0055,0.00093,-0.00236,-0.0055
STAZ00ITA,EURA14,2008-01-27 11:59:00,0.00103,-0.00269,-0.00523,0.00103,-0.00269,-0.00523
STAZ00ITA,EURA14,2008-01-28 11:59:00,0.001,-0.00217,-0.00502,0.001,-0.00217,-0.00502
STAZ00ITA,EURA14,2008-01-29 11:59:00,0.00178,-0.00212,-0.00423,0.00178,-0.00212,-0.00423
STAZ00ITA,EURA14,2008-01-30 11:59:00,0.00127,-0.00248,-0.00689,0.00127,-0.00248,-0.00689
STAZ00ITA,EURA14,2008-01-31 11:59:00,0.00152,-0.00253,-0.0025,0.00152,-0.00253,-0.0025
STAZ00ITA,EURA14,2008-02-01 11:59:00,0.00168,-0.00287,-0.00346,0.00168,-0.00287,-0.00346
STAZ00ITA,EURA14,2008-02-02 11:59:00,0.00055,-0.00213,-0.00558,0.00055,-0.00213,-0.00558
STAZ00ITA,EURA14,2008-02-03 11:59:00,0.00161,-0.0016,-0.00726,0.00161,-0.0016,-0.00726
STAZ00ITA,EURA14,2008-02-04 11:59:00,0.00249,-0.00292,-0.0006,0.00249,-0.00292,-0.0006
STAZ00ITA,EURA14,2008-02-05 11:59:00,0.00126,-0.00144,-0.00492,0.00126,-0.00144,-0.00492
STAZ00ITA,EURA14,2008-02-06 11:59:00,0.00131,-0.00209,-0.00882,0.00131,-0.00209,-0.00882
STAZ00ITA,EURA14,2008-02-07 11:59:00,0.00076,-0.00223,-0.00867,0.00076,-0.00223,-0.00867
STAZ00ITA,EURA14,2008-02-08 11:59:00,0.00115,-0.00083,-0.00528,0.00115,-0.00083,-0.00528
STAZ00ITA,EURA14,2008-02-12 11:59:00,0.00129,-0.00152,-0.00287,0.00129,-0.00152,-0.00287
STAZ00ITA,EURA14,2008-02-13 11:59:00,0.00098,-0.00084,-0.00363,0.00098,-0.00084,-0.00363
STAZ00ITA,EURA14,2008-02-14 11:59:00,-5e-05,-0.00195,-0.00414,-5e-05,-0.00195,-0.00414
STAZ00ITA,EURA14,2008-02-15 11:59:00,0.00042,-0.00095,-0.00017,0.00042,-0.00095,-0.00017
STAZ00ITA,EURA14,2008-02-16 11:59:00,0.00084,-0.00038,-0.00393,0.00084,-0.00038,-0.00393
STAZ00ITA,EURA14,2008-02-17 11:59:00,0.0008,-0.00049,-0.00737,0.0008,-0.00049,-0.00737
STAZ00ITA,EURA14,2008-02-18 11:59:00,0.00068,-0.000945,-0.00569,0.00068,-0.000945,-0.00569
STAZ00ITA,EURA14,2008-02-19 11:59:00,0.00056,-0.0014,-0.00401,0.00056,-0.0014,-0.00401
STAZ00ITA,EURA14,2008-02-20 11:59:00,0.00098,-0.0015,-0.00904,0.00098,-0.0015,-0.00904
STAZ00ITA,EURA14,2008-02-21 11:59:00,0.0006,-0.00122,-0.00729,0.0006,-0.00122,-0.00729
STAZ00ITA,EURA14,2008-02-22 11:59:00,0.00076,-0.00187,-0.0069,0.00076,-0.00187,-0.0069
STAZ00ITA,EURA14,2008-02-23 11:59:00,0.0003,-0.00156,-0.00316,0.0003,-0.00156,-0.00316
STAZ00ITA,EURA14,2008-02-24 11:59:00,0.00079,-0.00164,-0.00577,0.00079,-0.00164,-0.00577
STAZ00ITA,EURA14,2008-02-25 11:59:00,0.00206,-0.00179,-0.00517,0.00206,-0.00179,-0.00517
STAZ00ITA,EURA14,2008-02-26 11:59:00,0.00199,-0.00203,-0.00566,0.00199,-0.00203,-0.00566
STAZ00ITA,EURA14,2008-02-27 11:59:00,0.00236,-0.00261,-0.00458,0.00236,-0.00261,-0.00458
STAZ00ITA,EURA14,2008-02-28 11:59:00,0.00169,-0.00156,-0.0029,0.00169,-0.00156,-0.0029
STAZ00ITA,EURA14,2008-02-29 11:59:00,0.00132,-0.00171,-0.00513,0.00132,-0.00171,-0.00513
STAZ00ITA,EURA14,2008-03-01 11:59:00,0.00098,-0.00217,0.00096,0.00098,-0.00217,0.00096
STAZ00ITA,EURA14,2008-03-02 11:59:00,0.00123,-0.00224,-0.00468,0.00123,-0.00224,-0.00468
STAZ00ITA,EURA14,2008-03-03 11:59:00,0.00258,-0.00269,-0.00197,0.00258,-0.00269,-0.00197
STAZ00ITA,EURA14,2008-03-04 11:59:00,0.00137,-0.00102,-0.00095,0.00137,-0.00102,-0.00095
STAZ00ITA,EURA14,2008-03-05 11:59:00,0.00141,0.00041,0.00031,0.00141,0.00041,0.00031
STAZ00ITA,EURA14,2008-03-06 11:59:00,0.0022,-0.00025,-0.01116,0.0022,-0.00025,-0.01116
STAZ00ITA,EURA14,2008-03-07 11:59:00,0.00221,-0.00087,-0.00586,0.00221,-0.00087,-0.00586
STAZ00ITA,EURA14,2008-03-08 11:59:00,0.0020700000000000002,-0.00121,-0.006115,0.0020700000000000002,-0.00121,-0.006115
STAZ00ITA,EURA14,2008-03-09 11:59:00,0.00193,-0.00155,-0.00637,0.00193,-0.00155,-0.00637
STAZ00ITA,EURA14,2008-03-10 11:59:00,0.00188,-0.00168,-0.00566,0.00188,-0.00168,-0.00566
STAZ00ITA,EURA14,2008-03-11 11:59:00,0.00132,-0.00077,0.00045,0.00132,-0.00077,0.00045
STAZ00ITA,EURA14,2008-03-12 11:59:00,0.0013,-0.00095,-0.00372,0.0013,-0.00095,-0.00372
STAZ00ITA,EURA14,2008-03-13 11:59:00,0.00145,-0.0013,-0.00381,0.00145,-0.0013,-0.00381
STAZ00ITA,EURA14,2008-03-14 11:59:00,0.00138,-0.00128,-0.00451,0.00138,-0.00128,-0.00451
STAZ00ITA,EURA14,2008-03-15 11:59:00,0.00155,-0.00069,-0.00796,0.00155,-0.00069,-0.00796
STAZ00ITA,EURA14,2008-03-16 11:59:00,0.0005,-0.00187,-0.00164,0.0005,-0.00187,-0.00164
STAZ00ITA,EURA14,2008-03-17 11:59:00,0.00135,-0.00169,-0.0044,0.00135,-0.00169,-0.0044
STAZ00ITA,EURA14,2008-03-18 11:59:00,0.00159,-0.00068,-0.00309,0.00159,-0.00068,-0.00309
STAZ00ITA,EURA14,2008-03-19 11:59:00,0.00177,-0.00077,-0.00316,0.00177,-0.00077,-0.00316
