marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
TER100ITA,EURA14,2018-09-27 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
TER100ITA,EURA14,2023-03-25 11:59:00,-2.14165,-0.14879,0.36947,-2.14165,-0.14879,0.36947
TER100ITA,EURA14,2023-03-26 11:59:00,-2.13969,-0.1466,0.36838,-2.13969,-0.1466,0.36838
TER100ITA,EURA14,2023-03-27 11:59:00,-2.14228,-0.14691,0.36819,-2.14228,-0.14691,0.36819
TER100ITA,EURA14,2023-03-28 11:59:00,-2.14337,-0.14535,0.36941,-2.14337,-0.14535,0.36941
TER100ITA,EURA14,2023-03-29 11:59:00,-2.14358,-0.14585,0.36747,-2.14358,-0.14585,0.36747
TER100ITA,EURA14,2023-03-30 11:59:00,-2.14279,-0.14388,0.35832,-2.14279,-0.14388,0.35832
TER100ITA,EURA14,2023-03-31 11:59:00,-2.142,-0.14397,0.36002,-2.142,-0.14397,0.36002
TER100ITA,EURA14,2023-04-01 11:59:00,-2.14485,-0.14722,0.37573,-2.14485,-0.14722,0.37573
TER100ITA,EURA14,2023-04-02 11:59:00,-2.14192,-0.14501,0.36331,-2.14192,-0.14501,0.36331
TER100ITA,EURA14,2023-04-03 11:59:00,-2.14061,-0.14492,0.37064,-2.14061,-0.14492,0.37064
TER100ITA,EURA14,2023-04-04 11:59:00,-2.14321,-0.14641,0.37309,-2.14321,-0.14641,0.37309
TER100ITA,EURA14,2023-04-05 11:59:00,-2.14351,-0.14558,0.37303,-2.14351,-0.14558,0.37303
TER100ITA,EURA14,2023-04-06 11:59:00,-2.14148,-0.14463,0.36797,-2.14148,-0.14463,0.36797
TER100ITA,EURA14,2023-04-07 11:59:00,-2.1417900000000003,-0.14523,0.370925,-2.1417900000000003,-0.14523,0.370925
TER100ITA,EURA14,2023-04-08 11:59:00,-2.1421,-0.14583,0.37388,-2.1421,-0.14583,0.37388
TER100ITA,EURA14,2023-04-09 11:59:00,-2.14403,-0.14685,0.38023,-2.14403,-0.14685,0.38023
TER100ITA,EURA14,2023-04-10 11:59:00,-2.14154,-0.14558,0.3673,-2.14154,-0.14558,0.3673
TER100ITA,EURA14,2023-04-11 11:59:00,-2.14221,-0.14534,0.36422,-2.14221,-0.14534,0.36422
TER100ITA,EURA14,2023-04-12 11:59:00,-2.14152,-0.14673,0.36042,-2.14152,-0.14673,0.36042
TER100ITA,EURA14,2023-04-13 11:59:00,-2.14204,-0.14675,0.37676,-2.14204,-0.14675,0.37676
TER100ITA,EURA14,2023-04-14 11:59:00,-2.14009,-0.14751,0.36365,-2.14009,-0.14751,0.36365
TER100ITA,EURA14,2023-04-15 11:59:00,-2.14197,-0.1469,0.36908,-2.14197,-0.1469,0.36908
TER100ITA,EURA14,2023-04-16 11:59:00,-2.13833,-0.14373,0.3875,-2.13833,-0.14373,0.3875
TER100ITA,EURA14,2023-04-17 11:59:00,-2.139065,-0.145295,0.385845,-2.139065,-0.145295,0.385845
TER100ITA,EURA14,2023-04-18 11:59:00,-2.1398,-0.14686,0.38419,-2.1398,-0.14686,0.38419
TER100ITA,EURA14,2023-04-19 11:59:00,-2.13973,-0.14685,0.3818,-2.13973,-0.14685,0.3818
TER100ITA,EURA14,2023-04-20 11:59:00,-2.14122,-0.14733,0.37602,-2.14122,-0.14733,0.37602
TER100ITA,EURA14,2023-04-21 11:59:00,-2.14276,-0.14763,0.37086,-2.14276,-0.14763,0.37086
TER100ITA,EURA14,2023-04-22 11:59:00,-2.14122,-0.14552,0.36473,-2.14122,-0.14552,0.36473
TER100ITA,EURA14,2023-04-23 11:59:00,-2.14209,-0.14601,0.36118,-2.14209,-0.14601,0.36118
TER100ITA,EURA14,2023-04-24 11:59:00,-2.14167,-0.14486,0.37202,-2.14167,-0.14486,0.37202
TER100ITA,EURA14,2023-04-25 11:59:00,-2.1383,-0.1472,0.37496,-2.1383,-0.1472,0.37496
TER100ITA,EURA14,2023-04-26 11:59:00,-2.14181,-0.14575,0.36907,-2.14181,-0.14575,0.36907
TER100ITA,EURA14,2023-04-27 11:59:00,-2.14231,-0.14526,0.36263,-2.14231,-0.14526,0.36263
TER100ITA,EURA14,2023-04-28 11:59:00,-2.14158,-0.1451,0.36243,-2.14158,-0.1451,0.36243
TER100ITA,EURA14,2023-04-29 11:59:00,-2.14177,-0.14629,0.3617,-2.14177,-0.14629,0.3617
TER100ITA,EURA14,2023-04-30 11:59:00,-2.14021,-0.1467,0.37213,-2.14021,-0.1467,0.37213
TER100ITA,EURA14,2023-05-01 11:59:00,-2.13837,-0.145,0.37924,-2.13837,-0.145,0.37924
TER100ITA,EURA14,2023-05-02 11:59:00,-2.14018,-0.14712,0.38777,-2.14018,-0.14712,0.38777
TER100ITA,EURA14,2023-05-03 11:59:00,-2.13956,-0.14666,0.38376,-2.13956,-0.14666,0.38376
TER100ITA,EURA14,2023-05-04 11:59:00,-2.14195,-0.14535,0.36601,-2.14195,-0.14535,0.36601
TER100ITA,EURA14,2023-05-05 11:59:00,-2.142325,-0.145905,0.35953999999999997,-2.142325,-0.145905,0.35953999999999997
TER100ITA,EURA14,2023-05-06 11:59:00,-2.1427,-0.14646,0.35307,-2.1427,-0.14646,0.35307
TER100ITA,EURA14,2023-05-07 11:59:00,-2.14264,-0.14699,0.36586,-2.14264,-0.14699,0.36586
TER100ITA,EURA14,2023-05-08 11:59:00,-2.14174,-0.14557,0.36089,-2.14174,-0.14557,0.36089
TER100ITA,EURA14,2023-05-09 11:59:00,-2.14059,-0.1461,0.36342,-2.14059,-0.1461,0.36342
TER100ITA,EURA14,2023-05-10 11:59:00,-2.14446,-0.1485,0.38228,-2.14446,-0.1485,0.38228
TER100ITA,EURA14,2023-05-11 11:59:00,-2.14185,-0.14749,0.38454,-2.14185,-0.14749,0.38454
TER100ITA,EURA14,2023-05-12 11:59:00,-2.14332,-0.14501,0.36662,-2.14332,-0.14501,0.36662
TER100ITA,EURA14,2023-05-13 11:59:00,-2.14003,-0.14566,0.37022,-2.14003,-0.14566,0.37022
TER100ITA,EURA14,2023-05-14 11:59:00,-2.14269,-0.14738,0.38944,-2.14269,-0.14738,0.38944
TER100ITA,EURA14,2023-05-15 11:59:00,-2.13837,-0.1455,0.37772,-2.13837,-0.1455,0.37772
TER100ITA,EURA14,2023-05-16 11:59:00,-2.14127,-0.14636,0.39253,-2.14127,-0.14636,0.39253
TER100ITA,EURA14,2023-05-17 11:59:00,-2.13513,-0.14534,0.38658,-2.13513,-0.14534,0.38658
TER100ITA,EURA14,2023-05-18 11:59:00,-2.14222,-0.14668,0.37793,-2.14222,-0.14668,0.37793
TER100ITA,EURA14,2023-05-19 11:59:00,-2.14154,-0.1474,0.36546,-2.14154,-0.1474,0.36546
TER100ITA,EURA14,2023-05-20 11:59:00,-2.1399,-0.1453,0.38579,-2.1399,-0.1453,0.38579
TER100ITA,EURA14,2023-05-21 11:59:00,-2.14281,-0.14598,0.37023,-2.14281,-0.14598,0.37023
TER100ITA,EURA14,2023-05-22 11:59:00,-2.14026,-0.14651,0.35556,-2.14026,-0.14651,0.35556
TER100ITA,EURA14,2023-05-23 11:59:00,-2.14144,-0.14535,0.35941,-2.14144,-0.14535,0.35941
TER100ITA,EURA14,2023-05-24 11:59:00,-2.13698,-0.144,0.35856,-2.13698,-0.144,0.35856
TER100ITA,EURA14,2023-05-25 11:59:00,-2.14126,-0.14645,0.35565,-2.14126,-0.14645,0.35565
TER100ITA,EURA14,2023-05-26 11:59:00,-2.14003,-0.1457,0.34947,-2.14003,-0.1457,0.34947
TER100ITA,EURA14,2023-05-27 11:59:00,-2.14282,-0.14592,0.35659,-2.14282,-0.14592,0.35659
TER100ITA,EURA14,2023-05-28 11:59:00,-2.13816,-0.14698,0.34959,-2.13816,-0.14698,0.34959
TER100ITA,EURA14,2023-05-29 11:59:00,-2.14095,-0.14566,0.35746,-2.14095,-0.14566,0.35746
TER100ITA,EURA14,2023-05-30 11:59:00,-2.14267,-0.14592,0.35293,-2.14267,-0.14592,0.35293
TER100ITA,EURA14,2023-05-31 11:59:00,-2.14194,-0.14666,0.37694,-2.14194,-0.14666,0.37694
TER100ITA,EURA14,2023-06-01 11:59:00,-2.14235,-0.14473,0.36463,-2.14235,-0.14473,0.36463
TER100ITA,EURA14,2023-06-02 11:59:00,-2.14073,-0.14506,0.35633,-2.14073,-0.14506,0.35633
TER100ITA,EURA14,2023-06-03 11:59:00,-2.13862,-0.14599,0.36319,-2.13862,-0.14599,0.36319
TER100ITA,EURA14,2023-06-04 11:59:00,-2.13947,-0.14431,0.3615,-2.13947,-0.14431,0.3615
TER100ITA,EURA14,2023-06-05 11:59:00,-2.14051,-0.14573,0.37658,-2.14051,-0.14573,0.37658
TER100ITA,EURA14,2023-06-06 11:59:00,-2.14261,-0.14553,0.37277,-2.14261,-0.14553,0.37277
TER100ITA,EURA14,2023-06-07 11:59:00,-2.142855,-0.145585,0.366845,-2.142855,-0.145585,0.366845
TER100ITA,EURA14,2023-06-08 11:59:00,-2.1431,-0.14564,0.36092,-2.1431,-0.14564,0.36092
TER100ITA,EURA14,2023-06-09 11:59:00,-2.13837,-0.14773,0.35728,-2.13837,-0.14773,0.35728
TER100ITA,EURA14,2023-06-10 11:59:00,-2.14417,-0.14574,0.37311,-2.14417,-0.14574,0.37311
TER100ITA,EURA14,2023-06-11 11:59:00,-2.1429799999999997,-0.145735,0.37273500000000004,-2.1429799999999997,-0.145735,0.37273500000000004
TER100ITA,EURA14,2023-06-12 11:59:00,-2.14179,-0.14573,0.37236,-2.14179,-0.14573,0.37236
TER100ITA,EURA14,2023-06-13 11:59:00,-2.14217,-0.14506,0.36398,-2.14217,-0.14506,0.36398
TER100ITA,EURA14,2023-06-14 11:59:00,-2.14046,-0.14464,0.37074,-2.14046,-0.14464,0.37074
TER100ITA,EURA14,2023-06-15 11:59:00,-2.14029,-0.14705,0.37752,-2.14029,-0.14705,0.37752
TER100ITA,EURA14,2023-06-16 11:59:00,-2.14159,-0.14435,0.35961,-2.14159,-0.14435,0.35961
TER100ITA,EURA14,2023-06-17 11:59:00,-2.13979,-0.14643,0.3516,-2.13979,-0.14643,0.3516
TER100ITA,EURA14,2023-06-18 11:59:00,-2.14207,-0.14442,0.35416,-2.14207,-0.14442,0.35416
TER100ITA,EURA14,2023-06-19 11:59:00,-2.14125,-0.14642,0.35565,-2.14125,-0.14642,0.35565
TER100ITA,EURA14,2023-06-20 11:59:00,-2.14001,-0.14684,0.35311,-2.14001,-0.14684,0.35311
TER100ITA,EURA14,2023-06-21 11:59:00,-2.14054,-0.14708,0.3522,-2.14054,-0.14708,0.3522
TER100ITA,EURA14,2023-06-22 11:59:00,-2.14245,-0.14344,0.35788,-2.14245,-0.14344,0.35788
TER100ITA,EURA14,2023-06-23 11:59:00,-2.14094,-0.14559,0.36162,-2.14094,-0.14559,0.36162
TER100ITA,EURA14,2023-06-24 11:59:00,-2.14426,-0.14651,0.36289,-2.14426,-0.14651,0.36289
TER100ITA,EURA14,2023-06-25 11:59:00,-2.14172,-0.14523,0.35542,-2.14172,-0.14523,0.35542
TER100ITA,EURA14,2023-06-26 11:59:00,-2.13817,-0.14674,0.36061,-2.13817,-0.14674,0.36061
TER100ITA,EURA14,2023-06-27 11:59:00,-2.1414,-0.14682,0.36269,-2.1414,-0.14682,0.36269
TER100ITA,EURA14,2023-06-28 11:59:00,-2.1397,-0.14745,0.36018,-2.1397,-0.14745,0.36018
TER100ITA,EURA14,2023-06-29 11:59:00,-2.14181,-0.14379,0.36313,-2.14181,-0.14379,0.36313
TER100ITA,EURA14,2023-06-30 11:59:00,-2.14155,-0.1481,0.36247,-2.14155,-0.1481,0.36247
TER100ITA,EURA14,2023-07-01 11:59:00,-2.14134,-0.14785,0.3688,-2.14134,-0.14785,0.3688
TER100ITA,EURA14,2023-07-02 11:59:00,-2.14076,-0.14655,0.3659,-2.14076,-0.14655,0.3659
TER100ITA,EURA14,2023-07-03 11:59:00,-2.1408,-0.14558,0.35878,-2.1408,-0.14558,0.35878
TER100ITA,EURA14,2023-07-04 11:59:00,-2.14234,-0.14072,0.35969,-2.14234,-0.14072,0.35969
TER100ITA,EURA14,2023-07-05 11:59:00,-2.14112,-0.14344,0.36102,-2.14112,-0.14344,0.36102
TER100ITA,EURA14,2023-07-06 11:59:00,-2.14075,-0.1459,0.36382,-2.14075,-0.1459,0.36382
TER100ITA,EURA14,2023-07-07 11:59:00,-2.14012,-0.14643,0.36945,-2.14012,-0.14643,0.36945
TER100ITA,EURA14,2023-07-08 11:59:00,-2.14137,-0.14666,0.3599,-2.14137,-0.14666,0.3599
TER100ITA,EURA14,2023-07-09 11:59:00,-2.14283,-0.14733,0.36679,-2.14283,-0.14733,0.36679
TER100ITA,EURA14,2023-07-10 11:59:00,-2.13972,-0.14704,0.36669,-2.13972,-0.14704,0.36669
TER100ITA,EURA14,2023-07-11 11:59:00,-2.14066,-0.14508,0.36549,-2.14066,-0.14508,0.36549
TER100ITA,EURA14,2023-07-12 11:59:00,-2.13914,-0.14717,0.35634,-2.13914,-0.14717,0.35634
TER100ITA,EURA14,2023-07-13 11:59:00,-2.13957,-0.14643,0.37491,-2.13957,-0.14643,0.37491
TER100ITA,EURA14,2023-07-14 11:59:00,-2.13941,-0.145055,0.364175,-2.13941,-0.145055,0.364175
TER100ITA,EURA14,2023-07-15 11:59:00,-2.13925,-0.14368,0.35344,-2.13925,-0.14368,0.35344
TER100ITA,EURA14,2023-07-16 11:59:00,-2.14126,-0.14495,0.36178,-2.14126,-0.14495,0.36178
TER100ITA,EURA14,2023-07-17 11:59:00,-2.14093,-0.14429,0.36117,-2.14093,-0.14429,0.36117
TER100ITA,EURA14,2023-07-18 11:59:00,-2.14055,-0.14511,0.36365,-2.14055,-0.14511,0.36365
TER100ITA,EURA14,2023-07-19 11:59:00,-2.14389,-0.14461,0.36715,-2.14389,-0.14461,0.36715
TER100ITA,EURA14,2023-07-20 11:59:00,-2.1436,-0.14424,0.36139,-2.1436,-0.14424,0.36139
TER100ITA,EURA14,2023-07-21 11:59:00,-2.14939,-0.14256,0.37549,-2.14939,-0.14256,0.37549
TER100ITA,EURA14,2023-07-22 11:59:00,-2.13706,-0.13969,0.37593,-2.13706,-0.13969,0.37593
TER100ITA,EURA14,2023-07-23 11:59:00,-2.1436,-0.14137,0.35851,-2.1436,-0.14137,0.35851
TER100ITA,EURA14,2023-07-24 11:59:00,-2.13123,-0.14308,0.37858,-2.13123,-0.14308,0.37858
TER100ITA,EURA14,2023-07-25 11:59:00,-2.13723,-0.14852,0.36793,-2.13723,-0.14852,0.36793
TER100ITA,EURA14,2023-07-26 11:59:00,-2.14282,-0.14543,0.37564,-2.14282,-0.14543,0.37564
TER100ITA,EURA14,2023-07-27 11:59:00,-2.1401,-0.14576,0.36959,-2.1401,-0.14576,0.36959
TER100ITA,EURA14,2023-07-28 11:59:00,-2.13967,-0.14603,0.37325,-2.13967,-0.14603,0.37325
TER100ITA,EURA14,2023-07-29 11:59:00,-2.14238,-0.14421,0.36043,-2.14238,-0.14421,0.36043
TER100ITA,EURA14,2023-07-30 11:59:00,-2.13399,-0.14318,0.36517,-2.13399,-0.14318,0.36517
TER100ITA,EURA14,2023-07-31 11:59:00,-2.13949,-0.14619,0.36356,-2.13949,-0.14619,0.36356
TER100ITA,EURA14,2023-08-01 11:59:00,-2.13927,-0.14356,0.35691,-2.13927,-0.14356,0.35691
TER100ITA,EURA14,2023-08-02 11:59:00,-2.14006,-0.14681,0.36274,-2.14006,-0.14681,0.36274
TER100ITA,EURA14,2023-08-03 11:59:00,-2.14291,-0.14397,0.35684,-2.14291,-0.14397,0.35684
TER100ITA,EURA14,2023-08-04 11:59:00,-2.13858,-0.14633,0.38948,-2.13858,-0.14633,0.38948
TER100ITA,EURA14,2023-08-05 11:59:00,-2.14083,-0.14506,0.37833,-2.14083,-0.14506,0.37833
TER100ITA,EURA14,2023-08-06 11:59:00,-2.14075,-0.14418,0.36249,-2.14075,-0.14418,0.36249
TER100ITA,EURA14,2023-08-07 11:59:00,-2.13954,-0.14209,0.37106,-2.13954,-0.14209,0.37106
TER100ITA,EURA14,2023-08-08 11:59:00,-2.14533,-0.14343,0.36508,-2.14533,-0.14343,0.36508
