marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
TERN00ITA,EURA14,2008-06-15 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
TERN00ITA,EURA14,2008-06-16 11:59:00,-6e-05,-4e-05,0.0,-6e-05,-4e-05,0.0
TERN00ITA,EURA14,2008-06-17 11:59:00,-0.00012,-8e-05,0.0,-0.00012,-8e-05,0.0
TERN00ITA,EURA14,2008-06-18 11:59:00,-0.00018,-0.00013,0.0,-0.00018,-0.00013,0.0
TERN00ITA,EURA14,2008-06-19 11:59:00,-0.00024,-0.00017,0.0,-0.00024,-0.00017,0.0
TERN00ITA,EURA14,2008-06-20 11:59:00,-0.0003,-0.00021,0.0,-0.0003,-0.00021,0.0
TERN00ITA,EURA14,2008-06-21 11:59:00,-0.00036,-0.00025,0.0,-0.00036,-0.00025,0.0
TERN00ITA,EURA14,2008-06-22 11:59:00,-0.00042,-0.0003,0.0,-0.00042,-0.0003,0.0
TERN00ITA,EURA14,2008-06-23 11:59:00,-0.00048,-0.00034,0.0,-0.00048,-0.00034,0.0
TERN00ITA,EURA14,2008-06-24 11:59:00,-0.00053,-0.00038,0.0,-0.00053,-0.00038,0.0
TERN00ITA,EURA14,2008-06-25 11:59:00,-0.00059,-0.00042,0.0,-0.00059,-0.00042,0.0
TERN00ITA,EURA14,2008-06-26 11:59:00,-0.00065,-0.00046,0.0,-0.00065,-0.00046,0.0
TERN00ITA,EURA14,2008-06-27 11:59:00,-0.00071,-0.00051,0.0,-0.00071,-0.00051,0.0
TERN00ITA,EURA14,2008-06-28 11:59:00,-0.00077,-0.00055,0.0,-0.00077,-0.00055,0.0
TERN00ITA,EURA14,2008-06-29 11:59:00,-0.00083,-0.00059,0.0,-0.00083,-0.00059,0.0
TERN00ITA,EURA14,2008-06-30 11:59:00,-0.00089,-0.00063,0.0,-0.00089,-0.00063,0.0
TERN00ITA,EURA14,2008-07-01 11:59:00,-0.00095,-0.00068,0.0,-0.00095,-0.00068,0.0
TERN00ITA,EURA14,2008-07-02 11:59:00,-0.00101,-0.00072,0.0,-0.00101,-0.00072,0.0
TERN00ITA,EURA14,2008-07-03 11:59:00,-0.00107,-0.00076,0.0,-0.00107,-0.00076,0.0
TERN00ITA,EURA14,2008-07-04 11:59:00,-0.00113,-0.0008,0.0,-0.00113,-0.0008,0.0
TERN00ITA,EURA14,2008-07-05 11:59:00,-0.00119,-0.00084,0.0,-0.00119,-0.00084,0.0
TERN00ITA,EURA14,2008-07-06 11:59:00,-0.00125,-0.00089,0.0,-0.00125,-0.00089,0.0
TERN00ITA,EURA14,2008-07-07 11:59:00,-0.00131,-0.00093,0.0,-0.00131,-0.00093,0.0
TERN00ITA,EURA14,2008-07-08 11:59:00,-0.00137,-0.00097,0.0,-0.00137,-0.00097,0.0
TERN00ITA,EURA14,2008-07-09 11:59:00,-0.00143,-0.00101,0.0,-0.00143,-0.00101,0.0
TERN00ITA,EURA14,2008-07-10 11:59:00,-0.00149,-0.00106,0.0,-0.00149,-0.00106,0.0
TERN00ITA,EURA14,2008-07-11 11:59:00,-0.00155,-0.0011,0.0,-0.00155,-0.0011,0.0
TERN00ITA,EURA14,2008-07-12 11:59:00,-0.0016,-0.00114,0.0,-0.0016,-0.00114,0.0
TERN00ITA,EURA14,2008-07-13 11:59:00,-0.00166,-0.00118,0.0,-0.00166,-0.00118,0.0
TERN00ITA,EURA14,2008-07-14 11:59:00,-0.00172,-0.00122,0.0,-0.00172,-0.00122,0.0
TERN00ITA,EURA14,2008-07-15 11:59:00,-0.00178,-0.00127,0.0,-0.00178,-0.00127,0.0
TERN00ITA,EURA14,2008-12-15 11:59:00,-0.01087,-0.00773,0.0,-0.01087,-0.00773,0.0
