marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
CAPE00ITA,EURA14,2016-10-16 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
CAPE00ITA,EURA14,2016-10-17 11:59:00,0.00088,0.00013,-0.00055,0.00088,0.00013,-0.00055
CAPE00ITA,EURA14,2016-10-18 11:59:00,0.00139,0.00046,0.00243,0.00139,0.00046,0.00243
CAPE00ITA,EURA14,2016-10-19 11:59:00,0.00011,0.00063,0.00649,0.00011,0.00063,0.00649
CAPE00ITA,EURA14,2016-10-20 11:59:00,0.0,0.0017,0.00123,0.0,0.0017,0.00123
CAPE00ITA,EURA14,2016-10-21 11:59:00,0.00169,0.00237,0.00175,0.00169,0.00237,0.00175
CAPE00ITA,EURA14,2016-10-22 11:59:00,3e-05,0.00023,-0.00139,3e-05,0.00023,-0.00139
CAPE00ITA,EURA14,2016-10-23 11:59:00,0.00137,0.00074,0.00415,0.00137,0.00074,0.00415
CAPE00ITA,EURA14,2016-10-24 11:59:00,0.00069,0.00088,0.00022,0.00069,0.00088,0.00022
CAPE00ITA,EURA14,2016-10-25 11:59:00,0.00305,0.00031,-0.00271,0.00305,0.00031,-0.00271
CAPE00ITA,EURA14,2016-10-26 11:59:00,-0.00115,0.00201,0.00427,-0.00115,0.00201,0.00427
CAPE00ITA,EURA14,2016-10-27 11:59:00,0.00118,0.00127,0.00663,0.00118,0.00127,0.00663
CAPE00ITA,EURA14,2016-10-28 11:59:00,0.00683,0.00331,0.00174,0.00683,0.00331,0.00174
CAPE00ITA,EURA14,2016-10-29 11:59:00,-0.00037,0.00182,-0.00144,-0.00037,0.00182,-0.00144
CAPE00ITA,EURA14,2016-10-30 11:59:00,0.00023,-0.00012,0.00277,0.0004439285714285716,0.0017603571428571427,-0.0011025000000000006
CAPE00ITA,EURA14,2016-10-31 11:59:00,0.00029,-0.00082,0.0041,0.0005039285714285716,0.0010603571428571428,0.00022749999999999984
CAPE00ITA,EURA14,2016-11-01 11:59:00,0.00095,-0.00036,0.00159,0.0011639285714285716,0.0015203571428571427,-0.0022825000000000007
CAPE00ITA,EURA14,2016-11-02 11:59:00,0.00216,-0.00169,0.01355,0.0023739285714285715,0.00019035714285714272,0.009677499999999999
