marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
CATO01ITA,EURA14,2016-08-15 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
CATO01ITA,EURA14,2016-08-16 11:59:00,-0.00081,-0.00342,0.00504,-0.00081,-0.00342,0.00504
CATO01ITA,EURA14,2016-08-17 11:59:00,0.00159,0.00062,0.00718,0.00159,0.00062,0.00718
CATO01ITA,EURA14,2016-08-18 11:59:00,0.00084,-0.00081,0.01218,0.00084,-0.00081,0.01218
CATO01ITA,EURA14,2016-08-19 11:59:00,-0.00252,-0.00552,0.02066,-0.00252,-0.00552,0.02066
CATO01ITA,EURA14,2016-08-20 11:59:00,-0.00011,-0.00033,0.00081,-0.00011,-0.00033,0.00081
CATO01ITA,EURA14,2016-08-21 11:59:00,-0.00058,0.00174,6e-05,-0.00058,0.00174,6e-05
CATO01ITA,EURA14,2016-08-22 11:59:00,0.00035,-0.00092,0.00163,0.00035,-0.00092,0.00163
CATO01ITA,EURA14,2016-08-23 11:59:00,0.00121,0.00064,0.00288,0.00121,0.00064,0.00288
CATO01ITA,EURA14,2016-08-24 11:59:00,0.0038,0.00174,-0.00211,0.0038,0.00174,-0.00211
CATO01ITA,EURA14,2016-08-25 11:59:00,0.00221,0.00239,0.00204,0.00221,0.00239,0.00204
CATO01ITA,EURA14,2016-08-26 11:59:00,0.00079,0.003,0.00363,0.00079,0.003,0.00363
CATO01ITA,EURA14,2016-10-16 11:59:00,-0.00142,0.0023,1e-05,-0.00142,0.0023,1e-05
CATO01ITA,EURA14,2016-10-17 11:59:00,-0.00074,0.00273,-0.00226,-0.00074,0.00273,-0.00226
CATO01ITA,EURA14,2016-10-18 11:59:00,0.00048,0.00378,0.00402,0.00048,0.00378,0.00402
CATO01ITA,EURA14,2016-10-19 11:59:00,-0.00195,0.00168,0.00504,-0.00195,0.00168,0.00504
CATO01ITA,EURA14,2016-10-20 11:59:00,0.00038,0.00191,0.01272,0.00038,0.00191,0.01272
CATO01ITA,EURA14,2016-10-21 11:59:00,0.00035,0.0026,0.00971,0.00035,0.0026,0.00971
CATO01ITA,EURA14,2016-10-22 11:59:00,-0.00057,0.00149,0.00131,-0.00057,0.00149,0.00131
CATO01ITA,EURA14,2016-10-23 11:59:00,-0.0002,0.00157,0.00735,-0.0002,0.00157,0.00735
CATO01ITA,EURA14,2016-10-24 11:59:00,0.00012,0.00268,0.0006,0.00012,0.00268,0.0006
CATO01ITA,EURA14,2016-10-25 11:59:00,-8e-05,0.00266,0.00165,-8e-05,0.00266,0.00165
CATO01ITA,EURA14,2016-10-26 11:59:00,-0.00028,0.00405,-0.00135,-0.00028,0.00405,-0.00135
CATO01ITA,EURA14,2016-10-27 11:59:00,-0.00524,0.00164,-0.00472,-0.00524,0.00164,-0.00472
CATO01ITA,EURA14,2016-10-28 11:59:00,-0.00448,0.00151,0.00069,-0.00448,0.00151,0.00069
CATO01ITA,EURA14,2016-10-29 11:59:00,0.00096,0.0043,0.00334,0.00096,0.0043,0.00334
CATO01ITA,EURA14,2016-10-30 11:59:00,0.00369,0.00323,0.00465,0.00369,0.00323,0.00465
CATO01ITA,EURA14,2016-10-31 11:59:00,0.00418,0.00283,-0.00152,0.00418,0.00283,-0.00152
CATO01ITA,EURA14,2016-11-01 11:59:00,0.00403,0.00225,0.00432,0.00403,0.00225,0.00432
CATO01ITA,EURA14,2016-11-02 11:59:00,0.007,0.0016,0.00464,0.007,0.0016,0.00464
CATO01ITA,EURA14,2017-01-13 11:59:00,0.00505,-0.00059,0.02043,0.004506388888888889,-0.003128055555555556,0.03638222222222222
CATO01ITA,EURA14,2017-01-14 11:59:00,0.00216,-2e-05,0.01445,0.001616388888888889,-0.0025580555555555556,0.03040222222222222
CATO01ITA,EURA14,2017-01-15 11:59:00,0.00086,-0.00094,0.01127,0.00031638888888888906,-0.0034780555555555554,0.027222222222222224
CATO01ITA,EURA14,2017-01-16 11:59:00,0.00388,0.00199,0.00313,0.003336388888888889,-0.0005480555555555555,0.019082222222222223
CATO01ITA,EURA14,2017-01-17 11:59:00,0.00261,-0.00033,-0.00048,0.002066388888888889,-0.0028680555555555555,0.015472222222222222
CATO01ITA,EURA14,2017-01-18 11:59:00,-0.00322,0.00115,-0.04131,-0.0037636111111111112,-0.0013880555555555556,-0.025357777777777778
CATO01ITA,EURA14,2017-01-19 11:59:00,-0.00076,0.00781,-0.0477,-0.0013036111111111109,0.0052719444444444446,-0.03174777777777778
CATO01ITA,EURA14,2017-01-20 11:59:00,0.0002,0.00688,-0.03612,-0.00034361111111111094,0.004341944444444444,-0.020167777777777778
CATO01ITA,EURA14,2017-01-21 11:59:00,-0.00081,0.00624,-0.02674,-0.001353611111111111,0.0037019444444444443,-0.010787777777777778
