marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
INFN00ITA,EURA14,2009-04-04 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
INFN00ITA,EURA14,2009-04-05 11:59:00,0.00046,0.00091,0.00171,0.00046,0.00091,0.00171
INFN00ITA,EURA14,2009-04-06 11:59:00,0.04601,0.05311,0.03305,0.04601,0.05311,0.03305
INFN00ITA,EURA14,2009-04-07 11:59:00,0.05134,0.055,0.02601,0.05134,0.055,0.02601
INFN00ITA,EURA14,2009-04-08 11:59:00,0.0536,0.05634,0.03066,0.0536,0.05634,0.03066
INFN00ITA,EURA14,2016-08-14 11:59:00,0.0666,0.08753,0.03367,0.0666,0.08753,0.03367
INFN00ITA,EURA14,2016-08-15 11:59:00,0.06752,0.08635,0.04068,0.06752,0.08635,0.04068
INFN00ITA,EURA14,2016-08-16 11:59:00,0.06353,0.09066,0.0428,0.06353,0.09066,0.0428
INFN00ITA,EURA14,2016-08-17 11:59:00,0.06386,0.08834,0.04883,0.06386,0.08834,0.04883
INFN00ITA,EURA14,2016-08-18 11:59:00,0.06559,0.09007,0.0337,0.06559,0.09007,0.0337
INFN00ITA,EURA14,2016-08-19 11:59:00,0.06257,0.0871,0.0486,0.06257,0.0871,0.0486
INFN00ITA,EURA14,2016-08-20 11:59:00,0.06679,0.08839,0.03976,0.06679,0.08839,0.03976
INFN00ITA,EURA14,2016-08-21 11:59:00,0.06767,0.08876,0.03682,0.06767,0.08876,0.03682
INFN00ITA,EURA14,2016-08-22 11:59:00,0.07093,0.09212,0.0325,0.07093,0.09212,0.0325
INFN00ITA,EURA14,2016-08-23 11:59:00,0.06974,0.09803,0.01439,0.06974,0.09803,0.01439
INFN00ITA,EURA14,2016-08-24 11:59:00,0.06604,0.0883,0.04307,0.06604,0.0883,0.04307
INFN00ITA,EURA14,2016-08-25 11:59:00,0.06782,0.08859,0.0398,0.06782,0.08859,0.0398
INFN00ITA,EURA14,2016-08-26 11:59:00,0.06577,0.08715,0.0423,0.06577,0.08715,0.0423
INFN00ITA,EURA14,2016-10-16 11:59:00,0.06736,0.08769,0.03385,0.06736,0.08769,0.03385
INFN00ITA,EURA14,2016-10-17 11:59:00,0.06813,0.08802,0.03175,0.06813,0.08802,0.03175
INFN00ITA,EURA14,2016-10-18 11:59:00,0.0695,0.0877,0.03621,0.0695,0.0877,0.03621
INFN00ITA,EURA14,2016-10-19 11:59:00,0.0686,0.0893,0.03885,0.0686,0.0893,0.03885
INFN00ITA,EURA14,2016-10-20 11:59:00,0.06768,0.08999,0.04047,0.06768,0.08999,0.04047
INFN00ITA,EURA14,2016-10-21 11:59:00,0.06789,0.08714,0.04246,0.06789,0.08714,0.04246
INFN00ITA,EURA14,2016-10-22 11:59:00,0.06837,0.08736,0.03358,0.06837,0.08736,0.03358
INFN00ITA,EURA14,2016-10-23 11:59:00,0.07066,0.08946,0.03637,0.07066,0.08946,0.03637
INFN00ITA,EURA14,2016-10-24 11:59:00,0.07023,0.08859,0.03826,0.07023,0.08859,0.03826
INFN00ITA,EURA14,2016-10-25 11:59:00,0.07117,0.08948,0.03079,0.07117,0.08948,0.03079
INFN00ITA,EURA14,2016-10-26 11:59:00,0.06862,0.08962,0.04645,0.06862,0.08962,0.04645
INFN00ITA,EURA14,2016-10-27 11:59:00,0.06953,0.09195,0.03326,0.06953,0.09195,0.03326
INFN00ITA,EURA14,2016-10-28 11:59:00,0.07241,0.10252,0.0334,0.07241,0.10252,0.0334
INFN00ITA,EURA14,2016-10-29 11:59:00,0.06909,0.09457,0.0228,0.06909,0.09457,0.0228
INFN00ITA,EURA14,2016-10-30 11:59:00,0.0696,0.09029,0.04141,0.0696,0.09029,0.04141
INFN00ITA,EURA14,2016-10-31 11:59:00,0.07141,0.09362,0.03092,0.07141,0.09362,0.03092
INFN00ITA,EURA14,2016-11-01 11:59:00,0.07021,0.08932,0.03318,0.07021,0.08932,0.03318
INFN00ITA,EURA14,2016-11-02 11:59:00,0.06981,0.08657,0.04559,0.06981,0.08657,0.04559
