marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
LEOF00ITA,EURA14,2016-08-14 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
LEOF00ITA,EURA14,2016-08-15 11:59:00,-0.00087,0.00017,0.00289,-0.00087,0.00017,0.00289
LEOF00ITA,EURA14,2016-08-16 11:59:00,-0.00107,0.00324,0.00945,-0.00107,0.00324,0.00945
LEOF00ITA,EURA14,2016-08-17 11:59:00,-0.00064,0.00197,0.00655,-0.00064,0.00197,0.00655
LEOF00ITA,EURA14,2016-08-18 11:59:00,0.00118,0.00196,0.00962,0.00118,0.00196,0.00962
LEOF00ITA,EURA14,2016-08-19 11:59:00,0.00012,0.00089,0.00993,0.00012,0.00089,0.00993
LEOF00ITA,EURA14,2016-08-20 11:59:00,-0.00083,0.0004,0.01183,-0.00083,0.0004,0.01183
LEOF00ITA,EURA14,2016-08-21 11:59:00,0.00012,0.00101,0.01163,0.00012,0.00101,0.01163
LEOF00ITA,EURA14,2016-08-22 11:59:00,-0.00252,-0.00013,0.00638,-0.00252,-0.00013,0.00638
LEOF00ITA,EURA14,2016-08-23 11:59:00,-0.00108,-0.00032,0.00562,-0.00108,-0.00032,0.00562
LEOF00ITA,EURA14,2016-08-24 11:59:00,-0.0002,-0.00274,0.00595,-0.0002,-0.00274,0.00595
LEOF00ITA,EURA14,2016-08-25 11:59:00,0.00028,-0.00068,0.00335,0.00028,-0.00068,0.00335
LEOF00ITA,EURA14,2016-08-26 11:59:00,-0.001,-0.00134,0.00721,-0.001,-0.00134,0.00721
LEOF00ITA,EURA14,2016-10-16 11:59:00,-0.00052,-0.00301,6e-05,-0.0008238461538461537,-0.001104615384615385,0.004823076923076922
LEOF00ITA,EURA14,2016-10-17 11:59:00,0.00028,-0.00158,-0.00112,-2.3846153846153863e-05,0.00032538461538461497,0.003643076923076922
LEOF00ITA,EURA14,2016-10-18 11:59:00,-0.00035,-0.00137,0.00191,-0.0006538461538461538,0.0005353846153846151,0.006673076923076922
LEOF00ITA,EURA14,2016-10-19 11:59:00,0.0011,-0.00162,0.00382,0.0007961538461538462,0.0002853846153846151,0.008583076923076922
LEOF00ITA,EURA14,2016-10-20 11:59:00,0.00111,-0.00125,-0.00289,0.0008061538461538462,0.000655384615384615,0.0018730769230769218
LEOF00ITA,EURA14,2016-10-21 11:59:00,-0.00148,-0.00281,0.00641,-0.0017838461538461539,-0.000904615384615385,0.011173076923076921
LEOF00ITA,EURA14,2016-10-22 11:59:00,0.00052,-0.00205,0.00448,0.00021615384615384612,-0.00014461538461538518,0.009243076923076922
LEOF00ITA,EURA14,2016-10-23 11:59:00,0.00099,-0.0008,0.00179,0.0006861538461538461,0.0011053846153846148,0.006553076923076922
LEOF00ITA,EURA14,2016-10-24 11:59:00,-0.0004,-0.00249,0.00432,-0.0007038461538461539,-0.000584615384615385,0.009083076923076923
LEOF00ITA,EURA14,2016-10-25 11:59:00,-0.00074,-0.00171,0.00178,-0.0010438461538461539,0.00019538461538461506,0.006543076923076922
LEOF00ITA,EURA14,2016-10-26 11:59:00,-0.00139,-0.001,-0.00044,-0.0016938461538461539,0.000905384615384615,0.004323076923076922
LEOF00ITA,EURA14,2016-10-27 11:59:00,-0.00178,-0.00104,0.00705,-0.0020838461538461536,0.0008653846153846151,0.011813076923076923
LEOF00ITA,EURA14,2016-10-28 11:59:00,0.0001,0.00039,0.00132,-0.00020384615384615385,0.002295384615384615,0.006083076923076922
