marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
TERM01ITA,EURA14,2016-08-14 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
TERM01ITA,EURA14,2016-08-15 11:59:00,0.00097,0.00113,0.0037,0.00097,0.00113,0.0037
TERM01ITA,EURA14,2016-08-16 11:59:00,0.00046,-0.00292,0.01414,0.00046,-0.00292,0.01414
TERM01ITA,EURA14,2016-08-17 11:59:00,6e-05,-0.00078,0.00701,6e-05,-0.00078,0.00701
TERM01ITA,EURA14,2016-08-18 11:59:00,-0.0022,-0.00218,0.00994,-0.0022,-0.00218,0.00994
TERM01ITA,EURA14,2016-08-19 11:59:00,0.00143,-0.00013,0.00892,0.00143,-0.00013,0.00892
TERM01ITA,EURA14,2016-08-20 11:59:00,0.00076,0.00057,0.0043,0.00076,0.00057,0.0043
TERM01ITA,EURA14,2016-08-21 11:59:00,0.00086,0.00077,0.00923,0.00086,0.00077,0.00923
TERM01ITA,EURA14,2016-08-22 11:59:00,-0.00194,0.00011,0.00529,-0.00194,0.00011,0.00529
TERM01ITA,EURA14,2016-08-23 11:59:00,-0.00061,-0.00237,0.00608,-0.00061,-0.00237,0.00608
TERM01ITA,EURA14,2016-08-24 11:59:00,-0.00131,-0.00561,0.00175,-0.00131,-0.00561,0.00175
TERM01ITA,EURA14,2016-08-25 11:59:00,-0.00145,-0.0032,0.00749,-0.00145,-0.0032,0.00749
TERM01ITA,EURA14,2016-08-26 11:59:00,-0.00215,-0.00364,0.00056,-0.00215,-0.00364,0.00056
TERM01ITA,EURA14,2017-01-13 11:59:00,-0.00629,-0.01354,0.01573,0.006061709401709401,-0.00030273504273504136,0.008588205128205129
TERM01ITA,EURA14,2017-01-14 11:59:00,-0.00724,-0.01077,0.01514,0.005111709401709401,0.0024672649572649585,0.007998205128205128
TERM01ITA,EURA14,2017-01-15 11:59:00,-0.01069,-0.01238,0.00993,0.001661709401709401,0.0008572649572649582,0.002788205128205128
TERM01ITA,EURA14,2017-01-16 11:59:00,-0.00861,-0.01104,0.01524,0.003741709401709401,0.002197264957264959,0.008098205128205128
TERM01ITA,EURA14,2017-01-17 11:59:00,-0.00948,-0.0104,0.02196,0.0028717094017094,0.002837264957264959,0.014818205128205128
TERM01ITA,EURA14,2017-01-18 11:59:00,-0.01607,-0.01593,0.02572,-0.0037182905982906,-0.002692735042735041,0.018578205128205127
TERM01ITA,EURA14,2017-01-19 11:59:00,-0.01881,-0.01794,0.00582,-0.0064582905982905996,-0.0047027350427350425,-0.0013217948717948718
TERM01ITA,EURA14,2017-01-20 11:59:00,-0.01868,-0.01929,0.00289,-0.006328290598290598,-0.006052735042735043,-0.004251794871794871
TERM01ITA,EURA14,2017-01-21 11:59:00,-0.01884,-0.02048,0.00613,-0.006488290598290598,-0.007242735042735043,-0.0010117948717948714
